NAME,DATE,WEEKDAY,TIME,CPU,BW,MEM,CPU_D,BW_D,MEM_D
AAF-FSRV,2011-03-07,MON,00:29:00,0,16,1607,0.0,6.38,1610.23
AAF-FSRV,2011-03-07,MON,00:34:00,234,3,1606,234.0,6.38,1610.23
AAF-FSRV,2011-03-07,MON,00:39:00,0,3,1612,0.0,6.38,1610.23
AAF-FSRV,2011-03-07,MON,00:44:00,0,3,1606,0.0,6.38,1610.23
AAF-FSRV,2011-03-07,MON,00:49:00,0,3,1644,0.0,6.38,1651.03
AAF-FSRV,2011-03-07,MON,00:54:00,0,3,1647,0.0,6.38,1651.03
AAF-FSRV,2011-03-07,MON,00:59:00,117,3,1600,117.0,6.38,1610.23
AAF-FSRV,2011-03-07,MON,01:04:00,0,4,1608,0.0,6.38,1610.23
AAF-FSRV,2011-03-07,MON,01:09:00,117,3,1609,117.0,6.38,1610.23
AAF-FSRV,2011-03-07,MON,01:14:00,0,3,1603,0.0,6.38,1610.23
AAF-FSRV,2011-03-07,MON,01:19:00,0,3,1603,0.0,6.38,1610.23
AAF-FSRV,2011-03-07,MON,01:24:00,0,4,1608,0.0,6.38,1610.23
AAF-FSRV,2011-03-07,MON,01:29:00,0,8,1605,0.0,6.38,1610.23
AAF-FSRV,2011-03-07,MON,01:34:00,0,33,1602,0.0,6.38,1610.23
AAF-FSRV,2011-03-07,MON,01:39:00,0,3,1608,0.0,6.38,1610.23
AAF-FSRV,2011-03-07,MON,01:44:00,0,10,1607,0.0,6.38,1610.23
AAF-FSRV,2011-03-07,MON,01:49:00,0,3,1602,0.0,6.38,1610.23
AAF-FSRV,2011-03-07,MON,01:54:00,0,3,1608,0.0,6.38,1610.23
AAF-FSRV,2011-03-07,MON,01:59:00,0,3,1604,0.0,6.38,1610.23
AAF-FSRV,2011-03-07,MON,02:04:00,0,11,1603,0.0,6.38,1610.23
AAF-FSRV,2011-03-07,MON,02:09:00,0,3,1611,0.0,6.38,1610.23
AAF-FSRV,2011-03-07,MON,02:14:00,0,3,1607,0.0,6.38,1610.23
AAF-FSRV,2011-03-07,MON,02:19:00,409,3,1627,409.0,6.38,1610.23
AAF-FSRV,2011-03-07,MON,02:24:00,0,3,1608,0.0,6.38,1610.23
AAF-FSRV,2011-03-07,MON,02:29:00,0,4,1610,0.0,6.38,1610.23
AAF-FSRV,2011-03-07,MON,02:34:00,0,3,1607,0.0,6.38,1610.23
AAF-FSRV,2011-03-07,MON,02:39:00,292,3,1612,292.0,6.38,1610.23
AAF-FSRV,2011-03-07,MON,02:44:00,0,3,1605,0.0,6.38,1610.23
AAF-FSRV,2011-03-07,MON,02:49:00,0,3,1605,0.0,6.38,1610.23
