NAME,DATE,WEEKDAY,TIME,CPU,BW,MEM,CPU_D,BW_D,MEM_D
AAF-PRQ-01,2011-03-07,MON,00:29:00,0,16,262,0.0,16.52,262.0
AAF-PRQ-01,2011-03-07,MON,00:34:00,117,0,262,117.0,0.32,262.0
AAF-PRQ-01,2011-03-07,MON,00:39:00,146,0,265,146.0,0.32,265.0
AAF-PRQ-01,2011-03-07,MON,00:44:00,117,0,264,117.0,0.32,264.0
AAF-PRQ-01,2011-03-07,MON,00:49:00,0,0,265,0.0,0.32,265.0
AAF-PRQ-01,2011-03-07,MON,00:54:00,0,0,268,0.0,0.32,268.0
AAF-PRQ-01,2011-03-07,MON,00:59:00,146,0,268,146.0,0.32,268.0
AAF-PRQ-01,2011-03-07,MON,01:04:00,117,0,269,117.0,0.32,269.0
AAF-PRQ-01,2011-03-07,MON,01:09:00,58,0,264,58.0,0.32,264.0
AAF-PRQ-01,2011-03-07,MON,01:14:00,0,0,266,0.0,0.32,266.0
AAF-PRQ-01,2011-03-07,MON,01:19:00,58,0,266,58.0,0.32,266.0
AAF-PRQ-01,2011-03-07,MON,01:24:00,58,0,260,58.0,0.32,260.0
AAF-PRQ-01,2011-03-07,MON,01:29:00,58,0,261,58.0,0.32,261.0
AAF-PRQ-01,2011-03-07,MON,01:34:00,146,0,262,146.0,0.32,262.0
AAF-PRQ-01,2011-03-07,MON,01:39:00,0,0,265,0.0,0.32,265.0
AAF-PRQ-01,2011-03-07,MON,01:44:00,0,0,264,0.0,0.32,264.0
AAF-PRQ-01,2011-03-07,MON,01:49:00,146,0,266,146.0,0.32,266.0
AAF-PRQ-01,2011-03-07,MON,01:54:00,0,0,268,0.0,0.32,268.0
AAF-PRQ-01,2011-03-07,MON,01:59:00,0,0,268,0.0,0.32,268.0
AAF-PRQ-01,2011-03-07,MON,02:04:00,146,0,268,146.0,0.32,268.0
AAF-PRQ-01,2011-03-07,MON,02:09:00,146,0,267,146.0,0.32,267.0
AAF-PRQ-01,2011-03-07,MON,02:14:00,0,0,266,0.0,0.32,266.0
AAF-PRQ-01,2011-03-07,MON,02:19:00,234,0,274,234.0,0.32,274.0
AAF-PRQ-01,2011-03-07,MON,02:24:00,58,0,268,58.0,0.32,268.0
AAF-PRQ-01,2011-03-07,MON,02:29:00,58,0,261,58.0,0.32,261.0
AAF-PRQ-01,2011-03-07,MON,02:34:00,0,0,262,0.0,0.32,262.0
AAF-PRQ-01,2011-03-07,MON,02:39:00,0,0,265,0.0,0.32,265.0
AAF-PRQ-01,2011-03-07,MON,02:44:00,0,0,265,0.0,0.32,265.0
AAF-PRQ-01,2011-03-07,MON,02:49:00,58,0,265,58.0,0.32,265.0
AAF-PRQ-01,2011-03-07,MON,02:54:00,0,0,269,0.0,0.32,269.0
AAF-PRQ-01,2011-03-07,MON,02:59:00,58,0,268,58.0,0.32,268.0
AAF-PRQ-01,2011-03-07,MON,03:04:00,58,0,268,58.0,0.32,268.0
AAF-PRQ-01,2011-03-07,MON,03:09:00,0,0,265,0.0,0.32,265.0
AAF-PRQ-01,2011-03-07,MON,03:14:00,58,0,265,58.0,0.32,265.0
AAF-PRQ-01,2011-03-07,MON,03:19:00,117,0,266,117.0,0.32,266.0
AAF-PRQ-01,2011-03-07,MON,03:24:00,117,0,267,117.0,0.32,267.0
AAF-PRQ-01,2011-03-07,MON,03:29:00,438,3376,289,509.81,3527.0,289.5
AAF-PRQ-01,2011-03-07,MON,03:34:00,117,280,281,117.0,274.33,281.0
AAF-PRQ-01,2011-03-07,MON,03:39:00,58,0,278,58.0,0.32,278.0
AAF-PRQ-01,2011-03-07,MON,03:44:00,58,0,279,58.0,0.32,279.0
AAF-PRQ-01,2011-03-07,MON,03:49:00,58,0,279,58.0,0.32,279.0
AAF-PRQ-01,2011-03-07,MON,03:54:00,146,0,283,146.0,0.32,283.0
AAF-PRQ-01,2011-03-07,MON,03:59:00,0,0,281,0.0,0.32,281.0
AAF-PRQ-01,2011-03-07,MON,04:04:00,58,0,279,58.0,0.32,279.0
AAF-PRQ-01,2011-03-07,MON,04:09:00,58,0,276,58.0,0.32,276.0
AAF-PRQ-01,2011-03-07,MON,04:14:00,58,0,272,58.0,0.32,272.0
AAF-PRQ-01,2011-03-07,MON,04:19:00,146,0,274,146.0,0.32,274.0
AAF-PRQ-01,2011-03-07,MON,04:24:00,58,0,275,58.0,0.32,275.0
AAF-PRQ-01,2011-03-07,MON,04:29:00,58,0,268,58.0,0.32,268.0
AAF-PRQ-01,2011-03-07,MON,04:34:00,204,0,269,204.0,0.32,269.0
AAF-PRQ-01,2011-03-07,MON,04:39:00,0,0,273,0.0,0.32,273.0
AAF-PRQ-01,2011-03-07,MON,04:44:00,0,0,272,0.0,0.32,272.0
AAF-PRQ-01,2011-03-07,MON,04:49:00,58,0,272,58.0,0.32,272.0
AAF-PRQ-01,2011-03-07,MON,04:54:00,117,0,276,117.0,0.32,276.0
AAF-PRQ-01,2011-03-07,MON,04:59:00,58,0,275,58.0,0.32,275.0
AAF-PRQ-01,2011-03-07,MON,05:04:00,146,0,276,146.0,0.32,276.0
AAF-PRQ-01,2011-03-07,MON,05:09:00,117,0,281,117.0,0.32,281.0
AAF-PRQ-01,2011-03-07,MON,05:14:00,117,0,277,117.0,0.32,277.0
AAF-PRQ-01,2011-03-07,MON,05:19:00,58,0,278,58.0,0.32,278.0
AAF-PRQ-01,2011-03-07,MON,05:24:00,58,0,275,58.0,0.32,275.0
AAF-PRQ-01,2011-03-07,MON,05:29:00,0,0,268,0.0,0.32,268.0
AAF-PRQ-01,2011-03-07,MON,05:34:00,58,0,269,58.0,0.32,269.0
AAF-PRQ-01,2011-03-07,MON,05:39:00,0,0,273,0.0,0.32,273.0
AAF-PRQ-01,2011-03-07,MON,05:44:00,0,0,274,0.0,0.32,274.0
AAF-PRQ-01,2011-03-07,MON,05:49:00,58,0,272,58.0,0.32,272.0
AAF-PRQ-01,2011-03-07,MON,05:54:00,117,0,276,117.0,0.32,276.0
AAF-PRQ-01,2011-03-07,MON,05:59:00,117,0,277,117.0,0.32,277.0
AAF-PRQ-01,2011-03-07,MON,06:04:00,117,0,276,117.0,0.32,276.0
AAF-PRQ-01,2011-03-07,MON,06:09:00,292,0,272,292.0,0.32,272.0
AAF-PRQ-01,2011-03-07,MON,06:14:00,58,0,272,58.0,0.32,272.0
AAF-PRQ-01,2011-03-07,MON,06:19:00,117,0,273,117.0,0.32,273.0
AAF-PRQ-01,2011-03-07,MON,06:24:00,58,0,275,58.0,0.32,275.0
AAF-PRQ-01,2011-03-07,MON,06:29:00,117,0,275,117.0,0.32,275.0
AAF-PRQ-01,2011-03-07,MON,06:34:00,58,0,270,58.0,0.32,270.0
AAF-PRQ-01,2011-03-07,MON,06:39:00,58,1,273,58.0,0.32,273.0
AAF-PRQ-01,2011-03-07,MON,06:44:00,0,0,272,0.0,0.32,272.0
AAF-PRQ-01,2011-03-07,MON,06:49:00,58,0,272,58.0,0.32,272.0
AAF-PRQ-01,2011-03-07,MON,06:54:00,0,0,277,0.0,0.32,277.0
AAF-PRQ-01,2011-03-07,MON,06:59:00,58,0,276,58.0,0.32,276.0
AAF-PRQ-01,2011-03-07,MON,07:04:00,117,0,276,117.0,0.32,276.0
AAF-PRQ-01,2011-03-07,MON,07:09:00,117,0,271,117.0,0.32,271.0
AAF-PRQ-01,2011-03-07,MON,07:14:00,29,0,272,29.0,0.32,272.0
AAF-PRQ-01,2011-03-07,MON,07:19:00,58,0,273,58.0,0.32,273.0
AAF-PRQ-01,2011-03-07,MON,07:24:00,0,0,281,0.0,0.32,281.0
AAF-PRQ-01,2011-03-07,MON,07:29:00,58,0,275,58.0,0.32,275.0
AAF-PRQ-01,2011-03-07,MON,07:34:00,58,0,269,58.0,0.32,269.0
AAF-PRQ-01,2011-03-07,MON,07:39:00,117,0,273,117.0,0.32,273.0
AAF-PRQ-01,2011-03-07,MON,07:44:00,117,0,273,117.0,0.32,273.0
AAF-PRQ-01,2011-03-07,MON,07:49:00,58,0,273,58.0,0.32,273.0
AAF-PRQ-01,2011-03-07,MON,07:54:00,0,0,276,0.0,0.32,276.0
AAF-PRQ-01,2011-03-07,MON,07:59:00,58,2,276,58.0,0.32,276.0
AAF-PRQ-01,2011-03-07,MON,08:04:00,58,0,275,58.0,0.32,275.0
AAF-PRQ-01,2011-03-07,MON,08:09:00,117,0,271,117.0,0.32,271.0
AAF-PRQ-01,2011-03-07,MON,08:14:00,58,0,273,58.0,0.32,273.0
AAF-PRQ-01,2011-03-07,MON,08:19:00,117,0,273,117.0,0.32,273.0
AAF-PRQ-01,2011-03-07,MON,08:24:00,0,0,274,0.0,0.32,274.0
AAF-PRQ-01,2011-03-07,MON,08:29:00,0,0,274,0.0,0.32,274.0
AAF-PRQ-01,2011-03-07,MON,08:34:00,204,0,268,204.0,0.32,268.0
AAF-PRQ-01,2011-03-07,MON,08:39:00,204,0,272,204.0,0.32,272.0
AAF-PRQ-01,2011-03-07,MON,08:44:00,204,0,272,204.0,0.32,272.0
AAF-PRQ-01,2011-03-07,MON,08:49:00,0,2,262,0.0,0.32,262.0
AAF-PRQ-01,2011-03-07,MON,08:54:00,58,1,265,58.0,0.32,265.0
AAF-PRQ-01,2011-03-07,MON,08:59:00,117,0,265,117.0,0.32,265.0
AAF-PRQ-01,2011-03-07,MON,09:04:00,58,2,265,58.0,0.32,265.0
AAF-PRQ-01,2011-03-07,MON,09:09:00,117,0,259,117.0,0.32,259.0
AAF-PRQ-01,2011-03-07,MON,09:14:00,117,0,261,117.0,0.32,261.0
AAF-PRQ-01,2011-03-07,MON,09:19:00,204,0,262,204.0,0.32,262.0
AAF-PRQ-01,2011-03-07,MON,09:24:00,0,2,263,0.0,0.32,263.0
AAF-PRQ-01,2011-03-07,MON,09:29:00,117,3,263,117.0,4.57,263.0
AAF-PRQ-01,2011-03-07,MON,09:34:00,117,0,257,117.0,0.32,257.0
AAF-PRQ-01,2011-03-07,MON,09:39:00,0,0,261,0.0,0.32,261.0
AAF-PRQ-01,2011-03-07,MON,09:44:00,146,6,261,146.0,4.57,261.0
AAF-PRQ-01,2011-03-07,MON,09:49:00,58,0,263,58.0,0.32,263.0
AAF-PRQ-01,2011-03-07,MON,09:54:00,0,0,253,0.0,0.32,253.0
AAF-PRQ-01,2011-03-07,MON,09:59:00,146,1,254,146.0,0.32,254.0
AAF-PRQ-01,2011-03-07,MON,10:04:00,117,2,257,117.0,0.32,257.0
AAF-PRQ-01,2011-03-07,MON,10:09:00,146,6,262,146.0,4.57,262.0
AAF-PRQ-01,2011-03-07,MON,10:14:00,146,2,261,146.0,0.32,261.0
AAF-PRQ-01,2011-03-07,MON,10:19:00,0,3,261,0.0,4.57,261.0
AAF-PRQ-01,2011-03-07,MON,10:24:00,0,11,263,0.0,8.97,263.0
AAF-PRQ-01,2011-03-07,MON,10:29:00,117,94,262,117.0,99.25,262.0
AAF-PRQ-01,2011-03-07,MON,10:34:00,146,1,262,146.0,0.32,262.0
AAF-PRQ-01,2011-03-07,MON,10:39:00,0,0,262,0.0,0.32,262.0
AAF-PRQ-01,2011-03-07,MON,10:44:00,58,0,264,58.0,0.32,264.0
AAF-PRQ-01,2011-03-07,MON,10:49:00,58,0,253,58.0,0.32,253.0
AAF-PRQ-01,2011-03-07,MON,10:54:00,117,0,263,117.0,0.32,263.0
AAF-PRQ-01,2011-03-07,MON,10:59:00,58,0,266,58.0,0.32,266.0
AAF-PRQ-01,2011-03-07,MON,11:04:00,58,2,271,58.0,0.32,271.0
AAF-PRQ-01,2011-03-07,MON,11:09:00,146,0,267,146.0,0.32,267.0
AAF-PRQ-01,2011-03-07,MON,11:14:00,117,14,272,117.0,13.54,272.0
AAF-PRQ-01,2011-03-07,MON,11:19:00,58,1,265,58.0,0.32,265.0
AAF-PRQ-01,2011-03-07,MON,11:24:00,117,1,267,117.0,0.32,267.0
AAF-PRQ-01,2011-03-07,MON,11:29:00,0,0,267,0.0,0.32,267.0
AAF-PRQ-01,2011-03-07,MON,11:34:00,146,4,274,146.0,4.57,274.0
AAF-PRQ-01,2011-03-07,MON,11:39:00,0,0,255,0.0,0.32,255.0
AAF-PRQ-01,2011-03-07,MON,11:44:00,58,0,257,58.0,0.32,257.0
AAF-PRQ-01,2011-03-07,MON,11:49:00,0,3,257,0.0,4.57,257.0
AAF-PRQ-01,2011-03-07,MON,11:54:00,58,1,264,58.0,0.32,264.0
AAF-PRQ-01,2011-03-07,MON,11:59:00,117,5,265,117.0,4.57,265.0
AAF-PRQ-01,2011-03-07,MON,12:04:00,0,4,264,0.0,4.57,264.0
AAF-PRQ-01,2011-03-07,MON,12:09:00,117,1,265,117.0,0.32,265.0
AAF-PRQ-01,2011-03-07,MON,12:14:00,117,0,264,117.0,0.32,264.0
AAF-PRQ-01,2011-03-07,MON,12:19:00,117,0,264,117.0,0.32,264.0
AAF-PRQ-01,2011-03-07,MON,12:24:00,117,0,264,117.0,0.32,264.0
AAF-PRQ-01,2011-03-07,MON,12:29:00,0,0,272,0.0,0.32,272.0
AAF-PRQ-01,2011-03-07,MON,12:34:00,117,0,265,117.0,0.32,265.0
