NAME,DATE,WEEKDAY,TIME,CPU,BW,MEM,CPU_D,BW_D,MEM_D
ARCH-FSRV,2011-03-07,MON,00:29:00,0,16,1256,0.0,3.56,1255.53
ARCH-FSRV,2011-03-07,MON,00:34:00,409,0,1251,409.0,3.56,1251.08
ARCH-FSRV,2011-03-07,MON,00:39:00,1463,0,1250,1433.8,3.56,1251.08
ARCH-FSRV,2011-03-07,MON,00:44:00,0,0,1261,0.0,3.56,1259.65
ARCH-FSRV,2011-03-07,MON,00:49:00,1287,0,1250,1287.0,3.56,1251.08
ARCH-FSRV,2011-03-07,MON,00:54:00,0,12,1251,0.0,3.56,1251.08
ARCH-FSRV,2011-03-07,MON,00:59:00,0,0,1258,0.0,3.56,1259.65
ARCH-FSRV,2011-03-07,MON,01:04:00,0,1,1252,0.0,3.56,1251.08
ARCH-FSRV,2011-03-07,MON,01:09:00,0,0,1253,0.0,3.56,1251.08
ARCH-FSRV,2011-03-07,MON,01:14:00,0,0,1255,0.0,3.56,1255.53
ARCH-FSRV,2011-03-07,MON,01:19:00,1931,0,1250,2144.18,3.56,1251.08
ARCH-FSRV,2011-03-07,MON,01:24:00,0,0,1244,0.0,3.56,1243.51
ARCH-FSRV,2011-03-07,MON,01:29:00,1287,0,1258,1287.0,3.56,1259.65
ARCH-FSRV,2011-03-07,MON,01:34:00,234,0,1250,234.0,3.56,1251.08
ARCH-FSRV,2011-03-07,MON,01:39:00,1756,0,1251,1719.39,3.56,1251.08
ARCH-FSRV,2011-03-07,MON,01:44:00,0,0,1256,0.0,3.56,1255.53
ARCH-FSRV,2011-03-07,MON,01:49:00,2048,0,1249,2144.18,3.56,1251.08
ARCH-FSRV,2011-03-07,MON,01:54:00,0,6,1251,0.0,3.56,1251.08
ARCH-FSRV,2011-03-07,MON,01:59:00,0,0,1255,0.0,3.56,1255.53
ARCH-FSRV,2011-03-07,MON,02:04:00,0,0,1251,0.0,3.56,1251.08
ARCH-FSRV,2011-03-07,MON,02:09:00,1756,0,1251,1719.39,3.56,1251.08
ARCH-FSRV,2011-03-07,MON,02:14:00,0,0,1255,0.0,3.56,1255.53
ARCH-FSRV,2011-03-07,MON,02:19:00,0,0,1271,0.0,3.56,1272.06
ARCH-FSRV,2011-03-07,MON,02:24:00,0,6,1251,0.0,3.56,1251.08
ARCH-FSRV,2011-03-07,MON,02:29:00,0,1,1257,0.0,3.56,1255.53
ARCH-FSRV,2011-03-07,MON,02:34:00,234,0,1250,234.0,3.56,1251.08
ARCH-FSRV,2011-03-07,MON,02:39:00,0,6,1251,0.0,3.56,1251.08
ARCH-FSRV,2011-03-07,MON,02:44:00,0,0,1257,0.0,3.56,1255.53
ARCH-FSRV,2011-03-07,MON,02:49:00,234,0,1252,234.0,3.56,1251.08
ARCH-FSRV,2011-03-07,MON,02:54:00,0,0,1250,0.0,3.56,1251.08
ARCH-FSRV,2011-03-07,MON,02:59:00,1112,0,1256,1112.0,3.56,1255.53
ARCH-FSRV,2011-03-07,MON,03:04:00,234,0,1251,234.0,3.56,1251.08
ARCH-FSRV,2011-03-07,MON,03:09:00,2868,0,1251,3403.06,3.56,1251.08
ARCH-FSRV,2011-03-07,MON,03:14:00,0,0,1259,0.0,3.56,1259.65
ARCH-FSRV,2011-03-07,MON,03:19:00,1873,0,1250,1719.39,3.56,1251.08
ARCH-FSRV,2011-03-07,MON,03:24:00,0,0,1252,0.0,3.56,1251.08
ARCH-FSRV,2011-03-07,MON,03:29:00,0,0,1258,0.0,3.56,1259.65
ARCH-FSRV,2011-03-07,MON,03:34:00,0,0,1282,0.0,3.56,1282.0
ARCH-FSRV,2011-03-07,MON,03:39:00,0,0,1251,0.0,3.56,1251.08
ARCH-FSRV,2011-03-07,MON,03:44:00,0,0,1256,0.0,3.56,1255.53
