NAME,DATE,WEEKDAY,TIME,CPU,BW,MEM,CPU_D,BW_D,MEM_D
ARCH-PRQ-01,2011-03-07,MON,00:29:00,149,16,269,149.0,17.8,269.0
ARCH-PRQ-01,2011-03-07,MON,00:34:00,0,0,268,0.0,0.05,268.0
ARCH-PRQ-01,2011-03-07,MON,00:39:00,59,0,266,59.0,0.05,266.0
ARCH-PRQ-01,2011-03-07,MON,00:44:00,0,0,266,0.0,0.05,266.0
ARCH-PRQ-01,2011-03-07,MON,00:49:00,329,0,266,329.0,0.05,266.0
ARCH-PRQ-01,2011-03-07,MON,00:54:00,149,0,267,149.0,0.05,267.0
ARCH-PRQ-01,2011-03-07,MON,00:59:00,119,0,269,119.0,0.05,269.0
ARCH-PRQ-01,2011-03-07,MON,01:04:00,59,0,267,59.0,0.05,267.0
ARCH-PRQ-01,2011-03-07,MON,01:09:00,119,0,266,119.0,0.05,266.0
ARCH-PRQ-01,2011-03-07,MON,01:14:00,119,0,266,119.0,0.05,266.0
ARCH-PRQ-01,2011-03-07,MON,01:19:00,329,0,268,329.0,0.05,268.0
ARCH-PRQ-01,2011-03-07,MON,01:24:00,119,0,268,119.0,0.05,268.0
ARCH-PRQ-01,2011-03-07,MON,01:29:00,209,0,268,209.0,0.05,268.0
ARCH-PRQ-01,2011-03-07,MON,01:34:00,119,0,268,119.0,0.05,268.0
ARCH-PRQ-01,2011-03-07,MON,01:39:00,119,0,265,119.0,0.05,265.0
ARCH-PRQ-01,2011-03-07,MON,01:44:00,119,0,266,119.0,0.05,266.0
ARCH-PRQ-01,2011-03-07,MON,01:49:00,149,0,266,149.0,0.05,266.0
ARCH-PRQ-01,2011-03-07,MON,01:54:00,149,0,268,149.0,0.05,268.0
ARCH-PRQ-01,2011-03-07,MON,01:59:00,538,0,268,551.39,0.05,268.0
ARCH-PRQ-01,2011-03-07,MON,02:04:00,209,0,267,209.0,0.05,267.0
ARCH-PRQ-01,2011-03-07,MON,02:09:00,0,0,265,0.0,0.05,265.0
ARCH-PRQ-01,2011-03-07,MON,02:14:00,119,0,266,119.0,0.05,266.0
ARCH-PRQ-01,2011-03-07,MON,02:19:00,478,0,274,461.17,0.05,274.0
ARCH-PRQ-01,2011-03-07,MON,02:24:00,59,0,268,59.0,0.05,268.0
ARCH-PRQ-01,2011-03-07,MON,02:29:00,149,0,268,149.0,0.05,268.0
ARCH-PRQ-01,2011-03-07,MON,02:34:00,119,0,268,119.0,0.05,268.0
ARCH-PRQ-01,2011-03-07,MON,02:39:00,119,0,264,119.0,0.05,264.0
ARCH-PRQ-01,2011-03-07,MON,02:44:00,119,0,265,119.0,0.05,265.0
ARCH-PRQ-01,2011-03-07,MON,02:49:00,478,0,266,461.17,0.05,266.0
ARCH-PRQ-01,2011-03-07,MON,02:54:00,149,0,267,149.0,0.05,267.0
ARCH-PRQ-01,2011-03-07,MON,02:59:00,119,0,267,119.0,0.05,267.0
ARCH-PRQ-01,2011-03-07,MON,03:04:00,59,0,267,59.0,0.05,267.0
ARCH-PRQ-01,2011-03-07,MON,03:09:00,1136,2001,291,953.12,2225.53,291.0
ARCH-PRQ-01,2011-03-07,MON,03:14:00,59,1833,279,59.0,2225.53,279.0
ARCH-PRQ-01,2011-03-07,MON,03:19:00,329,0,278,329.0,0.05,278.0
ARCH-PRQ-01,2011-03-07,MON,03:24:00,149,0,278,149.0,0.05,278.0
ARCH-PRQ-01,2011-03-07,MON,03:29:00,0,0,278,0.0,0.05,278.0
ARCH-PRQ-01,2011-03-07,MON,03:34:00,239,0,284,239.0,0.05,284.0
ARCH-PRQ-01,2011-03-07,MON,03:39:00,119,0,271,119.0,0.05,271.0
ARCH-PRQ-01,2011-03-07,MON,03:44:00,119,0,274,119.0,0.05,274.0
ARCH-PRQ-01,2011-03-07,MON,03:49:00,478,0,275,461.17,0.05,275.0
ARCH-PRQ-01,2011-03-07,MON,03:54:00,0,0,276,0.0,0.05,276.0
ARCH-PRQ-01,2011-03-07,MON,03:59:00,149,0,277,149.0,0.05,277.0
ARCH-PRQ-01,2011-03-07,MON,04:04:00,59,0,276,59.0,0.05,276.0
ARCH-PRQ-01,2011-03-07,MON,04:09:00,0,0,273,0.0,0.05,273.0
ARCH-PRQ-01,2011-03-07,MON,04:14:00,209,0,275,209.0,0.05,275.0
ARCH-PRQ-01,2011-03-07,MON,04:19:00,149,0,267,149.0,0.05,267.0
ARCH-PRQ-01,2011-03-07,MON,04:24:00,209,0,266,209.0,0.05,266.0
ARCH-PRQ-01,2011-03-07,MON,04:29:00,598,0,267,551.39,0.05,267.0
ARCH-PRQ-01,2011-03-07,MON,04:34:00,59,0,266,59.0,0.05,266.0
ARCH-PRQ-01,2011-03-07,MON,04:39:00,149,0,267,149.0,0.05,267.0
ARCH-PRQ-01,2011-03-07,MON,04:44:00,119,0,271,119.0,0.05,271.0
ARCH-PRQ-01,2011-03-07,MON,04:49:00,0,0,267,0.0,0.05,267.0
ARCH-PRQ-01,2011-03-07,MON,04:54:00,0,0,268,0.0,0.05,268.0
ARCH-PRQ-01,2011-03-07,MON,04:59:00,329,0,268,329.0,0.05,268.0
ARCH-PRQ-01,2011-03-07,MON,05:04:00,119,0,266,119.0,0.05,266.0
ARCH-PRQ-01,2011-03-07,MON,05:09:00,119,0,263,119.0,0.05,263.0
ARCH-PRQ-01,2011-03-07,MON,05:14:00,0,0,264,0.0,0.05,264.0
ARCH-PRQ-01,2011-03-07,MON,05:19:00,119,0,266,119.0,0.05,266.0
ARCH-PRQ-01,2011-03-07,MON,05:24:00,209,0,266,209.0,0.05,266.0
ARCH-PRQ-01,2011-03-07,MON,05:29:00,568,0,266,551.39,0.05,266.0
ARCH-PRQ-01,2011-03-07,MON,05:34:00,149,0,266,149.0,0.05,266.0
ARCH-PRQ-01,2011-03-07,MON,05:39:00,149,0,266,149.0,0.05,266.0
ARCH-PRQ-01,2011-03-07,MON,05:44:00,0,0,263,0.0,0.05,263.0
ARCH-PRQ-01,2011-03-07,MON,05:49:00,119,0,265,119.0,0.05,265.0
ARCH-PRQ-01,2011-03-07,MON,05:54:00,59,0,267,59.0,0.05,267.0
ARCH-PRQ-01,2011-03-07,MON,05:59:00,239,0,269,239.0,0.05,269.0
ARCH-PRQ-01,2011-03-07,MON,06:04:00,209,0,266,209.0,0.05,266.0
ARCH-PRQ-01,2011-03-07,MON,06:09:00,1196,0,264,953.12,0.05,264.0
ARCH-PRQ-01,2011-03-07,MON,06:14:00,59,0,264,59.0,0.05,264.0
ARCH-PRQ-01,2011-03-07,MON,06:19:00,149,0,266,149.0,0.05,266.0
ARCH-PRQ-01,2011-03-07,MON,06:24:00,59,0,266,59.0,0.05,266.0
ARCH-PRQ-01,2011-03-07,MON,06:29:00,748,0,266,684.79,0.05,266.0
ARCH-PRQ-01,2011-03-07,MON,06:34:00,0,0,266,0.0,0.05,266.0
ARCH-PRQ-01,2011-03-07,MON,06:39:00,59,0,267,59.0,0.05,267.0
ARCH-PRQ-01,2011-03-07,MON,06:44:00,119,0,263,119.0,0.05,263.0
ARCH-PRQ-01,2011-03-07,MON,06:49:00,478,0,264,461.17,0.05,264.0
ARCH-PRQ-01,2011-03-07,MON,06:54:00,0,0,266,0.0,0.05,266.0
ARCH-PRQ-01,2011-03-07,MON,06:59:00,718,0,267,684.79,0.05,267.0
ARCH-PRQ-01,2011-03-07,MON,07:04:00,59,0,265,59.0,0.05,265.0
ARCH-PRQ-01,2011-03-07,MON,07:09:00,209,0,262,209.0,0.05,262.0
ARCH-PRQ-01,2011-03-07,MON,07:14:00,119,0,265,119.0,0.05,265.0
ARCH-PRQ-01,2011-03-07,MON,07:19:00,448,0,266,461.17,0.05,266.0
ARCH-PRQ-01,2011-03-07,MON,07:24:00,329,0,273,329.0,0.05,273.0
ARCH-PRQ-01,2011-03-07,MON,07:29:00,149,0,269,149.0,0.05,269.0
ARCH-PRQ-01,2011-03-07,MON,07:34:00,59,0,267,59.0,0.05,267.0
ARCH-PRQ-01,2011-03-07,MON,07:39:00,119,0,267,119.0,0.05,267.0
ARCH-PRQ-01,2011-03-07,MON,07:44:00,119,0,262,119.0,0.05,262.0
ARCH-PRQ-01,2011-03-07,MON,07:49:00,209,0,267,209.0,0.05,267.0
ARCH-PRQ-01,2011-03-07,MON,07:54:00,0,0,267,0.0,0.05,267.0
ARCH-PRQ-01,2011-03-07,MON,07:59:00,628,0,267,684.79,0.05,267.0
ARCH-PRQ-01,2011-03-07,MON,08:04:00,59,0,267,59.0,0.05,267.0
ARCH-PRQ-01,2011-03-07,MON,08:09:00,388,0,262,388.0,0.05,262.0
ARCH-PRQ-01,2011-03-07,MON,08:14:00,119,0,265,119.0,0.05,265.0
ARCH-PRQ-01,2011-03-07,MON,08:19:00,239,0,269,239.0,0.05,269.0
ARCH-PRQ-01,2011-03-07,MON,08:24:00,119,0,266,119.0,0.05,266.0
ARCH-PRQ-01,2011-03-07,MON,08:29:00,119,0,267,119.0,0.05,267.0
ARCH-PRQ-01,2011-03-07,MON,08:34:00,59,0,266,59.0,0.05,266.0
ARCH-PRQ-01,2011-03-07,MON,08:39:00,59,0,267,59.0,0.05,267.0
ARCH-PRQ-01,2011-03-07,MON,08:44:00,59,1,262,59.0,0.05,262.0
ARCH-PRQ-01,2011-03-07,MON,08:49:00,448,0,264,461.17,0.05,264.0
ARCH-PRQ-01,2011-03-07,MON,08:54:00,119,0,267,119.0,0.05,267.0
