NAME,DATE,WEEKDAY,TIME,CPU,BW,MEM,CPU_D,BW_D,MEM_D
AS-FSRV,2011-03-07,MON,00:29:00,58,16,3103,58.0,40.77,3110.4
AS-FSRV,2011-03-07,MON,00:34:00,58,89,3107,58.0,40.77,3110.4
AS-FSRV,2011-03-07,MON,00:39:00,234,49,3107,234.0,40.77,3110.4
AS-FSRV,2011-03-07,MON,00:44:00,58,60,3106,58.0,40.77,3110.4
AS-FSRV,2011-03-07,MON,00:49:00,58,43,3107,58.0,40.77,3110.4
AS-FSRV,2011-03-07,MON,00:54:00,468,48,3109,468.0,40.77,3110.4
AS-FSRV,2011-03-07,MON,00:59:00,58,45,3108,58.0,40.77,3110.4
AS-FSRV,2011-03-07,MON,01:04:00,58,45,3116,58.0,40.77,3110.4
AS-FSRV,2011-03-07,MON,01:09:00,58,46,3102,58.0,40.77,3110.4
AS-FSRV,2011-03-07,MON,01:14:00,58,45,3109,58.0,40.77,3110.4
AS-FSRV,2011-03-07,MON,01:19:00,58,45,3106,58.0,40.77,3110.4
AS-FSRV,2011-03-07,MON,01:24:00,58,49,3108,58.0,40.77,3110.4
AS-FSRV,2011-03-07,MON,01:29:00,117,37,3109,117.0,40.77,3110.4
AS-FSRV,2011-03-07,MON,01:34:00,58,42,3108,58.0,40.77,3110.4
AS-FSRV,2011-03-07,MON,01:39:00,58,42,3108,58.0,40.77,3110.4
AS-FSRV,2011-03-07,MON,01:44:00,58,45,3106,58.0,40.77,3110.4
AS-FSRV,2011-03-07,MON,01:49:00,58,45,3108,58.0,40.77,3110.4
AS-FSRV,2011-03-07,MON,01:54:00,58,49,3108,58.0,40.77,3110.4
AS-FSRV,2011-03-07,MON,01:59:00,58,42,3107,58.0,40.77,3110.4
AS-FSRV,2011-03-07,MON,02:04:00,1053,42,3109,1053.0,40.77,3110.4
AS-FSRV,2011-03-07,MON,02:09:00,58,45,3108,58.0,40.77,3110.4
AS-FSRV,2011-03-07,MON,02:14:00,292,46,3111,292.0,40.77,3110.4
AS-FSRV,2011-03-07,MON,02:19:00,58,44,3129,58.0,40.77,3135.33
AS-FSRV,2011-03-07,MON,02:24:00,58,50,3110,58.0,40.77,3110.4
AS-FSRV,2011-03-07,MON,02:29:00,58,44,3106,58.0,40.77,3110.4
AS-FSRV,2011-03-07,MON,02:34:00,58,42,3109,58.0,40.77,3110.4
AS-FSRV,2011-03-07,MON,02:39:00,58,45,3102,58.0,40.77,3110.4
AS-FSRV,2011-03-07,MON,02:44:00,58,43,3105,58.0,40.77,3110.4
AS-FSRV,2011-03-07,MON,02:49:00,58,42,3106,58.0,40.77,3110.4
AS-FSRV,2011-03-07,MON,02:54:00,117,522,3114,117.0,502.85,3110.4
AS-FSRV,2011-03-07,MON,02:59:00,117,514,3113,117.0,502.85,3110.4
AS-FSRV,2011-03-07,MON,03:04:00,234,93,3112,234.0,40.77,3110.4
AS-FSRV,2011-03-07,MON,03:09:00,58,44,3107,58.0,40.77,3110.4
AS-FSRV,2011-03-07,MON,03:14:00,585,62,3113,585.0,40.77,3110.4
AS-FSRV,2011-03-07,MON,03:19:00,58,42,3110,58.0,40.77,3110.4
AS-FSRV,2011-03-07,MON,03:24:00,58,46,3117,58.0,40.77,3110.4
AS-FSRV,2011-03-07,MON,03:29:00,117,45,3114,117.0,40.77,3110.4
AS-FSRV,2011-03-07,MON,03:34:00,468,73,3141,468.0,40.77,3135.33
AS-FSRV,2011-03-07,MON,03:39:00,117,53,3110,117.0,40.77,3110.4
AS-FSRV,2011-03-07,MON,03:44:00,761,60,3108,761.0,40.77,3110.4
AS-FSRV,2011-03-07,MON,03:49:00,58,46,3097,58.0,40.77,3088.22
AS-FSRV,2011-03-07,MON,03:54:00,117,43,3104,117.0,40.77,3110.4
AS-FSRV,2011-03-07,MON,03:59:00,58,42,3098,58.0,40.77,3088.22
AS-FSRV,2011-03-07,MON,04:04:00,878,221,3117,878.0,203.23,3110.4
AS-FSRV,2011-03-07,MON,04:09:00,58,147,3114,58.0,203.23,3110.4
AS-FSRV,2011-03-07,MON,04:14:00,643,63,3121,643.0,40.77,3110.4
AS-FSRV,2011-03-07,MON,04:19:00,58,48,3114,58.0,40.77,3110.4
AS-FSRV,2011-03-07,MON,04:24:00,468,76,3122,468.0,40.77,3110.4
AS-FSRV,2011-03-07,MON,04:29:00,117,44,3123,117.0,40.77,3110.4
AS-FSRV,2011-03-07,MON,04:34:00,58,50,3130,58.0,40.77,3135.33
AS-FSRV,2011-03-07,MON,04:39:00,58,48,3121,58.0,40.77,3110.4
AS-FSRV,2011-03-07,MON,04:44:00,58,69,3119,58.0,40.77,3110.4
AS-FSRV,2011-03-07,MON,04:49:00,58,44,3118,58.0,40.77,3110.4
AS-FSRV,2011-03-07,MON,04:54:00,58,43,3120,58.0,40.77,3110.4
AS-FSRV,2011-03-07,MON,04:59:00,58,43,3119,58.0,40.77,3110.4
AS-FSRV,2011-03-07,MON,05:04:00,58,45,3119,58.0,40.77,3110.4
AS-FSRV,2011-03-07,MON,05:09:00,58,53,3119,58.0,40.77,3110.4
AS-FSRV,2011-03-07,MON,05:14:00,58,44,3128,58.0,40.77,3135.33
AS-FSRV,2011-03-07,MON,05:19:00,585,44,3120,585.0,40.77,3110.4
AS-FSRV,2011-03-07,MON,05:24:00,585,43,3121,585.0,40.77,3110.4
AS-FSRV,2011-03-07,MON,05:29:00,58,46,3170,58.0,40.77,3174.76
AS-FSRV,2011-03-07,MON,05:34:00,1053,56,3125,1053.0,40.77,3135.33
AS-FSRV,2011-03-07,MON,05:39:00,58,46,3121,58.0,40.77,3110.4
AS-FSRV,2011-03-07,MON,05:44:00,58,45,3125,58.0,40.77,3135.33
AS-FSRV,2011-03-07,MON,05:49:00,117,42,3120,117.0,40.77,3110.4
AS-FSRV,2011-03-07,MON,05:54:00,585,42,3121,585.0,40.77,3110.4
AS-FSRV,2011-03-07,MON,05:59:00,58,44,3122,58.0,40.77,3110.4
AS-FSRV,2011-03-07,MON,06:04:00,58,44,3124,58.0,40.77,3135.33
AS-FSRV,2011-03-07,MON,06:09:00,58,54,3139,58.0,40.77,3135.33
AS-FSRV,2011-03-07,MON,06:14:00,878,42,3121,878.0,40.77,3110.4
AS-FSRV,2011-03-07,MON,06:19:00,58,66,3120,58.0,40.77,3110.4
AS-FSRV,2011-03-07,MON,06:24:00,409,43,3125,409.0,40.77,3135.33
AS-FSRV,2011-03-07,MON,06:29:00,58,43,3127,58.0,40.77,3135.33
AS-FSRV,2011-03-07,MON,06:34:00,58,51,3123,58.0,40.77,3110.4
AS-FSRV,2011-03-07,MON,06:39:00,58,45,3120,58.0,40.77,3110.4
AS-FSRV,2011-03-07,MON,06:44:00,761,43,3118,761.0,40.77,3110.4
AS-FSRV,2011-03-07,MON,06:49:00,58,44,3120,58.0,40.77,3110.4
AS-FSRV,2011-03-07,MON,06:54:00,585,54,3121,585.0,40.77,3110.4
