NAME,DATE,WEEKDAY,TIME,CPU,BW,MEM,CPU_D,BW_D,MEM_D
AS-PRQ-01,2011-03-07,MON,00:29:00,266,16,286,266.0,16.79,286.56
AS-PRQ-01,2011-03-07,MON,00:34:00,53,12,287,53.0,11.9,286.56
AS-PRQ-01,2011-03-07,MON,00:39:00,213,12,285,213.0,11.9,285.0
AS-PRQ-01,2011-03-07,MON,00:44:00,213,12,287,213.0,11.9,286.56
AS-PRQ-01,2011-03-07,MON,00:49:00,133,12,286,133.0,11.9,286.56
AS-PRQ-01,2011-03-07,MON,00:54:00,106,12,287,106.0,11.9,286.56
AS-PRQ-01,2011-03-07,MON,00:59:00,106,12,286,106.0,11.9,286.56
AS-PRQ-01,2011-03-07,MON,01:04:00,133,12,286,133.0,11.9,286.56
AS-PRQ-01,2011-03-07,MON,01:09:00,213,12,286,213.0,11.9,286.56
AS-PRQ-01,2011-03-07,MON,01:14:00,186,12,286,186.0,11.9,286.56
AS-PRQ-01,2011-03-07,MON,01:19:00,186,12,286,186.0,11.9,286.56
AS-PRQ-01,2011-03-07,MON,01:24:00,133,14,282,133.0,11.9,282.0
AS-PRQ-01,2011-03-07,MON,01:29:00,106,11,285,106.0,11.9,285.0
AS-PRQ-01,2011-03-07,MON,01:34:00,106,12,287,106.0,11.9,286.56
AS-PRQ-01,2011-03-07,MON,01:39:00,186,12,286,186.0,11.9,286.56
AS-PRQ-01,2011-03-07,MON,01:44:00,133,13,287,133.0,11.9,286.56
AS-PRQ-01,2011-03-07,MON,01:49:00,213,12,286,213.0,11.9,286.56
AS-PRQ-01,2011-03-07,MON,01:54:00,293,12,287,293.0,11.9,286.56
AS-PRQ-01,2011-03-07,MON,01:59:00,213,12,284,213.0,11.9,284.0
AS-PRQ-01,2011-03-07,MON,02:04:00,133,13,293,133.0,11.9,293.0
AS-PRQ-01,2011-03-07,MON,02:09:00,106,12,296,106.0,11.9,295.46
AS-PRQ-01,2011-03-07,MON,02:14:00,186,12,292,186.0,11.9,292.0
AS-PRQ-01,2011-03-07,MON,02:19:00,266,12,294,266.0,11.9,294.0
AS-PRQ-01,2011-03-07,MON,02:24:00,186,13,282,186.0,11.9,282.0
AS-PRQ-01,2011-03-07,MON,02:29:00,213,12,285,213.0,11.9,285.0
AS-PRQ-01,2011-03-07,MON,02:34:00,186,12,287,186.0,11.9,286.56
AS-PRQ-01,2011-03-07,MON,02:39:00,186,12,286,186.0,11.9,286.56
AS-PRQ-01,2011-03-07,MON,02:44:00,133,12,286,133.0,11.9,286.56
AS-PRQ-01,2011-03-07,MON,02:49:00,186,12,286,186.0,11.9,286.56
AS-PRQ-01,2011-03-07,MON,02:54:00,186,12,286,186.0,11.9,286.56
AS-PRQ-01,2011-03-07,MON,02:59:00,346,12,283,346.0,11.9,283.0
AS-PRQ-01,2011-03-07,MON,03:04:00,266,12,286,266.0,11.9,286.56
AS-PRQ-01,2011-03-07,MON,03:09:00,106,13,286,106.0,11.9,286.56
AS-PRQ-01,2011-03-07,MON,03:14:00,213,12,287,213.0,11.9,286.56
AS-PRQ-01,2011-03-07,MON,03:19:00,213,12,286,213.0,11.9,286.56
AS-PRQ-01,2011-03-07,MON,03:24:00,266,12,287,266.0,11.9,286.56
AS-PRQ-01,2011-03-07,MON,03:29:00,53,13,286,53.0,11.9,286.56
AS-PRQ-01,2011-03-07,MON,03:34:00,346,12,295,346.0,11.9,295.46
AS-PRQ-01,2011-03-07,MON,03:39:00,213,12,286,213.0,11.9,286.56
AS-PRQ-01,2011-03-07,MON,03:44:00,266,12,287,266.0,11.9,286.56
AS-PRQ-01,2011-03-07,MON,03:49:00,213,13,287,213.0,11.9,286.56
AS-PRQ-01,2011-03-07,MON,03:54:00,53,12,287,53.0,11.9,286.56
AS-PRQ-01,2011-03-07,MON,03:59:00,213,12,287,213.0,11.9,286.56
AS-PRQ-01,2011-03-07,MON,04:04:00,213,12,285,213.0,11.9,285.0
AS-PRQ-01,2011-03-07,MON,04:09:00,213,12,286,213.0,11.9,286.56
AS-PRQ-01,2011-03-07,MON,04:14:00,213,13,287,213.0,11.9,286.56
AS-PRQ-01,2011-03-07,MON,04:19:00,106,12,287,106.0,11.9,286.56
AS-PRQ-01,2011-03-07,MON,04:24:00,133,12,288,133.0,11.9,288.0
AS-PRQ-01,2011-03-07,MON,04:29:00,133,13,286,133.0,11.9,286.56
AS-PRQ-01,2011-03-07,MON,04:34:00,133,12,287,133.0,11.9,286.56
AS-PRQ-01,2011-03-07,MON,04:39:00,0,12,287,0.0,11.9,286.56
AS-PRQ-01,2011-03-07,MON,04:44:00,186,12,287,186.0,11.9,286.56
AS-PRQ-01,2011-03-07,MON,04:49:00,133,12,286,133.0,11.9,286.56
AS-PRQ-01,2011-03-07,MON,04:54:00,133,12,287,133.0,11.9,286.56
AS-PRQ-01,2011-03-07,MON,04:59:00,186,12,286,186.0,11.9,286.56
AS-PRQ-01,2011-03-07,MON,05:04:00,213,12,285,213.0,11.9,285.0
AS-PRQ-01,2011-03-07,MON,05:09:00,213,12,285,213.0,11.9,285.0
AS-PRQ-01,2011-03-07,MON,05:14:00,186,12,287,186.0,11.9,286.56
AS-PRQ-01,2011-03-07,MON,05:19:00,293,13,286,293.0,11.9,286.56
AS-PRQ-01,2011-03-07,MON,05:24:00,266,12,287,266.0,11.9,286.56
AS-PRQ-01,2011-03-07,MON,05:29:00,399,12,285,399.0,11.9,285.0
AS-PRQ-01,2011-03-07,MON,05:34:00,346,13,287,346.0,11.9,286.56
AS-PRQ-01,2011-03-07,MON,05:39:00,106,13,286,106.0,11.9,286.56
AS-PRQ-01,2011-03-07,MON,05:44:00,186,12,287,186.0,11.9,286.56
AS-PRQ-01,2011-03-07,MON,05:49:00,186,12,287,186.0,11.9,286.56
AS-PRQ-01,2011-03-07,MON,05:54:00,186,12,288,186.0,11.9,288.0
AS-PRQ-01,2011-03-07,MON,05:59:00,213,12,287,213.0,11.9,286.56
AS-PRQ-01,2011-03-07,MON,06:04:00,186,12,285,186.0,11.9,285.0
AS-PRQ-01,2011-03-07,MON,06:09:00,213,12,293,213.0,11.9,293.0
AS-PRQ-01,2011-03-07,MON,06:14:00,213,12,287,213.0,11.9,286.56
AS-PRQ-01,2011-03-07,MON,06:19:00,186,12,286,186.0,11.9,286.56
AS-PRQ-01,2011-03-07,MON,06:24:00,213,13,287,213.0,11.9,286.56
AS-PRQ-01,2011-03-07,MON,06:29:00,213,12,285,213.0,11.9,285.0
AS-PRQ-01,2011-03-07,MON,06:34:00,53,12,286,53.0,11.9,286.56
AS-PRQ-01,2011-03-07,MON,06:39:00,26,13,287,26.0,11.9,286.56
AS-PRQ-01,2011-03-07,MON,06:44:00,186,12,286,186.0,11.9,286.56
AS-PRQ-01,2011-03-07,MON,06:49:00,186,12,287,186.0,11.9,286.56
AS-PRQ-01,2011-03-07,MON,06:54:00,186,12,287,186.0,11.9,286.56
AS-PRQ-01,2011-03-07,MON,06:59:00,186,12,286,186.0,11.9,286.56
AS-PRQ-01,2011-03-07,MON,07:04:00,186,12,283,186.0,11.9,283.0
AS-PRQ-01,2011-03-07,MON,07:09:00,266,13,286,266.0,11.9,286.56
AS-PRQ-01,2011-03-07,MON,07:14:00,266,13,295,266.0,11.9,295.46
