NAME,DATE,WEEKDAY,TIME,CPU,BW,MEM,CPU_D,BW_D,MEM_D
AUDIT-02,2011-03-07,MON,00:29:00,1077,16,271,976.08,18.64,271.46
AUDIT-02,2011-03-07,MON,00:34:00,1556,110,271,1320.67,109.84,271.46
AUDIT-02,2011-03-07,MON,00:39:00,867,103,272,820.31,101.75,271.46
AUDIT-02,2011-03-07,MON,00:44:00,209,107,267,209.0,109.84,266.54
AUDIT-02,2011-03-07,MON,00:49:00,778,45,267,820.31,45.56,266.54
AUDIT-02,2011-03-07,MON,00:54:00,778,55,267,820.31,58.07,266.54
AUDIT-02,2011-03-07,MON,00:59:00,448,67,267,448.0,68.05,266.54
AUDIT-02,2011-03-07,MON,01:04:00,478,54,268,478.0,51.22,268.0
AUDIT-02,2011-03-07,MON,01:09:00,239,57,265,239.0,58.07,265.0
AUDIT-02,2011-03-07,MON,01:14:00,149,56,269,149.0,58.07,269.0
AUDIT-02,2011-03-07,MON,01:19:00,29,53,269,29.0,51.22,269.0
AUDIT-02,2011-03-07,MON,01:24:00,329,57,269,329.0,58.07,269.0
AUDIT-02,2011-03-07,MON,01:29:00,119,39,270,119.0,39.69,270.0
AUDIT-02,2011-03-07,MON,01:34:00,59,45,270,59.0,45.56,270.0
AUDIT-02,2011-03-07,MON,01:39:00,239,43,270,239.0,45.56,270.0
AUDIT-02,2011-03-07,MON,01:44:00,239,49,271,239.0,51.22,271.46
AUDIT-02,2011-03-07,MON,01:49:00,29,44,270,29.0,45.56,270.0
AUDIT-02,2011-03-07,MON,01:54:00,389,36,270,389.0,34.19,270.0
AUDIT-02,2011-03-07,MON,01:59:00,29,45,272,29.0,45.56,271.46
AUDIT-02,2011-03-07,MON,02:04:00,478,45,271,478.0,45.56,271.46
AUDIT-02,2011-03-07,MON,02:09:00,209,45,267,209.0,45.56,266.54
AUDIT-02,2011-03-07,MON,02:14:00,538,44,270,538.0,45.56,270.0
AUDIT-02,2011-03-07,MON,02:19:00,389,43,278,389.0,45.56,277.49
AUDIT-02,2011-03-07,MON,02:24:00,59,41,270,59.0,39.69,270.0
AUDIT-02,2011-03-07,MON,02:29:00,59,42,270,59.0,39.69,270.0
AUDIT-02,2011-03-07,MON,02:34:00,239,43,271,239.0,45.56,271.46
AUDIT-02,2011-03-07,MON,02:39:00,59,44,270,59.0,45.56,270.0
AUDIT-02,2011-03-07,MON,02:44:00,239,42,270,239.0,39.69,270.0
AUDIT-02,2011-03-07,MON,02:49:00,389,46,271,389.0,45.56,271.46
AUDIT-02,2011-03-07,MON,02:54:00,59,34,271,59.0,34.19,271.46
AUDIT-02,2011-03-07,MON,02:59:00,478,46,271,478.0,45.56,271.46
AUDIT-02,2011-03-07,MON,03:04:00,478,43,270,478.0,45.56,270.0
AUDIT-02,2011-03-07,MON,03:09:00,329,44,266,329.0,45.56,266.54
AUDIT-02,2011-03-07,MON,03:14:00,329,45,270,329.0,45.56,270.0
AUDIT-02,2011-03-07,MON,03:19:00,209,46,270,209.0,45.56,270.0
AUDIT-02,2011-03-07,MON,03:24:00,29,40,271,29.0,39.69,271.46
AUDIT-02,2011-03-07,MON,03:29:00,628,48,270,628.0,45.56,270.0
AUDIT-02,2011-03-07,MON,03:34:00,59,51,272,59.0,51.22,271.46
AUDIT-02,2011-03-07,MON,03:39:00,149,48,271,149.0,45.56,271.46
AUDIT-02,2011-03-07,MON,03:44:00,59,51,272,59.0,51.22,271.46
AUDIT-02,2011-03-07,MON,03:49:00,59,47,271,59.0,45.56,271.46
AUDIT-02,2011-03-07,MON,03:54:00,568,38,270,568.0,39.69,270.0
AUDIT-02,2011-03-07,MON,03:59:00,1376,130,271,1320.67,131.2,271.46
AUDIT-02,2011-03-07,MON,04:04:00,389,134,271,389.0,131.2,271.46
AUDIT-02,2011-03-07,MON,04:09:00,119,130,267,119.0,131.2,266.54
AUDIT-02,2011-03-07,MON,04:14:00,448,121,270,448.0,119.78,270.0
AUDIT-02,2011-03-07,MON,04:19:00,2693,521,332,1983.33,523.0,334.11
AUDIT-02,2011-03-07,MON,04:24:00,1316,2099,297,1320.67,2560.36,297.0
AUDIT-02,2011-03-07,MON,04:29:00,778,151,301,820.31,155.4,300.53
AUDIT-02,2011-03-07,MON,04:34:00,1316,138,301,1320.67,142.94,300.53
AUDIT-02,2011-03-07,MON,04:39:00,718,126,301,718.9,131.2,300.53
AUDIT-02,2011-03-07,MON,04:44:00,957,108,302,976.08,109.84,302.51
AUDIT-02,2011-03-07,MON,04:49:00,1825,120,302,1983.33,119.78,302.51
AUDIT-02,2011-03-07,MON,04:54:00,628,140,312,628.0,142.94,311.43
AUDIT-02,2011-03-07,MON,04:59:00,448,127,308,448.0,131.2,307.5
AUDIT-02,2011-03-07,MON,05:04:00,658,126,311,658.0,131.2,311.43
AUDIT-02,2011-03-07,MON,05:09:00,389,116,308,389.0,119.78,307.5
AUDIT-02,2011-03-07,MON,05:14:00,1466,148,309,1320.67,142.94,309.51
AUDIT-02,2011-03-07,MON,05:19:00,1316,142,309,1320.67,142.94,309.51
AUDIT-02,2011-03-07,MON,05:24:00,2125,149,314,1983.33,142.94,313.48
AUDIT-02,2011-03-07,MON,05:29:00,808,159,314,820.31,155.4,313.48
AUDIT-02,2011-03-07,MON,05:34:00,538,152,314,538.0,155.4,313.48
