NAME,DATE,WEEKDAY,TIME,CPU,BW,MEM,CPU_D,BW_D,MEM_D
AXSV-FSRV,2011-03-07,MON,00:29:00,58,16,1721,58.0,6.84,1722.03
AXSV-FSRV,2011-03-07,MON,00:34:00,58,71,1718,58.0,71.75,1716.9
AXSV-FSRV,2011-03-07,MON,00:39:00,58,74,1712,58.0,71.75,1712.84
AXSV-FSRV,2011-03-07,MON,00:44:00,58,74,1717,58.0,71.75,1716.9
AXSV-FSRV,2011-03-07,MON,00:49:00,58,68,1716,58.0,71.75,1716.9
AXSV-FSRV,2011-03-07,MON,00:54:00,58,74,1715,58.0,71.75,1716.9
AXSV-FSRV,2011-03-07,MON,00:59:00,58,74,1715,58.0,71.75,1716.9
AXSV-FSRV,2011-03-07,MON,01:04:00,2107,74,1721,1992.6,71.75,1722.03
AXSV-FSRV,2011-03-07,MON,01:09:00,234,74,1717,234.0,71.75,1716.9
AXSV-FSRV,2011-03-07,MON,01:14:00,58,71,1718,58.0,71.75,1716.9
AXSV-FSRV,2011-03-07,MON,01:19:00,58,74,1713,58.0,71.75,1712.84
AXSV-FSRV,2011-03-07,MON,01:24:00,117,84,1714,117.0,71.75,1712.84
AXSV-FSRV,2011-03-07,MON,01:29:00,58,63,1715,58.0,71.75,1716.9
AXSV-FSRV,2011-03-07,MON,01:34:00,58,74,1718,58.0,71.75,1716.9
AXSV-FSRV,2011-03-07,MON,01:39:00,58,74,1715,58.0,71.75,1716.9
AXSV-FSRV,2011-03-07,MON,01:44:00,58,84,1719,58.0,71.75,1716.9
AXSV-FSRV,2011-03-07,MON,01:49:00,585,80,1730,585.0,71.75,1730.08
AXSV-FSRV,2011-03-07,MON,01:54:00,58,74,1699,58.0,71.75,1698.98
AXSV-FSRV,2011-03-07,MON,01:59:00,58,74,1700,58.0,71.75,1698.98
AXSV-FSRV,2011-03-07,MON,02:04:00,58,74,1703,58.0,71.75,1704.01
AXSV-FSRV,2011-03-07,MON,02:09:00,58,71,1703,58.0,71.75,1704.01
AXSV-FSRV,2011-03-07,MON,02:14:00,58,82,1702,58.0,71.75,1701.49
AXSV-FSRV,2011-03-07,MON,02:19:00,878,74,1724,878.0,71.75,1722.03
AXSV-FSRV,2011-03-07,MON,02:24:00,58,74,1702,58.0,71.75,1701.49
AXSV-FSRV,2011-03-07,MON,02:29:00,58,74,1704,58.0,71.75,1704.01
