NAME,DATE,WEEKDAY,TIME,CPU,BW,MEM,CPU_D,BW_D,MEM_D
BFAS-FSRV,2011-03-07,MON,00:29:00,66,16,3243,66.0,446.13,3244.63
BFAS-FSRV,2011-03-07,MON,00:34:00,66,4,3247,66.0,446.13,3244.63
BFAS-FSRV,2011-03-07,MON,00:39:00,66,2,3239,66.0,446.13,3233.88
BFAS-FSRV,2011-03-07,MON,00:44:00,66,2,3249,66.0,446.13,3244.63
BFAS-FSRV,2011-03-07,MON,00:49:00,66,2,3240,66.0,446.13,3244.63
BFAS-FSRV,2011-03-07,MON,00:54:00,0,4,3244,0.0,446.13,3244.63
BFAS-FSRV,2011-03-07,MON,00:59:00,0,2,3244,0.0,446.13,3244.63
BFAS-FSRV,2011-03-07,MON,01:04:00,0,3,3246,0.0,446.13,3244.63
BFAS-FSRV,2011-03-07,MON,01:09:00,0,2,3188,0.0,446.13,3189.22
BFAS-FSRV,2011-03-07,MON,01:14:00,0,2,3191,0.0,446.13,3189.22
BFAS-FSRV,2011-03-07,MON,01:19:00,66,13,3187,66.0,446.13,3189.22
BFAS-FSRV,2011-03-07,MON,01:24:00,66,2,3190,66.0,446.13,3189.22
BFAS-FSRV,2011-03-07,MON,01:29:00,66,2,3190,66.0,446.13,3189.22
BFAS-FSRV,2011-03-07,MON,01:34:00,266,111,3210,266.0,446.13,3207.94
BFAS-FSRV,2011-03-07,MON,01:39:00,66,223,3205,66.0,446.13,3207.94
BFAS-FSRV,2011-03-07,MON,01:44:00,66,142,3247,66.0,446.13,3244.63
BFAS-FSRV,2011-03-07,MON,01:49:00,66,172,3296,66.0,446.13,3296.59
BFAS-FSRV,2011-03-07,MON,01:54:00,66,164,3358,66.0,446.13,3356.66
BFAS-FSRV,2011-03-07,MON,01:59:00,66,143,3407,66.0,446.13,3408.29
BFAS-FSRV,2011-03-07,MON,02:04:00,66,151,3352,66.0,446.13,3349.41
BFAS-FSRV,2011-03-07,MON,02:09:00,66,144,3355,66.0,446.13,3356.66
BFAS-FSRV,2011-03-07,MON,02:14:00,66,119,3374,66.0,446.13,3375.24
BFAS-FSRV,2011-03-07,MON,02:19:00,66,86,3404,66.0,446.13,3408.29
BFAS-FSRV,2011-03-07,MON,02:24:00,66,4,3376,66.0,446.13,3375.24
BFAS-FSRV,2011-03-07,MON,02:29:00,66,3,3375,66.0,446.13,3375.24
BFAS-FSRV,2011-03-07,MON,02:34:00,66,2,3373,66.0,446.13,3375.24
BFAS-FSRV,2011-03-07,MON,02:39:00,66,2,3367,66.0,446.13,3368.36
