NAME,DATE,WEEKDAY,TIME,CPU,BW,MEM,CPU_D,BW_D,MEM_D
BUCKETS,2011-03-07,MON,00:29:00,117,16,295,117.0,16.25,295.0
BUCKETS,2011-03-07,MON,00:34:00,58,0,295,58.0,0.01,295.0
BUCKETS,2011-03-07,MON,00:39:00,58,0,295,58.0,0.01,295.0
BUCKETS,2011-03-07,MON,00:44:00,29,0,295,29.0,0.01,295.0
BUCKETS,2011-03-07,MON,00:49:00,58,0,295,58.0,0.01,295.0
BUCKETS,2011-03-07,MON,00:54:00,146,0,296,146.0,0.01,296.0
BUCKETS,2011-03-07,MON,00:59:00,58,0,296,58.0,0.01,296.0
BUCKETS,2011-03-07,MON,01:04:00,965,0,297,1067.79,0.01,297.0
BUCKETS,2011-03-07,MON,01:09:00,58,0,291,58.0,0.01,291.58
BUCKETS,2011-03-07,MON,01:14:00,29,0,294,29.0,0.01,294.0
BUCKETS,2011-03-07,MON,01:19:00,117,0,294,117.0,0.01,294.0
BUCKETS,2011-03-07,MON,01:24:00,29,0,295,29.0,0.01,295.0
BUCKETS,2011-03-07,MON,01:29:00,117,0,298,117.0,0.01,298.0
BUCKETS,2011-03-07,MON,01:34:00,58,0,297,58.0,0.01,297.0
BUCKETS,2011-03-07,MON,01:39:00,58,0,297,58.0,0.01,297.0
BUCKETS,2011-03-07,MON,01:44:00,29,0,297,29.0,0.01,297.0
BUCKETS,2011-03-07,MON,01:49:00,146,4,297,146.0,3.84,297.0
BUCKETS,2011-03-07,MON,01:54:00,58,0,298,58.0,0.01,298.0
BUCKETS,2011-03-07,MON,01:59:00,117,0,298,117.0,0.01,298.0
BUCKETS,2011-03-07,MON,02:04:00,117,0,299,117.0,0.01,299.0
BUCKETS,2011-03-07,MON,02:09:00,58,0,294,58.0,0.01,294.0
BUCKETS,2011-03-07,MON,02:14:00,29,0,295,29.0,0.01,295.0
BUCKETS,2011-03-07,MON,02:19:00,58,0,304,58.0,0.01,304.0
BUCKETS,2011-03-07,MON,02:24:00,117,0,296,117.0,0.01,296.0
BUCKETS,2011-03-07,MON,02:29:00,29,0,299,29.0,0.01,299.0
BUCKETS,2011-03-07,MON,02:34:00,58,0,298,58.0,0.01,298.0
BUCKETS,2011-03-07,MON,02:39:00,117,0,298,117.0,0.01,298.0
BUCKETS,2011-03-07,MON,02:44:00,117,0,299,117.0,0.01,299.0
BUCKETS,2011-03-07,MON,02:49:00,58,0,298,58.0,0.01,298.0
BUCKETS,2011-03-07,MON,02:54:00,117,0,298,117.0,0.01,298.0
