NAME,DATE,WEEKDAY,TIME,CPU,BW,MEM,CPU_D,BW_D,MEM_D
CA,2011-03-07,MON,00:29:00,119,16,299,119.0,20.0,299.0
CA,2011-03-07,MON,00:34:00,119,0,297,119.0,0.0,297.55
CA,2011-03-07,MON,00:39:00,149,0,298,149.0,0.0,297.55
CA,2011-03-07,MON,00:44:00,119,0,300,119.0,0.0,300.0
CA,2011-03-07,MON,00:49:00,119,0,300,119.0,0.0,300.0
CA,2011-03-07,MON,00:54:00,29,0,301,29.0,0.0,301.0
CA,2011-03-07,MON,00:59:00,149,0,301,149.0,0.0,301.0
CA,2011-03-07,MON,01:04:00,1136,0,302,1390.88,0.0,302.0
CA,2011-03-07,MON,01:09:00,29,0,300,29.0,0.0,300.0
CA,2011-03-07,MON,01:14:00,209,0,299,209.0,0.0,299.0
CA,2011-03-07,MON,01:19:00,29,0,300,29.0,0.0,300.0
CA,2011-03-07,MON,01:24:00,59,0,305,59.0,0.0,305.0
CA,2011-03-07,MON,01:29:00,59,0,305,59.0,0.0,305.0
CA,2011-03-07,MON,01:34:00,59,0,302,59.0,0.0,302.0
CA,2011-03-07,MON,01:39:00,59,0,303,59.0,0.0,303.53
CA,2011-03-07,MON,01:44:00,59,0,302,59.0,0.0,302.0
CA,2011-03-07,MON,01:49:00,59,5,304,59.0,4.92,303.53
CA,2011-03-07,MON,01:54:00,119,0,304,119.0,0.0,303.53
CA,2011-03-07,MON,01:59:00,149,0,304,149.0,0.0,303.53
CA,2011-03-07,MON,02:04:00,59,0,305,59.0,0.0,305.0
CA,2011-03-07,MON,02:09:00,119,0,304,119.0,0.0,303.53
CA,2011-03-07,MON,02:14:00,59,0,304,59.0,0.0,303.53
CA,2011-03-07,MON,02:19:00,209,0,312,209.0,0.0,312.52
CA,2011-03-07,MON,02:24:00,59,0,305,59.0,0.0,305.0
CA,2011-03-07,MON,02:29:00,149,0,306,149.0,0.0,306.0
CA,2011-03-07,MON,02:34:00,149,0,317,149.0,0.0,317.0
CA,2011-03-07,MON,02:39:00,149,0,315,149.0,0.0,315.0
CA,2011-03-07,MON,02:44:00,119,0,317,119.0,0.0,317.0
CA,2011-03-07,MON,02:49:00,29,0,318,29.0,0.0,318.0
CA,2011-03-07,MON,02:54:00,59,0,313,59.0,0.0,312.52
CA,2011-03-07,MON,02:59:00,29,0,318,29.0,0.0,318.0
CA,2011-03-07,MON,03:04:00,119,0,317,119.0,0.0,317.0
CA,2011-03-07,MON,03:09:00,59,0,316,59.0,0.0,316.0
CA,2011-03-07,MON,03:14:00,149,0,317,149.0,0.0,317.0
