NAME,DATE,WEEKDAY,TIME,CPU,BW,MEM,CPU_D,BW_D,MEM_D
CHL-PRQ-01,2011-03-07,MON,00:29:00,119,16,305,119.0,17.28,305.0
CHL-PRQ-01,2011-03-07,MON,00:34:00,239,0,305,239.0,0.25,305.0
CHL-PRQ-01,2011-03-07,MON,00:39:00,119,0,305,119.0,0.25,305.0
CHL-PRQ-01,2011-03-07,MON,00:44:00,209,0,305,209.0,0.25,305.0
CHL-PRQ-01,2011-03-07,MON,00:49:00,149,0,304,149.0,0.25,304.0
CHL-PRQ-01,2011-03-07,MON,00:54:00,119,0,301,119.0,0.25,301.0
CHL-PRQ-01,2011-03-07,MON,00:59:00,209,0,305,209.0,0.25,305.0
CHL-PRQ-01,2011-03-07,MON,01:04:00,59,0,311,59.0,0.25,311.0
CHL-PRQ-01,2011-03-07,MON,01:09:00,59,0,301,59.0,0.25,301.0
CHL-PRQ-01,2011-03-07,MON,01:14:00,209,0,303,209.0,0.25,303.0
CHL-PRQ-01,2011-03-07,MON,01:19:00,29,0,304,29.0,0.25,304.0
CHL-PRQ-01,2011-03-07,MON,01:24:00,658,0,304,614.07,0.25,304.0
CHL-PRQ-01,2011-03-07,MON,01:29:00,59,0,304,59.0,0.25,304.0
CHL-PRQ-01,2011-03-07,MON,01:34:00,149,0,304,149.0,0.25,304.0
CHL-PRQ-01,2011-03-07,MON,01:39:00,149,0,304,149.0,0.25,304.0
CHL-PRQ-01,2011-03-07,MON,01:44:00,149,0,304,149.0,0.25,304.0
CHL-PRQ-01,2011-03-07,MON,01:49:00,59,0,304,59.0,0.25,304.0
CHL-PRQ-01,2011-03-07,MON,01:54:00,119,0,306,119.0,0.25,306.0
CHL-PRQ-01,2011-03-07,MON,01:59:00,209,0,304,209.0,0.25,304.0
CHL-PRQ-01,2011-03-07,MON,02:04:00,29,0,304,29.0,0.25,304.0
CHL-PRQ-01,2011-03-07,MON,02:09:00,59,0,300,59.0,0.25,300.0
CHL-PRQ-01,2011-03-07,MON,02:14:00,119,0,303,119.0,0.25,303.0
CHL-PRQ-01,2011-03-07,MON,02:19:00,119,0,310,119.0,0.25,309.48
CHL-PRQ-01,2011-03-07,MON,02:24:00,29,0,304,29.0,0.25,304.0
CHL-PRQ-01,2011-03-07,MON,02:29:00,59,0,304,59.0,0.25,304.0
CHL-PRQ-01,2011-03-07,MON,02:34:00,119,0,304,119.0,0.25,304.0
CHL-PRQ-01,2011-03-07,MON,02:39:00,59,0,304,59.0,0.25,304.0
CHL-PRQ-01,2011-03-07,MON,02:44:00,209,0,304,209.0,0.25,304.0
CHL-PRQ-01,2011-03-07,MON,02:49:00,59,0,304,59.0,0.25,304.0
CHL-PRQ-01,2011-03-07,MON,02:54:00,1556,31,328,1445.39,32.38,327.47
CHL-PRQ-01,2011-03-07,MON,02:59:00,59,2371,302,59.0,1827.45,302.0
CHL-PRQ-01,2011-03-07,MON,03:04:00,119,0,300,119.0,0.25,300.0
CHL-PRQ-01,2011-03-07,MON,03:09:00,209,0,300,209.0,0.25,300.0
CHL-PRQ-01,2011-03-07,MON,03:14:00,149,0,304,149.0,0.25,304.0
CHL-PRQ-01,2011-03-07,MON,03:19:00,149,0,305,149.0,0.25,305.0
CHL-PRQ-01,2011-03-07,MON,03:24:00,119,0,306,119.0,0.25,306.0
CHL-PRQ-01,2011-03-07,MON,03:29:00,59,0,307,59.0,0.25,307.0
CHL-PRQ-01,2011-03-07,MON,03:34:00,299,0,309,299.0,0.25,309.48
CHL-PRQ-01,2011-03-07,MON,03:39:00,119,0,308,119.0,0.25,308.0
CHL-PRQ-01,2011-03-07,MON,03:44:00,149,0,308,149.0,0.25,308.0
CHL-PRQ-01,2011-03-07,MON,03:49:00,29,0,309,29.0,0.25,309.48
CHL-PRQ-01,2011-03-07,MON,03:54:00,149,0,310,149.0,0.25,309.48
CHL-PRQ-01,2011-03-07,MON,03:59:00,59,0,305,59.0,0.25,305.0
CHL-PRQ-01,2011-03-07,MON,04:04:00,119,0,307,119.0,0.25,307.0
CHL-PRQ-01,2011-03-07,MON,04:09:00,299,0,304,299.0,0.25,304.0
CHL-PRQ-01,2011-03-07,MON,04:14:00,149,0,307,149.0,0.25,307.0
CHL-PRQ-01,2011-03-07,MON,04:19:00,119,0,307,119.0,0.25,307.0
CHL-PRQ-01,2011-03-07,MON,04:24:00,29,0,308,29.0,0.25,308.0
CHL-PRQ-01,2011-03-07,MON,04:29:00,119,0,308,119.0,0.25,308.0
CHL-PRQ-01,2011-03-07,MON,04:34:00,59,0,309,59.0,0.25,309.48
CHL-PRQ-01,2011-03-07,MON,04:39:00,209,0,309,209.0,0.25,309.48
CHL-PRQ-01,2011-03-07,MON,04:44:00,119,0,308,119.0,0.25,308.0
CHL-PRQ-01,2011-03-07,MON,04:49:00,59,0,308,59.0,0.25,308.0
CHL-PRQ-01,2011-03-07,MON,04:54:00,119,0,318,119.0,0.25,318.0
