NAME,DATE,WEEKDAY,TIME,CPU,BW,MEM,CPU_D,BW_D,MEM_D
COHE-FSRV,2011-03-07,MON,00:29:00,643,16,1790,643.0,29.19,1790.98
COHE-FSRV,2011-03-07,MON,00:34:00,468,1894,1788,468.0,1916.13,1790.98
COHE-FSRV,2011-03-07,MON,00:39:00,292,3230,1787,292.0,3214.14,1784.45
COHE-FSRV,2011-03-07,MON,00:44:00,409,3639,1799,409.0,3647.0,1797.73
COHE-FSRV,2011-03-07,MON,00:49:00,58,4078,1692,58.0,4116.86,1692.47
COHE-FSRV,2011-03-07,MON,00:54:00,1580,1,1687,1580.0,1.6,1687.1
COHE-FSRV,2011-03-07,MON,00:59:00,58,1,1685,58.0,1.6,1683.54
COHE-FSRV,2011-03-07,MON,01:04:00,1229,2,1713,1229.0,1.6,1712.51
COHE-FSRV,2011-03-07,MON,01:09:00,58,1,1685,58.0,1.6,1683.54
COHE-FSRV,2011-03-07,MON,01:14:00,117,1,1683,117.0,1.6,1683.54
COHE-FSRV,2011-03-07,MON,01:19:00,58,1,1687,58.0,1.6,1687.1
COHE-FSRV,2011-03-07,MON,01:24:00,58,1,1688,58.0,1.6,1687.1
COHE-FSRV,2011-03-07,MON,01:29:00,58,1,1690,58.0,1.6,1689.46
COHE-FSRV,2011-03-07,MON,01:34:00,1053,1,1686,1053.0,1.6,1687.1
COHE-FSRV,2011-03-07,MON,01:39:00,58,1,1688,58.0,1.6,1687.1
COHE-FSRV,2011-03-07,MON,01:44:00,58,1,1685,58.0,1.6,1683.54
COHE-FSRV,2011-03-07,MON,01:49:00,58,7,1687,58.0,1.6,1687.1
COHE-FSRV,2011-03-07,MON,01:54:00,58,1,1688,58.0,1.6,1687.1
COHE-FSRV,2011-03-07,MON,01:59:00,58,1,1689,58.0,1.6,1689.46
COHE-FSRV,2011-03-07,MON,02:04:00,234,1,1689,234.0,1.6,1689.46
COHE-FSRV,2011-03-07,MON,02:09:00,58,1,1689,58.0,1.6,1689.46
COHE-FSRV,2011-03-07,MON,02:14:00,58,1,1691,58.0,1.6,1692.47
COHE-FSRV,2011-03-07,MON,02:19:00,117,1,1722,117.0,1.6,1722.99
COHE-FSRV,2011-03-07,MON,02:24:00,58,1,1684,58.0,1.6,1683.54
COHE-FSRV,2011-03-07,MON,02:29:00,58,2,1690,58.0,1.6,1689.46
COHE-FSRV,2011-03-07,MON,02:34:00,58,1,1690,58.0,1.6,1689.46
COHE-FSRV,2011-03-07,MON,02:39:00,58,1,1689,58.0,1.6,1689.46
COHE-FSRV,2011-03-07,MON,02:44:00,58,1,1690,58.0,1.6,1689.46
COHE-FSRV,2011-03-07,MON,02:49:00,58,1,1686,58.0,1.6,1687.1
COHE-FSRV,2011-03-07,MON,02:54:00,58,1,1683,58.0,1.6,1683.54
COHE-FSRV,2011-03-07,MON,02:59:00,58,1,1687,58.0,1.6,1687.1
COHE-FSRV,2011-03-07,MON,03:04:00,58,1,1690,58.0,1.6,1689.46
COHE-FSRV,2011-03-07,MON,03:09:00,58,1,1690,58.0,1.6,1689.46
COHE-FSRV,2011-03-07,MON,03:14:00,58,1,1689,58.0,1.6,1689.46
COHE-FSRV,2011-03-07,MON,03:19:00,58,1,1691,58.0,1.6,1692.47
COHE-FSRV,2011-03-07,MON,03:24:00,292,1,1892,292.0,1.6,1904.71
COHE-FSRV,2011-03-07,MON,03:29:00,58,1,1741,58.0,1.6,1741.0
COHE-FSRV,2011-03-07,MON,03:34:00,58,1,1693,58.0,1.6,1692.47
COHE-FSRV,2011-03-07,MON,03:39:00,58,1,1692,58.0,1.6,1692.47
COHE-FSRV,2011-03-07,MON,03:44:00,292,1,1691,292.0,1.6,1692.47
COHE-FSRV,2011-03-07,MON,03:49:00,58,1,1689,58.0,1.6,1689.46
COHE-FSRV,2011-03-07,MON,03:54:00,234,2,1689,234.0,1.6,1689.46
COHE-FSRV,2011-03-07,MON,03:59:00,58,1,1688,58.0,1.6,1687.1
COHE-FSRV,2011-03-07,MON,04:04:00,292,1,1684,292.0,1.6,1683.54
COHE-FSRV,2011-03-07,MON,04:09:00,58,1,1688,58.0,1.6,1687.1
COHE-FSRV,2011-03-07,MON,04:14:00,2224,1,1686,2129.16,1.6,1687.1
COHE-FSRV,2011-03-07,MON,04:19:00,58,1,1693,58.0,1.6,1692.47
COHE-FSRV,2011-03-07,MON,04:24:00,409,1,1686,409.0,1.6,1687.1
COHE-FSRV,2011-03-07,MON,04:29:00,58,1,1697,58.0,1.6,1696.56
COHE-FSRV,2011-03-07,MON,04:34:00,58,32,1698,58.0,29.19,1696.56
COHE-FSRV,2011-03-07,MON,04:39:00,58,114,1705,58.0,128.35,1705.0
COHE-FSRV,2011-03-07,MON,04:44:00,58,1,1705,58.0,1.6,1705.0
COHE-FSRV,2011-03-07,MON,04:49:00,58,1,1700,58.0,1.6,1700.58
COHE-FSRV,2011-03-07,MON,04:54:00,1053,1,1720,1053.0,1.6,1720.46
COHE-FSRV,2011-03-07,MON,04:59:00,58,1,1699,58.0,1.6,1700.58
COHE-FSRV,2011-03-07,MON,05:04:00,58,1,1701,58.0,1.6,1700.58
COHE-FSRV,2011-03-07,MON,05:09:00,58,2,1702,58.0,1.6,1700.58
COHE-FSRV,2011-03-07,MON,05:14:00,58,2,1710,58.0,1.6,1710.41
COHE-FSRV,2011-03-07,MON,05:19:00,117,1,1703,117.0,1.6,1703.52
COHE-FSRV,2011-03-07,MON,05:24:00,58,1,1705,58.0,1.6,1705.0
COHE-FSRV,2011-03-07,MON,05:29:00,58,1,1706,58.0,1.6,1706.0
COHE-FSRV,2011-03-07,MON,05:34:00,1112,1,1705,1112.0,1.6,1705.0
COHE-FSRV,2011-03-07,MON,05:39:00,58,1,1707,58.0,1.6,1707.0
COHE-FSRV,2011-03-07,MON,05:44:00,58,1,1701,58.0,1.6,1700.58
COHE-FSRV,2011-03-07,MON,05:49:00,58,1,1703,58.0,1.6,1703.52
COHE-FSRV,2011-03-07,MON,05:54:00,58,1,1705,58.0,1.6,1705.0
COHE-FSRV,2011-03-07,MON,05:59:00,58,1,1706,58.0,1.6,1706.0
COHE-FSRV,2011-03-07,MON,06:04:00,234,1,1705,234.0,1.6,1705.0
COHE-FSRV,2011-03-07,MON,06:09:00,878,1,1730,878.0,1.6,1730.0
COHE-FSRV,2011-03-07,MON,06:14:00,1580,1,1702,1580.0,1.6,1700.58
COHE-FSRV,2011-03-07,MON,06:19:00,58,1,1704,58.0,1.6,1703.52
COHE-FSRV,2011-03-07,MON,06:24:00,58,1,1711,58.0,1.6,1710.41
COHE-FSRV,2011-03-07,MON,06:29:00,58,1,1706,58.0,1.6,1706.0
COHE-FSRV,2011-03-07,MON,06:34:00,58,2,1701,58.0,1.6,1700.58
COHE-FSRV,2011-03-07,MON,06:39:00,58,2,1708,58.0,1.6,1708.5
COHE-FSRV,2011-03-07,MON,06:44:00,1756,1,1699,1756.0,1.6,1700.58
COHE-FSRV,2011-03-07,MON,06:49:00,58,1,1703,58.0,1.6,1703.52
COHE-FSRV,2011-03-07,MON,06:54:00,1229,1,1697,1229.0,1.6,1696.56
