NAME,DATE,WEEKDAY,TIME,CPU,BW,MEM,CPU_D,BW_D,MEM_D
COHE-PRQ-01,2011-03-07,MON,00:29:00,119,16,291,119.0,18.57,290.43
COHE-PRQ-01,2011-03-07,MON,00:34:00,119,77,291,119.0,75.85,290.43
COHE-PRQ-01,2011-03-07,MON,00:39:00,59,78,287,59.0,75.85,285.96
COHE-PRQ-01,2011-03-07,MON,00:44:00,149,78,286,149.0,75.85,285.96
COHE-PRQ-01,2011-03-07,MON,00:49:00,119,77,287,119.0,75.85,285.96
COHE-PRQ-01,2011-03-07,MON,00:54:00,59,77,285,59.0,75.85,285.96
COHE-PRQ-01,2011-03-07,MON,00:59:00,0,78,268,0.0,75.85,268.0
COHE-PRQ-01,2011-03-07,MON,01:04:00,299,77,288,299.0,75.85,288.53
COHE-PRQ-01,2011-03-07,MON,01:09:00,59,79,287,59.0,75.85,285.96
COHE-PRQ-01,2011-03-07,MON,01:14:00,0,77,287,0.0,75.85,285.96
COHE-PRQ-01,2011-03-07,MON,01:19:00,119,78,287,119.0,75.85,285.96
COHE-PRQ-01,2011-03-07,MON,01:24:00,59,88,287,59.0,91.51,285.96
COHE-PRQ-01,2011-03-07,MON,01:29:00,119,67,288,119.0,67.55,288.53
COHE-PRQ-01,2011-03-07,MON,01:34:00,119,77,287,119.0,75.85,285.96
COHE-PRQ-01,2011-03-07,MON,01:39:00,59,78,288,59.0,75.85,288.53
COHE-PRQ-01,2011-03-07,MON,01:44:00,119,77,288,119.0,75.85,288.53
COHE-PRQ-01,2011-03-07,MON,01:49:00,239,78,288,239.0,75.85,288.53
COHE-PRQ-01,2011-03-07,MON,01:54:00,119,78,290,119.0,75.85,290.43
COHE-PRQ-01,2011-03-07,MON,01:59:00,119,77,290,119.0,75.85,290.43
COHE-PRQ-01,2011-03-07,MON,02:04:00,59,77,280,59.0,75.85,280.0
COHE-PRQ-01,2011-03-07,MON,02:09:00,209,79,287,209.0,75.85,285.96
COHE-PRQ-01,2011-03-07,MON,02:14:00,59,77,287,59.0,75.85,285.96
COHE-PRQ-01,2011-03-07,MON,02:19:00,119,77,293,119.0,75.85,293.46
COHE-PRQ-01,2011-03-07,MON,02:24:00,0,77,287,0.0,75.85,285.96
COHE-PRQ-01,2011-03-07,MON,02:29:00,59,78,288,59.0,75.85,288.53
COHE-PRQ-01,2011-03-07,MON,02:34:00,149,77,288,149.0,75.85,288.53
COHE-PRQ-01,2011-03-07,MON,02:39:00,119,78,287,119.0,75.85,285.96
COHE-PRQ-01,2011-03-07,MON,02:44:00,59,79,288,59.0,75.85,288.53
COHE-PRQ-01,2011-03-07,MON,02:49:00,59,76,288,59.0,75.85,288.53
COHE-PRQ-01,2011-03-07,MON,02:54:00,149,77,292,149.0,75.85,292.0
COHE-PRQ-01,2011-03-07,MON,02:59:00,59,77,291,59.0,75.85,290.43
COHE-PRQ-01,2011-03-07,MON,03:04:00,59,78,282,59.0,75.85,282.0
COHE-PRQ-01,2011-03-07,MON,03:09:00,59,79,289,59.0,75.85,288.53
COHE-PRQ-01,2011-03-07,MON,03:14:00,59,77,289,59.0,75.85,288.53
COHE-PRQ-01,2011-03-07,MON,03:19:00,59,78,289,59.0,75.85,288.53
COHE-PRQ-01,2011-03-07,MON,03:24:00,59,78,289,59.0,75.85,288.53
COHE-PRQ-01,2011-03-07,MON,03:29:00,0,78,290,0.0,75.85,290.43
COHE-PRQ-01,2011-03-07,MON,03:34:00,59,77,290,59.0,75.85,290.43
COHE-PRQ-01,2011-03-07,MON,03:39:00,239,78,290,239.0,75.85,290.43
COHE-PRQ-01,2011-03-07,MON,03:44:00,119,77,289,119.0,75.85,288.53
COHE-PRQ-01,2011-03-07,MON,03:49:00,0,78,290,0.0,75.85,290.43
COHE-PRQ-01,2011-03-07,MON,03:54:00,149,78,292,149.0,75.85,292.0
COHE-PRQ-01,2011-03-07,MON,03:59:00,59,77,291,59.0,75.85,290.43
COHE-PRQ-01,2011-03-07,MON,04:04:00,59,77,282,59.0,75.85,282.0
COHE-PRQ-01,2011-03-07,MON,04:09:00,0,78,290,0.0,75.85,290.43
COHE-PRQ-01,2011-03-07,MON,04:14:00,149,77,290,149.0,75.85,290.43
COHE-PRQ-01,2011-03-07,MON,04:19:00,59,78,290,59.0,75.85,290.43
COHE-PRQ-01,2011-03-07,MON,04:24:00,299,687,295,299.0,678.6,295.0
COHE-PRQ-01,2011-03-07,MON,04:29:00,0,3058,254,0.0,2091.99,254.0
COHE-PRQ-01,2011-03-07,MON,04:34:00,149,79,252,149.0,75.85,251.53
COHE-PRQ-01,2011-03-07,MON,04:39:00,119,76,262,119.0,75.85,262.0
COHE-PRQ-01,2011-03-07,MON,04:44:00,119,78,261,119.0,75.85,260.53
COHE-PRQ-01,2011-03-07,MON,04:49:00,59,77,264,59.0,75.85,263.48
COHE-PRQ-01,2011-03-07,MON,04:54:00,209,79,275,209.0,75.85,275.0
COHE-PRQ-01,2011-03-07,MON,04:59:00,209,77,264,209.0,75.85,263.48
COHE-PRQ-01,2011-03-07,MON,05:04:00,119,49,256,119.0,49.63,256.0
COHE-PRQ-01,2011-03-07,MON,05:09:00,0,80,266,0.0,83.12,266.0
COHE-PRQ-01,2011-03-07,MON,05:14:00,119,80,266,119.0,83.12,266.0
COHE-PRQ-01,2011-03-07,MON,05:19:00,119,77,266,119.0,75.85,266.0
COHE-PRQ-01,2011-03-07,MON,05:24:00,119,78,267,119.0,75.85,267.0
COHE-PRQ-01,2011-03-07,MON,05:29:00,0,78,268,0.0,75.85,268.0
COHE-PRQ-01,2011-03-07,MON,05:34:00,0,77,267,0.0,75.85,267.0
COHE-PRQ-01,2011-03-07,MON,05:39:00,59,78,268,59.0,75.85,268.0
COHE-PRQ-01,2011-03-07,MON,05:44:00,149,78,284,149.0,75.85,284.0
COHE-PRQ-01,2011-03-07,MON,05:49:00,119,77,278,119.0,75.85,278.0
COHE-PRQ-01,2011-03-07,MON,05:54:00,0,79,273,0.0,75.85,273.53
COHE-PRQ-01,2011-03-07,MON,05:59:00,0,77,273,0.0,75.85,273.53
COHE-PRQ-01,2011-03-07,MON,06:04:00,59,77,269,59.0,75.85,269.0
COHE-PRQ-01,2011-03-07,MON,06:09:00,329,78,283,329.0,75.85,283.0
COHE-PRQ-01,2011-03-07,MON,06:14:00,59,77,276,59.0,75.85,276.0
COHE-PRQ-01,2011-03-07,MON,06:19:00,119,78,277,119.0,75.85,277.0
COHE-PRQ-01,2011-03-07,MON,06:24:00,119,78,277,119.0,75.85,277.0
COHE-PRQ-01,2011-03-07,MON,06:29:00,59,77,276,59.0,75.85,276.0
COHE-PRQ-01,2011-03-07,MON,06:34:00,59,77,276,59.0,75.85,276.0
COHE-PRQ-01,2011-03-07,MON,06:39:00,59,78,277,59.0,75.85,277.0
COHE-PRQ-01,2011-03-07,MON,06:44:00,59,77,277,59.0,75.85,277.0
COHE-PRQ-01,2011-03-07,MON,06:49:00,59,78,278,59.0,75.85,278.0
COHE-PRQ-01,2011-03-07,MON,06:54:00,119,77,279,119.0,75.85,279.0
COHE-PRQ-01,2011-03-07,MON,06:59:00,119,78,275,119.0,75.85,275.0
COHE-PRQ-01,2011-03-07,MON,07:04:00,59,79,275,59.0,75.85,275.0
COHE-PRQ-01,2011-03-07,MON,07:09:00,119,78,272,119.0,75.85,271.5
COHE-PRQ-01,2011-03-07,MON,07:14:00,59,78,274,59.0,75.85,273.53
COHE-PRQ-01,2011-03-07,MON,07:19:00,0,78,273,0.0,75.85,273.53
COHE-PRQ-01,2011-03-07,MON,07:24:00,149,77,277,149.0,75.85,277.0
COHE-PRQ-01,2011-03-07,MON,07:29:00,119,78,277,119.0,75.85,277.0
COHE-PRQ-01,2011-03-07,MON,07:34:00,149,78,275,149.0,75.85,275.0
COHE-PRQ-01,2011-03-07,MON,07:39:00,0,77,277,0.0,75.85,277.0
COHE-PRQ-01,2011-03-07,MON,07:44:00,59,78,277,59.0,75.85,277.0
