NAME,DATE,WEEKDAY,TIME,CPU,BW,MEM,CPU_D,BW_D,MEM_D
CONFLUENCE,2011-03-07,MON,00:29:00,146,16,1736,146.0,9.06,1736.61
CONFLUENCE,2011-03-07,MON,00:34:00,204,1,1710,204.0,1.14,1713.04
CONFLUENCE,2011-03-07,MON,00:39:00,292,1,1739,292.0,1.14,1736.61
CONFLUENCE,2011-03-07,MON,00:44:00,292,1,1736,292.0,1.14,1736.61
CONFLUENCE,2011-03-07,MON,00:49:00,204,1,1710,204.0,1.14,1713.04
CONFLUENCE,2011-03-07,MON,00:54:00,58,1,1737,58.0,1.14,1736.61
CONFLUENCE,2011-03-07,MON,00:59:00,204,1,1735,204.0,1.14,1736.61
CONFLUENCE,2011-03-07,MON,01:04:00,292,1,1733,292.0,1.14,1729.46
CONFLUENCE,2011-03-07,MON,01:09:00,117,1,1741,117.0,1.14,1741.62
CONFLUENCE,2011-03-07,MON,01:14:00,58,1,1735,58.0,1.14,1736.61
CONFLUENCE,2011-03-07,MON,01:19:00,117,1,1711,117.0,1.14,1713.04
CONFLUENCE,2011-03-07,MON,01:24:00,146,1,1740,146.0,1.14,1741.62
CONFLUENCE,2011-03-07,MON,01:29:00,117,7,1738,117.0,9.06,1736.61
CONFLUENCE,2011-03-07,MON,01:34:00,204,1,1710,204.0,1.14,1713.04
CONFLUENCE,2011-03-07,MON,01:39:00,439,1,1739,439.0,1.14,1736.61
CONFLUENCE,2011-03-07,MON,01:44:00,234,1,1736,234.0,1.14,1736.61
CONFLUENCE,2011-03-07,MON,01:49:00,234,1,1711,234.0,1.14,1713.04
CONFLUENCE,2011-03-07,MON,01:54:00,58,1,1739,58.0,1.14,1736.61
CONFLUENCE,2011-03-07,MON,01:59:00,234,1,1737,234.0,1.14,1736.61
CONFLUENCE,2011-03-07,MON,02:04:00,58,1,1721,58.0,1.14,1720.91
CONFLUENCE,2011-03-07,MON,02:09:00,117,1,1750,117.0,1.14,1751.21
CONFLUENCE,2011-03-07,MON,02:14:00,117,1,1746,117.0,1.14,1746.52
CONFLUENCE,2011-03-07,MON,02:19:00,321,1,1751,321.0,1.14,1751.21
CONFLUENCE,2011-03-07,MON,02:24:00,204,1,1750,204.0,1.14,1751.21
CONFLUENCE,2011-03-07,MON,02:29:00,204,1,1749,204.0,1.14,1751.21
