NAME,DATE,WEEKDAY,TIME,CPU,BW,MEM,CPU_D,BW_D,MEM_D
CSAPPS1,2011-03-07,MON,00:29:00,556,16,601,556.0,16.35,601.49
CSAPPS1,2011-03-07,MON,00:34:00,468,34,603,468.0,43.53,603.0
CSAPPS1,2011-03-07,MON,00:39:00,468,28,603,468.0,16.35,603.0
CSAPPS1,2011-03-07,MON,00:44:00,439,7,602,439.0,16.35,601.49
CSAPPS1,2011-03-07,MON,00:49:00,643,53,601,643.0,43.53,601.49
CSAPPS1,2011-03-07,MON,00:54:00,556,50,604,556.0,43.53,604.0
CSAPPS1,2011-03-07,MON,00:59:00,702,34,601,702.0,43.53,601.49
CSAPPS1,2011-03-07,MON,01:04:00,702,55,618,702.0,43.53,618.0
CSAPPS1,2011-03-07,MON,01:09:00,614,92,614,614.0,76.18,614.0
CSAPPS1,2011-03-07,MON,01:14:00,292,69,614,292.0,76.18,614.0
CSAPPS1,2011-03-07,MON,01:19:00,468,79,590,468.0,76.18,590.88
CSAPPS1,2011-03-07,MON,01:24:00,380,65,572,380.0,76.18,572.5
CSAPPS1,2011-03-07,MON,01:29:00,380,49,569,380.0,43.53,568.51
CSAPPS1,2011-03-07,MON,01:34:00,321,13,570,321.0,16.35,570.55
CSAPPS1,2011-03-07,MON,01:39:00,117,5,569,117.0,16.35,568.51
CSAPPS1,2011-03-07,MON,01:44:00,380,38,569,380.0,43.53,568.51
CSAPPS1,2011-03-07,MON,01:49:00,380,49,567,380.0,43.53,566.43
CSAPPS1,2011-03-07,MON,01:54:00,321,36,571,321.0,43.53,570.55
CSAPPS1,2011-03-07,MON,01:59:00,556,63,569,556.0,76.18,568.51
CSAPPS1,2011-03-07,MON,02:04:00,380,24,571,380.0,16.35,570.55
CSAPPS1,2011-03-07,MON,02:09:00,1522,12,571,1534.82,16.35,570.55
CSAPPS1,2011-03-07,MON,02:14:00,292,5,571,292.0,16.35,570.55
CSAPPS1,2011-03-07,MON,02:19:00,439,48,571,439.0,43.53,570.55
CSAPPS1,2011-03-07,MON,02:24:00,439,56,574,439.0,43.53,574.49
CSAPPS1,2011-03-07,MON,02:29:00,468,59,575,468.0,43.53,574.49
CSAPPS1,2011-03-07,MON,02:34:00,380,95,576,380.0,76.18,576.0
CSAPPS1,2011-03-07,MON,02:39:00,614,92,576,614.0,76.18,576.0
CSAPPS1,2011-03-07,MON,02:44:00,321,17,575,321.0,16.35,574.49
CSAPPS1,2011-03-07,MON,02:49:00,468,15,573,468.0,16.35,572.5
CSAPPS1,2011-03-07,MON,02:54:00,380,55,576,380.0,43.53,576.0
CSAPPS1,2011-03-07,MON,02:59:00,321,54,574,321.0,43.53,574.49
CSAPPS1,2011-03-07,MON,03:04:00,380,40,575,380.0,43.53,574.49
CSAPPS1,2011-03-07,MON,03:09:00,526,34,576,526.0,43.53,576.0
CSAPPS1,2011-03-07,MON,03:14:00,380,39,576,380.0,43.53,576.0
CSAPPS1,2011-03-07,MON,03:19:00,380,52,575,380.0,43.53,574.49
CSAPPS1,2011-03-07,MON,03:24:00,439,58,594,439.0,43.53,595.08
CSAPPS1,2011-03-07,MON,03:29:00,731,33,576,731.0,43.53,576.0
CSAPPS1,2011-03-07,MON,03:34:00,380,29,576,380.0,16.35,576.0
CSAPPS1,2011-03-07,MON,03:39:00,526,5,576,526.0,16.35,576.0
CSAPPS1,2011-03-07,MON,03:44:00,380,62,576,380.0,76.18,576.0
CSAPPS1,2011-03-07,MON,03:49:00,439,34,574,439.0,43.53,574.49
CSAPPS1,2011-03-07,MON,03:54:00,439,59,579,439.0,43.53,578.55
CSAPPS1,2011-03-07,MON,03:59:00,439,79,577,439.0,76.18,577.0
CSAPPS1,2011-03-07,MON,04:04:00,468,89,578,468.0,76.18,578.55
CSAPPS1,2011-03-07,MON,04:09:00,380,62,581,380.0,76.18,580.51
CSAPPS1,2011-03-07,MON,04:14:00,321,84,581,321.0,76.18,580.51
CSAPPS1,2011-03-07,MON,04:19:00,439,56,580,439.0,43.53,580.51
