NAME,DATE,WEEKDAY,TIME,CPU,BW,MEM,CPU_D,BW_D,MEM_D
DSA-FSRV,2011-03-07,MON,00:29:00,58,16,1658,58.0,12.59,1654.43
DSA-FSRV,2011-03-07,MON,00:34:00,58,5,1656,58.0,12.59,1654.43
DSA-FSRV,2011-03-07,MON,00:39:00,58,5,1662,58.0,12.59,1666.65
DSA-FSRV,2011-03-07,MON,00:44:00,58,4,1657,58.0,12.59,1654.43
DSA-FSRV,2011-03-07,MON,00:49:00,117,4,1656,117.0,12.59,1654.43
DSA-FSRV,2011-03-07,MON,00:54:00,58,12,1655,58.0,12.59,1654.43
DSA-FSRV,2011-03-07,MON,00:59:00,58,4,1657,58.0,12.59,1654.43
DSA-FSRV,2011-03-07,MON,01:04:00,58,6,1686,58.0,12.59,1688.6
DSA-FSRV,2011-03-07,MON,01:09:00,58,11,1656,58.0,12.59,1654.43
DSA-FSRV,2011-03-07,MON,01:14:00,58,5,1656,58.0,12.59,1654.43
DSA-FSRV,2011-03-07,MON,01:19:00,58,4,1657,58.0,12.59,1654.43
DSA-FSRV,2011-03-07,MON,01:24:00,58,5,1658,58.0,12.59,1654.43
DSA-FSRV,2011-03-07,MON,01:29:00,117,4,1658,117.0,12.59,1654.43
DSA-FSRV,2011-03-07,MON,01:34:00,58,5,1658,58.0,12.59,1654.43
DSA-FSRV,2011-03-07,MON,01:39:00,58,4,1657,58.0,12.59,1654.43
DSA-FSRV,2011-03-07,MON,01:44:00,1229,244,1692,1260.96,263.08,1688.6
DSA-FSRV,2011-03-07,MON,01:49:00,3219,607,1726,3456.5,572.45,1727.6
DSA-FSRV,2011-03-07,MON,01:54:00,1931,135,1817,1896.04,157.66,1817.0
DSA-FSRV,2011-03-07,MON,01:59:00,2224,118,1846,2549.31,86.23,1845.39
DSA-FSRV,2011-03-07,MON,02:04:00,878,234,1854,878.0,217.04,1854.03
DSA-FSRV,2011-03-07,MON,02:09:00,1112,374,1878,1112.0,380.75,1878.0
DSA-FSRV,2011-03-07,MON,02:14:00,761,96,1762,761.0,86.23,1762.5
DSA-FSRV,2011-03-07,MON,02:19:00,409,103,1786,409.0,86.23,1786.0
DSA-FSRV,2011-03-07,MON,02:24:00,1229,98,1825,1260.96,86.23,1825.53
DSA-FSRV,2011-03-07,MON,02:29:00,585,125,1833,585.0,86.23,1833.41
DSA-FSRV,2011-03-07,MON,02:34:00,4975,107,1854,4561.12,86.23,1854.03
DSA-FSRV,2011-03-07,MON,02:39:00,4214,111,1855,4561.12,86.23,1854.03
DSA-FSRV,2011-03-07,MON,02:44:00,117,121,1857,117.0,86.23,1856.81
DSA-FSRV,2011-03-07,MON,02:49:00,468,104,1871,468.0,86.23,1872.12
DSA-FSRV,2011-03-07,MON,02:54:00,5268,152,1883,4561.12,157.66,1883.55
DSA-FSRV,2011-03-07,MON,02:59:00,1053,102,1887,1053.0,86.23,1885.93
DSA-FSRV,2011-03-07,MON,03:04:00,4800,145,1902,4561.12,157.66,1900.9
DSA-FSRV,2011-03-07,MON,03:09:00,1053,149,1920,1053.0,157.66,1918.98
DSA-FSRV,2011-03-07,MON,03:14:00,4975,144,1925,4561.12,157.66,1925.07
DSA-FSRV,2011-03-07,MON,03:19:00,585,139,1947,585.0,157.66,1946.34
DSA-FSRV,2011-03-07,MON,03:24:00,1112,157,1935,1112.0,157.66,1937.8
DSA-FSRV,2011-03-07,MON,03:29:00,4331,218,1933,4561.12,217.04,1931.24
DSA-FSRV,2011-03-07,MON,03:34:00,3512,4352,1785,3456.5,4279.63,1784.55
DSA-FSRV,2011-03-07,MON,03:39:00,3044,5931,1744,3456.5,5852.1,1745.53
DSA-FSRV,2011-03-07,MON,03:44:00,234,815,1741,234.0,792.58,1741.12
DSA-FSRV,2011-03-07,MON,03:49:00,585,3682,1746,585.0,3619.57,1745.53
DSA-FSRV,2011-03-07,MON,03:54:00,4975,1676,1748,4561.12,1657.09,1748.51
DSA-FSRV,2011-03-07,MON,03:59:00,3980,4187,1745,4561.12,4279.63,1745.53
DSA-FSRV,2011-03-07,MON,04:04:00,234,3004,1759,234.0,3014.26,1759.0
DSA-FSRV,2011-03-07,MON,04:09:00,58,3568,1658,58.0,3619.57,1654.43
DSA-FSRV,2011-03-07,MON,04:14:00,58,13,1647,58.0,12.59,1654.43
DSA-FSRV,2011-03-07,MON,04:19:00,409,4,1646,409.0,12.59,1654.43
DSA-FSRV,2011-03-07,MON,04:24:00,58,4,1645,58.0,12.59,1637.33
DSA-FSRV,2011-03-07,MON,04:29:00,58,4,1652,58.0,12.59,1654.43
DSA-FSRV,2011-03-07,MON,04:34:00,58,5,1643,58.0,12.59,1637.33
DSA-FSRV,2011-03-07,MON,04:39:00,117,111,1661,117.0,86.23,1666.65
DSA-FSRV,2011-03-07,MON,04:44:00,58,100,1671,58.0,86.23,1673.71
DSA-FSRV,2011-03-07,MON,04:49:00,58,4,1669,58.0,12.59,1666.65
DSA-FSRV,2011-03-07,MON,04:54:00,643,5,1692,643.0,12.59,1688.6
DSA-FSRV,2011-03-07,MON,04:59:00,58,9,1669,58.0,12.59,1666.65
DSA-FSRV,2011-03-07,MON,05:04:00,58,6,1669,58.0,12.59,1666.65
DSA-FSRV,2011-03-07,MON,05:09:00,58,4,1669,58.0,12.59,1666.65
DSA-FSRV,2011-03-07,MON,05:14:00,58,7,1680,58.0,12.59,1677.69
DSA-FSRV,2011-03-07,MON,05:19:00,58,4,1674,58.0,12.59,1673.71
DSA-FSRV,2011-03-07,MON,05:24:00,58,10,1674,58.0,12.59,1673.71
DSA-FSRV,2011-03-07,MON,05:29:00,58,4,1676,58.0,12.59,1677.69
DSA-FSRV,2011-03-07,MON,05:34:00,58,5,1675,58.0,12.59,1673.71
DSA-FSRV,2011-03-07,MON,05:39:00,58,4,1674,58.0,12.59,1673.71
DSA-FSRV,2011-03-07,MON,05:44:00,58,12,1676,58.0,12.59,1677.69
DSA-FSRV,2011-03-07,MON,05:49:00,58,4,1679,58.0,12.59,1677.69
DSA-FSRV,2011-03-07,MON,05:54:00,58,4,1673,58.0,12.59,1673.71
DSA-FSRV,2011-03-07,MON,05:59:00,58,35,1677,58.0,12.59,1677.69
DSA-FSRV,2011-03-07,MON,06:04:00,58,5,1678,58.0,12.59,1677.69
DSA-FSRV,2011-03-07,MON,06:09:00,58,4,1706,58.0,12.59,1704.58
DSA-FSRV,2011-03-07,MON,06:14:00,58,5,1674,58.0,12.59,1673.71
DSA-FSRV,2011-03-07,MON,06:19:00,58,139,1676,58.0,157.66,1677.69
DSA-FSRV,2011-03-07,MON,06:24:00,58,7,1680,58.0,12.59,1677.69
DSA-FSRV,2011-03-07,MON,06:29:00,58,4,1682,58.0,12.59,1683.13
DSA-FSRV,2011-03-07,MON,06:34:00,58,13,1680,58.0,12.59,1677.69
DSA-FSRV,2011-03-07,MON,06:39:00,117,6,1683,117.0,12.59,1683.13
DSA-FSRV,2011-03-07,MON,06:44:00,117,5,1685,117.0,12.59,1683.13
DSA-FSRV,2011-03-07,MON,06:49:00,58,4,1679,58.0,12.59,1677.69
DSA-FSRV,2011-03-07,MON,06:54:00,58,10,1670,58.0,12.59,1666.65
DSA-FSRV,2011-03-07,MON,06:59:00,58,19,1675,58.0,12.59,1673.71
DSA-FSRV,2011-03-07,MON,07:04:00,58,22,1675,58.0,12.59,1673.71
DSA-FSRV,2011-03-07,MON,07:09:00,58,8,1678,58.0,12.59,1677.69
DSA-FSRV,2011-03-07,MON,07:14:00,58,5,1679,58.0,12.59,1677.69
DSA-FSRV,2011-03-07,MON,07:19:00,58,14,1684,58.0,12.59,1683.13
DSA-FSRV,2011-03-07,MON,07:24:00,58,12,1683,58.0,12.59,1683.13
DSA-FSRV,2011-03-07,MON,07:29:00,58,465,1681,58.0,437.24,1683.13
DSA-FSRV,2011-03-07,MON,07:34:00,234,17,1675,234.0,12.59,1673.71
DSA-FSRV,2011-03-07,MON,07:39:00,58,7,1677,58.0,12.59,1677.69
DSA-FSRV,2011-03-07,MON,07:44:00,58,6,1676,58.0,12.59,1677.69
DSA-FSRV,2011-03-07,MON,07:49:00,58,5,1675,58.0,12.59,1673.71
DSA-FSRV,2011-03-07,MON,07:54:00,58,5,1674,58.0,12.59,1673.71
DSA-FSRV,2011-03-07,MON,07:59:00,58,22,1678,58.0,12.59,1677.69
DSA-FSRV,2011-03-07,MON,08:04:00,58,17,1681,58.0,12.59,1683.13
DSA-FSRV,2011-03-07,MON,08:09:00,58,83,1682,58.0,86.23,1683.13
DSA-FSRV,2011-03-07,MON,08:14:00,58,101,1683,58.0,86.23,1683.13
DSA-FSRV,2011-03-07,MON,08:19:00,58,52,1685,58.0,86.23,1683.13
DSA-FSRV,2011-03-07,MON,08:24:00,58,18,1685,58.0,12.59,1683.13
DSA-FSRV,2011-03-07,MON,08:29:00,58,28,1723,58.0,12.59,1719.43
DSA-FSRV,2011-03-07,MON,08:34:00,58,99,1683,58.0,86.23,1683.13
DSA-FSRV,2011-03-07,MON,08:39:00,234,231,1688,234.0,217.04,1688.6
DSA-FSRV,2011-03-07,MON,08:44:00,58,39,1688,58.0,12.59,1688.6
DSA-FSRV,2011-03-07,MON,08:49:00,117,75,1686,117.0,86.23,1688.6
DSA-FSRV,2011-03-07,MON,08:54:00,58,38,1687,58.0,12.59,1688.6
DSA-FSRV,2011-03-07,MON,08:59:00,58,39,1689,58.0,12.59,1688.6
DSA-FSRV,2011-03-07,MON,09:04:00,58,58,1693,58.0,86.23,1697.18
DSA-FSRV,2011-03-07,MON,09:09:00,58,38,1699,58.0,12.59,1697.18
DSA-FSRV,2011-03-07,MON,09:14:00,117,82,1698,117.0,86.23,1697.18
DSA-FSRV,2011-03-07,MON,09:19:00,58,123,1711,58.0,86.23,1712.4
DSA-FSRV,2011-03-07,MON,09:24:00,117,59,1716,117.0,86.23,1719.43
DSA-FSRV,2011-03-07,MON,09:29:00,58,55,1716,58.0,86.23,1719.43
DSA-FSRV,2011-03-07,MON,09:34:00,292,44,1720,292.0,12.59,1719.43
DSA-FSRV,2011-03-07,MON,09:39:00,58,17,1725,58.0,12.59,1727.6
DSA-FSRV,2011-03-07,MON,09:44:00,58,192,1729,58.0,217.04,1727.6
DSA-FSRV,2011-03-07,MON,09:49:00,58,125,1712,58.0,86.23,1712.4
DSA-FSRV,2011-03-07,MON,09:54:00,468,31,1720,468.0,12.59,1719.43
DSA-FSRV,2011-03-07,MON,09:59:00,234,33,1754,234.0,12.59,1754.0
DSA-FSRV,2011-03-07,MON,10:04:00,58,12,1723,58.0,12.59,1719.43
DSA-FSRV,2011-03-07,MON,10:09:00,58,56,1742,58.0,86.23,1741.12
DSA-FSRV,2011-03-07,MON,10:14:00,585,70,1753,585.0,86.23,1752.41
DSA-FSRV,2011-03-07,MON,10:19:00,117,47,1752,117.0,12.59,1752.41
DSA-FSRV,2011-03-07,MON,10:24:00,58,71,1749,58.0,86.23,1748.51
DSA-FSRV,2011-03-07,MON,10:29:00,58,50,1755,58.0,12.59,1755.46
DSA-FSRV,2011-03-07,MON,10:34:00,58,56,1754,58.0,86.23,1754.0
DSA-FSRV,2011-03-07,MON,10:39:00,58,29,1755,58.0,12.59,1755.46
DSA-FSRV,2011-03-07,MON,10:44:00,117,172,1768,117.0,157.66,1768.0
DSA-FSRV,2011-03-07,MON,10:49:00,58,224,1753,58.0,217.04,1752.41
DSA-FSRV,2011-03-07,MON,10:54:00,58,48,1749,58.0,12.59,1748.51
DSA-FSRV,2011-03-07,MON,10:59:00,58,12,1756,58.0,12.59,1755.46
DSA-FSRV,2011-03-07,MON,11:04:00,58,6,1755,58.0,12.59,1755.46
DSA-FSRV,2011-03-07,MON,11:09:00,58,10,1756,58.0,12.59,1755.46
DSA-FSRV,2011-03-07,MON,11:14:00,117,35,1759,117.0,12.59,1759.0
DSA-FSRV,2011-03-07,MON,11:19:00,58,92,1759,58.0,86.23,1759.0
DSA-FSRV,2011-03-07,MON,11:24:00,58,483,1754,58.0,498.93,1754.0
DSA-FSRV,2011-03-07,MON,11:29:00,58,15,1745,58.0,12.59,1745.53
DSA-FSRV,2011-03-07,MON,11:34:00,58,12,1770,58.0,12.59,1771.08
DSA-FSRV,2011-03-07,MON,11:39:00,58,17,1743,58.0,12.59,1741.12
DSA-FSRV,2011-03-07,MON,11:44:00,58,71,1747,58.0,86.23,1745.53
DSA-FSRV,2011-03-07,MON,11:49:00,58,29,1751,58.0,12.59,1750.46
DSA-FSRV,2011-03-07,MON,11:54:00,58,9,1750,58.0,12.59,1750.46
DSA-FSRV,2011-03-07,MON,11:59:00,117,20,1751,117.0,12.59,1750.46
DSA-FSRV,2011-03-07,MON,12:04:00,58,89,1757,58.0,86.23,1757.47
DSA-FSRV,2011-03-07,MON,12:09:00,58,94,1755,58.0,86.23,1755.46
DSA-FSRV,2011-03-07,MON,12:14:00,58,325,1760,58.0,333.58,1760.48
DSA-FSRV,2011-03-07,MON,12:19:00,58,245,1762,58.0,263.08,1762.5
DSA-FSRV,2011-03-07,MON,12:24:00,117,480,1762,117.0,498.93,1762.5
DSA-FSRV,2011-03-07,MON,12:29:00,58,796,1757,58.0,792.58,1757.47
DSA-FSRV,2011-03-07,MON,12:34:00,58,101,1756,58.0,86.23,1755.46
DSA-FSRV,2011-03-07,MON,12:39:00,58,7,1744,58.0,12.59,1745.53
DSA-FSRV,2011-03-07,MON,12:44:00,234,109,1750,234.0,86.23,1750.46
DSA-FSRV,2011-03-07,MON,12:49:00,58,196,1756,58.0,217.04,1755.46
DSA-FSRV,2011-03-07,MON,12:54:00,58,101,1754,58.0,86.23,1754.0
DSA-FSRV,2011-03-07,MON,12:59:00,58,67,1755,58.0,86.23,1755.46
DSA-FSRV,2011-03-07,MON,13:04:00,58,38,1756,58.0,12.59,1755.46
DSA-FSRV,2011-03-07,MON,13:09:00,292,8,1758,292.0,12.59,1757.47
DSA-FSRV,2011-03-07,MON,13:14:00,58,7,1762,58.0,12.59,1762.5
DSA-FSRV,2011-03-07,MON,13:19:00,58,14,1769,58.0,12.59,1768.0
DSA-FSRV,2011-03-07,MON,13:24:00,58,10,1762,58.0,12.59,1762.5
DSA-FSRV,2011-03-07,MON,13:29:00,58,52,1769,58.0,86.23,1768.0
DSA-FSRV,2011-03-07,MON,13:34:00,58,22,1760,58.0,12.59,1760.48
DSA-FSRV,2011-03-07,MON,13:39:00,58,10,1751,58.0,12.59,1750.46
DSA-FSRV,2011-03-07,MON,13:44:00,58,13,1754,58.0,12.59,1754.0
DSA-FSRV,2011-03-07,MON,13:49:00,58,48,1774,58.0,12.59,1773.93
DSA-FSRV,2011-03-07,MON,13:54:00,58,41,1755,58.0,12.59,1755.46
DSA-FSRV,2011-03-07,MON,13:59:00,58,51,1761,58.0,86.23,1760.48
DSA-FSRV,2011-03-07,MON,14:04:00,58,255,1764,58.0,263.08,1764.49
DSA-FSRV,2011-03-07,MON,14:09:00,234,707,1758,234.0,719.58,1757.47
DSA-FSRV,2011-03-07,MON,14:14:00,58,715,1753,58.0,719.58,1752.41
DSA-FSRV,2011-03-07,MON,14:19:00,58,701,1754,58.0,719.58,1754.0
DSA-FSRV,2011-03-07,MON,14:24:00,58,360,1752,58.0,380.75,1752.41
DSA-FSRV,2011-03-07,MON,14:29:00,58,15,1757,58.0,12.59,1757.47
DSA-FSRV,2011-03-07,MON,14:34:00,58,50,1726,58.0,12.59,1727.6
DSA-FSRV,2011-03-07,MON,14:39:00,58,10,1724,58.0,12.59,1727.6
DSA-FSRV,2011-03-07,MON,14:44:00,58,18,1723,58.0,12.59,1719.43
DSA-FSRV,2011-03-07,MON,14:49:00,58,42,1727,58.0,12.59,1727.6
DSA-FSRV,2011-03-07,MON,14:54:00,58,16,1725,58.0,12.59,1727.6
