NAME,DATE,WEEKDAY,TIME,CPU,BW,MEM,CPU_D,BW_D,MEM_D
DSA-PRQ-01,2011-03-07,MON,00:29:00,292,16,299,292.0,15.92,298.54
DSA-PRQ-01,2011-03-07,MON,00:34:00,204,1,300,204.0,1.82,300.51
DSA-PRQ-01,2011-03-07,MON,00:39:00,380,1,304,380.0,1.82,303.55
DSA-PRQ-01,2011-03-07,MON,00:44:00,58,1,303,58.0,1.82,303.55
DSA-PRQ-01,2011-03-07,MON,00:49:00,29,1,303,29.0,1.82,303.55
DSA-PRQ-01,2011-03-07,MON,00:54:00,146,1,321,146.0,1.82,320.06
DSA-PRQ-01,2011-03-07,MON,00:59:00,204,1,295,204.0,1.82,294.5
DSA-PRQ-01,2011-03-07,MON,01:04:00,204,1,304,204.0,1.82,303.55
DSA-PRQ-01,2011-03-07,MON,01:09:00,234,1,304,234.0,1.82,303.55
DSA-PRQ-01,2011-03-07,MON,01:14:00,204,1,304,204.0,1.82,303.55
DSA-PRQ-01,2011-03-07,MON,01:19:00,204,1,303,204.0,1.82,303.55
DSA-PRQ-01,2011-03-07,MON,01:24:00,146,1,303,146.0,1.82,303.55
DSA-PRQ-01,2011-03-07,MON,01:29:00,58,1,304,58.0,1.82,303.55
DSA-PRQ-01,2011-03-07,MON,01:34:00,204,1,304,204.0,1.82,303.55
DSA-PRQ-01,2011-03-07,MON,01:39:00,146,1,304,146.0,1.82,303.55
DSA-PRQ-01,2011-03-07,MON,01:44:00,146,1,304,146.0,1.82,303.55
DSA-PRQ-01,2011-03-07,MON,01:49:00,234,1,305,234.0,1.82,305.0
DSA-PRQ-01,2011-03-07,MON,01:54:00,204,1,308,204.0,1.82,308.0
DSA-PRQ-01,2011-03-07,MON,01:59:00,146,1,296,146.0,1.82,296.51
DSA-PRQ-01,2011-03-07,MON,02:04:00,146,1,297,146.0,1.82,296.51
DSA-PRQ-01,2011-03-07,MON,02:09:00,29,1,304,29.0,1.82,303.55
DSA-PRQ-01,2011-03-07,MON,02:14:00,292,1,304,292.0,1.82,303.55
