NAME,DATE,WEEKDAY,TIME,CPU,BW,MEM,CPU_D,BW_D,MEM_D
ENMG-FSRV,2011-03-07,MON,00:29:00,58,16,1441,58.0,129.47,1439.27
ENMG-FSRV,2011-03-07,MON,00:34:00,292,17,1437,292.0,129.47,1439.27
ENMG-FSRV,2011-03-07,MON,00:39:00,58,2,1442,58.0,129.47,1439.27
ENMG-FSRV,2011-03-07,MON,00:44:00,117,3,1439,117.0,129.47,1439.27
ENMG-FSRV,2011-03-07,MON,00:49:00,58,20,1438,58.0,129.47,1439.27
ENMG-FSRV,2011-03-07,MON,00:54:00,58,2,1438,58.0,129.47,1439.27
ENMG-FSRV,2011-03-07,MON,00:59:00,58,5,1439,58.0,129.47,1439.27
ENMG-FSRV,2011-03-07,MON,01:04:00,117,7,1479,117.0,129.47,1482.47
ENMG-FSRV,2011-03-07,MON,01:09:00,58,2,1446,58.0,129.47,1439.27
ENMG-FSRV,2011-03-07,MON,01:14:00,58,2,1446,58.0,129.47,1439.27
ENMG-FSRV,2011-03-07,MON,01:19:00,58,22,1444,58.0,129.47,1439.27
ENMG-FSRV,2011-03-07,MON,01:24:00,58,5,1445,58.0,129.47,1439.27
ENMG-FSRV,2011-03-07,MON,01:29:00,58,4,1446,58.0,129.47,1439.27
ENMG-FSRV,2011-03-07,MON,01:34:00,58,11,1445,58.0,129.47,1439.27
ENMG-FSRV,2011-03-07,MON,01:39:00,234,2,1444,234.0,129.47,1439.27
ENMG-FSRV,2011-03-07,MON,01:44:00,58,3,1441,58.0,129.47,1439.27
ENMG-FSRV,2011-03-07,MON,01:49:00,58,23,1444,58.0,129.47,1439.27
ENMG-FSRV,2011-03-07,MON,01:54:00,58,2,1439,58.0,129.47,1439.27
ENMG-FSRV,2011-03-07,MON,01:59:00,58,4,1446,58.0,129.47,1439.27
ENMG-FSRV,2011-03-07,MON,02:04:00,58,6,1445,58.0,129.47,1439.27
ENMG-FSRV,2011-03-07,MON,02:09:00,58,3,1445,58.0,129.47,1439.27
ENMG-FSRV,2011-03-07,MON,02:14:00,58,3,1447,58.0,129.47,1452.75
ENMG-FSRV,2011-03-07,MON,02:19:00,58,20,1445,58.0,129.47,1439.27
ENMG-FSRV,2011-03-07,MON,02:24:00,58,4,1444,58.0,129.47,1439.27
ENMG-FSRV,2011-03-07,MON,02:29:00,58,5,1444,58.0,129.47,1439.27
ENMG-FSRV,2011-03-07,MON,02:34:00,58,17,1438,58.0,129.47,1439.27
ENMG-FSRV,2011-03-07,MON,02:39:00,58,2,1441,58.0,129.47,1439.27
ENMG-FSRV,2011-03-07,MON,02:44:00,117,2,1436,117.0,129.47,1439.27
ENMG-FSRV,2011-03-07,MON,02:49:00,1287,20,1702,1287.0,129.47,1700.48
ENMG-FSRV,2011-03-07,MON,02:54:00,58,2,1509,58.0,129.47,1512.92
ENMG-FSRV,2011-03-07,MON,02:59:00,58,4,1442,58.0,129.47,1439.27
ENMG-FSRV,2011-03-07,MON,03:04:00,58,17,1440,58.0,129.47,1439.27
ENMG-FSRV,2011-03-07,MON,03:09:00,58,2,1442,58.0,129.47,1439.27
ENMG-FSRV,2011-03-07,MON,03:14:00,58,2,1440,58.0,129.47,1439.27
ENMG-FSRV,2011-03-07,MON,03:19:00,58,22,1444,58.0,129.47,1439.27
ENMG-FSRV,2011-03-07,MON,03:24:00,58,3,1444,58.0,129.47,1439.27
ENMG-FSRV,2011-03-07,MON,03:29:00,58,2,1445,58.0,129.47,1439.27
ENMG-FSRV,2011-03-07,MON,03:34:00,58,17,1443,58.0,129.47,1439.27
ENMG-FSRV,2011-03-07,MON,03:39:00,58,2,1443,58.0,129.47,1439.27
ENMG-FSRV,2011-03-07,MON,03:44:00,58,2,1443,58.0,129.47,1439.27
ENMG-FSRV,2011-03-07,MON,03:49:00,58,22,1438,58.0,129.47,1439.27
ENMG-FSRV,2011-03-07,MON,03:54:00,234,4,1443,234.0,129.47,1439.27
ENMG-FSRV,2011-03-07,MON,03:59:00,58,2,1442,58.0,129.47,1439.27
ENMG-FSRV,2011-03-07,MON,04:04:00,58,20,1443,58.0,129.47,1439.27
ENMG-FSRV,2011-03-07,MON,04:09:00,58,2,1443,58.0,129.47,1439.27
ENMG-FSRV,2011-03-07,MON,04:14:00,58,3,1438,58.0,129.47,1439.27
ENMG-FSRV,2011-03-07,MON,04:19:00,58,17,1444,58.0,129.47,1439.27
ENMG-FSRV,2011-03-07,MON,04:24:00,58,2,1443,58.0,129.47,1439.27
ENMG-FSRV,2011-03-07,MON,04:29:00,58,4,1446,58.0,129.47,1439.27
ENMG-FSRV,2011-03-07,MON,04:34:00,58,22,1438,58.0,129.47,1439.27
ENMG-FSRV,2011-03-07,MON,04:39:00,58,4,1444,58.0,129.47,1439.27
ENMG-FSRV,2011-03-07,MON,04:44:00,58,87,1460,58.0,129.47,1464.18
ENMG-FSRV,2011-03-07,MON,04:49:00,58,202,1475,58.0,129.47,1474.04
ENMG-FSRV,2011-03-07,MON,04:54:00,58,70,1505,58.0,129.47,1501.28
ENMG-FSRV,2011-03-07,MON,04:59:00,58,4,1482,58.0,129.47,1482.47
ENMG-FSRV,2011-03-07,MON,05:04:00,409,17,1482,409.0,129.47,1482.47
ENMG-FSRV,2011-03-07,MON,05:09:00,58,2,1484,58.0,129.47,1482.47
ENMG-FSRV,2011-03-07,MON,05:14:00,58,5503,1442,58.0,5322.08,1439.27
ENMG-FSRV,2011-03-07,MON,05:19:00,58,22,1438,58.0,129.47,1439.27
ENMG-FSRV,2011-03-07,MON,05:24:00,58,82,414,58.0,129.47,368.72
ENMG-FSRV,2011-03-07,MON,05:29:00,58,3,435,58.0,129.47,368.72
ENMG-FSRV,2011-03-07,MON,05:34:00,58,8,438,58.0,129.47,368.72
ENMG-FSRV,2011-03-07,MON,05:39:00,58,10,450,58.0,129.47,504.78
ENMG-FSRV,2011-03-07,MON,05:44:00,58,5003,454,58.0,5322.08,504.78
ENMG-FSRV,2011-03-07,MON,05:49:00,58,19,456,58.0,129.47,504.78
ENMG-FSRV,2011-03-07,MON,05:54:00,117,3549,456,117.0,3077.12,504.78
ENMG-FSRV,2011-03-07,MON,05:59:00,58,3750,458,58.0,3077.12,504.78
ENMG-FSRV,2011-03-07,MON,06:04:00,58,22,459,58.0,129.47,504.78
ENMG-FSRV,2011-03-07,MON,06:09:00,292,53,496,292.0,129.47,504.78
ENMG-FSRV,2011-03-07,MON,06:14:00,58,21,490,58.0,129.47,504.78
ENMG-FSRV,2011-03-07,MON,06:19:00,58,22,492,58.0,129.47,504.78
ENMG-FSRV,2011-03-07,MON,06:24:00,58,4,495,58.0,129.47,504.78
ENMG-FSRV,2011-03-07,MON,06:29:00,58,8,497,58.0,129.47,504.78
ENMG-FSRV,2011-03-07,MON,06:34:00,117,37,499,117.0,129.47,504.78
ENMG-FSRV,2011-03-07,MON,06:39:00,58,18,534,58.0,129.47,504.78
ENMG-FSRV,2011-03-07,MON,06:44:00,58,35,551,58.0,129.47,504.78
ENMG-FSRV,2011-03-07,MON,06:49:00,234,18,550,234.0,129.47,504.78
ENMG-FSRV,2011-03-07,MON,06:54:00,58,1674,558,58.0,1340.07,504.78
ENMG-FSRV,2011-03-07,MON,06:59:00,117,3383,561,117.0,3077.12,602.12
ENMG-FSRV,2011-03-07,MON,07:04:00,58,56,556,58.0,129.47,504.78
ENMG-FSRV,2011-03-07,MON,07:09:00,58,15,559,58.0,129.47,504.78
ENMG-FSRV,2011-03-07,MON,07:14:00,58,8,562,58.0,129.47,602.12
ENMG-FSRV,2011-03-07,MON,07:19:00,58,36,573,58.0,129.47,602.12
ENMG-FSRV,2011-03-07,MON,07:24:00,58,41,597,58.0,129.47,602.12
ENMG-FSRV,2011-03-07,MON,07:29:00,58,56,632,58.0,129.47,602.12
ENMG-FSRV,2011-03-07,MON,07:34:00,58,289,639,58.0,129.47,602.12
ENMG-FSRV,2011-03-07,MON,07:39:00,58,27,647,58.0,129.47,673.11
ENMG-FSRV,2011-03-07,MON,07:44:00,58,18,652,58.0,129.47,673.11
ENMG-FSRV,2011-03-07,MON,07:49:00,58,23,706,58.0,129.47,673.11
ENMG-FSRV,2011-03-07,MON,07:54:00,58,19,706,58.0,129.47,673.11
