NAME,DATE,WEEKDAY,TIME,CPU,BW,MEM,CPU_D,BW_D,MEM_D
ENMG-PRQ-01,2011-03-07,MON,00:29:00,58,16,228,58.0,15.28,228.0
ENMG-PRQ-01,2011-03-07,MON,00:34:00,117,0,220,117.0,0.61,220.0
ENMG-PRQ-01,2011-03-07,MON,00:39:00,117,1,226,117.0,0.61,226.0
ENMG-PRQ-01,2011-03-07,MON,00:44:00,58,0,225,58.0,0.61,225.0
ENMG-PRQ-01,2011-03-07,MON,00:49:00,117,0,225,117.0,0.61,225.0
ENMG-PRQ-01,2011-03-07,MON,00:54:00,234,1,230,234.0,0.61,230.0
ENMG-PRQ-01,2011-03-07,MON,00:59:00,117,0,233,117.0,0.61,233.44
ENMG-PRQ-01,2011-03-07,MON,01:04:00,117,0,239,117.0,0.61,239.0
ENMG-PRQ-01,2011-03-07,MON,01:09:00,117,1,232,117.0,0.61,232.0
ENMG-PRQ-01,2011-03-07,MON,01:14:00,29,0,225,29.0,0.61,225.0
ENMG-PRQ-01,2011-03-07,MON,01:19:00,146,0,226,146.0,0.61,226.0
ENMG-PRQ-01,2011-03-07,MON,01:24:00,146,1,229,146.0,0.61,229.0
ENMG-PRQ-01,2011-03-07,MON,01:29:00,58,0,229,58.0,0.61,229.0
ENMG-PRQ-01,2011-03-07,MON,01:34:00,204,0,220,204.0,0.61,220.0
ENMG-PRQ-01,2011-03-07,MON,01:39:00,117,1,225,117.0,0.61,225.0
ENMG-PRQ-01,2011-03-07,MON,01:44:00,117,1,226,117.0,0.61,226.0
ENMG-PRQ-01,2011-03-07,MON,01:49:00,58,0,226,58.0,0.61,226.0
ENMG-PRQ-01,2011-03-07,MON,01:54:00,117,1,231,117.0,0.61,231.0
ENMG-PRQ-01,2011-03-07,MON,01:59:00,58,0,230,58.0,0.61,230.0
ENMG-PRQ-01,2011-03-07,MON,02:04:00,234,0,231,234.0,0.61,231.0
ENMG-PRQ-01,2011-03-07,MON,02:09:00,29,1,231,29.0,0.61,231.0
ENMG-PRQ-01,2011-03-07,MON,02:14:00,58,0,224,58.0,0.61,224.0
ENMG-PRQ-01,2011-03-07,MON,02:19:00,29,0,226,29.0,0.61,226.0
ENMG-PRQ-01,2011-03-07,MON,02:24:00,58,1,230,58.0,0.61,230.0
ENMG-PRQ-01,2011-03-07,MON,02:29:00,58,0,229,58.0,0.61,229.0
ENMG-PRQ-01,2011-03-07,MON,02:34:00,58,0,230,58.0,0.61,230.0
ENMG-PRQ-01,2011-03-07,MON,02:39:00,29,1,227,29.0,0.61,227.0
ENMG-PRQ-01,2011-03-07,MON,02:44:00,146,0,227,146.0,0.61,227.0
ENMG-PRQ-01,2011-03-07,MON,02:49:00,146,0,226,146.0,0.61,226.0
ENMG-PRQ-01,2011-03-07,MON,02:54:00,117,1,232,117.0,0.61,232.0
ENMG-PRQ-01,2011-03-07,MON,02:59:00,117,0,231,117.0,0.61,231.0
ENMG-PRQ-01,2011-03-07,MON,03:04:00,29,0,231,29.0,0.61,231.0
ENMG-PRQ-01,2011-03-07,MON,03:09:00,58,1,234,58.0,0.61,233.44
ENMG-PRQ-01,2011-03-07,MON,03:14:00,234,2030,295,234.0,2141.84,295.0
ENMG-PRQ-01,2011-03-07,MON,03:19:00,526,1655,283,491.04,2141.84,284.01
ENMG-PRQ-01,2011-03-07,MON,03:24:00,146,1,290,146.0,0.61,288.18
ENMG-PRQ-01,2011-03-07,MON,03:29:00,58,0,288,58.0,0.61,288.18
ENMG-PRQ-01,2011-03-07,MON,03:34:00,58,0,289,58.0,0.61,288.18
ENMG-PRQ-01,2011-03-07,MON,03:39:00,146,1,285,146.0,0.61,284.01
ENMG-PRQ-01,2011-03-07,MON,03:44:00,29,1,285,29.0,0.61,284.01
ENMG-PRQ-01,2011-03-07,MON,03:49:00,146,1,285,146.0,0.61,284.01
ENMG-PRQ-01,2011-03-07,MON,03:54:00,146,1,289,146.0,0.61,288.18
ENMG-PRQ-01,2011-03-07,MON,03:59:00,58,0,288,58.0,0.61,288.18
ENMG-PRQ-01,2011-03-07,MON,04:04:00,204,0,288,204.0,0.61,288.18
ENMG-PRQ-01,2011-03-07,MON,04:09:00,117,1,288,117.0,0.61,288.18
ENMG-PRQ-01,2011-03-07,MON,04:14:00,58,0,288,58.0,0.61,288.18
ENMG-PRQ-01,2011-03-07,MON,04:19:00,58,0,283,58.0,0.61,284.01
ENMG-PRQ-01,2011-03-07,MON,04:24:00,146,1,287,146.0,0.61,288.18
ENMG-PRQ-01,2011-03-07,MON,04:29:00,58,0,287,58.0,0.61,288.18
ENMG-PRQ-01,2011-03-07,MON,04:34:00,117,0,287,117.0,0.61,288.18
ENMG-PRQ-01,2011-03-07,MON,04:39:00,146,1,282,146.0,0.61,281.51
ENMG-PRQ-01,2011-03-07,MON,04:44:00,146,0,282,146.0,0.61,281.51
ENMG-PRQ-01,2011-03-07,MON,04:49:00,146,0,282,146.0,0.61,281.51
ENMG-PRQ-01,2011-03-07,MON,04:54:00,204,1,296,204.0,0.61,295.0
ENMG-PRQ-01,2011-03-07,MON,04:59:00,29,0,287,29.0,0.61,288.18
ENMG-PRQ-01,2011-03-07,MON,05:04:00,58,0,288,58.0,0.61,288.18
ENMG-PRQ-01,2011-03-07,MON,05:09:00,58,1,288,58.0,0.61,288.18
ENMG-PRQ-01,2011-03-07,MON,05:14:00,29,1,288,29.0,0.61,288.18
ENMG-PRQ-01,2011-03-07,MON,05:19:00,58,1,284,58.0,0.61,284.01
