NAME,DATE,WEEKDAY,TIME,CPU,BW,MEM,CPU_D,BW_D,MEM_D
ESF-FSRV,2011-03-07,MON,00:29:00,0,16,1458,0.0,107.97,1457.78
ESF-FSRV,2011-03-07,MON,00:34:00,0,30,1464,0.0,107.97,1462.75
ESF-FSRV,2011-03-07,MON,00:39:00,0,10,1463,0.0,107.97,1462.75
ESF-FSRV,2011-03-07,MON,00:44:00,0,10,1465,0.0,107.97,1466.46
ESF-FSRV,2011-03-07,MON,00:49:00,117,10,1460,117.0,107.97,1457.78
ESF-FSRV,2011-03-07,MON,00:54:00,0,10,1463,0.0,107.97,1462.75
ESF-FSRV,2011-03-07,MON,00:59:00,0,10,1462,0.0,107.97,1462.75
ESF-FSRV,2011-03-07,MON,01:04:00,936,63,1493,936.0,107.97,1491.29
ESF-FSRV,2011-03-07,MON,01:09:00,0,16,1472,0.0,107.97,1470.88
ESF-FSRV,2011-03-07,MON,01:14:00,0,10,1464,0.0,107.97,1462.75
ESF-FSRV,2011-03-07,MON,01:19:00,0,10,1469,0.0,107.97,1470.88
ESF-FSRV,2011-03-07,MON,01:24:00,0,10,1469,0.0,107.97,1470.88
ESF-FSRV,2011-03-07,MON,01:29:00,0,9,1465,0.0,107.97,1466.46
ESF-FSRV,2011-03-07,MON,01:34:00,0,15,1465,0.0,107.97,1466.46
ESF-FSRV,2011-03-07,MON,01:39:00,0,10,1461,0.0,107.97,1462.75
ESF-FSRV,2011-03-07,MON,01:44:00,0,10,1464,0.0,107.97,1462.75
ESF-FSRV,2011-03-07,MON,01:49:00,0,16,1473,0.0,107.97,1470.88
ESF-FSRV,2011-03-07,MON,01:54:00,117,16,1467,117.0,107.97,1466.46
ESF-FSRV,2011-03-07,MON,01:59:00,0,9,1462,0.0,107.97,1462.75
ESF-FSRV,2011-03-07,MON,02:04:00,0,10,1469,0.0,107.97,1470.88
ESF-FSRV,2011-03-07,MON,02:09:00,0,9,1467,0.0,107.97,1466.46
ESF-FSRV,2011-03-07,MON,02:14:00,0,9,1470,0.0,107.97,1470.88
ESF-FSRV,2011-03-07,MON,02:19:00,0,13,1467,0.0,107.97,1466.46
ESF-FSRV,2011-03-07,MON,02:24:00,0,10,1468,0.0,107.97,1466.46
ESF-FSRV,2011-03-07,MON,02:29:00,0,11,1468,0.0,107.97,1466.46
ESF-FSRV,2011-03-07,MON,02:34:00,0,10,1466,0.0,107.97,1466.46
ESF-FSRV,2011-03-07,MON,02:39:00,0,10,1468,0.0,107.97,1466.46
