NAME,DATE,WEEKDAY,TIME,CPU,BW,MEM,CPU_D,BW_D,MEM_D
HSGR-FSRV,2011-03-07,MON,00:29:00,117,16,1726,117.0,7.85,1725.48
HSGR-FSRV,2011-03-07,MON,00:34:00,761,201,1731,761.0,168.8,1731.59
HSGR-FSRV,2011-03-07,MON,00:39:00,3044,124,1740,3351.25,102.63,1741.43
HSGR-FSRV,2011-03-07,MON,00:44:00,58,128,1773,58.0,102.63,1772.91
HSGR-FSRV,2011-03-07,MON,00:49:00,585,148,1779,585.0,168.8,1779.93
HSGR-FSRV,2011-03-07,MON,00:54:00,117,171,1774,117.0,168.8,1772.91
HSGR-FSRV,2011-03-07,MON,00:59:00,292,166,1531,292.0,168.8,1529.2
HSGR-FSRV,2011-03-07,MON,01:04:00,3336,5221,1644,3351.25,5056.58,1644.03
HSGR-FSRV,2011-03-07,MON,01:09:00,4156,5163,1608,4629.46,5056.58,1606.89
HSGR-FSRV,2011-03-07,MON,01:14:00,1287,1410,1610,1287.0,1453.93,1610.06
HSGR-FSRV,2011-03-07,MON,01:19:00,234,3110,1613,234.0,3033.28,1612.97
HSGR-FSRV,2011-03-07,MON,01:24:00,1112,2809,1620,1112.0,2789.69,1620.0
HSGR-FSRV,2011-03-07,MON,01:29:00,3512,3654,1618,3351.25,3625.64,1618.39
HSGR-FSRV,2011-03-07,MON,01:34:00,936,2993,1628,903.73,3033.28,1626.61
HSGR-FSRV,2011-03-07,MON,01:39:00,58,2991,1525,58.0,3033.28,1529.2
HSGR-FSRV,2011-03-07,MON,01:44:00,58,26,1515,58.0,7.85,1512.52
HSGR-FSRV,2011-03-07,MON,01:49:00,58,0,1513,58.0,7.85,1512.52
HSGR-FSRV,2011-03-07,MON,01:54:00,234,0,1514,234.0,7.85,1512.52
HSGR-FSRV,2011-03-07,MON,01:59:00,58,0,1510,58.0,7.85,1512.52
HSGR-FSRV,2011-03-07,MON,02:04:00,58,15,1515,58.0,7.85,1512.52
HSGR-FSRV,2011-03-07,MON,02:09:00,117,0,1514,117.0,7.85,1512.52
HSGR-FSRV,2011-03-07,MON,02:14:00,58,2,1518,58.0,7.85,1512.52
HSGR-FSRV,2011-03-07,MON,02:19:00,58,0,1518,58.0,7.85,1512.52
HSGR-FSRV,2011-03-07,MON,02:24:00,58,0,1517,58.0,7.85,1512.52
HSGR-FSRV,2011-03-07,MON,02:29:00,58,8,1515,58.0,7.85,1512.52
HSGR-FSRV,2011-03-07,MON,02:34:00,58,8,1520,58.0,7.85,1512.52
