NAME,DATE,WEEKDAY,TIME,CPU,BW,MEM,CPU_D,BW_D,MEM_D
HSGR-PRQ-01,2011-03-07,MON,00:29:00,58,16,270,58.0,11.68,270.0
HSGR-PRQ-01,2011-03-07,MON,00:34:00,204,4,271,204.0,4.51,271.0
HSGR-PRQ-01,2011-03-07,MON,00:39:00,146,7,271,146.0,4.51,271.0
HSGR-PRQ-01,2011-03-07,MON,00:44:00,146,4,272,146.0,4.51,272.0
HSGR-PRQ-01,2011-03-07,MON,00:49:00,58,4,272,58.0,4.51,272.0
HSGR-PRQ-01,2011-03-07,MON,00:54:00,146,4,272,146.0,4.51,272.0
HSGR-PRQ-01,2011-03-07,MON,00:59:00,234,5,300,234.0,4.51,299.49
HSGR-PRQ-01,2011-03-07,MON,01:04:00,321,4,286,321.0,4.51,286.0
HSGR-PRQ-01,2011-03-07,MON,01:09:00,58,4,273,58.0,4.51,273.0
HSGR-PRQ-01,2011-03-07,MON,01:14:00,146,5,278,146.0,4.51,278.5
HSGR-PRQ-01,2011-03-07,MON,01:19:00,117,4,278,117.0,4.51,278.5
HSGR-PRQ-01,2011-03-07,MON,01:24:00,117,5,279,117.0,4.51,278.5
HSGR-PRQ-01,2011-03-07,MON,01:29:00,146,4,281,146.0,4.51,281.0
HSGR-PRQ-01,2011-03-07,MON,01:34:00,117,4,280,117.0,4.51,280.0
HSGR-PRQ-01,2011-03-07,MON,01:39:00,204,4,280,204.0,4.51,280.0
HSGR-PRQ-01,2011-03-07,MON,01:44:00,58,4,281,58.0,4.51,281.0
HSGR-PRQ-01,2011-03-07,MON,01:49:00,117,9,281,117.0,11.68,281.0
HSGR-PRQ-01,2011-03-07,MON,01:54:00,117,5,284,117.0,4.51,284.0
HSGR-PRQ-01,2011-03-07,MON,01:59:00,204,4,285,204.0,4.51,285.0
HSGR-PRQ-01,2011-03-07,MON,02:04:00,234,4,263,234.0,4.51,263.57
HSGR-PRQ-01,2011-03-07,MON,02:09:00,146,4,267,146.0,4.51,266.51
HSGR-PRQ-01,2011-03-07,MON,02:14:00,321,4,272,321.0,4.51,272.0
HSGR-PRQ-01,2011-03-07,MON,02:19:00,438,4,276,438.0,4.51,276.0
HSGR-PRQ-01,2011-03-07,MON,02:24:00,117,4,274,117.0,4.51,274.0
HSGR-PRQ-01,2011-03-07,MON,02:29:00,321,4,277,321.0,4.51,277.0
HSGR-PRQ-01,2011-03-07,MON,02:34:00,58,4,275,58.0,4.51,275.0
HSGR-PRQ-01,2011-03-07,MON,02:39:00,146,4,277,146.0,4.51,277.0
HSGR-PRQ-01,2011-03-07,MON,02:44:00,146,5,277,146.0,4.51,277.0
HSGR-PRQ-01,2011-03-07,MON,02:49:00,146,4,277,146.0,4.51,277.0
HSGR-PRQ-01,2011-03-07,MON,02:54:00,58,4,280,58.0,4.51,280.0
HSGR-PRQ-01,2011-03-07,MON,02:59:00,0,5,279,0.0,4.51,278.5
HSGR-PRQ-01,2011-03-07,MON,03:04:00,58,4,268,58.0,4.51,268.0
HSGR-PRQ-01,2011-03-07,MON,03:09:00,0,4,270,0.0,4.51,270.0
HSGR-PRQ-01,2011-03-07,MON,03:14:00,58,4,275,58.0,4.51,275.0
HSGR-PRQ-01,2011-03-07,MON,03:19:00,204,4,276,204.0,4.51,276.0
HSGR-PRQ-01,2011-03-07,MON,03:24:00,234,4,275,234.0,4.51,275.0
HSGR-PRQ-01,2011-03-07,MON,03:29:00,204,4,277,204.0,4.51,277.0
HSGR-PRQ-01,2011-03-07,MON,03:34:00,117,4,276,117.0,4.51,276.0
HSGR-PRQ-01,2011-03-07,MON,03:39:00,58,9,277,58.0,11.68,277.0
HSGR-PRQ-01,2011-03-07,MON,03:44:00,204,7,276,204.0,4.51,276.0
HSGR-PRQ-01,2011-03-07,MON,03:49:00,146,4,278,146.0,4.51,278.5
HSGR-PRQ-01,2011-03-07,MON,03:54:00,117,4,281,117.0,4.51,281.0
HSGR-PRQ-01,2011-03-07,MON,03:59:00,438,4,281,438.0,4.51,281.0
HSGR-PRQ-01,2011-03-07,MON,04:04:00,0,15,270,0.0,11.68,270.0
HSGR-PRQ-01,2011-03-07,MON,04:09:00,292,4,274,292.0,4.51,274.0
HSGR-PRQ-01,2011-03-07,MON,04:14:00,292,7,287,292.0,4.51,287.0
HSGR-PRQ-01,2011-03-07,MON,04:19:00,146,4,280,146.0,4.51,280.0
HSGR-PRQ-01,2011-03-07,MON,04:24:00,146,7,280,146.0,4.51,280.0
HSGR-PRQ-01,2011-03-07,MON,04:29:00,146,4,281,146.0,4.51,281.0
HSGR-PRQ-01,2011-03-07,MON,04:34:00,58,5,281,58.0,4.51,281.0
HSGR-PRQ-01,2011-03-07,MON,04:39:00,58,4,281,58.0,4.51,281.0
HSGR-PRQ-01,2011-03-07,MON,04:44:00,117,4,281,117.0,4.51,281.0
HSGR-PRQ-01,2011-03-07,MON,04:49:00,117,4,282,117.0,4.51,282.0
HSGR-PRQ-01,2011-03-07,MON,04:54:00,117,4,292,117.0,4.51,292.0
HSGR-PRQ-01,2011-03-07,MON,04:59:00,117,4,283,117.0,4.51,283.0
HSGR-PRQ-01,2011-03-07,MON,05:04:00,146,4,270,146.0,4.51,270.0
HSGR-PRQ-01,2011-03-07,MON,05:09:00,58,4,274,58.0,4.51,274.0
HSGR-PRQ-01,2011-03-07,MON,05:14:00,234,4,280,234.0,4.51,280.0
HSGR-PRQ-01,2011-03-07,MON,05:19:00,292,59,281,292.0,58.17,281.0
HSGR-PRQ-01,2011-03-07,MON,05:24:00,117,4,280,117.0,4.51,280.0
HSGR-PRQ-01,2011-03-07,MON,05:29:00,58,4,281,58.0,4.51,281.0
HSGR-PRQ-01,2011-03-07,MON,05:34:00,117,4,281,117.0,4.51,281.0
HSGR-PRQ-01,2011-03-07,MON,05:39:00,234,5,282,234.0,4.51,282.0
HSGR-PRQ-01,2011-03-07,MON,05:44:00,321,4,282,321.0,4.51,282.0
HSGR-PRQ-01,2011-03-07,MON,05:49:00,146,5,282,146.0,4.51,282.0
HSGR-PRQ-01,2011-03-07,MON,05:54:00,234,4,284,234.0,4.51,284.0
HSGR-PRQ-01,2011-03-07,MON,05:59:00,146,4,285,146.0,4.51,285.0
HSGR-PRQ-01,2011-03-07,MON,06:04:00,0,4,279,0.0,4.51,278.5
HSGR-PRQ-01,2011-03-07,MON,06:09:00,146,4,277,146.0,4.51,277.0
HSGR-PRQ-01,2011-03-07,MON,06:14:00,146,4,281,146.0,4.51,281.0
HSGR-PRQ-01,2011-03-07,MON,06:19:00,117,4,282,117.0,4.51,282.0
HSGR-PRQ-01,2011-03-07,MON,06:24:00,0,4,282,0.0,4.51,282.0
HSGR-PRQ-01,2011-03-07,MON,06:29:00,146,6,283,146.0,4.51,283.0
HSGR-PRQ-01,2011-03-07,MON,06:34:00,117,5,297,117.0,4.51,297.0
HSGR-PRQ-01,2011-03-07,MON,06:39:00,0,4,292,0.0,4.51,292.0
HSGR-PRQ-01,2011-03-07,MON,06:44:00,117,5,284,117.0,4.51,284.0
HSGR-PRQ-01,2011-03-07,MON,06:49:00,234,4,284,234.0,4.51,284.0
HSGR-PRQ-01,2011-03-07,MON,06:54:00,146,4,287,146.0,4.51,287.0
HSGR-PRQ-01,2011-03-07,MON,06:59:00,117,4,287,117.0,4.51,287.0
HSGR-PRQ-01,2011-03-07,MON,07:04:00,117,4,282,117.0,4.51,282.0
HSGR-PRQ-01,2011-03-07,MON,07:09:00,204,4,278,204.0,4.51,278.5
HSGR-PRQ-01,2011-03-07,MON,07:14:00,146,4,283,146.0,4.51,283.0
HSGR-PRQ-01,2011-03-07,MON,07:19:00,292,4,284,292.0,4.51,284.0
HSGR-PRQ-01,2011-03-07,MON,07:24:00,204,4,284,204.0,4.51,284.0
HSGR-PRQ-01,2011-03-07,MON,07:29:00,1023,5,285,894.7,4.51,285.0
HSGR-PRQ-01,2011-03-07,MON,07:34:00,204,4,285,204.0,4.51,285.0
HSGR-PRQ-01,2011-03-07,MON,07:39:00,58,4,285,58.0,4.51,285.0
HSGR-PRQ-01,2011-03-07,MON,07:44:00,146,4,285,146.0,4.51,285.0
HSGR-PRQ-01,2011-03-07,MON,07:49:00,146,4,285,146.0,4.51,285.0
HSGR-PRQ-01,2011-03-07,MON,07:54:00,0,5,287,0.0,4.51,287.0
HSGR-PRQ-01,2011-03-07,MON,07:59:00,234,6,287,234.0,4.51,287.0
HSGR-PRQ-01,2011-03-07,MON,08:04:00,117,5,283,117.0,4.51,283.0
HSGR-PRQ-01,2011-03-07,MON,08:09:00,117,4,279,117.0,4.51,278.5
HSGR-PRQ-01,2011-03-07,MON,08:14:00,146,5,285,146.0,4.51,285.0
HSGR-PRQ-01,2011-03-07,MON,08:19:00,146,4,285,146.0,4.51,285.0
HSGR-PRQ-01,2011-03-07,MON,08:24:00,204,5,286,204.0,4.51,286.0
HSGR-PRQ-01,2011-03-07,MON,08:29:00,0,95,286,0.0,96.08,286.0
HSGR-PRQ-01,2011-03-07,MON,08:34:00,146,4,286,146.0,4.51,286.0
HSGR-PRQ-01,2011-03-07,MON,08:39:00,58,4,286,58.0,4.51,286.0
HSGR-PRQ-01,2011-03-07,MON,08:44:00,58,4,287,58.0,4.51,287.0
HSGR-PRQ-01,2011-03-07,MON,08:49:00,234,8,287,234.0,4.51,287.0
HSGR-PRQ-01,2011-03-07,MON,08:54:00,292,10,289,292.0,11.68,289.0
HSGR-PRQ-01,2011-03-07,MON,08:59:00,204,5,289,204.0,4.51,289.0
HSGR-PRQ-01,2011-03-07,MON,09:04:00,0,5,284,0.0,4.51,284.0
HSGR-PRQ-01,2011-03-07,MON,09:09:00,204,4,278,204.0,4.51,278.5
HSGR-PRQ-01,2011-03-07,MON,09:14:00,146,4,285,146.0,4.51,285.0
HSGR-PRQ-01,2011-03-07,MON,09:19:00,146,5,287,146.0,4.51,287.0
HSGR-PRQ-01,2011-03-07,MON,09:24:00,117,5,286,117.0,4.51,286.0
HSGR-PRQ-01,2011-03-07,MON,09:29:00,117,6,288,117.0,4.51,288.0
HSGR-PRQ-01,2011-03-07,MON,09:34:00,146,5,287,146.0,4.51,287.0
HSGR-PRQ-01,2011-03-07,MON,09:39:00,117,4,287,117.0,4.51,287.0
HSGR-PRQ-01,2011-03-07,MON,09:44:00,117,12,288,117.0,11.68,288.0
HSGR-PRQ-01,2011-03-07,MON,09:49:00,234,7,289,234.0,4.51,289.0
HSGR-PRQ-01,2011-03-07,MON,09:54:00,0,8,282,0.0,4.51,282.0
HSGR-PRQ-01,2011-03-07,MON,09:59:00,117,6,291,117.0,4.51,291.0
HSGR-PRQ-01,2011-03-07,MON,10:04:00,204,9,291,204.0,11.68,291.0
HSGR-PRQ-01,2011-03-07,MON,10:09:00,204,8,291,204.0,4.51,291.0
HSGR-PRQ-01,2011-03-07,MON,10:14:00,117,7,292,117.0,4.51,292.0
HSGR-PRQ-01,2011-03-07,MON,10:19:00,292,5,292,292.0,4.51,292.0
HSGR-PRQ-01,2011-03-07,MON,10:24:00,204,8,292,204.0,4.51,292.0
HSGR-PRQ-01,2011-03-07,MON,10:29:00,0,4,293,0.0,4.51,293.49
HSGR-PRQ-01,2011-03-07,MON,10:34:00,146,7,292,146.0,4.51,292.0
HSGR-PRQ-01,2011-03-07,MON,10:39:00,117,9,293,117.0,11.68,293.49
HSGR-PRQ-01,2011-03-07,MON,10:44:00,292,7,284,292.0,4.51,284.0
HSGR-PRQ-01,2011-03-07,MON,10:49:00,146,4,287,146.0,4.51,287.0
HSGR-PRQ-01,2011-03-07,MON,10:54:00,204,10,290,204.0,11.68,290.0
HSGR-PRQ-01,2011-03-07,MON,10:59:00,146,5,294,146.0,4.51,293.49
