NAME,DATE,WEEKDAY,TIME,CPU,BW,MEM,CPU_D,BW_D,MEM_D
IADV-FSRV,2011-03-07,MON,00:29:00,58,16,1524,58.0,6.28,1523.04
IADV-FSRV,2011-03-07,MON,00:34:00,58,0,1522,58.0,6.28,1523.04
IADV-FSRV,2011-03-07,MON,00:39:00,58,0,1523,58.0,6.28,1523.04
IADV-FSRV,2011-03-07,MON,00:44:00,58,0,1527,58.0,6.28,1523.04
IADV-FSRV,2011-03-07,MON,00:49:00,58,0,1518,58.0,6.28,1523.04
IADV-FSRV,2011-03-07,MON,00:54:00,58,0,1522,58.0,6.28,1523.04
IADV-FSRV,2011-03-07,MON,00:59:00,58,0,1520,58.0,6.28,1523.04
IADV-FSRV,2011-03-07,MON,01:04:00,58,1,1556,58.0,6.28,1559.81
IADV-FSRV,2011-03-07,MON,01:09:00,58,0,1518,58.0,6.28,1523.04
IADV-FSRV,2011-03-07,MON,01:14:00,58,1,1522,58.0,6.28,1523.04
IADV-FSRV,2011-03-07,MON,01:19:00,58,0,1519,58.0,6.28,1523.04
IADV-FSRV,2011-03-07,MON,01:25:00,117,0,1533,117.0,6.28,1534.38
IADV-FSRV,2011-03-07,MON,01:29:00,58,0,1520,58.0,6.28,1523.04
IADV-FSRV,2011-03-07,MON,01:34:00,58,0,1520,58.0,6.28,1523.04
IADV-FSRV,2011-03-07,MON,01:39:00,58,0,1520,58.0,6.28,1523.04
IADV-FSRV,2011-03-07,MON,01:44:00,58,1,1521,58.0,6.28,1523.04
IADV-FSRV,2011-03-07,MON,01:49:00,58,6,1519,58.0,6.28,1523.04
IADV-FSRV,2011-03-07,MON,01:54:00,58,0,1519,58.0,6.28,1523.04
IADV-FSRV,2011-03-07,MON,01:59:00,58,0,1518,58.0,6.28,1523.04
IADV-FSRV,2011-03-07,MON,02:04:00,58,0,1521,58.0,6.28,1523.04
IADV-FSRV,2011-03-07,MON,02:09:00,58,0,1520,58.0,6.28,1523.04
IADV-FSRV,2011-03-07,MON,02:14:00,58,0,1522,58.0,6.28,1523.04
IADV-FSRV,2011-03-07,MON,02:19:00,58,0,1520,58.0,6.28,1523.04
IADV-FSRV,2011-03-07,MON,02:24:00,58,135,1523,58.0,121.32,1523.04
IADV-FSRV,2011-03-07,MON,02:29:00,58,322,1524,58.0,253.13,1523.04
IADV-FSRV,2011-03-07,MON,02:34:00,58,165,1524,58.0,121.32,1523.04
IADV-FSRV,2011-03-07,MON,02:39:00,58,0,1527,58.0,6.28,1523.04
IADV-FSRV,2011-03-07,MON,02:44:00,468,274,1523,468.0,253.13,1523.04
IADV-FSRV,2011-03-07,MON,02:49:00,58,289,1519,58.0,253.13,1523.04
IADV-FSRV,2011-03-07,MON,02:54:00,58,0,1522,58.0,6.28,1523.04
IADV-FSRV,2011-03-07,MON,02:59:00,58,0,1523,58.0,6.28,1523.04
IADV-FSRV,2011-03-07,MON,03:04:00,58,0,1522,58.0,6.28,1523.04
IADV-FSRV,2011-03-07,MON,03:09:00,117,0,1522,117.0,6.28,1523.04
IADV-FSRV,2011-03-07,MON,03:14:00,58,0,1526,58.0,6.28,1523.04
IADV-FSRV,2011-03-07,MON,03:19:00,58,0,1573,58.0,6.28,1574.03
IADV-FSRV,2011-03-07,MON,03:24:00,58,0,1515,58.0,6.28,1508.68
IADV-FSRV,2011-03-07,MON,03:29:00,58,0,1512,58.0,6.28,1508.68
IADV-FSRV,2011-03-07,MON,03:34:00,58,0,1511,58.0,6.28,1508.68
IADV-FSRV,2011-03-07,MON,03:39:00,2575,0,1507,2485.41,6.28,1508.68
IADV-FSRV,2011-03-07,MON,03:44:00,58,0,1508,58.0,6.28,1508.68
IADV-FSRV,2011-03-07,MON,03:49:00,58,0,1506,58.0,6.28,1508.68
IADV-FSRV,2011-03-07,MON,03:54:00,58,1,1507,58.0,6.28,1508.68
IADV-FSRV,2011-03-07,MON,03:59:00,58,0,1506,58.0,6.28,1508.68
IADV-FSRV,2011-03-07,MON,04:04:00,58,0,1508,58.0,6.28,1508.68
IADV-FSRV,2011-03-07,MON,04:09:00,58,0,1507,58.0,6.28,1508.68
IADV-FSRV,2011-03-07,MON,04:14:00,117,0,1509,117.0,6.28,1508.68
IADV-FSRV,2011-03-07,MON,04:19:00,58,0,1509,58.0,6.28,1508.68
IADV-FSRV,2011-03-07,MON,04:24:00,58,0,1508,58.0,6.28,1508.68
IADV-FSRV,2011-03-07,MON,04:29:00,58,0,1510,58.0,6.28,1508.68
IADV-FSRV,2011-03-07,MON,04:34:00,58,0,1509,58.0,6.28,1508.68
IADV-FSRV,2011-03-07,MON,04:39:00,58,0,1508,58.0,6.28,1508.68
IADV-FSRV,2011-03-07,MON,04:44:00,58,0,1511,58.0,6.28,1508.68
IADV-FSRV,2011-03-07,MON,04:49:00,58,0,1505,58.0,6.28,1508.68
IADV-FSRV,2011-03-07,MON,04:54:00,468,0,1537,468.0,6.28,1534.38
IADV-FSRV,2011-03-07,MON,04:59:00,58,33,1509,58.0,6.28,1508.68
IADV-FSRV,2011-03-07,MON,05:04:00,58,110,1523,58.0,121.32,1523.04
IADV-FSRV,2011-03-07,MON,05:09:00,58,0,1523,58.0,6.28,1523.04
IADV-FSRV,2011-03-07,MON,05:14:00,58,1,1532,58.0,6.28,1534.38
IADV-FSRV,2011-03-07,MON,05:19:00,58,0,1525,58.0,6.28,1523.04
IADV-FSRV,2011-03-07,MON,05:24:00,58,0,1526,58.0,6.28,1523.04
IADV-FSRV,2011-03-07,MON,05:29:00,234,0,1527,234.0,6.28,1523.04
IADV-FSRV,2011-03-07,MON,05:34:00,58,0,1525,58.0,6.28,1523.04
IADV-FSRV,2011-03-07,MON,05:39:00,58,0,1526,58.0,6.28,1523.04
IADV-FSRV,2011-03-07,MON,05:44:00,58,0,1527,58.0,6.28,1523.04
IADV-FSRV,2011-03-07,MON,05:49:00,234,0,1522,234.0,6.28,1523.04
IADV-FSRV,2011-03-07,MON,05:54:00,58,0,1524,58.0,6.28,1523.04
IADV-FSRV,2011-03-07,MON,05:59:00,58,0,1524,58.0,6.28,1523.04
IADV-FSRV,2011-03-07,MON,06:04:00,58,0,1526,58.0,6.28,1523.04
