NAME,DATE,WEEKDAY,TIME,CPU,BW,MEM,CPU_D,BW_D,MEM_D
IST-FSRV,2011-03-07,MON,00:29:00,1053,16,1480,1053.0,5.32,1480.42
IST-FSRV,2011-03-07,MON,00:34:00,117,9,1480,117.0,5.32,1480.42
IST-FSRV,2011-03-07,MON,00:39:00,1229,8,1481,1229.0,5.32,1480.42
IST-FSRV,2011-03-07,MON,00:44:00,0,1,1481,0.0,5.32,1480.42
IST-FSRV,2011-03-07,MON,00:49:00,292,1,1477,292.0,5.32,1480.42
IST-FSRV,2011-03-07,MON,00:54:00,0,2,1478,0.0,5.32,1480.42
IST-FSRV,2011-03-07,MON,00:59:00,1053,2,1480,1053.0,5.32,1480.42
IST-FSRV,2011-03-07,MON,01:04:00,0,7,1514,0.0,5.32,1514.12
IST-FSRV,2011-03-07,MON,01:09:00,0,0,1477,0.0,5.32,1480.42
IST-FSRV,2011-03-07,MON,01:14:00,292,4,1479,292.0,5.32,1480.42
IST-FSRV,2011-03-07,MON,01:19:00,468,5,1478,468.0,5.32,1480.42
IST-FSRV,2011-03-07,MON,01:25:00,0,1,1483,0.0,5.32,1480.42
IST-FSRV,2011-03-07,MON,01:29:00,0,4,1478,0.0,5.32,1480.42
IST-FSRV,2011-03-07,MON,01:34:00,0,3,1481,0.0,5.32,1480.42
IST-FSRV,2011-03-07,MON,01:39:00,0,1,1480,0.0,5.32,1480.42
IST-FSRV,2011-03-07,MON,01:44:00,0,1,1477,0.0,5.32,1480.42
IST-FSRV,2011-03-07,MON,01:49:00,234,2,1476,234.0,5.32,1480.42
IST-FSRV,2011-03-07,MON,01:54:00,3512,7,1479,3442.08,5.32,1480.42
IST-FSRV,2011-03-07,MON,01:59:00,0,1,1477,0.0,5.32,1480.42
IST-FSRV,2011-03-07,MON,02:04:00,0,1,1480,0.0,5.32,1480.42
IST-FSRV,2011-03-07,MON,02:09:00,643,2,1493,643.0,5.32,1492.07
IST-FSRV,2011-03-07,MON,02:14:00,0,1,1480,0.0,5.32,1480.42
IST-FSRV,2011-03-07,MON,02:19:00,585,4,1480,585.0,5.32,1480.42
IST-FSRV,2011-03-07,MON,02:24:00,0,5,1485,0.0,5.32,1480.42
IST-FSRV,2011-03-07,MON,02:29:00,292,2,1482,292.0,5.32,1480.42
IST-FSRV,2011-03-07,MON,02:34:00,117,1,1479,117.0,5.32,1480.42
IST-FSRV,2011-03-07,MON,02:39:00,1229,1,1477,1229.0,5.32,1480.42
IST-FSRV,2011-03-07,MON,02:44:00,0,0,1478,0.0,5.32,1480.42
IST-FSRV,2011-03-07,MON,02:49:00,292,1,1475,292.0,5.32,1480.42
IST-FSRV,2011-03-07,MON,02:54:00,0,1,1480,0.0,5.32,1480.42
IST-FSRV,2011-03-07,MON,02:59:00,0,4,1479,0.0,5.32,1480.42
IST-FSRV,2011-03-07,MON,03:04:00,0,1,1480,0.0,5.32,1480.42
IST-FSRV,2011-03-07,MON,03:09:00,117,4,1483,117.0,5.32,1480.42
IST-FSRV,2011-03-07,MON,03:14:00,0,1,1482,0.0,5.32,1480.42
IST-FSRV,2011-03-07,MON,03:19:00,0,1,1481,0.0,5.32,1480.42
IST-FSRV,2011-03-07,MON,03:24:00,0,1,1481,0.0,5.32,1480.42
IST-FSRV,2011-03-07,MON,03:29:00,643,9,1485,643.0,5.32,1480.42
IST-FSRV,2011-03-07,MON,03:34:00,0,1,1481,0.0,5.32,1480.42
IST-FSRV,2011-03-07,MON,03:39:00,2107,4,1480,1862.22,5.32,1480.42
IST-FSRV,2011-03-07,MON,03:44:00,0,2,1479,0.0,5.32,1480.42
IST-FSRV,2011-03-07,MON,03:49:00,0,0,1475,0.0,5.32,1480.42
IST-FSRV,2011-03-07,MON,03:54:00,117,4,1482,117.0,5.32,1480.42
IST-FSRV,2011-03-07,MON,03:59:00,585,0,1483,585.0,5.32,1480.42
IST-FSRV,2011-03-07,MON,04:04:00,0,0,1480,0.0,5.32,1480.42
IST-FSRV,2011-03-07,MON,04:09:00,1229,1,1487,1229.0,5.32,1492.07
IST-FSRV,2011-03-07,MON,04:14:00,0,4,1481,0.0,5.32,1480.42
IST-FSRV,2011-03-07,MON,04:19:00,0,3,1481,0.0,5.32,1480.42
IST-FSRV,2011-03-07,MON,04:24:00,0,1,1484,0.0,5.32,1480.42
IST-FSRV,2011-03-07,MON,04:29:00,0,1,1483,0.0,5.32,1480.42
IST-FSRV,2011-03-07,MON,04:34:00,0,3,1489,0.0,5.32,1492.07
IST-FSRV,2011-03-07,MON,04:39:00,0,2,1485,0.0,5.32,1480.42
IST-FSRV,2011-03-07,MON,04:44:00,117,6,1480,117.0,5.32,1480.42
IST-FSRV,2011-03-07,MON,04:49:00,117,3,1481,117.0,5.32,1480.42
IST-FSRV,2011-03-07,MON,04:54:00,409,3,1513,409.0,5.32,1514.12
IST-FSRV,2011-03-07,MON,04:59:00,0,1,1482,0.0,5.32,1480.42
IST-FSRV,2011-03-07,MON,05:04:00,234,34,1489,234.0,5.32,1492.07
IST-FSRV,2011-03-07,MON,05:09:00,1287,1,1485,1287.0,5.32,1480.42
IST-FSRV,2011-03-07,MON,05:14:00,0,2,1497,0.0,5.32,1498.22
IST-FSRV,2011-03-07,MON,05:19:00,234,2,1491,234.0,5.32,1492.07
IST-FSRV,2011-03-07,MON,05:24:00,0,4,1492,0.0,5.32,1492.07
IST-FSRV,2011-03-07,MON,05:29:00,761,1,1488,761.0,5.32,1492.07
IST-FSRV,2011-03-07,MON,05:34:00,0,1,1561,0.0,5.32,1562.53
IST-FSRV,2011-03-07,MON,05:39:00,0,2,1558,0.0,5.32,1558.45
IST-FSRV,2011-03-07,MON,05:44:00,292,1,1490,292.0,5.32,1492.07
IST-FSRV,2011-03-07,MON,05:49:00,234,1,1493,234.0,5.32,1492.07
IST-FSRV,2011-03-07,MON,05:54:00,0,1,1490,0.0,5.32,1492.07
IST-FSRV,2011-03-07,MON,05:59:00,0,1,1491,0.0,5.32,1492.07
IST-FSRV,2011-03-07,MON,06:04:00,0,1,1490,0.0,5.32,1492.07
IST-FSRV,2011-03-07,MON,06:09:00,0,2,1490,0.0,5.32,1492.07
IST-FSRV,2011-03-07,MON,06:14:00,0,0,1489,0.0,5.32,1492.07
IST-FSRV,2011-03-07,MON,06:19:00,0,1,1489,0.0,5.32,1492.07
IST-FSRV,2011-03-07,MON,06:24:00,117,3,1489,117.0,5.32,1492.07
IST-FSRV,2011-03-07,MON,06:29:00,0,8,1486,0.0,5.32,1480.42
IST-FSRV,2011-03-07,MON,06:34:00,117,19,1490,117.0,5.32,1492.07
IST-FSRV,2011-03-07,MON,06:39:00,409,20,1490,409.0,5.32,1492.07
IST-FSRV,2011-03-07,MON,06:44:00,0,1,1488,0.0,5.32,1492.07
IST-FSRV,2011-03-07,MON,06:49:00,1404,1,1492,1404.0,5.32,1492.07
IST-FSRV,2011-03-07,MON,06:54:00,0,3,1491,0.0,5.32,1492.07
IST-FSRV,2011-03-07,MON,06:59:00,0,2,1490,0.0,5.32,1492.07
IST-FSRV,2011-03-07,MON,07:04:00,0,3,1492,0.0,5.32,1492.07
IST-FSRV,2011-03-07,MON,07:09:00,0,3,1492,0.0,5.32,1492.07
IST-FSRV,2011-03-07,MON,07:14:00,0,83,1493,0.0,61.52,1492.07
IST-FSRV,2011-03-07,MON,07:19:00,0,8,1494,0.0,5.32,1492.07
IST-FSRV,2011-03-07,MON,07:24:00,0,10,1497,0.0,5.32,1498.22
IST-FSRV,2011-03-07,MON,07:29:00,4156,8,1494,4610.39,5.32,1492.07
IST-FSRV,2011-03-07,MON,07:34:00,0,269,1495,0.0,263.83,1492.07
IST-FSRV,2011-03-07,MON,07:39:00,0,8,1496,0.0,5.32,1498.22
IST-FSRV,2011-03-07,MON,07:44:00,0,87,1496,0.0,61.52,1498.22
IST-FSRV,2011-03-07,MON,07:49:00,0,19,1497,0.0,5.32,1498.22
IST-FSRV,2011-03-07,MON,07:54:00,0,21,1500,0.0,5.32,1498.22
IST-FSRV,2011-03-07,MON,07:59:00,0,58,1500,0.0,61.52,1498.22
IST-FSRV,2011-03-07,MON,08:04:00,0,13,1505,0.0,5.32,1506.01
IST-FSRV,2011-03-07,MON,08:09:00,1053,106,1503,1053.0,61.52,1502.54
IST-FSRV,2011-03-07,MON,08:14:00,0,249,1510,0.0,263.83,1509.53
IST-FSRV,2011-03-07,MON,08:19:00,878,26,1521,878.0,5.32,1520.55
IST-FSRV,2011-03-07,MON,08:24:00,0,63,1520,0.0,61.52,1520.55
IST-FSRV,2011-03-07,MON,08:29:00,117,268,1533,117.0,263.83,1532.56
IST-FSRV,2011-03-07,MON,08:34:00,0,117,1535,0.0,159.28,1535.0
IST-FSRV,2011-03-07,MON,08:39:00,0,1,1537,0.0,5.32,1537.0
IST-FSRV,2011-03-07,MON,08:44:00,0,575,1547,0.0,566.77,1547.01
IST-FSRV,2011-03-07,MON,08:49:00,0,125,1525,0.0,159.28,1526.38
IST-FSRV,2011-03-07,MON,08:54:00,0,92,1522,0.0,61.52,1523.0
IST-FSRV,2011-03-07,MON,08:59:00,0,176,1521,0.0,159.28,1520.55
IST-FSRV,2011-03-07,MON,09:04:00,1053,2,1512,1053.0,5.32,1514.12
IST-FSRV,2011-03-07,MON,09:09:00,234,3,1518,234.0,5.32,1518.14
IST-FSRV,2011-03-07,MON,09:14:00,117,18,1515,117.0,5.32,1514.12
IST-FSRV,2011-03-07,MON,09:19:00,0,12,1510,0.0,5.32,1509.53
IST-FSRV,2011-03-07,MON,09:24:00,5795,10,1518,4610.39,5.32,1518.14
IST-FSRV,2011-03-07,MON,09:29:00,0,50,1513,0.0,61.52,1514.12
IST-FSRV,2011-03-07,MON,09:34:00,117,30,1520,117.0,5.32,1520.55
IST-FSRV,2011-03-07,MON,09:39:00,468,6,1518,468.0,5.32,1518.14
IST-FSRV,2011-03-07,MON,09:44:00,0,45,1517,0.0,61.52,1518.14
IST-FSRV,2011-03-07,MON,09:49:00,0,4,1522,0.0,5.32,1523.0
IST-FSRV,2011-03-07,MON,09:54:00,761,148,1531,761.0,159.28,1529.95
IST-FSRV,2011-03-07,MON,09:59:00,1404,226,1522,1404.0,263.83,1523.0
IST-FSRV,2011-03-07,MON,10:04:00,1053,312,1520,1053.0,263.83,1520.55
IST-FSRV,2011-03-07,MON,10:09:00,1112,71,1523,1112.0,61.52,1523.0
IST-FSRV,2011-03-07,MON,10:14:00,0,52,1525,0.0,61.52,1526.38
IST-FSRV,2011-03-07,MON,10:19:00,292,7,1518,292.0,5.32,1518.14
IST-FSRV,2011-03-07,MON,10:24:00,117,4,1520,117.0,5.32,1520.55
IST-FSRV,2011-03-07,MON,10:29:00,585,5,1562,585.0,5.32,1562.53
IST-FSRV,2011-03-07,MON,10:34:00,0,72,1515,0.0,61.52,1514.12
IST-FSRV,2011-03-07,MON,10:39:00,1112,3,1510,1112.0,5.32,1509.53
IST-FSRV,2011-03-07,MON,10:44:00,292,1,1513,292.0,5.32,1514.12
IST-FSRV,2011-03-07,MON,10:49:00,0,9,1517,0.0,5.32,1518.14
IST-FSRV,2011-03-07,MON,10:54:00,0,9,1515,0.0,5.32,1514.12
IST-FSRV,2011-03-07,MON,10:59:00,1404,6,1511,1404.0,5.32,1509.53
IST-FSRV,2011-03-07,MON,11:04:00,117,31,1514,117.0,5.32,1514.12
IST-FSRV,2011-03-07,MON,11:09:00,409,240,1537,409.0,263.83,1537.0
IST-FSRV,2011-03-07,MON,11:14:00,0,11,1537,0.0,5.32,1537.0
IST-FSRV,2011-03-07,MON,11:19:00,761,8,1530,761.0,5.32,1529.95
IST-FSRV,2011-03-07,MON,11:24:00,2107,5,1536,1862.22,5.32,1536.0
IST-FSRV,2011-03-07,MON,11:29:00,585,13,1539,585.0,5.32,1539.0
IST-FSRV,2011-03-07,MON,11:34:00,0,36,1549,0.0,61.52,1549.6
IST-FSRV,2011-03-07,MON,11:39:00,0,14,1515,0.0,5.32,1514.12
IST-FSRV,2011-03-07,MON,11:44:00,234,23,1519,234.0,5.32,1518.14
IST-FSRV,2011-03-07,MON,11:49:00,878,43,1517,878.0,61.52,1518.14
IST-FSRV,2011-03-07,MON,11:54:00,0,32,1524,0.0,5.32,1523.0
IST-FSRV,2011-03-07,MON,11:59:00,761,45,1522,761.0,61.52,1523.0
IST-FSRV,2011-03-07,MON,12:04:00,0,100,1534,0.0,61.52,1534.0
IST-FSRV,2011-03-07,MON,12:09:00,0,8,1525,0.0,5.32,1526.38
IST-FSRV,2011-03-07,MON,12:14:00,0,30,1530,0.0,5.32,1529.95
IST-FSRV,2011-03-07,MON,12:19:00,468,8,1534,468.0,5.32,1534.0
IST-FSRV,2011-03-07,MON,12:24:00,0,37,1530,0.0,61.52,1529.95
IST-FSRV,2011-03-07,MON,12:29:00,1112,123,1532,1112.0,159.28,1532.56
IST-FSRV,2011-03-07,MON,12:34:00,2341,62,1535,2504.56,61.52,1535.0
IST-FSRV,2011-03-07,MON,12:39:00,292,120,1521,292.0,159.28,1520.55
IST-FSRV,2011-03-07,MON,12:44:00,0,18,1530,0.0,5.32,1529.95
IST-FSRV,2011-03-07,MON,12:49:00,0,66,1536,0.0,61.52,1536.0
IST-FSRV,2011-03-07,MON,12:54:00,0,121,1548,0.0,159.28,1547.01
IST-FSRV,2011-03-07,MON,12:59:00,643,77,1544,643.0,61.52,1543.96
IST-FSRV,2011-03-07,MON,13:04:00,0,13,1548,0.0,5.32,1547.01
IST-FSRV,2011-03-07,MON,13:09:00,1229,15,1548,1229.0,5.32,1547.01
IST-FSRV,2011-03-07,MON,13:14:00,0,46,1548,0.0,61.52,1547.01
IST-FSRV,2011-03-07,MON,13:19:00,0,8,1551,0.0,5.32,1551.51
IST-FSRV,2011-03-07,MON,13:24:00,0,113,1551,0.0,159.28,1551.51
IST-FSRV,2011-03-07,MON,13:29:00,0,21,1556,0.0,5.32,1555.54
IST-FSRV,2011-03-07,MON,13:34:00,0,15,1558,0.0,5.32,1558.45
IST-FSRV,2011-03-07,MON,13:39:00,0,14,1560,0.0,5.32,1558.45
IST-FSRV,2011-03-07,MON,13:44:00,0,19,1561,0.0,5.32,1562.53
IST-FSRV,2011-03-07,MON,13:49:00,1287,6,1582,1287.0,5.32,1581.44
IST-FSRV,2011-03-07,MON,13:54:00,0,7,1559,0.0,5.32,1558.45
IST-FSRV,2011-03-07,MON,13:59:00,0,11,1557,0.0,5.32,1558.45
IST-FSRV,2011-03-07,MON,14:04:00,0,4,1559,0.0,5.32,1558.45
IST-FSRV,2011-03-07,MON,14:09:00,1287,8,1557,1287.0,5.32,1558.45
IST-FSRV,2011-03-07,MON,14:14:00,0,5,1562,0.0,5.32,1562.53
