NAME,DATE,WEEKDAY,TIME,CPU,BW,MEM,CPU_D,BW_D,MEM_D
ITS-ACP-SQL-01,2011-03-07,MON,00:29:00,0,16,797,0.0,16.5,795.61
ITS-ACP-SQL-01,2011-03-07,MON,00:34:00,0,2,797,0.0,2.18,795.61
ITS-ACP-SQL-01,2011-03-07,MON,00:39:00,234,1,797,234.0,1.0,795.61
ITS-ACP-SQL-01,2011-03-07,MON,00:44:00,0,1,791,0.0,1.0,792.33
ITS-ACP-SQL-01,2011-03-07,MON,00:49:00,0,1,788,0.0,1.0,788.5
ITS-ACP-SQL-01,2011-03-07,MON,00:54:00,0,1,793,0.0,1.0,792.33
ITS-ACP-SQL-01,2011-03-07,MON,00:59:00,0,1,792,0.0,1.0,792.33
ITS-ACP-SQL-01,2011-03-07,MON,01:04:00,0,1,801,0.0,1.0,801.55
ITS-ACP-SQL-01,2011-03-07,MON,01:09:00,0,1,797,0.0,1.0,795.61
ITS-ACP-SQL-01,2011-03-07,MON,01:14:00,117,1,796,117.0,1.0,795.61
ITS-ACP-SQL-01,2011-03-07,MON,01:19:00,0,1,797,0.0,1.0,795.61
ITS-ACP-SQL-01,2011-03-07,MON,01:25:00,0,1,797,0.0,1.0,795.61
ITS-ACP-SQL-01,2011-03-07,MON,01:29:00,0,1,797,0.0,1.0,795.61
ITS-ACP-SQL-01,2011-03-07,MON,01:34:00,0,1,797,0.0,1.0,795.61
ITS-ACP-SQL-01,2011-03-07,MON,01:39:00,234,7,796,234.0,8.06,795.61
ITS-ACP-SQL-01,2011-03-07,MON,01:44:00,0,1,793,0.0,1.0,792.33
ITS-ACP-SQL-01,2011-03-07,MON,01:49:00,117,1,788,117.0,1.0,788.5
ITS-ACP-SQL-01,2011-03-07,MON,01:54:00,0,1,797,0.0,1.0,795.61
ITS-ACP-SQL-01,2011-03-07,MON,01:59:00,468,1,794,468.0,1.0,795.61
ITS-ACP-SQL-01,2011-03-07,MON,02:04:00,234,1,794,234.0,1.0,795.61
ITS-ACP-SQL-01,2011-03-07,MON,02:09:00,0,1,795,0.0,1.0,795.61
ITS-ACP-SQL-01,2011-03-07,MON,02:14:00,0,1,795,0.0,1.0,795.61
ITS-ACP-SQL-01,2011-03-07,MON,02:19:00,0,2,796,0.0,2.18,795.61
ITS-ACP-SQL-01,2011-03-07,MON,02:24:00,0,1,796,0.0,1.0,795.61
ITS-ACP-SQL-01,2011-03-07,MON,02:29:00,0,1,796,0.0,1.0,795.61
ITS-ACP-SQL-01,2011-03-07,MON,02:34:00,0,1,797,0.0,1.0,795.61
ITS-ACP-SQL-01,2011-03-07,MON,02:39:00,0,1,797,0.0,1.0,795.61
ITS-ACP-SQL-01,2011-03-07,MON,02:44:00,409,2,807,409.0,2.18,806.56
ITS-ACP-SQL-01,2011-03-07,MON,02:49:00,0,1,803,0.0,1.0,803.94
ITS-ACP-SQL-01,2011-03-07,MON,02:54:00,0,1,794,0.0,1.0,795.61
ITS-ACP-SQL-01,2011-03-07,MON,02:59:00,292,1,795,292.0,1.0,795.61
ITS-ACP-SQL-01,2011-03-07,MON,03:04:00,0,1,795,0.0,1.0,795.61
ITS-ACP-SQL-01,2011-03-07,MON,03:09:00,643,2,803,604.2,2.18,803.94
ITS-ACP-SQL-01,2011-03-07,MON,03:14:00,0,1,799,0.0,1.0,799.09
ITS-ACP-SQL-01,2011-03-07,MON,03:19:00,117,2,803,117.0,2.18,803.94
ITS-ACP-SQL-01,2011-03-07,MON,03:24:00,0,1,802,0.0,1.0,801.55
ITS-ACP-SQL-01,2011-03-07,MON,03:29:00,0,1,802,0.0,1.0,801.55
ITS-ACP-SQL-01,2011-03-07,MON,03:34:00,117,1,802,117.0,1.0,801.55
ITS-ACP-SQL-01,2011-03-07,MON,03:39:00,0,1,808,0.0,1.0,808.0
ITS-ACP-SQL-01,2011-03-07,MON,03:44:00,0,1,793,0.0,1.0,792.33
ITS-ACP-SQL-01,2011-03-07,MON,03:49:00,0,2,796,0.0,2.18,795.61
ITS-ACP-SQL-01,2011-03-07,MON,03:54:00,0,1,795,0.0,1.0,795.61
ITS-ACP-SQL-01,2011-03-07,MON,03:59:00,0,1,798,0.0,1.0,799.09
ITS-ACP-SQL-01,2011-03-07,MON,04:04:00,0,1,795,0.0,1.0,795.61
ITS-ACP-SQL-01,2011-03-07,MON,04:09:00,0,1,797,0.0,1.0,795.61
ITS-ACP-SQL-01,2011-03-07,MON,04:14:00,0,1,797,0.0,1.0,795.61
ITS-ACP-SQL-01,2011-03-07,MON,04:19:00,0,1,797,0.0,1.0,795.61
ITS-ACP-SQL-01,2011-03-07,MON,04:24:00,0,1,796,0.0,1.0,795.61
ITS-ACP-SQL-01,2011-03-07,MON,04:29:00,409,1,797,409.0,1.0,795.61
ITS-ACP-SQL-01,2011-03-07,MON,04:34:00,0,1,797,0.0,1.0,795.61
ITS-ACP-SQL-01,2011-03-07,MON,04:39:00,0,1,798,0.0,1.0,799.09
ITS-ACP-SQL-01,2011-03-07,MON,04:44:00,0,1,794,0.0,1.0,795.61
ITS-ACP-SQL-01,2011-03-07,MON,04:49:00,0,1,796,0.0,1.0,795.61
ITS-ACP-SQL-01,2011-03-07,MON,04:54:00,468,1,795,468.0,1.0,795.61
ITS-ACP-SQL-01,2011-03-07,MON,04:59:00,292,1,795,292.0,1.0,795.61
ITS-ACP-SQL-01,2011-03-07,MON,05:04:00,0,1,795,0.0,1.0,795.61
ITS-ACP-SQL-01,2011-03-07,MON,05:09:00,0,1,796,0.0,1.0,795.61
ITS-ACP-SQL-01,2011-03-07,MON,05:14:00,0,1,796,0.0,1.0,795.61
