NAME,DATE,WEEKDAY,TIME,CPU,BW,MEM,CPU_D,BW_D,MEM_D
ITS-CSSSQL-01,2011-03-07,MON,00:29:00,3512,16,5782,3512.0,17.42,5782.0
ITS-CSSSQL-01,2011-03-07,MON,00:34:00,3863,33,5699,3863.0,33.0,5699.9
ITS-CSSSQL-01,2011-03-07,MON,00:39:00,5502,35,5697,5477.27,35.0,5697.11
ITS-CSSSQL-01,2011-03-07,MON,00:44:00,58,37,5704,86.94,37.0,5703.02
ITS-CSSSQL-01,2011-03-07,MON,00:49:00,234,33,5695,259.12,33.0,5694.52
ITS-CSSSQL-01,2011-03-07,MON,00:54:00,2692,31,5706,2692.0,31.0,5705.45
ITS-CSSSQL-01,2011-03-07,MON,00:59:00,2341,33,5753,2341.0,33.0,5753.0
ITS-CSSSQL-01,2011-03-07,MON,01:04:00,5795,41,5823,5795.0,41.0,5822.79
ITS-CSSSQL-01,2011-03-07,MON,01:09:00,5854,45,5758,5854.0,45.0,5757.41
ITS-CSSSQL-01,2011-03-07,MON,01:14:00,5854,47,5753,5854.0,47.0,5753.0
ITS-CSSSQL-01,2011-03-07,MON,01:19:00,5678,39,5760,5678.0,39.0,5760.0
ITS-CSSSQL-01,2011-03-07,MON,01:25:00,5854,42,5750,5854.0,42.0,5748.99
ITS-CSSSQL-01,2011-03-07,MON,01:29:00,5795,36,5762,5795.0,36.0,5763.04
ITS-CSSSQL-01,2011-03-07,MON,01:34:00,5795,46,5790,5795.0,46.0,5789.52
ITS-CSSSQL-01,2011-03-07,MON,01:39:00,5854,41,5786,5854.0,41.0,5786.52
ITS-CSSSQL-01,2011-03-07,MON,01:44:00,5678,41,5805,5678.0,41.0,5806.07
ITS-CSSSQL-01,2011-03-07,MON,01:49:00,5854,38,5796,5854.0,38.0,5796.43
ITS-CSSSQL-01,2011-03-07,MON,01:54:00,5795,28,5799,5795.0,28.0,5799.48
ITS-CSSSQL-01,2011-03-07,MON,01:59:00,5795,33,5789,5795.0,33.0,5789.52
ITS-CSSSQL-01,2011-03-07,MON,02:04:00,5854,39,5779,5854.0,39.0,5779.0
ITS-CSSSQL-01,2011-03-07,MON,02:09:00,5678,46,5789,5678.0,46.0,5789.52
ITS-CSSSQL-01,2011-03-07,MON,02:14:00,5795,37,5664,5795.0,37.0,5664.63
ITS-CSSSQL-01,2011-03-07,MON,02:19:00,5854,35,5669,5854.0,35.0,5668.08
ITS-CSSSQL-01,2011-03-07,MON,02:24:00,5854,36,5704,5854.0,36.0,5703.02
ITS-CSSSQL-01,2011-03-07,MON,02:29:00,5678,41,5753,5678.0,41.0,5753.0
ITS-CSSSQL-01,2011-03-07,MON,02:34:00,5854,39,5767,5854.0,39.0,5767.0
ITS-CSSSQL-01,2011-03-07,MON,02:39:00,5854,32,5775,5854.0,32.0,5775.0
ITS-CSSSQL-01,2011-03-07,MON,02:44:00,5854,27,5786,5854.0,26.6,5786.52
ITS-CSSSQL-01,2011-03-07,MON,02:49:00,5795,26,5804,5795.0,26.6,5802.93
ITS-CSSSQL-01,2011-03-07,MON,02:54:00,5854,30,5789,5854.0,30.0,5789.52
ITS-CSSSQL-01,2011-03-07,MON,02:59:00,5854,33,5791,5854.0,33.0,5791.41
ITS-CSSSQL-01,2011-03-07,MON,03:04:00,5854,47,5796,5854.0,47.0,5796.43
ITS-CSSSQL-01,2011-03-07,MON,03:09:00,5854,54,5812,5854.0,54.0,5814.07
ITS-CSSSQL-01,2011-03-07,MON,03:14:00,5795,39,5784,5795.0,39.0,5784.0
ITS-CSSSQL-01,2011-03-07,MON,03:19:00,5795,38,5695,5795.0,38.0,5694.52
ITS-CSSSQL-01,2011-03-07,MON,03:24:00,5854,36,5665,5854.0,36.0,5664.63
ITS-CSSSQL-01,2011-03-07,MON,03:29:00,5854,36,5678,5854.0,36.0,5678.57
ITS-CSSSQL-01,2011-03-07,MON,03:34:00,5854,35,5708,5854.0,35.0,5707.51
ITS-CSSSQL-01,2011-03-07,MON,03:39:00,5854,34,5716,5854.0,34.0,5717.13
ITS-CSSSQL-01,2011-03-07,MON,03:44:00,5795,34,5743,5795.0,34.0,5743.0
ITS-CSSSQL-01,2011-03-07,MON,03:49:00,5795,36,5807,5795.0,36.0,5806.07
