NAME,DATE,WEEKDAY,TIME,CPU,BW,MEM,CPU_D,BW_D,MEM_D
ITS-FSRV,2011-03-07,MON,00:29:00,0,16,1626,0.0,14.86,1620.42
ITS-FSRV,2011-03-07,MON,00:34:00,0,4,1620,0.0,14.86,1620.42
ITS-FSRV,2011-03-07,MON,00:39:00,0,5,1619,0.0,14.86,1620.42
ITS-FSRV,2011-03-07,MON,00:44:00,0,5,1622,0.0,14.86,1620.42
ITS-FSRV,2011-03-07,MON,00:49:00,0,4,1618,0.0,14.86,1620.42
ITS-FSRV,2011-03-07,MON,00:54:00,0,4,1620,0.0,14.86,1620.42
ITS-FSRV,2011-03-07,MON,00:59:00,0,5,1622,0.0,14.86,1620.42
ITS-FSRV,2011-03-07,MON,01:04:00,0,5,1626,0.0,14.86,1620.42
ITS-FSRV,2011-03-07,MON,01:09:00,0,33,1619,0.0,48.0,1620.42
ITS-FSRV,2011-03-07,MON,01:14:00,0,5,1625,0.0,14.86,1620.42
ITS-FSRV,2011-03-07,MON,01:19:00,0,4,1619,0.0,14.86,1620.42
ITS-FSRV,2011-03-07,MON,01:25:00,117,5,1619,117.0,14.86,1620.42
ITS-FSRV,2011-03-07,MON,01:29:00,0,10,1624,0.0,14.86,1620.42
ITS-FSRV,2011-03-07,MON,01:34:00,0,5,1620,0.0,14.86,1620.42
ITS-FSRV,2011-03-07,MON,01:39:00,0,5,1618,0.0,14.86,1620.42
ITS-FSRV,2011-03-07,MON,01:44:00,0,11,1621,0.0,14.86,1620.42
ITS-FSRV,2011-03-07,MON,01:49:00,0,10,1622,0.0,14.86,1620.42
ITS-FSRV,2011-03-07,MON,01:54:00,0,5,1618,0.0,14.86,1620.42
ITS-FSRV,2011-03-07,MON,01:59:00,0,4,1622,0.0,14.86,1620.42
ITS-FSRV,2011-03-07,MON,02:04:00,0,5,1667,0.0,14.86,1668.59
ITS-FSRV,2011-03-07,MON,02:09:00,117,5,1621,117.0,14.86,1620.42
ITS-FSRV,2011-03-07,MON,02:14:00,0,33,1628,0.0,48.0,1620.42
ITS-FSRV,2011-03-07,MON,02:19:00,0,5,1621,0.0,14.86,1620.42
ITS-FSRV,2011-03-07,MON,02:24:00,0,4,1618,0.0,14.86,1620.42
ITS-FSRV,2011-03-07,MON,02:29:00,0,6,1632,0.0,14.86,1634.02
ITS-FSRV,2011-03-07,MON,02:34:00,0,4,1624,0.0,14.86,1620.42
ITS-FSRV,2011-03-07,MON,02:39:00,0,5,1621,0.0,14.86,1620.42
ITS-FSRV,2011-03-07,MON,02:44:00,0,5,1621,0.0,14.86,1620.42
ITS-FSRV,2011-03-07,MON,02:49:00,0,4,1618,0.0,14.86,1620.42
ITS-FSRV,2011-03-07,MON,02:54:00,0,4,1619,0.0,14.86,1620.42
ITS-FSRV,2011-03-07,MON,02:59:00,0,4,1621,0.0,14.86,1620.42
ITS-FSRV,2011-03-07,MON,03:04:00,0,33,1619,0.0,48.0,1620.42
ITS-FSRV,2011-03-07,MON,03:09:00,0,5,1619,0.0,14.86,1620.42
ITS-FSRV,2011-03-07,MON,03:14:00,0,10,1626,0.0,14.86,1620.42
ITS-FSRV,2011-03-07,MON,03:19:00,0,4,1619,0.0,14.86,1620.42
ITS-FSRV,2011-03-07,MON,03:24:00,0,5,1622,0.0,14.86,1620.42
ITS-FSRV,2011-03-07,MON,03:29:00,0,8,1625,0.0,14.86,1620.42
ITS-FSRV,2011-03-07,MON,03:34:00,0,3,1621,0.0,14.86,1620.42
ITS-FSRV,2011-03-07,MON,03:39:00,234,9,1638,234.0,14.86,1634.02
ITS-FSRV,2011-03-07,MON,03:44:00,234,4,1629,234.0,14.86,1634.02
ITS-FSRV,2011-03-07,MON,03:49:00,0,3,1619,0.0,14.86,1620.42
ITS-FSRV,2011-03-07,MON,03:54:00,0,4,1632,0.0,14.86,1634.02
ITS-FSRV,2011-03-07,MON,03:59:00,0,4,1636,0.0,14.86,1634.02
ITS-FSRV,2011-03-07,MON,04:04:00,0,33,1633,0.0,48.0,1634.02
ITS-FSRV,2011-03-07,MON,04:09:00,0,5,1629,0.0,14.86,1634.02
ITS-FSRV,2011-03-07,MON,04:14:00,0,5,1637,0.0,14.86,1634.02
ITS-FSRV,2011-03-07,MON,04:19:00,0,5,1631,0.0,14.86,1634.02
ITS-FSRV,2011-03-07,MON,04:24:00,0,4,1630,0.0,14.86,1634.02
ITS-FSRV,2011-03-07,MON,04:29:00,0,5,1635,0.0,14.86,1634.02
