NAME,DATE,WEEKDAY,TIME,CPU,BW,MEM,CPU_D,BW_D,MEM_D
ITS-GETSUMAIL,2011-03-07,MON,00:29:00,468,16,539,468.0,17.0,539.0
ITS-GETSUMAIL,2011-03-07,MON,00:34:00,234,0,539,234.0,0.02,539.0
ITS-GETSUMAIL,2011-03-07,MON,00:39:00,292,0,538,292.0,0.02,538.0
ITS-GETSUMAIL,2011-03-07,MON,00:44:00,204,0,539,204.0,0.02,539.0
ITS-GETSUMAIL,2011-03-07,MON,00:49:00,234,0,552,234.0,0.02,552.0
ITS-GETSUMAIL,2011-03-07,MON,00:54:00,234,0,554,234.0,0.02,554.0
ITS-GETSUMAIL,2011-03-07,MON,00:59:00,702,0,540,702.0,0.02,540.0
ITS-GETSUMAIL,2011-03-07,MON,01:04:00,117,6,537,117.0,0.02,537.0
ITS-GETSUMAIL,2011-03-07,MON,01:09:00,439,0,539,439.0,0.02,539.0
ITS-GETSUMAIL,2011-03-07,MON,01:14:00,292,0,540,292.0,0.02,540.0
ITS-GETSUMAIL,2011-03-07,MON,01:19:00,468,0,538,468.0,0.02,538.0
ITS-GETSUMAIL,2011-03-07,MON,01:25:00,321,0,540,321.0,0.02,540.0
ITS-GETSUMAIL,2011-03-07,MON,01:29:00,526,0,539,526.0,0.02,539.0
ITS-GETSUMAIL,2011-03-07,MON,01:34:00,702,0,541,702.0,0.02,541.0
ITS-GETSUMAIL,2011-03-07,MON,01:39:00,117,0,538,117.0,0.02,538.0
ITS-GETSUMAIL,2011-03-07,MON,01:44:00,292,0,538,292.0,0.02,538.0
ITS-GETSUMAIL,2011-03-07,MON,01:49:00,292,0,539,292.0,0.02,539.0
ITS-GETSUMAIL,2011-03-07,MON,01:54:00,351,0,536,351.0,0.02,536.0
ITS-GETSUMAIL,2011-03-07,MON,01:59:00,234,0,538,234.0,0.02,538.0
ITS-GETSUMAIL,2011-03-07,MON,02:04:00,204,0,564,204.0,0.02,564.0
ITS-GETSUMAIL,2011-03-07,MON,02:09:00,234,0,565,234.0,0.02,565.0
ITS-GETSUMAIL,2011-03-07,MON,02:14:00,321,0,562,321.0,0.02,562.0
