NAME,DATE,WEEKDAY,TIME,CPU,BW,MEM,CPU_D,BW_D,MEM_D
ITS-IISINT-01,2011-03-07,MON,00:29:00,292,16,381,292.0,14.35,381.0
ITS-IISINT-01,2011-03-07,MON,00:34:00,380,4,371,380.0,4.63,371.97
ITS-IISINT-01,2011-03-07,MON,00:39:00,439,4,389,439.0,4.63,389.0
ITS-IISINT-01,2011-03-07,MON,00:44:00,702,4,339,702.0,4.63,338.54
ITS-IISINT-01,2011-03-07,MON,00:49:00,526,4,317,526.0,4.63,317.56
ITS-IISINT-01,2011-03-07,MON,00:54:00,409,3,349,409.0,4.63,349.0
ITS-IISINT-01,2011-03-07,MON,00:59:00,468,3,346,468.0,4.63,346.51
ITS-IISINT-01,2011-03-07,MON,01:04:00,526,3,332,526.0,4.63,332.0
ITS-IISINT-01,2011-03-07,MON,01:09:00,614,3,345,614.0,4.63,345.0
ITS-IISINT-01,2011-03-07,MON,01:14:00,526,3,348,526.0,4.63,348.0
ITS-IISINT-01,2011-03-07,MON,01:19:00,556,3,328,556.0,4.63,328.0
ITS-IISINT-01,2011-03-07,MON,01:25:00,321,9,352,321.0,4.63,352.0
ITS-IISINT-01,2011-03-07,MON,01:29:00,439,2,344,439.0,4.63,344.0
ITS-IISINT-01,2011-03-07,MON,01:34:00,321,2,341,321.0,4.63,340.55
ITS-IISINT-01,2011-03-07,MON,01:39:00,234,3,361,234.0,4.63,361.51
ITS-IISINT-01,2011-03-07,MON,01:44:00,380,2,354,380.0,4.63,354.0
ITS-IISINT-01,2011-03-07,MON,01:49:00,292,3,339,292.0,4.63,338.54
ITS-IISINT-01,2011-03-07,MON,01:54:00,380,3,352,380.0,4.63,352.0
ITS-IISINT-01,2011-03-07,MON,01:59:00,321,2,344,321.0,4.63,344.0
ITS-IISINT-01,2011-03-07,MON,02:04:00,380,2,334,380.0,4.63,334.0
ITS-IISINT-01,2011-03-07,MON,02:09:00,380,2,358,380.0,4.63,357.52
ITS-IISINT-01,2011-03-07,MON,02:14:00,439,2,359,439.0,4.63,359.48
ITS-IISINT-01,2011-03-07,MON,02:19:00,468,2,342,468.0,4.63,342.53
ITS-IISINT-01,2011-03-07,MON,02:24:00,439,1,361,439.0,4.63,361.51
ITS-IISINT-01,2011-03-07,MON,02:29:00,234,2,354,234.0,4.63,354.0
ITS-IISINT-01,2011-03-07,MON,02:34:00,439,2,338,439.0,4.63,338.54
ITS-IISINT-01,2011-03-07,MON,02:39:00,234,2,355,234.0,4.63,355.0
ITS-IISINT-01,2011-03-07,MON,02:44:00,321,1,356,321.0,4.63,356.0
ITS-IISINT-01,2011-03-07,MON,02:49:00,380,1,334,380.0,4.63,334.0
ITS-IISINT-01,2011-03-07,MON,02:54:00,643,2,360,643.0,4.63,359.48
ITS-IISINT-01,2011-03-07,MON,02:59:00,614,1,355,614.0,4.63,355.0
ITS-IISINT-01,2011-03-07,MON,03:04:00,526,2,346,526.0,4.63,346.51
ITS-IISINT-01,2011-03-07,MON,03:09:00,439,1,354,439.0,4.63,354.0
ITS-IISINT-01,2011-03-07,MON,03:14:00,234,1,360,234.0,4.63,359.48
ITS-IISINT-01,2011-03-07,MON,03:19:00,439,1,338,439.0,4.63,338.54
ITS-IISINT-01,2011-03-07,MON,03:24:00,321,1,358,321.0,4.63,357.52
ITS-IISINT-01,2011-03-07,MON,03:29:00,439,2,358,439.0,4.63,357.52
ITS-IISINT-01,2011-03-07,MON,03:34:00,439,2,344,439.0,4.63,344.0
ITS-IISINT-01,2011-03-07,MON,03:39:00,292,1,378,292.0,4.63,378.0
ITS-IISINT-01,2011-03-07,MON,03:44:00,380,1,355,380.0,4.63,355.0
ITS-IISINT-01,2011-03-07,MON,03:49:00,321,1,335,321.0,4.63,335.0
ITS-IISINT-01,2011-03-07,MON,03:54:00,439,1,356,439.0,4.63,356.0
ITS-IISINT-01,2011-03-07,MON,03:59:00,614,1,351,614.0,4.63,350.53
ITS-IISINT-01,2011-03-07,MON,04:04:00,380,1,340,380.0,4.63,340.55
ITS-IISINT-01,2011-03-07,MON,04:09:00,409,1,371,409.0,4.63,371.97
ITS-IISINT-01,2011-03-07,MON,04:14:00,439,1,372,439.0,4.63,371.97
ITS-IISINT-01,2011-03-07,MON,04:19:00,292,1,355,292.0,4.63,355.0
ITS-IISINT-01,2011-03-07,MON,04:24:00,468,1,375,468.0,4.63,374.5
ITS-IISINT-01,2011-03-07,MON,04:29:00,234,1,364,234.0,4.63,364.0
ITS-IISINT-01,2011-03-07,MON,04:34:00,321,1,353,321.0,4.63,353.0
ITS-IISINT-01,2011-03-07,MON,04:39:00,2927,100,433,2723.43,85.09,434.61
ITS-IISINT-01,2011-03-07,MON,04:44:00,1931,994,446,1970.19,994.0,447.77
ITS-IISINT-01,2011-03-07,MON,04:49:00,2224,8554,441,1970.19,9793.07,447.77
ITS-IISINT-01,2011-03-07,MON,04:54:00,2663,7738,390,2723.43,9793.07,390.0
ITS-IISINT-01,2011-03-07,MON,04:59:00,2517,7668,408,2723.43,9793.07,408.42
ITS-IISINT-01,2011-03-07,MON,05:04:00,321,4040,313,321.0,4226.47,312.85
ITS-IISINT-01,2011-03-07,MON,05:09:00,292,1,335,292.0,4.63,335.0
ITS-IISINT-01,2011-03-07,MON,05:14:00,292,2,336,292.0,4.63,336.57
ITS-IISINT-01,2011-03-07,MON,05:19:00,292,2,311,292.0,4.63,312.85
ITS-IISINT-01,2011-03-07,MON,05:24:00,556,1,333,556.0,4.63,333.0
ITS-IISINT-01,2011-03-07,MON,05:29:00,556,1,333,556.0,4.63,333.0
ITS-IISINT-01,2011-03-07,MON,05:34:00,380,2,320,380.0,4.63,320.51
ITS-IISINT-01,2011-03-07,MON,05:39:00,497,1,352,497.0,4.63,352.0
ITS-IISINT-01,2011-03-07,MON,05:44:00,321,2,366,321.0,4.63,365.54
ITS-IISINT-01,2011-03-07,MON,05:49:00,468,1,354,468.0,4.63,354.0
ITS-IISINT-01,2011-03-07,MON,05:54:00,234,1,374,234.0,4.63,374.5
ITS-IISINT-01,2011-03-07,MON,05:59:00,380,1,372,380.0,4.63,371.97
ITS-IISINT-01,2011-03-07,MON,06:04:00,380,2,358,380.0,4.63,357.52
ITS-IISINT-01,2011-03-07,MON,06:09:00,380,2,386,380.0,4.63,386.0
ITS-IISINT-01,2011-03-07,MON,06:14:00,380,2,383,380.0,4.63,383.0
ITS-IISINT-01,2011-03-07,MON,06:19:00,292,2,367,292.0,4.63,367.48
ITS-IISINT-01,2011-03-07,MON,06:24:00,556,2,387,556.0,4.63,387.0
ITS-IISINT-01,2011-03-07,MON,06:29:00,497,1,349,497.0,4.63,349.0
ITS-IISINT-01,2011-03-07,MON,06:34:00,468,2,332,468.0,4.63,332.0
ITS-IISINT-01,2011-03-07,MON,06:39:00,468,3,365,468.0,4.63,365.54
ITS-IISINT-01,2011-03-07,MON,06:44:00,526,2,361,526.0,4.63,361.51
ITS-IISINT-01,2011-03-07,MON,06:49:00,234,3,348,234.0,4.63,348.0
ITS-IISINT-01,2011-03-07,MON,06:54:00,702,3,373,702.0,4.63,371.97
ITS-IISINT-01,2011-03-07,MON,06:59:00,380,3,366,380.0,4.63,365.54
ITS-IISINT-01,2011-03-07,MON,07:04:00,321,5,355,321.0,4.63,355.0
ITS-IISINT-01,2011-03-07,MON,07:09:00,556,5,378,556.0,4.63,378.0
ITS-IISINT-01,2011-03-07,MON,07:14:00,526,5,376,526.0,4.63,376.46
ITS-IISINT-01,2011-03-07,MON,07:19:00,380,6,357,380.0,4.63,357.52
ITS-IISINT-01,2011-03-07,MON,07:24:00,234,6,377,234.0,4.63,376.46
ITS-IISINT-01,2011-03-07,MON,07:29:00,526,5,389,526.0,4.63,389.0
ITS-IISINT-01,2011-03-07,MON,07:34:00,380,5,359,380.0,4.63,359.48
ITS-IISINT-01,2011-03-07,MON,07:39:00,234,6,378,234.0,4.63,378.0
ITS-IISINT-01,2011-03-07,MON,07:44:00,292,5,375,292.0,4.63,374.5
ITS-IISINT-01,2011-03-07,MON,07:49:00,468,5,357,468.0,4.63,357.52
ITS-IISINT-01,2011-03-07,MON,07:54:00,292,5,378,292.0,4.63,378.0
ITS-IISINT-01,2011-03-07,MON,07:59:00,321,5,371,321.0,4.63,371.97
ITS-IISINT-01,2011-03-07,MON,08:04:00,292,6,360,292.0,4.63,359.48
ITS-IISINT-01,2011-03-07,MON,08:09:00,468,5,390,468.0,4.63,390.0
ITS-IISINT-01,2011-03-07,MON,08:14:00,468,5,388,468.0,4.63,388.0
ITS-IISINT-01,2011-03-07,MON,08:19:00,380,7,371,380.0,4.63,371.97
ITS-IISINT-01,2011-03-07,MON,08:24:00,380,5,393,380.0,4.63,392.56
ITS-IISINT-01,2011-03-07,MON,08:29:00,380,6,392,380.0,4.63,392.56
ITS-IISINT-01,2011-03-07,MON,08:34:00,526,4,373,526.0,4.63,371.97
ITS-IISINT-01,2011-03-07,MON,08:39:00,380,6,392,380.0,4.63,392.56
ITS-IISINT-01,2011-03-07,MON,08:44:00,790,6,401,790.0,4.63,401.43
ITS-IISINT-01,2011-03-07,MON,08:49:00,439,6,368,439.0,4.63,367.48
ITS-IISINT-01,2011-03-07,MON,08:54:00,292,7,388,292.0,4.63,388.0
ITS-IISINT-01,2011-03-07,MON,08:59:00,556,7,383,556.0,4.63,383.0
ITS-IISINT-01,2011-03-07,MON,09:04:00,292,8,370,292.0,4.63,370.0
ITS-IISINT-01,2011-03-07,MON,09:09:00,468,8,390,468.0,4.63,390.0
ITS-IISINT-01,2011-03-07,MON,09:14:00,380,8,392,380.0,4.63,392.56
ITS-IISINT-01,2011-03-07,MON,09:19:00,380,8,374,380.0,4.63,374.5
ITS-IISINT-01,2011-03-07,MON,09:24:00,292,9,392,292.0,4.63,392.56
ITS-IISINT-01,2011-03-07,MON,09:29:00,321,7,384,321.0,4.63,384.56
ITS-IISINT-01,2011-03-07,MON,09:34:00,321,9,373,321.0,4.63,371.97
ITS-IISINT-01,2011-03-07,MON,09:39:00,234,9,393,234.0,4.63,392.56
ITS-IISINT-01,2011-03-07,MON,09:44:00,321,9,386,321.0,4.63,386.0
ITS-IISINT-01,2011-03-07,MON,09:49:00,292,11,373,292.0,4.63,371.97
ITS-IISINT-01,2011-03-07,MON,09:54:00,58,7,384,58.0,4.63,384.56
ITS-IISINT-01,2011-03-07,MON,09:59:00,321,9,385,321.0,4.63,384.56
ITS-IISINT-01,2011-03-07,MON,10:04:00,995,10,371,1075.67,4.63,371.97
ITS-IISINT-01,2011-03-07,MON,10:09:00,468,8,394,468.0,4.63,394.0
ITS-IISINT-01,2011-03-07,MON,10:14:00,292,8,394,292.0,4.63,394.0
ITS-IISINT-01,2011-03-07,MON,10:19:00,380,8,373,380.0,4.63,371.97
ITS-IISINT-01,2011-03-07,MON,10:24:00,468,6,396,468.0,4.63,396.0
ITS-IISINT-01,2011-03-07,MON,10:29:00,702,8,385,702.0,4.63,384.56
ITS-IISINT-01,2011-03-07,MON,10:34:00,234,11,376,234.0,4.63,376.46
ITS-IISINT-01,2011-03-07,MON,10:39:00,292,8,385,292.0,4.63,384.56
ITS-IISINT-01,2011-03-07,MON,10:44:00,468,8,391,468.0,4.63,391.0
ITS-IISINT-01,2011-03-07,MON,10:49:00,439,10,374,439.0,4.63,374.5
ITS-IISINT-01,2011-03-07,MON,10:54:00,380,8,393,380.0,4.63,392.56
ITS-IISINT-01,2011-03-07,MON,10:59:00,556,9,392,556.0,4.63,392.56
ITS-IISINT-01,2011-03-07,MON,11:04:00,409,8,378,409.0,4.63,378.0
ITS-IISINT-01,2011-03-07,MON,11:09:00,556,9,412,556.0,4.63,411.11
ITS-IISINT-01,2011-03-07,MON,11:14:00,292,8,410,292.0,4.63,411.11
ITS-IISINT-01,2011-03-07,MON,11:19:00,556,8,394,556.0,4.63,394.0
ITS-IISINT-01,2011-03-07,MON,11:24:00,321,9,414,321.0,4.63,414.45
ITS-IISINT-01,2011-03-07,MON,11:29:00,204,8,408,204.0,4.63,408.42
ITS-IISINT-01,2011-03-07,MON,11:34:00,380,9,409,380.0,4.63,408.42
ITS-IISINT-01,2011-03-07,MON,11:39:00,614,8,322,614.0,4.63,322.0
ITS-IISINT-01,2011-03-07,MON,11:44:00,321,9,302,321.0,4.63,305.29
ITS-IISINT-01,2011-03-07,MON,11:49:00,321,9,289,321.0,4.63,293.77
ITS-IISINT-01,2011-03-07,MON,11:54:00,204,8,314,204.0,4.63,312.85
ITS-IISINT-01,2011-03-07,MON,11:59:00,292,9,308,292.0,4.63,305.29
ITS-IISINT-01,2011-03-07,MON,12:04:00,380,10,298,380.0,4.63,293.77
ITS-IISINT-01,2011-03-07,MON,12:09:00,292,10,335,292.0,4.63,335.0
ITS-IISINT-01,2011-03-07,MON,12:14:00,526,8,334,526.0,4.63,334.0
ITS-IISINT-01,2011-03-07,MON,12:19:00,234,9,318,234.0,4.63,317.56
ITS-IISINT-01,2011-03-07,MON,12:24:00,526,8,337,526.0,4.63,336.57
ITS-IISINT-01,2011-03-07,MON,12:29:00,292,10,333,292.0,4.63,333.0
ITS-IISINT-01,2011-03-07,MON,12:34:00,468,9,336,468.0,4.63,336.57
ITS-IISINT-01,2011-03-07,MON,12:39:00,234,9,326,234.0,4.63,325.53
ITS-IISINT-01,2011-03-07,MON,12:44:00,234,9,331,234.0,4.63,331.0
ITS-IISINT-01,2011-03-07,MON,12:49:00,439,8,316,439.0,4.63,317.56
ITS-IISINT-01,2011-03-07,MON,12:54:00,526,9,337,526.0,4.63,336.57
ITS-IISINT-01,2011-03-07,MON,12:59:00,204,8,327,204.0,4.63,327.0
ITS-IISINT-01,2011-03-07,MON,13:04:00,439,8,322,439.0,4.63,322.0
ITS-IISINT-01,2011-03-07,MON,13:09:00,321,10,342,321.0,4.63,342.53
ITS-IISINT-01,2011-03-07,MON,13:14:00,321,10,340,321.0,4.63,340.55
ITS-IISINT-01,2011-03-07,MON,13:19:00,292,8,324,292.0,4.63,323.57
ITS-IISINT-01,2011-03-07,MON,13:24:00,468,9,346,468.0,4.63,346.51
ITS-IISINT-01,2011-03-07,MON,13:29:00,526,9,337,526.0,4.63,336.57
ITS-IISINT-01,2011-03-07,MON,13:34:00,468,8,324,468.0,4.63,323.57
ITS-IISINT-01,2011-03-07,MON,13:39:00,321,9,337,321.0,4.63,336.57
ITS-IISINT-01,2011-03-07,MON,13:44:00,468,10,336,468.0,4.63,336.57
ITS-IISINT-01,2011-03-07,MON,13:49:00,321,9,348,321.0,4.63,348.0
ITS-IISINT-01,2011-03-07,MON,13:54:00,380,10,340,380.0,4.63,340.55
ITS-IISINT-01,2011-03-07,MON,13:59:00,556,10,335,556.0,4.63,335.0
ITS-IISINT-01,2011-03-07,MON,14:04:00,292,7,322,292.0,4.63,322.0
ITS-IISINT-01,2011-03-07,MON,14:09:00,292,8,344,292.0,4.63,344.0
ITS-IISINT-01,2011-03-07,MON,14:14:00,468,8,343,468.0,4.63,342.53
ITS-IISINT-01,2011-03-07,MON,14:19:00,526,10,328,526.0,4.63,328.0
ITS-IISINT-01,2011-03-07,MON,14:24:00,526,9,347,526.0,4.63,346.51
ITS-IISINT-01,2011-03-07,MON,14:29:00,234,10,335,234.0,4.63,335.0
ITS-IISINT-01,2011-03-07,MON,14:34:00,321,9,326,321.0,4.63,325.53
ITS-IISINT-01,2011-03-07,MON,14:39:00,321,9,341,321.0,4.63,340.55
ITS-IISINT-01,2011-03-07,MON,14:44:00,468,8,339,468.0,4.63,338.54
ITS-IISINT-01,2011-03-07,MON,14:49:00,556,9,323,556.0,4.63,323.57
ITS-IISINT-01,2011-03-07,MON,14:54:00,58,10,341,58.0,4.63,340.55
ITS-IISINT-01,2011-03-07,MON,14:59:00,497,8,338,497.0,4.63,338.54
ITS-IISINT-01,2011-03-07,MON,15:04:00,321,8,324,321.0,4.63,323.57
ITS-IISINT-01,2011-03-07,MON,15:09:00,380,9,345,380.0,4.63,345.0
ITS-IISINT-01,2011-03-07,MON,15:14:00,439,9,340,439.0,4.63,340.55
ITS-IISINT-01,2011-03-07,MON,15:19:00,526,7,325,526.0,4.63,325.53
ITS-IISINT-01,2011-03-07,MON,15:24:00,292,9,346,292.0,4.63,346.51
ITS-IISINT-01,2011-03-07,MON,15:29:00,614,7,340,614.0,4.63,340.55
ITS-IISINT-01,2011-03-07,MON,15:34:00,234,11,328,234.0,4.63,328.0
ITS-IISINT-01,2011-03-07,MON,15:39:00,29,6,343,29.0,4.63,342.53
ITS-IISINT-01,2011-03-07,MON,15:44:00,556,9,341,556.0,4.63,340.55
ITS-IISINT-01,2011-03-07,MON,15:49:00,321,9,327,321.0,4.63,327.0
ITS-IISINT-01,2011-03-07,MON,15:54:00,321,9,345,321.0,4.63,345.0
ITS-IISINT-01,2011-03-07,MON,15:59:00,234,7,337,234.0,4.63,336.57
ITS-IISINT-01,2011-03-07,MON,16:04:00,380,8,327,380.0,4.63,327.0
ITS-IISINT-01,2011-03-07,MON,16:09:00,380,9,348,380.0,4.63,348.0
ITS-IISINT-01,2011-03-07,MON,16:14:00,468,10,347,468.0,4.63,346.51
ITS-IISINT-01,2011-03-07,MON,16:19:00,643,9,332,643.0,4.63,332.0
ITS-IISINT-01,2011-03-07,MON,16:24:00,292,8,351,292.0,4.63,350.53
ITS-IISINT-01,2011-03-07,MON,16:29:00,614,9,342,614.0,4.63,342.53
ITS-IISINT-01,2011-03-07,MON,16:34:00,380,8,329,380.0,4.63,329.0
ITS-IISINT-01,2011-03-07,MON,16:39:00,526,8,335,526.0,4.63,335.0
ITS-IISINT-01,2011-03-07,MON,16:44:00,468,9,342,468.0,4.63,342.53
ITS-IISINT-01,2011-03-07,MON,16:49:00,497,7,325,497.0,4.63,325.53
ITS-IISINT-01,2011-03-07,MON,16:54:00,380,8,330,380.0,4.63,330.0
ITS-IISINT-01,2011-03-07,MON,16:59:00,614,9,323,614.0,4.63,323.57
ITS-IISINT-01,2011-03-07,MON,17:04:00,526,7,312,526.0,4.63,312.85
ITS-IISINT-01,2011-03-07,MON,17:09:00,29,9,325,29.0,4.63,325.53
ITS-IISINT-01,2011-03-07,MON,17:14:00,380,8,331,380.0,4.63,331.0
