NAME,DATE,WEEKDAY,TIME,CPU,BW,MEM,CPU_D,BW_D,MEM_D
ITS-LISTSERV,2011-03-07,MON,00:29:00,58,16,1164,58.0,13.08,1163.47
ITS-LISTSERV,2011-03-07,MON,00:34:00,1755,13,1103,1727.4,13.08,1102.49
ITS-LISTSERV,2011-03-07,MON,00:39:00,58,13,1059,58.0,13.08,1054.81
ITS-LISTSERV,2011-03-07,MON,00:44:00,58,15,1053,58.0,13.08,1054.81
ITS-LISTSERV,2011-03-07,MON,00:49:00,58,14,1073,58.0,13.08,1075.09
ITS-LISTSERV,2011-03-07,MON,00:54:00,1228,16,1075,1228.0,13.08,1075.09
ITS-LISTSERV,2011-03-07,MON,00:59:00,58,12,1075,58.0,13.08,1075.09
ITS-LISTSERV,2011-03-07,MON,01:04:00,58,11,1093,58.0,13.08,1093.34
ITS-LISTSERV,2011-03-07,MON,01:09:00,117,33,1084,117.0,30.85,1083.06
ITS-LISTSERV,2011-03-07,MON,01:14:00,58,36,1082,58.0,30.85,1083.06
ITS-LISTSERV,2011-03-07,MON,01:19:00,117,52,1073,117.0,62.52,1075.09
ITS-LISTSERV,2011-03-07,MON,01:25:00,58,41,1081,58.0,30.85,1083.06
ITS-LISTSERV,2011-03-07,MON,01:29:00,58,21,1079,58.0,13.08,1075.09
ITS-LISTSERV,2011-03-07,MON,01:34:00,58,14,1081,58.0,13.08,1083.06
ITS-LISTSERV,2011-03-07,MON,01:39:00,58,18,1080,58.0,13.08,1083.06
ITS-LISTSERV,2011-03-07,MON,01:44:00,58,20,1081,58.0,13.08,1083.06
ITS-LISTSERV,2011-03-07,MON,01:49:00,58,19,1084,58.0,13.08,1083.06
ITS-LISTSERV,2011-03-07,MON,01:54:00,58,12,1082,58.0,13.08,1083.06
ITS-LISTSERV,2011-03-07,MON,01:59:00,117,15,1081,117.0,13.08,1083.06
ITS-LISTSERV,2011-03-07,MON,02:04:00,292,16,1080,292.0,13.08,1083.06
ITS-LISTSERV,2011-03-07,MON,02:09:00,58,11,1085,58.0,13.08,1083.06
ITS-LISTSERV,2011-03-07,MON,02:14:00,58,16,1094,58.0,13.08,1093.34
ITS-LISTSERV,2011-03-07,MON,02:19:00,58,15,1088,58.0,13.08,1089.01
ITS-LISTSERV,2011-03-07,MON,02:24:00,58,15,1094,58.0,13.08,1093.34
ITS-LISTSERV,2011-03-07,MON,02:29:00,58,15,1098,58.0,13.08,1097.0
ITS-LISTSERV,2011-03-07,MON,02:34:00,58,22,1096,58.0,13.08,1097.0
ITS-LISTSERV,2011-03-07,MON,02:39:00,58,13,1085,58.0,13.08,1083.06
ITS-LISTSERV,2011-03-07,MON,02:44:00,58,15,1086,58.0,13.08,1083.06
ITS-LISTSERV,2011-03-07,MON,02:49:00,292,13,1079,292.0,13.08,1075.09
ITS-LISTSERV,2011-03-07,MON,02:54:00,234,10,1082,234.0,13.08,1083.06
ITS-LISTSERV,2011-03-07,MON,02:59:00,58,15,1083,58.0,13.08,1083.06
ITS-LISTSERV,2011-03-07,MON,03:04:00,58,18,1091,58.0,13.08,1089.01
ITS-LISTSERV,2011-03-07,MON,03:09:00,643,15,1092,643.0,13.08,1093.34
ITS-LISTSERV,2011-03-07,MON,03:14:00,58,11,1088,58.0,13.08,1089.01
ITS-LISTSERV,2011-03-07,MON,03:19:00,58,14,1089,58.0,13.08,1089.01
ITS-LISTSERV,2011-03-07,MON,03:24:00,117,36,1094,117.0,30.85,1093.34
