NAME,DATE,WEEKDAY,TIME,CPU,BW,MEM,CPU_D,BW_D,MEM_D
ITS-MYSITED-01,2011-03-07,MON,00:29:00,117,16,350,117.0,0.02,350.0
ITS-MYSITED-01,2011-03-07,MON,00:34:00,117,0,343,117.0,0.02,343.0
ITS-MYSITED-01,2011-03-07,MON,00:39:00,58,0,320,58.0,0.02,320.46
ITS-MYSITED-01,2011-03-07,MON,00:44:00,58,0,350,58.0,0.02,350.0
ITS-MYSITED-01,2011-03-07,MON,00:49:00,146,0,344,146.0,0.02,344.0
ITS-MYSITED-01,2011-03-07,MON,00:54:00,58,0,319,58.0,0.02,318.61
ITS-MYSITED-01,2011-03-07,MON,00:59:00,117,0,351,117.0,0.02,351.0
ITS-MYSITED-01,2011-03-07,MON,01:04:00,117,0,344,117.0,0.02,344.0
ITS-MYSITED-01,2011-03-07,MON,01:09:00,234,0,321,234.0,0.02,320.46
ITS-MYSITED-01,2011-03-07,MON,01:14:00,58,0,356,58.0,0.02,356.0
ITS-MYSITED-01,2011-03-07,MON,01:19:00,204,0,340,204.0,0.02,339.02
ITS-MYSITED-01,2011-03-07,MON,01:25:00,146,0,310,146.0,0.02,310.57
ITS-MYSITED-01,2011-03-07,MON,01:29:00,146,6,352,146.0,0.02,352.0
ITS-MYSITED-01,2011-03-07,MON,01:34:00,146,0,344,146.0,0.02,344.0
ITS-MYSITED-01,2011-03-07,MON,01:39:00,117,0,323,117.0,0.02,323.1
ITS-MYSITED-01,2011-03-07,MON,01:44:00,117,0,352,117.0,0.02,352.0
ITS-MYSITED-01,2011-03-07,MON,01:49:00,58,0,347,58.0,0.02,347.0
ITS-MYSITED-01,2011-03-07,MON,01:54:00,409,0,315,409.0,0.02,314.55
ITS-MYSITED-01,2011-03-07,MON,01:59:00,58,0,334,58.0,0.02,334.0
ITS-MYSITED-01,2011-03-07,MON,02:04:00,58,0,308,58.0,0.02,308.0
ITS-MYSITED-01,2011-03-07,MON,02:09:00,117,0,312,117.0,0.02,312.59
ITS-MYSITED-01,2011-03-07,MON,02:14:00,234,0,360,234.0,0.02,360.0
ITS-MYSITED-01,2011-03-07,MON,02:19:00,117,0,350,117.0,0.02,350.0
ITS-MYSITED-01,2011-03-07,MON,02:24:00,117,0,319,117.0,0.02,318.61
ITS-MYSITED-01,2011-03-07,MON,02:29:00,204,0,358,204.0,0.02,358.0
ITS-MYSITED-01,2011-03-07,MON,02:34:00,204,0,350,204.0,0.02,350.0
ITS-MYSITED-01,2011-03-07,MON,02:39:00,58,0,326,58.0,0.02,326.0
ITS-MYSITED-01,2011-03-07,MON,02:44:00,29,0,355,29.0,0.02,355.0
ITS-MYSITED-01,2011-03-07,MON,02:49:00,117,0,354,117.0,0.02,354.0
ITS-MYSITED-01,2011-03-07,MON,02:54:00,58,0,325,58.0,0.02,326.0
ITS-MYSITED-01,2011-03-07,MON,02:59:00,117,0,364,117.0,0.02,364.0
ITS-MYSITED-01,2011-03-07,MON,03:04:00,117,0,355,117.0,0.02,355.0
ITS-MYSITED-01,2011-03-07,MON,03:09:00,117,0,330,117.0,0.02,330.0
ITS-MYSITED-01,2011-03-07,MON,03:14:00,146,0,361,146.0,0.02,361.0
ITS-MYSITED-01,2011-03-07,MON,03:19:00,204,0,352,204.0,0.02,352.0
ITS-MYSITED-01,2011-03-07,MON,03:24:00,58,0,325,58.0,0.02,326.0
ITS-MYSITED-01,2011-03-07,MON,03:29:00,58,0,359,58.0,0.02,359.0
ITS-MYSITED-01,2011-03-07,MON,03:34:00,321,0,353,321.0,0.02,353.0
ITS-MYSITED-01,2011-03-07,MON,03:39:00,790,0,347,790.0,0.02,347.0
ITS-MYSITED-01,2011-03-07,MON,03:44:00,439,0,363,439.0,0.02,363.0
ITS-MYSITED-01,2011-03-07,MON,03:49:00,58,0,417,58.0,0.02,416.91
ITS-MYSITED-01,2011-03-07,MON,03:54:00,234,0,393,234.0,0.02,393.0
