NAME,DATE,WEEKDAY,TIME,CPU,BW,MEM,CPU_D,BW_D,MEM_D
ITS-MYSITEP-01,2011-03-07,MON,00:29:00,146,16,528,146.0,7.39,527.53
ITS-MYSITEP-01,2011-03-07,MON,00:34:00,58,0,499,58.0,0.0,498.02
ITS-MYSITEP-01,2011-03-07,MON,00:39:00,117,0,532,117.0,0.0,532.0
ITS-MYSITEP-01,2011-03-07,MON,00:44:00,29,0,522,29.0,0.0,522.0
ITS-MYSITEP-01,2011-03-07,MON,00:49:00,117,0,495,117.0,0.0,495.06
ITS-MYSITEP-01,2011-03-07,MON,00:54:00,146,0,526,146.0,0.0,526.0
ITS-MYSITEP-01,2011-03-07,MON,00:59:00,58,0,525,58.0,0.0,525.0
ITS-MYSITEP-01,2011-03-07,MON,01:04:00,146,0,497,146.0,0.0,498.02
ITS-MYSITEP-01,2011-03-07,MON,01:09:00,117,0,530,117.0,0.0,529.47
ITS-MYSITEP-01,2011-03-07,MON,01:14:00,0,0,525,0.0,0.0,525.0
ITS-MYSITEP-01,2011-03-07,MON,01:19:00,58,0,498,58.0,0.0,498.02
ITS-MYSITEP-01,2011-03-07,MON,01:25:00,58,0,527,58.0,0.0,527.53
ITS-MYSITEP-01,2011-03-07,MON,01:29:00,58,7,528,58.0,7.39,527.53
ITS-MYSITEP-01,2011-03-07,MON,01:34:00,58,0,500,58.0,0.0,500.0
ITS-MYSITEP-01,2011-03-07,MON,01:39:00,146,0,528,146.0,0.0,527.53
ITS-MYSITEP-01,2011-03-07,MON,01:44:00,0,0,518,0.0,0.0,518.0
ITS-MYSITEP-01,2011-03-07,MON,01:49:00,58,0,496,58.0,0.0,495.06
ITS-MYSITEP-01,2011-03-07,MON,01:54:00,263,0,529,263.0,0.0,529.47
ITS-MYSITEP-01,2011-03-07,MON,01:59:00,58,0,527,58.0,0.0,527.53
ITS-MYSITEP-01,2011-03-07,MON,02:04:00,0,0,501,0.0,0.0,501.55
ITS-MYSITEP-01,2011-03-07,MON,02:09:00,58,0,531,58.0,0.0,531.0
ITS-MYSITEP-01,2011-03-07,MON,02:14:00,204,0,528,204.0,0.0,527.53
ITS-MYSITEP-01,2011-03-07,MON,02:19:00,117,0,503,117.0,0.0,503.49
ITS-MYSITEP-01,2011-03-07,MON,02:24:00,117,0,532,117.0,0.0,532.0
