NAME,DATE,WEEKDAY,TIME,CPU,BW,MEM,CPU_D,BW_D,MEM_D
ITS-MYSITEW-01,2011-03-07,MON,00:29:00,3044,16,1779,3044.0,5.94,1776.78
ITS-MYSITEW-01,2011-03-07,MON,00:34:00,4214,150,1864,4187.61,152.64,1863.94
ITS-MYSITEW-01,2011-03-07,MON,00:39:00,3863,156,1780,3863.0,152.64,1776.78
ITS-MYSITEW-01,2011-03-07,MON,00:44:00,1931,154,1782,1931.0,152.64,1784.56
ITS-MYSITEW-01,2011-03-07,MON,00:49:00,3805,160,1753,3805.0,160.93,1749.46
ITS-MYSITEW-01,2011-03-07,MON,00:54:00,3570,156,1752,3570.0,152.64,1749.46
ITS-MYSITEW-01,2011-03-07,MON,00:59:00,3980,166,1781,3980.0,170.66,1784.56
ITS-MYSITEW-01,2011-03-07,MON,01:04:00,3336,153,1779,3336.0,152.64,1776.78
ITS-MYSITEW-01,2011-03-07,MON,01:09:00,4975,161,1754,4975.0,160.93,1749.46
ITS-MYSITEW-01,2011-03-07,MON,01:14:00,3512,160,1777,3512.0,160.93,1776.78
ITS-MYSITEW-01,2011-03-07,MON,01:19:00,2048,155,1767,2048.0,152.64,1764.7
ITS-MYSITEW-01,2011-03-07,MON,01:25:00,4800,177,1739,4800.0,181.23,1737.78
ITS-MYSITEW-01,2011-03-07,MON,01:29:00,5151,135,1763,5151.0,137.54,1764.7
ITS-MYSITEW-01,2011-03-07,MON,01:34:00,4449,159,1761,4449.0,160.93,1757.98
ITS-MYSITEW-01,2011-03-07,MON,01:39:00,58,153,1740,70.1,152.64,1737.78
ITS-MYSITEW-01,2011-03-07,MON,01:44:00,4624,175,1763,4624.0,170.66,1764.7
ITS-MYSITEW-01,2011-03-07,MON,01:49:00,4039,154,1768,4039.0,152.64,1770.38
ITS-MYSITEW-01,2011-03-07,MON,01:54:00,2341,170,1736,2341.0,170.66,1737.78
ITS-MYSITEW-01,2011-03-07,MON,01:59:00,2692,154,1770,2723.89,152.64,1770.38
ITS-MYSITEW-01,2011-03-07,MON,02:04:00,3395,147,1765,3395.0,152.64,1764.7
ITS-MYSITEW-01,2011-03-07,MON,02:09:00,5034,159,1743,5034.0,160.93,1737.78
ITS-MYSITEW-01,2011-03-07,MON,02:14:00,4331,155,1772,4331.0,152.64,1770.38
ITS-MYSITEW-01,2011-03-07,MON,02:19:00,2341,152,1759,2341.0,152.64,1757.98
ITS-MYSITEW-01,2011-03-07,MON,02:24:00,4331,159,1736,4331.0,160.93,1737.78
ITS-MYSITEW-01,2011-03-07,MON,02:29:00,3570,157,1763,3570.0,160.93,1764.7
ITS-MYSITEW-01,2011-03-07,MON,02:34:00,1697,163,1763,1729.82,160.93,1764.7
ITS-MYSITEW-01,2011-03-07,MON,02:39:00,1229,152,1738,1229.0,152.64,1737.78
ITS-MYSITEW-01,2011-03-07,MON,02:44:00,468,169,1759,444.0,170.66,1757.98
ITS-MYSITEW-01,2011-03-07,MON,02:49:00,5034,153,1766,5034.0,152.64,1764.7
ITS-MYSITEW-01,2011-03-07,MON,02:54:00,4683,153,1739,4683.0,152.64,1737.78
ITS-MYSITEW-01,2011-03-07,MON,02:59:00,4858,166,1765,4858.0,170.66,1764.7
ITS-MYSITEW-01,2011-03-07,MON,03:04:00,4624,153,1762,4624.0,152.64,1764.7
ITS-MYSITEW-01,2011-03-07,MON,03:09:00,4214,125,1741,4187.61,137.54,1737.78
ITS-MYSITEW-01,2011-03-07,MON,03:14:00,2400,5,1766,2400.0,5.94,1764.7
ITS-MYSITEW-01,2011-03-07,MON,03:19:00,4156,6,1760,4187.61,5.94,1757.98
ITS-MYSITEW-01,2011-03-07,MON,03:24:00,2517,107,1736,2546.17,90.26,1737.78
ITS-MYSITEW-01,2011-03-07,MON,03:29:00,1580,165,1762,1580.0,160.93,1764.7
ITS-MYSITEW-01,2011-03-07,MON,03:34:00,3570,152,1762,3570.0,152.64,1764.7
ITS-MYSITEW-01,2011-03-07,MON,03:39:00,4800,152,1738,4800.0,152.64,1737.78
ITS-MYSITEW-01,2011-03-07,MON,03:44:00,4975,157,1758,4975.0,160.93,1757.98
ITS-MYSITEW-01,2011-03-07,MON,03:49:00,4683,159,1761,4683.0,160.93,1757.98
ITS-MYSITEW-01,2011-03-07,MON,03:54:00,4858,152,1734,4858.0,152.64,1737.78
ITS-MYSITEW-01,2011-03-07,MON,03:59:00,4683,168,1764,4683.0,170.66,1764.7
ITS-MYSITEW-01,2011-03-07,MON,04:04:00,5268,151,1799,5268.0,152.64,1801.06
ITS-MYSITEW-01,2011-03-07,MON,04:09:00,58,143,1777,70.1,137.54,1776.78
ITS-MYSITEW-01,2011-03-07,MON,04:14:00,4156,168,1804,4187.61,170.66,1801.06
ITS-MYSITEW-01,2011-03-07,MON,04:19:00,1697,152,1785,1729.82,152.64,1784.56
ITS-MYSITEW-01,2011-03-07,MON,04:24:00,2341,163,1724,2341.0,160.93,1725.47
ITS-MYSITEW-01,2011-03-07,MON,04:29:00,5151,160,1746,5151.0,160.93,1749.46
ITS-MYSITEW-01,2011-03-07,MON,04:34:00,4975,178,1743,4975.0,181.23,1737.78
ITS-MYSITEW-01,2011-03-07,MON,04:39:00,117,155,1723,70.1,152.64,1725.47
ITS-MYSITEW-01,2011-03-07,MON,04:44:00,4214,164,1750,4187.61,160.93,1749.46
