NAME,DATE,WEEKDAY,TIME,CPU,BW,MEM,CPU_D,BW_D,MEM_D
ITS-PM,2011-03-07,MON,00:29:00,58,16,877,58.0,14.78,876.44
ITS-PM,2011-03-07,MON,00:34:00,117,4,878,117.0,5.67,878.0
ITS-PM,2011-03-07,MON,00:39:00,117,4,874,117.0,5.67,874.0
ITS-PM,2011-03-07,MON,00:44:00,58,4,872,58.0,5.67,871.57
ITS-PM,2011-03-07,MON,00:49:00,58,4,872,58.0,5.67,871.57
ITS-PM,2011-03-07,MON,00:54:00,58,4,873,58.0,5.67,873.0
ITS-PM,2011-03-07,MON,00:59:00,58,4,874,58.0,5.67,874.0
ITS-PM,2011-03-07,MON,01:04:00,58,4,875,58.0,5.67,875.0
ITS-PM,2011-03-07,MON,01:09:00,117,4,877,117.0,5.67,876.44
ITS-PM,2011-03-07,MON,01:14:00,468,4,874,468.0,5.67,874.0
ITS-PM,2011-03-07,MON,01:19:00,117,4,873,117.0,5.67,873.0
ITS-PM,2011-03-07,MON,01:25:00,58,10,876,58.0,9.43,876.44
ITS-PM,2011-03-07,MON,01:29:00,58,4,877,58.0,5.67,876.44
ITS-PM,2011-03-07,MON,01:34:00,58,4,875,58.0,5.67,875.0
ITS-PM,2011-03-07,MON,01:39:00,58,4,875,58.0,5.67,875.0
ITS-PM,2011-03-07,MON,01:44:00,58,4,871,58.0,5.67,871.57
ITS-PM,2011-03-07,MON,01:49:00,58,4,873,58.0,5.67,873.0
ITS-PM,2011-03-07,MON,01:54:00,58,5,874,58.0,5.67,874.0
ITS-PM,2011-03-07,MON,01:59:00,58,4,876,58.0,5.67,876.44
ITS-PM,2011-03-07,MON,02:04:00,468,4,874,468.0,5.67,874.0
ITS-PM,2011-03-07,MON,02:09:00,234,5,876,234.0,5.67,876.44
ITS-PM,2011-03-07,MON,02:14:00,58,4,873,58.0,5.67,873.0
ITS-PM,2011-03-07,MON,02:19:00,117,5,904,117.0,5.67,904.0
ITS-PM,2011-03-07,MON,02:24:00,117,4,882,117.0,5.67,882.0
ITS-PM,2011-03-07,MON,02:29:00,234,4,883,234.0,5.67,883.0
ITS-PM,2011-03-07,MON,02:34:00,1521,4,876,1626.85,5.67,876.44
ITS-PM,2011-03-07,MON,02:39:00,58,5,878,58.0,5.67,878.0
ITS-PM,2011-03-07,MON,02:44:00,117,5,872,117.0,5.67,871.57
ITS-PM,2011-03-07,MON,02:49:00,58,4,872,58.0,5.67,871.57
ITS-PM,2011-03-07,MON,02:54:00,58,4,874,58.0,5.67,874.0
ITS-PM,2011-03-07,MON,02:59:00,58,4,875,58.0,5.67,875.0
ITS-PM,2011-03-07,MON,03:04:00,468,4,875,468.0,5.67,875.0
ITS-PM,2011-03-07,MON,03:09:00,58,4,877,58.0,5.67,876.44
ITS-PM,2011-03-07,MON,03:14:00,58,4,874,58.0,5.67,874.0
ITS-PM,2011-03-07,MON,03:19:00,58,4,874,58.0,5.67,874.0
ITS-PM,2011-03-07,MON,03:24:00,58,4,876,58.0,5.67,876.44
ITS-PM,2011-03-07,MON,03:29:00,117,4,878,117.0,5.67,878.0
ITS-PM,2011-03-07,MON,03:34:00,117,4,876,117.0,5.67,876.44
ITS-PM,2011-03-07,MON,03:39:00,117,4,882,117.0,5.67,882.0
ITS-PM,2011-03-07,MON,03:44:00,58,4,871,58.0,5.67,871.57
ITS-PM,2011-03-07,MON,03:49:00,117,4,876,117.0,5.67,876.44
ITS-PM,2011-03-07,MON,03:54:00,1404,4,873,1626.85,5.67,873.0
ITS-PM,2011-03-07,MON,03:59:00,117,4,873,117.0,5.67,873.0
ITS-PM,2011-03-07,MON,04:04:00,58,4,873,58.0,5.67,873.0
