NAME,DATE,WEEKDAY,TIME,CPU,BW,MEM,CPU_D,BW_D,MEM_D
ITS-RDS-02,2011-03-07,MON,00:29:00,468,16,5348,468.0,38.99,5335.34
ITS-RDS-02,2011-03-07,MON,00:34:00,4681,263,5115,4681.0,333.86,5110.09
ITS-RDS-02,2011-03-07,MON,00:39:00,1170,34,5131,1170.0,38.99,5127.82
ITS-RDS-02,2011-03-07,MON,00:44:00,234,496,5161,234.0,333.86,5159.71
ITS-RDS-02,2011-03-07,MON,00:49:00,6671,2742,5248,6810.15,2761.73,5244.6
ITS-RDS-02,2011-03-07,MON,00:54:00,234,1829,5231,234.0,1922.69,5223.48
ITS-RDS-02,2011-03-07,MON,00:59:00,0,1222,5254,0.0,1200.67,5244.6
ITS-RDS-02,2011-03-07,MON,01:04:00,5500,349,5277,5441.0,333.86,5272.04
ITS-RDS-02,2011-03-07,MON,01:09:00,234,129,5177,234.0,38.99,5173.46
ITS-RDS-02,2011-03-07,MON,01:14:00,7139,4,5182,6810.15,38.99,5188.49
ITS-RDS-02,2011-03-07,MON,01:19:00,3043,85,5207,3043.0,38.99,5203.78
ITS-RDS-02,2011-03-07,MON,01:25:00,936,12,5262,936.0,38.99,5272.04
ITS-RDS-02,2011-03-07,MON,01:29:00,2574,174,5720,2574.0,38.99,5710.9
ITS-RDS-02,2011-03-07,MON,01:34:00,2574,1289,5729,2574.0,1200.67,5738.9
ITS-RDS-02,2011-03-07,MON,01:39:00,3160,1886,5715,3160.0,1922.69,5710.9
ITS-RDS-02,2011-03-07,MON,01:44:00,3160,856,5679,3160.0,960.48,5686.72
ITS-RDS-02,2011-03-07,MON,01:49:00,3160,424,5700,3160.0,333.86,5710.9
ITS-RDS-02,2011-03-07,MON,01:54:00,1521,87,5692,1521.0,38.99,5686.72
ITS-RDS-02,2011-03-07,MON,01:59:00,3511,240,5767,3511.0,333.86,5771.06
ITS-RDS-02,2011-03-07,MON,02:04:00,468,713,5789,468.0,669.49,5771.06
ITS-RDS-02,2011-03-07,MON,02:09:00,6320,744,5389,6137.48,669.49,5389.09
ITS-RDS-02,2011-03-07,MON,02:14:00,1170,173,5417,1170.0,38.99,5424.47
ITS-RDS-02,2011-03-07,MON,02:19:00,10533,1333,5866,10916.7,1379.25,5860.26
ITS-RDS-02,2011-03-07,MON,02:24:00,7724,1076,5925,7847.94,960.48,5920.41
ITS-RDS-02,2011-03-07,MON,02:29:00,6437,1046,5908,6810.15,960.48,5920.41
ITS-RDS-02,2011-03-07,MON,02:34:00,9948,1106,5500,10916.7,1200.67,5496.84
ITS-RDS-02,2011-03-07,MON,02:39:00,9363,850,5451,9046.51,960.48,5452.7
ITS-RDS-02,2011-03-07,MON,02:44:00,2808,1336,5508,2805.19,1379.25,5511.6
ITS-RDS-02,2011-03-07,MON,02:49:00,7373,1401,5536,7847.94,1379.25,5529.87
ITS-RDS-02,2011-03-07,MON,02:54:00,8660,1311,5511,9046.51,1379.25,5511.6
