NAME,DATE,WEEKDAY,TIME,CPU,BW,MEM,CPU_D,BW_D,MEM_D
ITS-SCOM-01,2011-03-07,MON,00:29:00,731,16,1678,731.0,16.0,1678.0
ITS-SCOM-01,2011-03-07,MON,00:34:00,380,39,1673,380.0,39.0,1673.0
ITS-SCOM-01,2011-03-07,MON,00:39:00,468,42,1682,468.0,42.0,1682.0
ITS-SCOM-01,2011-03-07,MON,00:44:00,1287,38,1684,1275.86,38.0,1684.51
ITS-SCOM-01,2011-03-07,MON,00:49:00,234,49,1677,234.0,49.0,1677.0
ITS-SCOM-01,2011-03-07,MON,00:54:00,643,52,1688,643.0,52.0,1687.56
ITS-SCOM-01,2011-03-07,MON,00:59:00,409,58,1687,409.0,58.0,1687.56
ITS-SCOM-01,2011-03-07,MON,01:04:00,790,40,1681,790.0,40.0,1681.0
ITS-SCOM-01,2011-03-07,MON,01:09:00,292,40,1683,292.0,40.0,1683.0
ITS-SCOM-01,2011-03-07,MON,01:14:00,702,38,1685,702.0,38.0,1684.51
ITS-SCOM-01,2011-03-07,MON,01:19:00,848,39,1684,848.0,39.0,1684.51
ITS-SCOM-01,2011-03-07,MON,01:25:00,439,42,1684,439.0,42.0,1684.51
ITS-SCOM-01,2011-03-07,MON,01:29:00,321,44,1694,321.0,44.0,1694.0
ITS-SCOM-01,2011-03-07,MON,01:34:00,556,44,1692,556.0,44.0,1692.54
ITS-SCOM-01,2011-03-07,MON,01:39:00,380,44,1693,380.0,44.0,1692.54
ITS-SCOM-01,2011-03-07,MON,01:44:00,848,38,1698,848.0,38.0,1698.97
ITS-SCOM-01,2011-03-07,MON,01:49:00,731,38,1698,731.0,38.0,1698.97
ITS-SCOM-01,2011-03-07,MON,01:54:00,234,41,1697,234.0,41.0,1697.0
ITS-SCOM-01,2011-03-07,MON,01:59:00,702,37,1698,702.0,37.0,1698.97
ITS-SCOM-01,2011-03-07,MON,02:04:00,878,39,1730,878.0,39.0,1729.98
ITS-SCOM-01,2011-03-07,MON,02:09:00,117,41,1690,117.0,41.0,1690.0
ITS-SCOM-01,2011-03-07,MON,02:14:00,878,39,1696,878.0,39.0,1696.0
ITS-SCOM-01,2011-03-07,MON,02:19:00,556,37,1706,556.0,37.0,1705.46
ITS-SCOM-01,2011-03-07,MON,02:24:00,1141,42,1710,1141.0,42.0,1709.04
ITS-SCOM-01,2011-03-07,MON,02:29:00,731,44,1709,731.0,44.0,1709.04
ITS-SCOM-01,2011-03-07,MON,02:34:00,731,50,1665,731.0,50.0,1665.0
ITS-SCOM-01,2011-03-07,MON,02:39:00,1024,38,1670,1024.0,38.0,1669.0
ITS-SCOM-01,2011-03-07,MON,02:44:00,204,41,1660,204.0,41.0,1659.0
ITS-SCOM-01,2011-03-07,MON,02:49:00,146,40,1664,146.0,40.0,1664.0
ITS-SCOM-01,2011-03-07,MON,02:54:00,1053,37,1671,1053.0,37.0,1671.0
ITS-SCOM-01,2011-03-07,MON,02:59:00,878,37,1670,878.0,37.0,1669.0
ITS-SCOM-01,2011-03-07,MON,03:04:00,556,39,1666,556.0,39.0,1666.51
