NAME,DATE,WEEKDAY,TIME,CPU,BW,MEM,CPU_D,BW_D,MEM_D
ITS-SCOMSQL-01,2011-03-07,MON,00:29:00,1053,16,3678,1053.0,16.0,3676.54
ITS-SCOMSQL-01,2011-03-07,MON,00:34:00,702,81,3646,702.0,81.23,3645.54
ITS-SCOMSQL-01,2011-03-07,MON,00:39:00,556,89,3662,556.0,89.0,3662.47
ITS-SCOMSQL-01,2011-03-07,MON,00:44:00,790,81,3650,790.0,81.23,3649.47
ITS-SCOMSQL-01,2011-03-07,MON,00:49:00,292,98,3631,292.0,98.0,3630.51
ITS-SCOMSQL-01,2011-03-07,MON,00:54:00,556,90,3666,556.0,90.0,3666.0
ITS-SCOMSQL-01,2011-03-07,MON,00:59:00,848,82,3650,848.0,81.23,3649.47
ITS-SCOMSQL-01,2011-03-07,MON,01:04:00,643,89,3630,643.0,89.0,3630.51
ITS-SCOMSQL-01,2011-03-07,MON,01:09:00,761,81,3653,761.0,81.23,3651.97
ITS-SCOMSQL-01,2011-03-07,MON,01:14:00,526,81,3654,526.0,81.23,3654.47
ITS-SCOMSQL-01,2011-03-07,MON,01:19:00,1785,81,3698,1695.42,81.23,3697.8
ITS-SCOMSQL-01,2011-03-07,MON,01:25:00,643,82,3582,643.0,81.23,3581.07
ITS-SCOMSQL-01,2011-03-07,MON,01:29:00,878,81,3530,878.0,81.23,3529.51
ITS-SCOMSQL-01,2011-03-07,MON,01:34:00,702,89,3530,702.0,89.0,3529.51
ITS-SCOMSQL-01,2011-03-07,MON,01:39:00,702,90,3566,702.0,90.0,3565.41
ITS-SCOMSQL-01,2011-03-07,MON,01:44:00,731,81,3558,731.0,81.23,3555.97
ITS-SCOMSQL-01,2011-03-07,MON,01:49:00,556,81,3538,556.0,81.23,3539.8
ITS-SCOMSQL-01,2011-03-07,MON,01:54:00,643,81,3586,643.0,81.23,3585.33
ITS-SCOMSQL-01,2011-03-07,MON,01:59:00,965,81,3593,965.0,81.23,3593.0
ITS-SCOMSQL-01,2011-03-07,MON,02:04:00,526,81,3570,526.0,81.23,3570.39
ITS-SCOMSQL-01,2011-03-07,MON,02:09:00,58,81,3613,90.17,81.23,3613.6
ITS-SCOMSQL-01,2011-03-07,MON,02:14:00,526,81,3621,526.0,81.23,3621.52
ITS-SCOMSQL-01,2011-03-07,MON,02:19:00,761,80,3597,761.0,81.23,3597.0
