NAME,DATE,WEEKDAY,TIME,CPU,BW,MEM,CPU_D,BW_D,MEM_D
ITS-SP1,2011-03-07,MON,00:29:00,409,16,3400,409.0,4.66,3400.65
ITS-SP1,2011-03-07,MON,00:34:00,0,11,3390,0.0,4.66,3390.12
ITS-SP1,2011-03-07,MON,00:39:00,0,3,3373,0.0,4.66,3369.86
ITS-SP1,2011-03-07,MON,00:44:00,117,3,3391,117.0,4.66,3390.12
ITS-SP1,2011-03-07,MON,00:49:00,0,7,3390,0.0,4.66,3390.12
ITS-SP1,2011-03-07,MON,00:54:00,292,2,3382,292.0,4.66,3381.55
ITS-SP1,2011-03-07,MON,00:59:00,0,2,3411,0.0,4.66,3409.14
ITS-SP1,2011-03-07,MON,01:04:00,0,8,3350,0.0,4.66,3353.22
ITS-SP1,2011-03-07,MON,01:09:00,2224,2,3343,2306.76,4.66,3340.5
ITS-SP1,2011-03-07,MON,01:14:00,0,2,3335,0.0,4.66,3340.5
ITS-SP1,2011-03-07,MON,01:19:00,0,10,3366,0.0,4.66,3362.55
ITS-SP1,2011-03-07,MON,01:25:00,0,10,3307,0.0,4.66,3308.83
ITS-SP1,2011-03-07,MON,01:29:00,0,1,3338,0.0,4.66,3340.5
ITS-SP1,2011-03-07,MON,01:34:00,0,7,3328,0.0,4.66,3324.48
ITS-SP1,2011-03-07,MON,01:39:00,0,2,3338,0.0,4.66,3340.5
ITS-SP1,2011-03-07,MON,01:44:00,0,2,3316,0.0,4.66,3308.83
ITS-SP1,2011-03-07,MON,01:49:00,0,7,2598,0.0,4.66,2582.59
ITS-SP1,2011-03-07,MON,01:54:00,0,3,2608,0.0,4.66,2621.09
ITS-SP1,2011-03-07,MON,01:59:00,0,4,2708,0.0,4.66,2717.92
ITS-SP1,2011-03-07,MON,02:04:00,0,12,2587,0.0,4.66,2582.59
ITS-SP1,2011-03-07,MON,02:09:00,0,2,2578,0.0,4.66,2582.59
ITS-SP1,2011-03-07,MON,02:14:00,117,1,2572,117.0,4.66,2582.59
ITS-SP1,2011-03-07,MON,02:19:00,0,8,2731,0.0,4.66,2737.52
ITS-SP1,2011-03-07,MON,02:24:00,0,1,2762,0.0,4.66,2756.98
ITS-SP1,2011-03-07,MON,02:29:00,0,1,2769,0.0,4.66,2775.55
ITS-SP1,2011-03-07,MON,02:34:00,0,7,2772,0.0,4.66,2775.55
ITS-SP1,2011-03-07,MON,02:39:00,0,2,2809,0.0,4.66,2812.57
ITS-SP1,2011-03-07,MON,02:45:00,1931,2,2792,1897.68,4.66,2795.02
ITS-SP1,2011-03-07,MON,02:49:00,0,7,2774,0.0,4.66,2775.55
ITS-SP1,2011-03-07,MON,02:54:00,2868,1,2792,3109.17,4.66,2795.02
ITS-SP1,2011-03-07,MON,02:59:00,117,1,2731,117.0,4.66,2737.52
ITS-SP1,2011-03-07,MON,03:04:00,0,7,2779,0.0,4.66,2775.55
ITS-SP1,2011-03-07,MON,03:09:00,0,2,2821,0.0,4.66,2812.57
ITS-SP1,2011-03-07,MON,03:14:00,117,1,2763,117.0,4.66,2756.98
ITS-SP1,2011-03-07,MON,03:19:00,234,8,2738,234.0,4.66,2737.52
ITS-SP1,2011-03-07,MON,03:24:00,0,2,2761,0.0,4.66,2756.98
ITS-SP1,2011-03-07,MON,03:29:00,0,1,2730,0.0,4.66,2737.52
ITS-SP1,2011-03-07,MON,03:34:00,234,7,2751,234.0,4.66,2756.98
ITS-SP1,2011-03-07,MON,03:39:00,117,1,2792,117.0,4.66,2795.02
ITS-SP1,2011-03-07,MON,03:44:00,0,1,2756,0.0,4.66,2756.98
ITS-SP1,2011-03-07,MON,03:49:00,409,7,2774,409.0,4.66,2775.55
ITS-SP1,2011-03-07,MON,03:54:00,0,2,2744,0.0,4.66,2737.52
ITS-SP1,2011-03-07,MON,03:59:00,0,2,2751,0.0,4.66,2756.98
ITS-SP1,2011-03-07,MON,04:04:00,234,8,2839,234.0,4.66,2832.71
ITS-SP1,2011-03-07,MON,04:09:00,0,2,2771,0.0,4.66,2775.55
ITS-SP1,2011-03-07,MON,04:14:00,2751,1,2766,2610.26,4.66,2756.98
ITS-SP1,2011-03-07,MON,04:19:00,0,8,2734,0.0,4.66,2737.52
ITS-SP1,2011-03-07,MON,04:24:00,0,1,2775,0.0,4.66,2775.55
ITS-SP1,2011-03-07,MON,04:29:00,0,1,2749,0.0,4.66,2756.98
ITS-SP1,2011-03-07,MON,04:34:00,0,7,2784,0.0,4.66,2775.55
ITS-SP1,2011-03-07,MON,04:39:00,234,1,2725,234.0,4.66,2717.92
