NAME,DATE,WEEKDAY,TIME,CPU,BW,MEM,CPU_D,BW_D,MEM_D
ITS-SP2010-01,2011-03-07,MON,00:29:00,66,16,3040,66.0,6.0,3043.13
ITS-SP2010-01,2011-03-07,MON,00:34:00,999,6,3039,921.42,6.0,3043.13
ITS-SP2010-01,2011-03-07,MON,00:39:00,66,3,3031,66.0,6.0,3029.16
ITS-SP2010-01,2011-03-07,MON,00:44:00,66,3,3045,66.0,6.0,3043.13
ITS-SP2010-01,2011-03-07,MON,00:49:00,0,3,3035,0.0,6.0,3029.16
ITS-SP2010-01,2011-03-07,MON,00:54:00,66,4,3037,66.0,6.0,3043.13
ITS-SP2010-01,2011-03-07,MON,00:59:00,66,47,3048,66.0,38.36,3043.13
ITS-SP2010-01,2011-03-07,MON,01:04:00,66,25,3060,66.0,38.36,3055.21
ITS-SP2010-01,2011-03-07,MON,01:09:00,66,12,3032,66.0,6.0,3029.16
ITS-SP2010-01,2011-03-07,MON,01:14:00,66,10,3048,66.0,6.0,3043.13
ITS-SP2010-01,2011-03-07,MON,01:19:00,0,6,3056,0.0,6.0,3055.21
ITS-SP2010-01,2011-03-07,MON,01:25:00,66,3,3054,66.0,6.0,3055.21
ITS-SP2010-01,2011-03-07,MON,01:29:00,0,3,3057,0.0,6.0,3055.21
ITS-SP2010-01,2011-03-07,MON,01:34:00,66,5,3061,66.0,6.0,3055.21
ITS-SP2010-01,2011-03-07,MON,01:39:00,66,3,3052,66.0,6.0,3055.21
ITS-SP2010-01,2011-03-07,MON,01:44:00,66,3,3067,66.0,6.0,3067.87
ITS-SP2010-01,2011-03-07,MON,01:49:00,0,3,3071,0.0,6.0,3067.87
ITS-SP2010-01,2011-03-07,MON,01:54:00,66,4,3070,66.0,6.0,3067.87
ITS-SP2010-01,2011-03-07,MON,01:59:00,66,4,3064,66.0,6.0,3067.87
ITS-SP2010-01,2011-03-07,MON,02:04:00,0,7,3066,0.0,6.0,3067.87
ITS-SP2010-01,2011-03-07,MON,02:09:00,66,3,3067,66.0,6.0,3067.87
ITS-SP2010-01,2011-03-07,MON,02:14:00,133,3,3070,133.0,6.0,3067.87
ITS-SP2010-01,2011-03-07,MON,02:19:00,66,3,3072,66.0,6.0,3067.87
ITS-SP2010-01,2011-03-07,MON,02:24:00,533,3,3078,533.0,6.0,3080.03
ITS-SP2010-01,2011-03-07,MON,02:29:00,0,4,3010,0.0,6.0,3014.41
ITS-SP2010-01,2011-03-07,MON,02:34:00,66,5,2979,66.0,6.0,2984.14
ITS-SP2010-01,2011-03-07,MON,02:39:00,0,3,2459,0.0,6.0,2560.35
ITS-SP2010-01,2011-03-07,MON,02:45:00,0,4,2750,0.0,6.0,2758.99
ITS-SP2010-01,2011-03-07,MON,02:49:00,66,3,2774,66.0,6.0,2758.99
ITS-SP2010-01,2011-03-07,MON,02:54:00,66,3,2767,66.0,6.0,2758.99
ITS-SP2010-01,2011-03-07,MON,02:59:00,66,4,2773,66.0,6.0,2758.99
ITS-SP2010-01,2011-03-07,MON,03:04:00,66,6,2774,66.0,6.0,2758.99
ITS-SP2010-01,2011-03-07,MON,03:09:00,66,3,2761,66.0,6.0,2758.99
ITS-SP2010-01,2011-03-07,MON,03:14:00,0,3,2786,0.0,6.0,2758.99
ITS-SP2010-01,2011-03-07,MON,03:19:00,66,4,2773,66.0,6.0,2758.99
ITS-SP2010-01,2011-03-07,MON,03:24:00,133,3,2764,133.0,6.0,2758.99
ITS-SP2010-01,2011-03-07,MON,03:29:00,66,4,2787,66.0,6.0,2805.51
ITS-SP2010-01,2011-03-07,MON,03:34:00,66,5,2783,66.0,6.0,2758.99
ITS-SP2010-01,2011-03-07,MON,03:39:00,266,3,2799,266.0,6.0,2805.51
ITS-SP2010-01,2011-03-07,MON,03:44:00,0,4,2803,0.0,6.0,2805.51
ITS-SP2010-01,2011-03-07,MON,03:49:00,0,3,2810,0.0,6.0,2805.51
ITS-SP2010-01,2011-03-07,MON,03:54:00,66,3,2806,66.0,6.0,2805.51
ITS-SP2010-01,2011-03-07,MON,03:59:00,0,4,2816,0.0,6.0,2805.51
ITS-SP2010-01,2011-03-07,MON,04:04:00,66,15,2837,66.0,6.0,2830.87
ITS-SP2010-01,2011-03-07,MON,04:09:00,0,3,2774,0.0,6.0,2758.99
ITS-SP2010-01,2011-03-07,MON,04:14:00,0,3,2793,0.0,6.0,2805.51
ITS-SP2010-01,2011-03-07,MON,04:19:00,0,3,2782,0.0,6.0,2758.99
ITS-SP2010-01,2011-03-07,MON,04:24:00,133,3,2778,133.0,6.0,2758.99
ITS-SP2010-01,2011-03-07,MON,04:29:00,66,4,2801,66.0,6.0,2805.51
ITS-SP2010-01,2011-03-07,MON,04:34:00,66,6,2805,66.0,6.0,2805.51
ITS-SP2010-01,2011-03-07,MON,04:39:00,0,3,2800,0.0,6.0,2805.51
ITS-SP2010-01,2011-03-07,MON,04:44:00,66,4,2809,66.0,6.0,2805.51
ITS-SP2010-01,2011-03-07,MON,04:49:00,66,4,2806,66.0,6.0,2805.51
ITS-SP2010-01,2011-03-07,MON,04:54:00,0,3,2788,0.0,6.0,2805.51
ITS-SP2010-01,2011-03-07,MON,04:59:00,66,4,2801,66.0,6.0,2805.51
ITS-SP2010-01,2011-03-07,MON,05:04:00,0,6,2794,0.0,6.0,2805.51
