NAME,DATE,WEEKDAY,TIME,CPU,BW,MEM,CPU_D,BW_D,MEM_D
ITS-SP2010-SQL1,2011-03-07,MON,00:29:00,1580,16,3955,1580.0,7.58,3953.28
ITS-SP2010-SQL1,2011-03-07,MON,00:34:00,877,5,3940,877.0,7.58,3938.78
ITS-SP2010-SQL1,2011-03-07,MON,00:39:00,1111,5,3939,1111.0,7.58,3938.78
ITS-SP2010-SQL1,2011-03-07,MON,00:44:00,1053,6,3940,1053.0,7.58,3938.78
ITS-SP2010-SQL1,2011-03-07,MON,00:49:00,2691,5,3939,2965.31,7.58,3938.78
ITS-SP2010-SQL1,2011-03-07,MON,00:54:00,3218,5,3954,2965.31,7.58,3953.28
ITS-SP2010-SQL1,2011-03-07,MON,00:59:00,1404,73,3979,1404.0,68.27,3972.76
ITS-SP2010-SQL1,2011-03-07,MON,01:04:00,1053,63,3968,1053.0,68.27,3972.76
ITS-SP2010-SQL1,2011-03-07,MON,01:09:00,2399,65,3977,2469.31,68.27,3972.76
ITS-SP2010-SQL1,2011-03-07,MON,01:14:00,5852,2297,3976,5304.41,2297.0,3972.76
ITS-SP2010-SQL1,2011-03-07,MON,01:19:00,5793,3384,3964,5304.41,3384.0,3972.76
ITS-SP2010-SQL1,2011-03-07,MON,01:25:00,5852,1937,3960,5304.41,1937.0,3953.28
ITS-SP2010-SQL1,2011-03-07,MON,01:29:00,5852,468,3979,5304.41,453.29,3972.76
ITS-SP2010-SQL1,2011-03-07,MON,01:34:00,5852,3730,3952,5304.41,3730.0,3953.28
ITS-SP2010-SQL1,2011-03-07,MON,01:39:00,5852,665,3950,5304.41,665.0,3953.28
ITS-SP2010-SQL1,2011-03-07,MON,01:44:00,2808,6897,3822,2965.31,6990.5,3819.43
ITS-SP2010-SQL1,2011-03-07,MON,01:49:00,1521,5,3814,1521.0,7.58,3810.05
ITS-SP2010-SQL1,2011-03-07,MON,01:54:00,2633,5,3816,2469.31,7.58,3819.43
ITS-SP2010-SQL1,2011-03-07,MON,01:59:00,2574,6,3827,2469.31,7.58,3826.8
ITS-SP2010-SQL1,2011-03-07,MON,02:04:00,936,7,3821,936.0,7.58,3819.43
ITS-SP2010-SQL1,2011-03-07,MON,02:09:00,1111,5,3823,1111.0,7.58,3819.43
ITS-SP2010-SQL1,2011-03-07,MON,02:14:00,994,6,3829,994.0,7.58,3826.8
ITS-SP2010-SQL1,2011-03-07,MON,02:19:00,760,5,3824,760.0,7.58,3826.8
ITS-SP2010-SQL1,2011-03-07,MON,02:24:00,1053,6,3835,1053.0,7.58,3835.42
ITS-SP2010-SQL1,2011-03-07,MON,02:29:00,760,8,3849,760.0,7.58,3846.68
