NAME,DATE,WEEKDAY,TIME,CPU,BW,MEM,CPU_D,BW_D,MEM_D
ITS-SPSQL-01,2011-03-07,MON,00:29:00,0,16,3644,0.0,21.83,3644.47
ITS-SPSQL-01,2011-03-07,MON,00:34:00,117,368,3641,117.0,380.99,3641.51
ITS-SPSQL-01,2011-03-07,MON,00:39:00,234,44,3610,234.0,43.48,3610.58
ITS-SPSQL-01,2011-03-07,MON,00:44:00,234,52,3637,234.0,43.48,3636.57
ITS-SPSQL-01,2011-03-07,MON,00:49:00,936,340,3627,936.0,339.7,3627.54
ITS-SPSQL-01,2011-03-07,MON,00:54:00,117,5,3605,117.0,6.93,3605.6
ITS-SPSQL-01,2011-03-07,MON,00:59:00,175,5,3645,175.0,6.93,3644.47
ITS-SPSQL-01,2011-03-07,MON,01:04:00,292,362,3649,292.0,380.99,3650.25
ITS-SPSQL-01,2011-03-07,MON,01:09:00,117,25,3646,117.0,21.83,3646.88
ITS-SPSQL-01,2011-03-07,MON,01:14:00,58,5,3641,58.0,6.93,3641.51
ITS-SPSQL-01,2011-03-07,MON,01:19:00,234,368,3673,234.0,380.99,3672.53
ITS-SPSQL-01,2011-03-07,MON,01:25:00,117,13,3618,117.0,6.93,3618.0
ITS-SPSQL-01,2011-03-07,MON,01:29:00,234,4,3652,234.0,6.93,3650.25
ITS-SPSQL-01,2011-03-07,MON,01:34:00,1756,340,3666,1756.0,339.7,3665.02
ITS-SPSQL-01,2011-03-07,MON,01:39:00,117,5,3618,117.0,6.93,3618.0
ITS-SPSQL-01,2011-03-07,MON,01:44:00,58,5,3642,58.0,6.93,3641.51
ITS-SPSQL-01,2011-03-07,MON,01:49:00,292,340,3639,292.0,339.7,3639.06
ITS-SPSQL-01,2011-03-07,MON,01:54:00,936,12,3615,936.0,6.93,3614.46
ITS-SPSQL-01,2011-03-07,MON,01:59:00,117,6,3622,117.0,6.93,3621.9
ITS-SPSQL-01,2011-03-07,MON,02:04:00,936,490,3642,936.0,484.03,3641.51
ITS-SPSQL-01,2011-03-07,MON,02:09:00,234,6,3613,234.0,6.93,3612.52
ITS-SPSQL-01,2011-03-07,MON,02:14:00,292,4,3641,292.0,6.93,3641.51
ITS-SPSQL-01,2011-03-07,MON,02:19:00,117,349,3646,117.0,339.7,3646.88
ITS-SPSQL-01,2011-03-07,MON,02:24:00,1873,5,3643,1873.0,6.93,3643.0
ITS-SPSQL-01,2011-03-07,MON,02:29:00,468,5,3661,468.0,6.93,3660.91
ITS-SPSQL-01,2011-03-07,MON,02:34:00,292,359,3675,292.0,339.7,3674.53
ITS-SPSQL-01,2011-03-07,MON,02:39:00,117,24,3614,117.0,21.83,3614.46
ITS-SPSQL-01,2011-03-07,MON,02:45:00,878,42,3602,878.0,43.48,3602.92
ITS-SPSQL-01,2011-03-07,MON,02:49:00,1112,302,3660,1113.38,339.7,3660.91
ITS-SPSQL-01,2011-03-07,MON,02:54:00,58,6,3618,58.0,6.93,3618.0
ITS-SPSQL-01,2011-03-07,MON,02:59:00,58,3,3648,58.0,6.93,3646.88
ITS-SPSQL-01,2011-03-07,MON,03:04:00,117,341,3648,117.0,339.7,3646.88
ITS-SPSQL-01,2011-03-07,MON,03:09:00,878,5,3619,878.0,6.93,3619.41
ITS-SPSQL-01,2011-03-07,MON,03:14:00,292,5,3608,292.0,6.93,3608.0
ITS-SPSQL-01,2011-03-07,MON,03:19:00,468,347,3646,468.0,339.7,3646.88
ITS-SPSQL-01,2011-03-07,MON,03:24:00,234,5,3617,234.0,6.93,3616.45
ITS-SPSQL-01,2011-03-07,MON,03:29:00,234,5,3645,234.0,6.93,3644.47
ITS-SPSQL-01,2011-03-07,MON,03:34:00,234,340,3643,234.0,339.7,3643.0
ITS-SPSQL-01,2011-03-07,MON,03:39:00,58,5,3614,58.0,6.93,3614.46
ITS-SPSQL-01,2011-03-07,MON,03:44:00,117,5,3637,117.0,6.93,3636.57
ITS-SPSQL-01,2011-03-07,MON,03:49:00,117,339,3632,117.0,339.7,3632.47
ITS-SPSQL-01,2011-03-07,MON,03:54:00,1053,5,3610,1053.0,6.93,3610.58
ITS-SPSQL-01,2011-03-07,MON,03:59:00,1053,24,3644,1053.0,21.83,3644.47
ITS-SPSQL-01,2011-03-07,MON,04:04:00,936,361,3652,936.0,339.7,3650.25
ITS-SPSQL-01,2011-03-07,MON,04:09:00,117,5,3618,117.0,6.93,3618.0
ITS-SPSQL-01,2011-03-07,MON,04:14:00,117,5,3665,117.0,6.93,3665.02
ITS-SPSQL-01,2011-03-07,MON,04:19:00,234,348,3647,234.0,339.7,3646.88
ITS-SPSQL-01,2011-03-07,MON,04:24:00,117,5,3619,117.0,6.93,3619.41
ITS-SPSQL-01,2011-03-07,MON,04:29:00,58,5,3495,58.0,6.93,3496.35
ITS-SPSQL-01,2011-03-07,MON,04:34:00,468,340,3509,468.0,339.7,3510.41
ITS-SPSQL-01,2011-03-07,MON,04:39:00,117,4,3482,117.0,6.93,3483.47
ITS-SPSQL-01,2011-03-07,MON,04:44:00,761,5,3511,761.0,6.93,3510.41
ITS-SPSQL-01,2011-03-07,MON,04:49:00,234,339,3491,234.0,339.7,3490.25
