NAME,DATE,WEEKDAY,TIME,CPU,BW,MEM,CPU_D,BW_D,MEM_D
ITS-SUKSSQL-01,2011-03-07,MON,00:29:00,527,16,2216,522.52,16.43,2215.91
ITS-SUKSSQL-01,2011-03-07,MON,00:34:00,468,1,2215,453.7,0.99,2215.91
ITS-SUKSSQL-01,2011-03-07,MON,00:39:00,556,1,2199,556.0,0.99,2198.17
ITS-SUKSSQL-01,2011-03-07,MON,00:44:00,673,1,2216,649.02,0.99,2215.91
ITS-SUKSSQL-01,2011-03-07,MON,00:49:00,439,1,2212,453.7,0.99,2210.26
ITS-SUKSSQL-01,2011-03-07,MON,00:54:00,468,1,2198,453.7,0.99,2198.17
ITS-SUKSSQL-01,2011-03-07,MON,00:59:00,468,1,2214,453.7,0.99,2215.91
ITS-SUKSSQL-01,2011-03-07,MON,01:04:00,527,1,2215,522.52,0.99,2215.91
ITS-SUKSSQL-01,2011-03-07,MON,01:09:00,614,1,2212,614.0,0.99,2210.26
ITS-SUKSSQL-01,2011-03-07,MON,01:14:00,1376,4,2218,1376.0,4.61,2215.91
ITS-SUKSSQL-01,2011-03-07,MON,01:19:00,497,1,2216,522.52,0.99,2215.91
ITS-SUKSSQL-01,2011-03-07,MON,01:25:00,380,1,2198,380.0,0.99,2198.17
ITS-SUKSSQL-01,2011-03-07,MON,01:29:00,146,8,2216,128.11,7.78,2215.91
ITS-SUKSSQL-01,2011-03-07,MON,01:34:00,380,1,2215,380.0,0.99,2215.91
ITS-SUKSSQL-01,2011-03-07,MON,01:39:00,2928,1,2200,2922.59,0.99,2198.17
ITS-SUKSSQL-01,2011-03-07,MON,01:44:00,439,1,2216,453.7,0.99,2215.91
ITS-SUKSSQL-01,2011-03-07,MON,01:49:00,468,1,2212,453.7,0.99,2210.26
ITS-SUKSSQL-01,2011-03-07,MON,01:54:00,175,1,2198,175.0,0.99,2198.17
ITS-SUKSSQL-01,2011-03-07,MON,01:59:00,439,1,2214,453.7,0.99,2215.91
ITS-SUKSSQL-01,2011-03-07,MON,02:04:00,29,1,2214,29.0,0.99,2215.91
ITS-SUKSSQL-01,2011-03-07,MON,02:09:00,1464,1,2307,1464.0,0.99,2305.27
ITS-SUKSSQL-01,2011-03-07,MON,02:14:00,556,1,2257,556.0,0.99,2257.0
ITS-SUKSSQL-01,2011-03-07,MON,02:19:00,614,1,2238,614.0,0.99,2238.47
ITS-SUKSSQL-01,2011-03-07,MON,02:24:00,849,1,2214,849.0,0.99,2215.91
ITS-SUKSSQL-01,2011-03-07,MON,02:29:00,527,1,2218,522.52,0.99,2215.91
ITS-SUKSSQL-01,2011-03-07,MON,02:34:00,1346,2,2216,1346.0,2.11,2215.91
ITS-SUKSSQL-01,2011-03-07,MON,02:39:00,556,1,2201,556.0,0.99,2198.17
ITS-SUKSSQL-01,2011-03-07,MON,02:45:00,29,1,2216,29.0,0.99,2215.91
ITS-SUKSSQL-01,2011-03-07,MON,02:49:00,527,1,2213,522.52,0.99,2210.26
ITS-SUKSSQL-01,2011-03-07,MON,02:54:00,439,1,2199,453.7,0.99,2198.17
ITS-SUKSSQL-01,2011-03-07,MON,02:59:00,468,1,2215,453.7,0.99,2215.91
ITS-SUKSSQL-01,2011-03-07,MON,03:04:00,907,1,2215,884.94,0.99,2215.91
ITS-SUKSSQL-01,2011-03-07,MON,03:09:00,2928,1,2198,2922.59,0.99,2198.17
ITS-SUKSSQL-01,2011-03-07,MON,03:14:00,468,1,2218,453.7,0.99,2215.91
ITS-SUKSSQL-01,2011-03-07,MON,03:19:00,702,1,2216,702.0,0.99,2215.91
ITS-SUKSSQL-01,2011-03-07,MON,03:24:00,556,1,2200,556.0,0.99,2198.17
ITS-SUKSSQL-01,2011-03-07,MON,03:29:00,527,1,2218,522.52,0.99,2215.91
ITS-SUKSSQL-01,2011-03-07,MON,03:34:00,380,1,2216,380.0,0.99,2215.91
ITS-SUKSSQL-01,2011-03-07,MON,03:39:00,585,1,2200,585.0,0.99,2198.17
ITS-SUKSSQL-01,2011-03-07,MON,03:44:00,1259,1,2245,1259.0,0.99,2245.0
ITS-SUKSSQL-01,2011-03-07,MON,03:49:00,439,1,2214,453.7,0.99,2215.91
ITS-SUKSSQL-01,2011-03-07,MON,03:54:00,1376,1,2199,1376.0,0.99,2198.17
ITS-SUKSSQL-01,2011-03-07,MON,03:59:00,527,1,2215,522.52,0.99,2215.91
ITS-SUKSSQL-01,2011-03-07,MON,04:04:00,556,1,2215,556.0,0.99,2215.91
ITS-SUKSSQL-01,2011-03-07,MON,04:09:00,527,1,2200,522.52,0.99,2198.17
ITS-SUKSSQL-01,2011-03-07,MON,04:14:00,644,1,2218,649.02,0.99,2215.91
ITS-SUKSSQL-01,2011-03-07,MON,04:19:00,556,1,2216,556.0,0.99,2215.91
ITS-SUKSSQL-01,2011-03-07,MON,04:24:00,556,1,2201,556.0,0.99,2198.17
ITS-SUKSSQL-01,2011-03-07,MON,04:29:00,439,1,2218,453.7,0.99,2215.91
ITS-SUKSSQL-01,2011-03-07,MON,04:34:00,58,1,2216,58.0,0.99,2215.91
ITS-SUKSSQL-01,2011-03-07,MON,04:39:00,527,1,2202,522.52,0.99,2198.17
ITS-SUKSSQL-01,2011-03-07,MON,04:44:00,1405,1,2218,1405.0,0.99,2215.91
ITS-SUKSSQL-01,2011-03-07,MON,04:49:00,556,1,2216,556.0,0.99,2215.91
ITS-SUKSSQL-01,2011-03-07,MON,04:54:00,468,1,2201,453.7,0.99,2198.17
ITS-SUKSSQL-01,2011-03-07,MON,04:59:00,468,1,2217,453.7,0.99,2215.91
ITS-SUKSSQL-01,2011-03-07,MON,05:04:00,878,1,2217,884.94,0.99,2215.91
ITS-SUKSSQL-01,2011-03-07,MON,05:09:00,556,1,2201,556.0,0.99,2198.17
ITS-SUKSSQL-01,2011-03-07,MON,05:14:00,585,1,2218,585.0,0.99,2215.91
ITS-SUKSSQL-01,2011-03-07,MON,05:19:00,527,1,2216,522.52,0.99,2215.91
ITS-SUKSSQL-01,2011-03-07,MON,05:24:00,439,1,2202,453.7,0.99,2198.17
ITS-SUKSSQL-01,2011-03-07,MON,05:29:00,380,1,2218,380.0,0.99,2215.91
ITS-SUKSSQL-01,2011-03-07,MON,05:34:00,380,1,2217,380.0,0.99,2215.91
ITS-SUKSSQL-01,2011-03-07,MON,05:39:00,527,1,2202,522.52,0.99,2198.17
ITS-SUKSSQL-01,2011-03-07,MON,05:44:00,1376,1,2219,1376.0,0.99,2220.58
ITS-SUKSSQL-01,2011-03-07,MON,05:49:00,497,1,2215,522.52,0.99,2215.91
ITS-SUKSSQL-01,2011-03-07,MON,05:54:00,614,1,2199,614.0,0.99,2198.17
ITS-SUKSSQL-01,2011-03-07,MON,05:59:00,351,1,2216,351.0,0.99,2215.91
ITS-SUKSSQL-01,2011-03-07,MON,06:04:00,322,1,2217,322.0,0.99,2215.91
ITS-SUKSSQL-01,2011-03-07,MON,06:09:00,380,1,2201,380.0,0.99,2198.17
ITS-SUKSSQL-01,2011-03-07,MON,06:14:00,702,1,2229,702.0,0.99,2229.0
ITS-SUKSSQL-01,2011-03-07,MON,06:19:00,468,1,2217,453.7,0.99,2215.91
