NAME,DATE,WEEKDAY,TIME,CPU,BW,MEM,CPU_D,BW_D,MEM_D
ITS-TDSQL-01,2011-03-07,MON,00:29:00,936,16,1762,936.0,11.4,1762.0
ITS-TDSQL-01,2011-03-07,MON,00:34:00,1170,8,1761,1170.0,11.4,1761.0
ITS-TDSQL-01,2011-03-07,MON,00:39:00,878,8,1762,878.0,11.4,1762.0
ITS-TDSQL-01,2011-03-07,MON,00:44:00,936,8,1762,936.0,11.4,1762.0
ITS-TDSQL-01,2011-03-07,MON,00:49:00,1170,8,1745,1170.0,11.4,1745.0
ITS-TDSQL-01,2011-03-07,MON,00:54:00,878,8,1754,878.0,11.4,1753.52
ITS-TDSQL-01,2011-03-07,MON,00:59:00,848,8,1754,848.0,11.4,1753.52
ITS-TDSQL-01,2011-03-07,MON,01:04:00,1375,9,1756,1375.0,11.4,1755.51
ITS-TDSQL-01,2011-03-07,MON,01:09:00,1287,8,1781,1287.0,11.4,1779.85
ITS-TDSQL-01,2011-03-07,MON,01:14:00,1053,8,1760,1053.0,11.4,1760.0
ITS-TDSQL-01,2011-03-07,MON,01:19:00,614,8,1760,614.0,11.4,1760.0
ITS-TDSQL-01,2011-03-07,MON,01:25:00,1170,16,1762,1170.0,11.4,1762.0
ITS-TDSQL-01,2011-03-07,MON,01:29:00,936,7,1761,936.0,11.4,1761.0
ITS-TDSQL-01,2011-03-07,MON,01:34:00,848,8,1762,848.0,11.4,1762.0
ITS-TDSQL-01,2011-03-07,MON,01:39:00,380,8,1762,370.57,11.4,1762.0
ITS-TDSQL-01,2011-03-07,MON,01:44:00,1112,8,1762,1112.0,11.4,1762.0
ITS-TDSQL-01,2011-03-07,MON,01:49:00,790,8,1746,790.0,11.4,1746.0
ITS-TDSQL-01,2011-03-07,MON,01:55:00,614,9,1754,614.0,11.4,1753.52
ITS-TDSQL-01,2011-03-07,MON,01:59:00,878,7,1755,878.0,11.4,1755.51
ITS-TDSQL-01,2011-03-07,MON,02:04:00,1053,9,1755,1053.0,11.4,1755.51
ITS-TDSQL-01,2011-03-07,MON,02:10:00,702,8,1760,702.0,11.4,1760.0
ITS-TDSQL-01,2011-03-07,MON,02:14:00,878,7,1761,878.0,11.4,1761.0
ITS-TDSQL-01,2011-03-07,MON,02:19:00,848,8,1761,848.0,11.4,1761.0
ITS-TDSQL-01,2011-03-07,MON,02:24:00,614,8,1789,614.0,11.4,1789.7
ITS-TDSQL-01,2011-03-07,MON,02:29:00,702,9,1762,702.0,11.4,1762.0
ITS-TDSQL-01,2011-03-07,MON,02:34:00,468,8,1761,468.0,11.4,1761.0
ITS-TDSQL-01,2011-03-07,MON,02:39:00,556,8,1759,556.0,11.4,1759.0
ITS-TDSQL-01,2011-03-07,MON,02:45:00,0,9,1735,0.0,11.4,1735.0
ITS-TDSQL-01,2011-03-07,MON,02:49:00,0,7,1745,0.0,11.4,1745.0
ITS-TDSQL-01,2011-03-07,MON,02:54:00,878,8,1753,878.0,11.4,1753.52
ITS-TDSQL-01,2011-03-07,MON,02:59:00,1434,8,1754,1434.0,11.4,1753.52
ITS-TDSQL-01,2011-03-07,MON,03:04:00,585,8,1755,585.0,11.4,1755.51
ITS-TDSQL-01,2011-03-07,MON,03:09:00,702,8,1760,702.0,11.4,1760.0
ITS-TDSQL-01,2011-03-07,MON,03:14:00,1375,8,1760,1375.0,11.4,1760.0
ITS-TDSQL-01,2011-03-07,MON,03:19:00,526,8,1761,526.0,11.4,1761.0
ITS-TDSQL-01,2011-03-07,MON,03:24:00,1346,8,1761,1346.0,11.4,1761.0
ITS-TDSQL-01,2011-03-07,MON,03:29:00,556,8,1761,556.0,11.4,1761.0
ITS-TDSQL-01,2011-03-07,MON,03:34:00,878,8,1761,878.0,11.4,1761.0
ITS-TDSQL-01,2011-03-07,MON,03:39:00,1082,8,1762,1082.0,11.4,1762.0
ITS-TDSQL-01,2011-03-07,MON,03:44:00,965,8,1761,965.0,11.4,1761.0
ITS-TDSQL-01,2011-03-07,MON,03:49:00,702,8,1746,702.0,11.4,1746.0
ITS-TDSQL-01,2011-03-07,MON,03:54:00,790,9,1754,790.0,11.4,1753.52
ITS-TDSQL-01,2011-03-07,MON,03:59:00,702,8,1754,702.0,11.4,1753.52
ITS-TDSQL-01,2011-03-07,MON,04:04:00,1522,8,1756,1522.0,11.4,1755.51
ITS-TDSQL-01,2011-03-07,MON,04:09:00,614,9,1770,614.0,11.4,1769.12
ITS-TDSQL-01,2011-03-07,MON,04:14:00,790,8,1766,790.0,11.4,1766.45
ITS-TDSQL-01,2011-03-07,MON,04:19:00,1200,8,1766,1200.0,11.4,1766.45
ITS-TDSQL-01,2011-03-07,MON,04:24:00,965,8,1766,965.0,11.4,1766.45
ITS-TDSQL-01,2011-03-07,MON,04:29:00,643,8,1767,643.0,11.4,1766.45
ITS-TDSQL-01,2011-03-07,MON,04:35:00,0,9,1765,0.0,11.4,1765.0
ITS-TDSQL-01,2011-03-07,MON,04:39:00,468,7,1766,468.0,11.4,1766.45
ITS-TDSQL-01,2011-03-07,MON,04:44:00,614,8,1766,614.0,11.4,1766.45
ITS-TDSQL-01,2011-03-07,MON,04:49:00,848,8,1748,848.0,11.4,1747.5
ITS-TDSQL-01,2011-03-07,MON,04:54:00,848,8,1757,848.0,11.4,1757.0
ITS-TDSQL-01,2011-03-07,MON,04:59:00,556,8,1764,556.0,11.4,1764.0
ITS-TDSQL-01,2011-03-07,MON,05:04:00,468,8,1765,468.0,11.4,1765.0
ITS-TDSQL-01,2011-03-07,MON,05:09:00,731,8,1740,731.0,11.4,1740.0
ITS-TDSQL-01,2011-03-07,MON,05:14:00,702,9,1750,702.0,11.4,1749.54
ITS-TDSQL-01,2011-03-07,MON,05:19:00,556,9,1749,556.0,11.4,1749.54
ITS-TDSQL-01,2011-03-07,MON,05:24:00,731,8,1750,731.0,11.4,1749.54
ITS-TDSQL-01,2011-03-07,MON,05:29:00,848,8,1750,848.0,11.4,1749.54
ITS-TDSQL-01,2011-03-07,MON,05:34:00,1200,8,1750,1200.0,11.4,1749.54
ITS-TDSQL-01,2011-03-07,MON,05:39:00,790,8,1752,790.0,11.4,1752.0
ITS-TDSQL-01,2011-03-07,MON,05:44:00,790,8,1752,790.0,11.4,1752.0
ITS-TDSQL-01,2011-03-07,MON,05:49:00,351,8,1736,370.57,11.4,1736.43
ITS-TDSQL-01,2011-03-07,MON,05:54:00,58,8,1744,51.48,11.4,1744.0
ITS-TDSQL-01,2011-03-07,MON,05:59:00,1024,8,1745,1024.0,11.4,1745.0
ITS-TDSQL-01,2011-03-07,MON,06:04:00,1024,8,1745,1024.0,11.4,1745.0
ITS-TDSQL-01,2011-03-07,MON,06:09:00,1434,8,1750,1434.0,11.4,1749.54
ITS-TDSQL-01,2011-03-07,MON,06:14:00,1434,8,1772,1434.0,11.4,1771.45
ITS-TDSQL-01,2011-03-07,MON,06:19:00,643,8,1751,643.0,11.4,1751.0
ITS-TDSQL-01,2011-03-07,MON,06:24:00,1082,8,1752,1082.0,11.4,1752.0
ITS-TDSQL-01,2011-03-07,MON,06:29:00,1112,8,1752,1112.0,11.4,1752.0
ITS-TDSQL-01,2011-03-07,MON,06:34:00,2927,533,1760,2886.21,534.5,1760.0
ITS-TDSQL-01,2011-03-07,MON,06:39:00,643,129,1761,643.0,137.76,1761.0
ITS-TDSQL-01,2011-03-07,MON,06:44:00,468,8,1760,468.0,11.4,1760.0
ITS-TDSQL-01,2011-03-07,MON,06:49:00,878,8,1745,878.0,11.4,1745.0
ITS-TDSQL-01,2011-03-07,MON,06:54:00,614,8,1753,614.0,11.4,1753.52
ITS-TDSQL-01,2011-03-07,MON,06:59:00,1082,8,1753,1082.0,11.4,1753.52
ITS-TDSQL-01,2011-03-07,MON,07:04:00,1170,8,1754,1170.0,11.4,1753.52
ITS-TDSQL-01,2011-03-07,MON,07:09:00,731,8,1759,731.0,11.4,1759.0
ITS-TDSQL-01,2011-03-07,MON,07:14:00,614,8,1760,614.0,11.4,1760.0
ITS-TDSQL-01,2011-03-07,MON,07:19:00,1112,9,1760,1112.0,11.4,1760.0
ITS-TDSQL-01,2011-03-07,MON,07:24:00,878,8,1760,878.0,11.4,1760.0
ITS-TDSQL-01,2011-03-07,MON,07:29:00,907,8,1761,907.0,11.4,1761.0
ITS-TDSQL-01,2011-03-07,MON,07:35:00,58,9,1760,51.48,11.4,1760.0
ITS-TDSQL-01,2011-03-07,MON,07:39:00,936,8,1761,936.0,11.4,1761.0
ITS-TDSQL-01,2011-03-07,MON,07:44:00,1112,9,1761,1112.0,11.4,1761.0
ITS-TDSQL-01,2011-03-07,MON,07:49:00,731,10,1746,731.0,11.4,1746.0
ITS-TDSQL-01,2011-03-07,MON,07:54:00,1200,8,1755,1200.0,11.4,1755.51
ITS-TDSQL-01,2011-03-07,MON,07:59:00,907,8,1755,907.0,11.4,1755.51
ITS-TDSQL-01,2011-03-07,MON,08:04:00,848,9,1756,848.0,11.4,1755.51
ITS-TDSQL-01,2011-03-07,MON,08:09:00,234,9,1765,218.3,11.4,1765.0
ITS-TDSQL-01,2011-03-07,MON,08:14:00,1375,8,1762,1375.0,11.4,1762.0
ITS-TDSQL-01,2011-03-07,MON,08:19:00,848,8,1762,848.0,11.4,1762.0
ITS-TDSQL-01,2011-03-07,MON,08:24:00,790,8,1762,790.0,11.4,1762.0
ITS-TDSQL-01,2011-03-07,MON,08:29:00,556,9,1763,556.0,11.4,1763.0
ITS-TDSQL-01,2011-03-07,MON,08:34:00,1492,12,1763,1492.0,11.4,1763.0
ITS-TDSQL-01,2011-03-07,MON,08:39:00,878,11,1764,878.0,11.4,1764.0
ITS-TDSQL-01,2011-03-07,MON,08:44:00,1053,8,1763,1053.0,11.4,1763.0
