NAME,DATE,WEEKDAY,TIME,CPU,BW,MEM,CPU_D,BW_D,MEM_D
ITS-VCB,2011-03-07,MON,00:29:00,1675,16,1385,1675.0,1.06,1387.85
ITS-VCB,2011-03-07,MON,00:34:00,1675,718,1388,1675.0,719.15,1387.85
ITS-VCB,2011-03-07,MON,00:39:00,638,1113,1412,638.0,1108.11,1413.16
ITS-VCB,2011-03-07,MON,00:44:00,319,1156,1401,319.0,1162.72,1400.03
ITS-VCB,2011-03-07,MON,00:49:00,1197,1048,1411,1197.0,1041.71,1410.45
ITS-VCB,2011-03-07,MON,00:54:00,877,968,1429,877.0,963.73,1427.86
ITS-VCB,2011-03-07,MON,00:59:00,798,1047,1420,798.0,1041.71,1421.46
ITS-VCB,2011-03-07,MON,01:04:00,1197,1038,1423,1197.0,1041.71,1421.46
ITS-VCB,2011-03-07,MON,01:09:00,2314,124,1446,2396.77,142.96,1448.69
ITS-VCB,2011-03-07,MON,01:14:00,1276,1046,1445,1276.0,1041.71,1442.57
ITS-VCB,2011-03-07,MON,01:19:00,638,1010,1449,638.0,1010.47,1448.69
ITS-VCB,2011-03-07,MON,01:25:00,1197,1068,1452,1197.0,1074.37,1453.63
ITS-VCB,2011-03-07,MON,01:29:00,798,887,1463,798.0,889.9,1466.28
ITS-VCB,2011-03-07,MON,01:34:00,877,1009,1468,877.0,1010.47,1466.28
ITS-VCB,2011-03-07,MON,01:39:00,1197,1010,1463,1197.0,1010.47,1466.28
ITS-VCB,2011-03-07,MON,01:44:00,2314,269,1464,2396.77,267.28,1466.28
ITS-VCB,2011-03-07,MON,01:49:00,319,1035,1463,319.0,1041.71,1466.28
ITS-VCB,2011-03-07,MON,01:55:00,558,1034,1465,558.0,1027.05,1466.28
ITS-VCB,2011-03-07,MON,01:59:00,1197,845,1467,1197.0,853.48,1466.28
ITS-VCB,2011-03-07,MON,02:04:00,1516,1023,1468,1516.0,1027.05,1466.28
ITS-VCB,2011-03-07,MON,02:10:00,319,1130,1469,319.0,1135.63,1466.28
ITS-VCB,2011-03-07,MON,02:14:00,1276,907,1413,1276.0,910.63,1413.16
ITS-VCB,2011-03-07,MON,02:19:00,159,219,1409,159.0,220.76,1408.15
ITS-VCB,2011-03-07,MON,02:24:00,399,938,1413,399.0,932.31,1413.16
ITS-VCB,2011-03-07,MON,02:29:00,1675,982,1408,1675.0,978.91,1408.15
ITS-VCB,2011-03-07,MON,02:34:00,1436,951,1356,1436.0,947.67,1352.9
ITS-VCB,2011-03-07,MON,02:39:00,79,972,1359,79.0,978.91,1359.26
ITS-VCB,2011-03-07,MON,02:45:00,1037,1121,1355,1037.0,1122.39,1352.9
ITS-VCB,2011-03-07,MON,02:49:00,79,809,1353,79.0,814.65,1352.9
ITS-VCB,2011-03-07,MON,02:54:00,877,315,1352,877.0,314.64,1352.9
ITS-VCB,2011-03-07,MON,02:59:00,1436,930,1356,1436.0,932.31,1352.9
ITS-VCB,2011-03-07,MON,03:04:00,1037,809,1354,1037.0,814.65,1352.9
ITS-VCB,2011-03-07,MON,03:09:00,399,781,1354,399.0,773.63,1352.9
ITS-VCB,2011-03-07,MON,03:14:00,1037,751,1250,1037.0,755.91,1250.02
ITS-VCB,2011-03-07,MON,03:19:00,638,753,1251,638.0,755.91,1250.02
ITS-VCB,2011-03-07,MON,03:24:00,1516,706,1251,1516.0,700.84,1250.02
ITS-VCB,2011-03-07,MON,03:29:00,877,816,1260,877.0,814.65,1260.04
ITS-VCB,2011-03-07,MON,03:34:00,1197,800,1266,1197.0,793.96,1267.28
ITS-VCB,2011-03-07,MON,03:39:00,399,110,1273,399.0,94.26,1272.25
ITS-VCB,2011-03-07,MON,03:44:00,877,719,1275,877.0,719.15,1276.37
ITS-VCB,2011-03-07,MON,03:49:00,1197,820,1261,1197.0,814.65,1260.04
ITS-VCB,2011-03-07,MON,03:54:00,399,829,1258,399.0,835.32,1260.04
ITS-VCB,2011-03-07,MON,03:59:00,638,821,1208,638.0,814.65,1209.04
ITS-VCB,2011-03-07,MON,04:04:00,638,771,1207,638.0,773.63,1205.48
ITS-VCB,2011-03-07,MON,04:09:00,1516,797,1211,1516.0,793.96,1211.47
ITS-VCB,2011-03-07,MON,04:14:00,1037,930,1213,1037.0,932.31,1213.9
ITS-VCB,2011-03-07,MON,04:19:00,798,714,1211,798.0,719.15,1211.47
ITS-VCB,2011-03-07,MON,04:24:00,1516,920,1223,1516.0,920.33,1221.61
ITS-VCB,2011-03-07,MON,04:29:00,1037,843,1218,1037.0,835.32,1217.39
ITS-VCB,2011-03-07,MON,04:35:00,1037,919,1220,1037.0,920.33,1221.61
ITS-VCB,2011-03-07,MON,04:39:00,1516,760,1219,1516.0,755.91,1217.39
ITS-VCB,2011-03-07,MON,04:44:00,1436,814,1218,1436.0,814.65,1217.39
ITS-VCB,2011-03-07,MON,04:49:00,1276,888,1228,1276.0,889.9,1226.14
ITS-VCB,2011-03-07,MON,04:54:00,877,964,1221,877.0,963.73,1221.61
ITS-VCB,2011-03-07,MON,04:59:00,1037,455,1232,1037.0,459.82,1231.57
ITS-VCB,2011-03-07,MON,05:04:00,79,990,1231,79.0,994.88,1231.57
ITS-VCB,2011-03-07,MON,05:09:00,1197,991,1230,1197.0,994.88,1231.57
ITS-VCB,2011-03-07,MON,05:14:00,1037,963,1231,1037.0,963.73,1231.57
ITS-VCB,2011-03-07,MON,05:19:00,399,901,1228,399.0,903.26,1226.14
ITS-VCB,2011-03-07,MON,05:24:00,1037,1003,1228,1037.0,1010.47,1226.14
ITS-VCB,2011-03-07,MON,05:29:00,1037,975,1230,1037.0,978.91,1231.57
ITS-VCB,2011-03-07,MON,05:34:00,1197,749,1240,1197.0,755.91,1237.22
ITS-VCB,2011-03-07,MON,05:39:00,1197,955,1234,1197.0,947.67,1231.57
ITS-VCB,2011-03-07,MON,05:44:00,1197,976,1229,1197.0,978.91,1231.57
ITS-VCB,2011-03-07,MON,05:49:00,1197,950,1229,1197.0,947.67,1231.57
ITS-VCB,2011-03-07,MON,05:55:00,1197,1142,1227,1197.0,1135.63,1226.14
ITS-VCB,2011-03-07,MON,05:59:00,877,870,1229,877.0,870.03,1231.57
ITS-VCB,2011-03-07,MON,06:04:00,877,924,1229,877.0,920.33,1231.57
ITS-VCB,2011-03-07,MON,06:09:00,1197,968,1229,1197.0,963.73,1231.57
ITS-VCB,2011-03-07,MON,06:14:00,1037,762,1238,1037.0,755.91,1237.22
ITS-VCB,2011-03-07,MON,06:19:00,798,955,1229,798.0,947.67,1231.57
ITS-VCB,2011-03-07,MON,06:24:00,159,956,1230,159.0,963.73,1231.57
ITS-VCB,2011-03-07,MON,06:29:00,1037,901,1231,1037.0,903.26,1231.57
ITS-VCB,2011-03-07,MON,06:34:00,877,999,1231,877.0,994.88,1231.57
ITS-VCB,2011-03-07,MON,06:39:00,558,955,1231,558.0,947.67,1231.57
ITS-VCB,2011-03-07,MON,06:44:00,558,923,1226,558.0,920.33,1226.14
ITS-VCB,2011-03-07,MON,06:49:00,1197,60,1231,1197.0,43.7,1231.57
ITS-VCB,2011-03-07,MON,06:54:00,798,945,1225,798.0,947.67,1226.14
ITS-VCB,2011-03-07,MON,06:59:00,399,933,1228,399.0,932.31,1226.14
ITS-VCB,2011-03-07,MON,07:04:00,638,938,1228,638.0,932.31,1226.14
ITS-VCB,2011-03-07,MON,07:09:00,558,855,1229,558.0,853.48,1231.57
ITS-VCB,2011-03-07,MON,07:14:00,1197,920,1228,1197.0,920.33,1226.14
ITS-VCB,2011-03-07,MON,07:19:00,1197,946,1230,1197.0,947.67,1231.57
ITS-VCB,2011-03-07,MON,07:24:00,558,910,1230,558.0,910.63,1231.57
ITS-VCB,2011-03-07,MON,07:29:00,798,1012,1234,798.0,1010.47,1231.57
ITS-VCB,2011-03-07,MON,07:35:00,1037,1066,1233,1037.0,1074.37,1231.57
ITS-VCB,2011-03-07,MON,07:39:00,1276,876,1232,1276.0,870.03,1231.57
ITS-VCB,2011-03-07,MON,07:44:00,1276,972,1227,1276.0,978.91,1226.14
ITS-VCB,2011-03-07,MON,07:49:00,638,1006,1228,638.0,1010.47,1226.14
ITS-VCB,2011-03-07,MON,07:54:00,1197,825,1225,1197.0,814.65,1226.14
ITS-VCB,2011-03-07,MON,07:59:00,877,910,1229,877.0,910.63,1231.57
ITS-VCB,2011-03-07,MON,08:04:00,877,385,1229,877.0,378.65,1231.57
ITS-VCB,2011-03-07,MON,08:09:00,1516,1001,1229,1516.0,994.88,1231.57
ITS-VCB,2011-03-07,MON,08:14:00,1276,957,1229,1276.0,963.73,1231.57
ITS-VCB,2011-03-07,MON,08:19:00,0,985,1229,0.0,978.91,1231.57
ITS-VCB,2011-03-07,MON,08:24:00,638,927,1229,638.0,932.31,1231.57
ITS-VCB,2011-03-07,MON,08:29:00,877,959,1231,877.0,963.73,1231.57
ITS-VCB,2011-03-07,MON,08:34:00,638,974,1230,638.0,978.91,1231.57
ITS-VCB,2011-03-07,MON,08:39:00,1037,26,1231,1037.0,43.7,1231.57
ITS-VCB,2011-03-07,MON,08:44:00,798,933,1228,798.0,932.31,1226.14
