NAME,DATE,WEEKDAY,TIME,CPU,BW,MEM,CPU_D,BW_D,MEM_D
ITS-VEEAM-02,2011-03-07,MON,00:29:00,3591,16,3638,3544.9,4.38,3636.23
ITS-VEEAM-02,2011-03-07,MON,00:34:00,2872,8,4024,2852.3,4.38,4005.14
ITS-VEEAM-02,2011-03-07,MON,00:39:00,2473,1,4067,2473.0,4.38,4005.14
ITS-VEEAM-02,2011-03-07,MON,00:44:00,2274,2,4092,2274.0,4.38,4005.14
ITS-VEEAM-02,2011-03-07,MON,00:49:00,2114,2,3931,2114.0,4.38,3893.41
ITS-VEEAM-02,2011-03-07,MON,00:54:00,2593,2,4040,2593.0,4.38,4005.14
ITS-VEEAM-02,2011-03-07,MON,00:59:00,2593,1,3453,2593.0,4.38,3440.93
ITS-VEEAM-02,2011-03-07,MON,01:04:00,319,3,3040,321.0,4.38,3058.15
ITS-VEEAM-02,2011-03-07,MON,01:09:00,3870,9,3567,3853.89,4.38,3557.96
ITS-VEEAM-02,2011-03-07,MON,01:14:00,199,1,3288,174.1,4.38,3266.97
ITS-VEEAM-02,2011-03-07,MON,01:19:00,199,2,3063,174.1,4.38,3058.15
ITS-VEEAM-02,2011-03-07,MON,01:25:00,2952,2,3919,2945.76,4.38,3893.41
ITS-VEEAM-02,2011-03-07,MON,01:29:00,2633,9,3551,2633.0,4.38,3557.96
ITS-VEEAM-02,2011-03-07,MON,01:34:00,279,2,3656,277.72,4.38,3636.23
ITS-VEEAM-02,2011-03-07,MON,01:39:00,3032,8,3986,3054.24,4.38,4005.14
ITS-VEEAM-02,2011-03-07,MON,01:44:00,1755,9,3420,1733.53,4.38,3401.7
ITS-VEEAM-02,2011-03-07,MON,01:49:00,758,1,4011,758.0,4.38,4005.14
ITS-VEEAM-02,2011-03-07,MON,01:55:00,3351,2,3637,3385.6,4.38,3636.23
ITS-VEEAM-02,2011-03-07,MON,01:59:00,2633,1,3888,2633.0,4.38,3893.41
ITS-VEEAM-02,2011-03-07,MON,02:05:00,2713,10,4054,2713.0,4.38,4005.14
ITS-VEEAM-02,2011-03-07,MON,02:10:00,478,8,3090,497.25,4.38,3103.09
ITS-VEEAM-02,2011-03-07,MON,02:14:00,2713,1,4036,2713.0,4.38,4005.14
ITS-VEEAM-02,2011-03-07,MON,02:19:00,3192,1,3800,3177.12,4.38,3793.1
ITS-VEEAM-02,2011-03-07,MON,02:24:00,3591,2,4033,3544.9,4.38,4005.14
ITS-VEEAM-02,2011-03-07,MON,02:29:00,3391,8,3869,3385.6,4.38,3893.41
ITS-VEEAM-02,2011-03-07,MON,02:34:00,3032,1,3738,3054.24,4.38,3705.24
ITS-VEEAM-02,2011-03-07,MON,02:39:00,3990,2,3910,3976.36,4.38,3893.41
ITS-VEEAM-02,2011-03-07,MON,02:45:00,1835,9,3740,1848.21,4.38,3705.24
ITS-VEEAM-02,2011-03-07,MON,02:49:00,2753,1,3455,2759.94,4.38,3440.93
ITS-VEEAM-02,2011-03-07,MON,02:54:00,2154,1,3744,2154.0,4.38,3705.24
ITS-VEEAM-02,2011-03-07,MON,02:59:00,2154,2,3934,2154.0,4.38,3893.41
ITS-VEEAM-02,2011-03-07,MON,03:04:00,2633,12,3987,2633.0,4.38,4005.14
ITS-VEEAM-02,2011-03-07,MON,03:09:00,2394,1,4004,2394.0,4.38,4005.14
ITS-VEEAM-02,2011-03-07,MON,03:14:00,3152,2,3784,3177.12,4.38,3793.1
ITS-VEEAM-02,2011-03-07,MON,03:19:00,1396,2,3585,1396.0,4.38,3591.19
ITS-VEEAM-02,2011-03-07,MON,03:24:00,917,10,3762,912.0,4.38,3793.1
ITS-VEEAM-02,2011-03-07,MON,03:29:00,1596,6,4058,1596.0,4.38,4005.14
ITS-VEEAM-02,2011-03-07,MON,03:34:00,79,1,3981,79.0,4.38,4005.14
ITS-VEEAM-02,2011-03-07,MON,03:39:00,1596,2,3375,1596.0,4.38,3354.88
ITS-VEEAM-02,2011-03-07,MON,03:44:00,3990,2,3997,3976.36,4.38,4005.14
ITS-VEEAM-02,2011-03-07,MON,03:49:00,1715,15,3889,1733.53,4.38,3893.41
ITS-VEEAM-02,2011-03-07,MON,03:54:00,1157,1,3974,1155.55,4.38,4005.14
ITS-VEEAM-02,2011-03-07,MON,03:59:00,1396,1,4004,1396.0,4.38,4005.14
ITS-VEEAM-02,2011-03-07,MON,04:04:00,1835,1,3848,1848.21,4.38,3893.41
ITS-VEEAM-02,2011-03-07,MON,04:09:00,2832,2,3935,2852.3,4.38,3893.41
ITS-VEEAM-02,2011-03-07,MON,04:14:00,1835,9,3987,1848.21,4.38,4005.14
ITS-VEEAM-02,2011-03-07,MON,04:19:00,2912,1,3960,2945.76,4.38,4005.14
ITS-VEEAM-02,2011-03-07,MON,04:24:00,2034,7,3965,2053.68,4.38,4005.14
ITS-VEEAM-02,2011-03-07,MON,04:29:00,2713,2,3940,2713.0,4.38,3893.41
ITS-VEEAM-02,2011-03-07,MON,04:35:00,3750,1,3987,3752.12,4.38,4005.14
ITS-VEEAM-02,2011-03-07,MON,04:39:00,1635,2,3898,1639.23,4.38,3893.41
ITS-VEEAM-02,2011-03-07,MON,04:44:00,2952,8,3929,2945.76,4.38,3893.41
ITS-VEEAM-02,2011-03-07,MON,04:49:00,3511,1,3462,3544.9,4.38,3476.25
ITS-VEEAM-02,2011-03-07,MON,04:54:00,2154,1,3464,2154.0,4.38,3476.25
ITS-VEEAM-02,2011-03-07,MON,04:59:00,3391,2,3626,3385.6,4.38,3636.23
ITS-VEEAM-02,2011-03-07,MON,05:04:00,2952,10,3774,2945.76,4.38,3793.1
ITS-VEEAM-02,2011-03-07,MON,05:09:00,3630,6,4077,3672.7,4.38,4005.14
ITS-VEEAM-02,2011-03-07,MON,05:14:00,598,2,3457,618.36,4.38,3440.93
ITS-VEEAM-02,2011-03-07,MON,05:20:00,718,3,3571,717.28,4.38,3557.96
ITS-VEEAM-02,2011-03-07,MON,05:24:00,2513,1,4036,2515.67,4.38,4005.14
ITS-VEEAM-02,2011-03-07,MON,05:29:00,2912,1,3605,2945.76,4.38,3591.19
ITS-VEEAM-02,2011-03-07,MON,05:34:00,718,8,3505,717.28,4.38,3507.93
ITS-VEEAM-02,2011-03-07,MON,05:39:00,3032,2,3917,3054.24,4.38,3893.41
ITS-VEEAM-02,2011-03-07,MON,05:44:00,3192,2,3633,3177.12,4.38,3636.23
ITS-VEEAM-02,2011-03-07,MON,05:49:00,1516,2,3928,1516.0,4.38,3893.41
ITS-VEEAM-02,2011-03-07,MON,05:55:00,2952,5,3903,2945.76,4.38,3893.41
ITS-VEEAM-02,2011-03-07,MON,05:59:00,2274,7,3660,2274.0,4.38,3636.23
ITS-VEEAM-02,2011-03-07,MON,06:04:00,3152,2,3409,3177.12,4.38,3401.7
ITS-VEEAM-02,2011-03-07,MON,06:09:00,2394,2,3390,2394.0,4.38,3401.7
ITS-VEEAM-02,2011-03-07,MON,06:14:00,758,7,3434,758.0,4.38,3440.93
ITS-VEEAM-02,2011-03-07,MON,06:19:00,159,2,3561,174.1,4.38,3557.96
ITS-VEEAM-02,2011-03-07,MON,06:24:00,3710,1,3986,3672.7,4.38,4005.14
ITS-VEEAM-02,2011-03-07,MON,06:29:00,2713,2,3758,2713.0,4.38,3793.1
ITS-VEEAM-02,2011-03-07,MON,06:34:00,2274,1,3784,2274.0,4.38,3793.1
ITS-VEEAM-02,2011-03-07,MON,06:39:00,758,10,3550,758.0,4.38,3557.96
ITS-VEEAM-02,2011-03-07,MON,06:44:00,399,1,3887,399.0,4.38,3893.41
ITS-VEEAM-02,2011-03-07,MON,06:49:00,1157,2,4010,1155.55,4.38,4005.14
ITS-VEEAM-02,2011-03-07,MON,06:54:00,2274,9,3687,2274.0,4.38,3705.24
ITS-VEEAM-02,2011-03-07,MON,06:59:00,3152,2,3730,3177.12,4.38,3705.24
ITS-VEEAM-02,2011-03-07,MON,07:04:00,3032,1,3466,3054.24,4.38,3476.25
ITS-VEEAM-02,2011-03-07,MON,07:09:00,3870,9,3454,3853.89,4.38,3440.93
ITS-VEEAM-02,2011-03-07,MON,07:14:00,3391,1,3811,3385.6,4.38,3793.1
ITS-VEEAM-02,2011-03-07,MON,07:19:00,79,9,3293,79.0,4.38,3312.65
ITS-VEEAM-02,2011-03-07,MON,07:24:00,279,1,3568,277.72,4.38,3557.96
ITS-VEEAM-02,2011-03-07,MON,07:29:00,79,9,3304,79.0,4.38,3312.65
ITS-VEEAM-02,2011-03-07,MON,07:35:00,2154,1,4019,2154.0,4.38,4005.14
ITS-VEEAM-02,2011-03-07,MON,07:39:00,1875,2,2424,1848.21,4.38,2444.86
ITS-VEEAM-02,2011-03-07,MON,07:44:00,1396,1,2555,1396.0,4.38,2557.65
ITS-VEEAM-02,2011-03-07,MON,07:49:00,1276,1,2683,1276.0,4.38,2674.59
ITS-VEEAM-02,2011-03-07,MON,07:54:00,2753,1,2693,2759.94,4.38,2697.11
ITS-VEEAM-02,2011-03-07,MON,07:59:00,1596,1,2761,1596.0,4.38,2765.57
ITS-VEEAM-02,2011-03-07,MON,08:04:00,199,9,2252,174.1,4.38,2244.27
ITS-VEEAM-02,2011-03-07,MON,08:09:00,957,1,2337,958.97,4.38,2343.09
ITS-VEEAM-02,2011-03-07,MON,08:14:00,79,7,2287,79.0,4.38,2280.56
ITS-VEEAM-02,2011-03-07,MON,08:19:00,1037,1,2329,1056.05,4.38,2343.09
ITS-VEEAM-02,2011-03-07,MON,08:24:00,1596,1,2589,1596.0,4.38,2608.86
ITS-VEEAM-02,2011-03-07,MON,08:29:00,478,2,763,497.25,4.38,780.26
ITS-VEEAM-02,2011-03-07,MON,08:34:00,199,1,754,174.1,4.38,780.26
ITS-VEEAM-02,2011-03-07,MON,08:39:00,319,1,735,321.0,4.38,720.79
ITS-VEEAM-02,2011-03-07,MON,08:44:00,279,1,762,277.72,4.38,780.26
ITS-VEEAM-02,2011-03-07,MON,08:49:00,159,1,781,174.1,4.38,780.26
ITS-VEEAM-02,2011-03-07,MON,08:54:00,79,1,739,79.0,4.38,720.79
ITS-VEEAM-02,2011-03-07,MON,08:59:00,159,1,767,174.1,4.38,780.26
ITS-VEEAM-02,2011-03-07,MON,09:05:00,39,1,762,39.0,4.38,780.26
ITS-VEEAM-02,2011-03-07,MON,09:09:00,39,1,752,39.0,4.38,780.26
ITS-VEEAM-02,2011-03-07,MON,09:14:00,3271,1,768,3289.84,4.38,780.26
ITS-VEEAM-02,2011-03-07,MON,09:19:00,3750,1,770,3752.12,4.38,780.26
ITS-VEEAM-02,2011-03-07,MON,09:24:00,39,1,746,39.0,4.38,720.79
ITS-VEEAM-02,2011-03-07,MON,09:29:00,79,1,771,79.0,4.38,780.26
ITS-VEEAM-02,2011-03-07,MON,09:34:00,79,1,767,79.0,4.38,780.26
ITS-VEEAM-02,2011-03-07,MON,09:39:00,199,1,745,174.1,4.38,720.79
ITS-VEEAM-02,2011-03-07,MON,09:44:00,79,1,769,79.0,4.38,780.26
ITS-VEEAM-02,2011-03-07,MON,09:49:00,3311,1,772,3289.84,4.38,780.26
ITS-VEEAM-02,2011-03-07,MON,09:55:00,199,1,765,174.1,4.38,780.26
ITS-VEEAM-02,2011-03-07,MON,10:00:00,39,1,795,39.0,4.38,780.26
ITS-VEEAM-02,2011-03-07,MON,10:04:00,399,1,782,399.0,4.38,780.26
ITS-VEEAM-02,2011-03-07,MON,10:09:00,199,1,761,174.1,4.38,780.26
ITS-VEEAM-02,2011-03-07,MON,10:19:00,39,1,782,39.0,4.38,780.26
ITS-VEEAM-02,2011-03-07,MON,10:24:00,478,1,785,497.25,4.38,780.26
ITS-VEEAM-02,2011-03-07,MON,10:29:00,39,1,763,39.0,4.38,780.26
