NAME,DATE,WEEKDAY,TIME,CPU,BW,MEM,CPU_D,BW_D,MEM_D
ITS-VEEAM,2011-03-07,MON,00:29:00,1136,16,1529,1104.1,43105.33,1535.77
ITS-VEEAM,2011-03-07,MON,00:34:00,897,103543,1521,897.0,43105.33,1511.75
ITS-VEEAM,2011-03-07,MON,00:39:00,2573,106981,1454,2573.0,43105.33,1443.39
ITS-VEEAM,2011-03-07,MON,00:44:00,2812,109303,1480,2814.54,43105.33,1482.36
ITS-VEEAM,2011-03-07,MON,00:49:00,1974,102101,1890,1974.0,43105.33,1884.04
ITS-VEEAM,2011-03-07,MON,00:54:00,2214,102910,1824,2214.0,43105.33,1832.67
ITS-VEEAM,2011-03-07,MON,00:59:00,2273,103314,1934,2273.0,43105.33,1933.93
ITS-VEEAM,2011-03-07,MON,01:04:00,2273,101732,2234,2273.0,43105.33,2235.81
ITS-VEEAM,2011-03-07,MON,01:09:00,2393,103752,2165,2417.73,43105.33,2165.22
ITS-VEEAM,2011-03-07,MON,01:14:00,3470,100012,2331,3444.04,43105.33,2325.98
ITS-VEEAM,2011-03-07,MON,01:19:00,4069,101030,2402,4100.52,43105.33,2400.98
ITS-VEEAM,2011-03-07,MON,01:25:00,777,112208,1223,744.19,43105.33,1232.11
ITS-VEEAM,2011-03-07,MON,01:29:00,1256,93742,1248,1255.21,43105.33,1253.46
ITS-VEEAM,2011-03-07,MON,01:34:00,1795,101139,1551,1767.0,43105.33,1560.93
ITS-VEEAM,2011-03-07,MON,01:39:00,1555,104679,1232,1555.0,43105.33,1232.11
ITS-VEEAM,2011-03-07,MON,01:44:00,478,99497,1256,478.0,43105.33,1253.46
ITS-VEEAM,2011-03-07,MON,01:49:00,1436,103109,1332,1436.0,43105.33,1343.01
ITS-VEEAM,2011-03-07,MON,01:55:00,1136,111998,1234,1104.1,43105.33,1232.11
ITS-VEEAM,2011-03-07,MON,01:59:00,478,93787,1258,478.0,43105.33,1253.46
ITS-VEEAM,2011-03-07,MON,02:05:00,777,112096,1767,744.19,43105.33,1755.15
ITS-VEEAM,2011-03-07,MON,02:10:00,1436,105145,1783,1436.0,43105.33,1782.89
ITS-VEEAM,2011-03-07,MON,02:14:00,1376,92075,1566,1376.0,43105.33,1560.93
ITS-VEEAM,2011-03-07,MON,02:19:00,3590,102872,1504,3596.92,43105.33,1511.75
ITS-VEEAM,2011-03-07,MON,02:24:00,4128,102721,1995,4100.52,43105.33,1992.79
ITS-VEEAM,2011-03-07,MON,02:29:00,3410,104547,1840,3444.04,43105.33,1832.67
ITS-VEEAM,2011-03-07,MON,02:34:00,1795,102872,2243,1767.0,43105.33,2246.82
ITS-VEEAM,2011-03-07,MON,02:39:00,4547,103635,2273,4568.11,43105.33,2263.05
ITS-VEEAM,2011-03-07,MON,02:45:00,2094,120209,2259,2094.0,43105.33,2263.05
ITS-VEEAM,2011-03-07,MON,02:49:00,2573,89362,2299,2573.0,43105.33,2303.27
ITS-VEEAM,2011-03-07,MON,02:54:00,1436,101889,2306,1436.0,43105.33,2303.27
ITS-VEEAM,2011-03-07,MON,02:59:00,2094,102172,2330,2094.0,43105.33,2325.98
ITS-VEEAM,2011-03-07,MON,03:04:00,5624,90900,2964,5472.43,43105.33,2970.29
ITS-VEEAM,2011-03-07,MON,03:09:00,4248,81601,2781,4274.07,43105.33,2790.31
ITS-VEEAM,2011-03-07,MON,03:14:00,5744,79995,2966,5891.57,43105.33,2970.29
ITS-VEEAM,2011-03-07,MON,03:19:00,4428,82644,2998,4568.11,43105.33,2970.29
ITS-VEEAM,2011-03-07,MON,03:24:00,5086,75577,2827,4974.96,43105.33,2840.46
ITS-VEEAM,2011-03-07,MON,03:29:00,5924,88288,2836,5891.57,43105.33,2840.46
ITS-VEEAM,2011-03-07,MON,03:34:00,5984,81230,2906,5891.57,43105.33,2897.39
ITS-VEEAM,2011-03-07,MON,03:39:00,5984,81088,2897,5891.57,43105.33,2897.39
ITS-VEEAM,2011-03-07,MON,03:44:00,5924,84783,2898,5891.57,43105.33,2897.39
ITS-VEEAM,2011-03-07,MON,03:49:00,5804,86789,2917,5891.57,43105.33,2897.39
ITS-VEEAM,2011-03-07,MON,03:54:00,2932,91382,2939,2932.0,43105.33,2970.29
ITS-VEEAM,2011-03-07,MON,03:59:00,4308,89220,2743,4274.07,43105.33,2740.76
ITS-VEEAM,2011-03-07,MON,04:04:00,5984,82524,2837,5891.57,43105.33,2840.46
ITS-VEEAM,2011-03-07,MON,04:09:00,897,92713,2385,897.0,43105.33,2375.07
ITS-VEEAM,2011-03-07,MON,04:14:00,2094,91951,1680,2094.0,43105.33,1684.24
ITS-VEEAM,2011-03-07,MON,04:20:00,2273,112808,1927,2273.0,43105.33,1920.35
ITS-VEEAM,2011-03-07,MON,04:24:00,3470,98926,2119,3444.04,43105.33,2116.52
ITS-VEEAM,2011-03-07,MON,04:29:00,5804,92441,2564,5891.57,43105.33,2560.16
ITS-VEEAM,2011-03-07,MON,04:35:00,4308,108535,2675,4274.07,43105.33,2664.46
ITS-VEEAM,2011-03-07,MON,04:40:00,2573,80649,2160,2573.0,43105.33,2158.08
ITS-VEEAM,2011-03-07,MON,04:44:00,4128,81603,2278,4100.52,43105.33,2283.32
ITS-VEEAM,2011-03-07,MON,04:49:00,4188,97863,2432,4274.07,43105.33,2431.61
ITS-VEEAM,2011-03-07,MON,04:54:00,1735,105421,2083,1767.0,43105.33,2077.49
ITS-VEEAM,2011-03-07,MON,04:59:00,1376,108009,2089,1376.0,43105.33,2089.65
