NAME,DATE,WEEKDAY,TIME,CPU,BW,MEM,CPU_D,BW_D,MEM_D
IWM,2011-03-07,MON,00:29:00,166,16,889,166.04,15.54,894.13
IWM,2011-03-07,MON,00:34:00,33,24,892,33.0,23.4,894.13
IWM,2011-03-07,MON,00:39:00,133,20,894,133.0,23.4,894.13
IWM,2011-03-07,MON,00:44:00,166,16,897,166.04,15.54,894.13
IWM,2011-03-07,MON,00:49:00,233,21,897,244.56,23.4,894.13
IWM,2011-03-07,MON,00:54:00,166,6,896,166.04,7.42,894.13
IWM,2011-03-07,MON,00:59:00,33,22,886,33.0,23.4,883.28
IWM,2011-03-07,MON,01:04:00,66,26,868,66.0,23.4,870.13
IWM,2011-03-07,MON,01:09:00,66,31,880,66.0,30.64,883.28
IWM,2011-03-07,MON,01:14:00,233,17,892,244.56,15.54,894.13
IWM,2011-03-07,MON,01:19:00,133,22,895,133.0,23.4,894.13
IWM,2011-03-07,MON,01:25:00,133,21,895,133.0,23.4,894.13
IWM,2011-03-07,MON,01:29:00,33,16,895,33.0,15.54,894.13
IWM,2011-03-07,MON,01:34:00,233,19,895,244.56,15.54,894.13
IWM,2011-03-07,MON,01:39:00,33,9,897,33.0,7.42,894.13
IWM,2011-03-07,MON,01:44:00,166,10,903,166.04,7.42,904.71
IWM,2011-03-07,MON,01:49:00,66,6,903,66.0,7.42,904.71
IWM,2011-03-07,MON,01:55:00,133,5,902,133.0,7.42,904.71
IWM,2011-03-07,MON,01:59:00,33,14,896,33.0,15.54,894.13
IWM,2011-03-07,MON,02:04:00,66,13,898,66.0,15.54,894.13
IWM,2011-03-07,MON,02:10:00,33,4,903,33.0,7.42,904.71
IWM,2011-03-07,MON,02:14:00,133,31,901,133.0,30.64,904.71
IWM,2011-03-07,MON,02:19:00,166,17,914,166.04,15.54,913.76
IWM,2011-03-07,MON,02:24:00,66,5,813,66.0,7.42,812.71
IWM,2011-03-07,MON,02:29:00,233,14,834,244.56,15.54,833.08
IWM,2011-03-07,MON,02:34:00,166,12,862,166.04,15.54,870.13
IWM,2011-03-07,MON,02:39:00,66,14,888,66.0,15.54,883.28
IWM,2011-03-07,MON,02:45:00,66,0,906,66.0,7.42,904.71
IWM,2011-03-07,MON,02:49:00,166,31,886,166.04,30.64,883.28
IWM,2011-03-07,MON,02:54:00,166,5,895,166.04,7.42,894.13
IWM,2011-03-07,MON,02:59:00,366,12,976,366.0,15.54,973.66
IWM,2011-03-07,MON,03:04:00,1532,151,967,1689.31,151.92,968.4
IWM,2011-03-07,MON,03:09:00,1566,162,978,1689.31,164.71,979.88
IWM,2011-03-07,MON,03:14:00,2165,166,954,2162.41,164.71,954.83
IWM,2011-03-07,MON,03:19:00,1566,426,959,1689.31,441.07,961.67
IWM,2011-03-07,MON,03:24:00,1699,458,966,1689.31,488.95,968.4
IWM,2011-03-07,MON,03:29:00,1732,400,967,1689.31,393.88,968.4
IWM,2011-03-07,MON,03:34:00,2465,342,966,2162.41,341.43,968.4
IWM,2011-03-07,MON,03:39:00,233,27,255,244.56,23.4,268.98
IWM,2011-03-07,MON,03:44:00,33,22,259,33.0,23.4,268.98
IWM,2011-03-07,MON,03:49:00,133,34,259,133.0,30.64,268.98
IWM,2011-03-07,MON,03:54:00,66,13,258,66.0,15.54,268.98
IWM,2011-03-07,MON,03:59:00,133,24,259,133.0,23.4,268.98
IWM,2011-03-07,MON,04:04:00,133,26,261,133.0,23.4,268.98
IWM,2011-03-07,MON,04:09:00,233,32,261,244.56,30.64,268.98
IWM,2011-03-07,MON,04:14:00,66,27,264,66.0,23.4,268.98
IWM,2011-03-07,MON,04:20:00,1199,17,264,1184.28,15.54,268.98
IWM,2011-03-07,MON,04:24:00,133,13,265,133.0,15.54,268.98
IWM,2011-03-07,MON,04:29:00,166,24,265,166.04,23.4,268.98
IWM,2011-03-07,MON,04:35:00,66,16,267,66.0,15.54,268.98
IWM,2011-03-07,MON,04:39:00,33,22,267,33.0,23.4,268.98
IWM,2011-03-07,MON,04:44:00,166,25,270,166.04,23.4,268.98
IWM,2011-03-07,MON,04:49:00,166,34,270,166.04,30.64,268.98
IWM,2011-03-07,MON,04:54:00,133,5,270,133.0,7.42,268.98
IWM,2011-03-07,MON,04:59:00,166,23,270,166.04,23.4,268.98
IWM,2011-03-07,MON,05:04:00,66,24,273,66.0,23.4,268.98
IWM,2011-03-07,MON,05:09:00,133,30,269,133.0,30.64,268.98
IWM,2011-03-07,MON,05:14:00,233,23,272,244.56,23.4,268.98
IWM,2011-03-07,MON,05:19:00,33,25,273,33.0,23.4,268.98
