NAME,DATE,WEEKDAY,TIME,CPU,BW,MEM,CPU_D,BW_D,MEM_D
LAW-FSRV,2011-03-07,MON,00:29:00,58,16,1584,58.0,16.78,1583.86
LAW-FSRV,2011-03-07,MON,00:34:00,58,132,1584,58.0,130.86,1583.86
LAW-FSRV,2011-03-07,MON,00:39:00,234,130,1580,234.0,130.86,1583.86
LAW-FSRV,2011-03-07,MON,00:44:00,234,144,1582,234.0,130.86,1583.86
LAW-FSRV,2011-03-07,MON,00:49:00,58,122,1575,58.0,130.86,1583.86
LAW-FSRV,2011-03-07,MON,00:54:00,58,123,1584,58.0,130.86,1583.86
LAW-FSRV,2011-03-07,MON,00:59:00,1580,378,1613,1581.55,337.09,1619.28
LAW-FSRV,2011-03-07,MON,01:04:00,1287,170,1640,1287.0,130.86,1634.24
LAW-FSRV,2011-03-07,MON,01:09:00,643,815,1723,643.0,775.47,1723.47
LAW-FSRV,2011-03-07,MON,01:14:00,2048,235,1757,1934.03,234.39,1757.0
LAW-FSRV,2011-03-07,MON,01:19:00,878,259,1781,878.0,234.39,1781.0
LAW-FSRV,2011-03-07,MON,01:25:00,4039,283,1802,4565.24,234.39,1802.91
LAW-FSRV,2011-03-07,MON,01:29:00,3688,189,1796,3431.28,234.39,1795.38
LAW-FSRV,2011-03-07,MON,01:34:00,2985,262,1825,2723.92,234.39,1823.97
LAW-FSRV,2011-03-07,MON,01:39:00,3863,210,1807,3431.28,234.39,1807.0
LAW-FSRV,2011-03-07,MON,01:44:00,4507,208,1612,4565.24,234.39,1619.28
LAW-FSRV,2011-03-07,MON,01:49:00,5327,229,1678,4565.24,234.39,1679.17
LAW-FSRV,2011-03-07,MON,01:55:00,1580,254,1701,1581.55,234.39,1701.12
LAW-FSRV,2011-03-07,MON,01:59:00,1112,204,1721,1112.0,234.39,1720.48
LAW-FSRV,2011-03-07,MON,02:04:00,409,240,1728,409.0,234.39,1727.48
LAW-FSRV,2011-03-07,MON,02:10:00,58,254,1717,58.0,234.39,1718.22
LAW-FSRV,2011-03-07,MON,02:14:00,3395,232,1736,3431.28,234.39,1736.46
LAW-FSRV,2011-03-07,MON,02:19:00,3805,244,1750,3431.28,234.39,1749.97
LAW-FSRV,2011-03-07,MON,02:24:00,761,232,1761,761.0,234.39,1761.0
LAW-FSRV,2011-03-07,MON,02:29:00,4331,246,1767,4565.24,234.39,1766.95
LAW-FSRV,2011-03-07,MON,02:34:00,4683,233,1775,4565.24,234.39,1775.5
LAW-FSRV,2011-03-07,MON,02:39:00,4449,248,1775,4565.24,234.39,1775.5
LAW-FSRV,2011-03-07,MON,02:45:00,878,298,1777,878.0,337.09,1777.47
LAW-FSRV,2011-03-07,MON,02:50:00,234,195,1755,234.0,234.39,1755.0
LAW-FSRV,2011-03-07,MON,02:54:00,2341,216,1764,2289.2,234.39,1764.55
LAW-FSRV,2011-03-07,MON,02:59:00,2985,242,1759,2723.92,234.39,1758.51
LAW-FSRV,2011-03-07,MON,03:04:00,117,249,1758,117.0,234.39,1758.51
LAW-FSRV,2011-03-07,MON,03:09:00,2868,4498,1679,2723.92,4507.0,1679.17
LAW-FSRV,2011-03-07,MON,03:14:00,3805,6172,1684,3431.28,6481.37,1683.59
LAW-FSRV,2011-03-07,MON,03:19:00,4800,1448,1682,4565.24,1430.39,1683.59
LAW-FSRV,2011-03-07,MON,03:24:00,1053,3515,1692,1053.0,3490.9,1691.83
LAW-FSRV,2011-03-07,MON,03:29:00,585,2835,1687,585.0,2830.17,1686.5
LAW-FSRV,2011-03-07,MON,03:34:00,234,4647,1688,234.0,4645.78,1688.0
LAW-FSRV,2011-03-07,MON,03:39:00,761,5113,1648,761.0,5108.67,1645.81
LAW-FSRV,2011-03-07,MON,03:44:00,292,124,1593,292.0,130.86,1583.86
LAW-FSRV,2011-03-07,MON,03:49:00,58,123,1574,58.0,130.86,1583.86
LAW-FSRV,2011-03-07,MON,03:54:00,58,143,1590,58.0,130.86,1583.86
LAW-FSRV,2011-03-07,MON,03:59:00,58,139,1583,58.0,130.86,1583.86
LAW-FSRV,2011-03-07,MON,04:04:00,58,126,1588,58.0,130.86,1583.86
LAW-FSRV,2011-03-07,MON,04:09:00,117,131,1580,117.0,130.86,1583.86
LAW-FSRV,2011-03-07,MON,04:14:00,58,121,1589,58.0,130.86,1583.86
LAW-FSRV,2011-03-07,MON,04:20:00,58,161,1578,58.0,130.86,1583.86
LAW-FSRV,2011-03-07,MON,04:24:00,58,134,1591,58.0,130.86,1583.86
LAW-FSRV,2011-03-07,MON,04:29:00,58,115,1585,58.0,130.86,1583.86
LAW-FSRV,2011-03-07,MON,04:35:00,58,154,1579,58.0,130.86,1583.86
LAW-FSRV,2011-03-07,MON,04:40:00,468,117,1578,468.0,130.86,1583.86
LAW-FSRV,2011-03-07,MON,04:44:00,58,128,1580,58.0,130.86,1583.86
LAW-FSRV,2011-03-07,MON,04:49:00,58,118,1577,58.0,130.86,1583.86
LAW-FSRV,2011-03-07,MON,04:54:00,409,142,1582,409.0,130.86,1583.86
LAW-FSRV,2011-03-07,MON,04:59:00,117,118,1605,117.0,130.86,1604.59
LAW-FSRV,2011-03-07,MON,05:04:00,58,133,1577,58.0,130.86,1583.86
LAW-FSRV,2011-03-07,MON,05:09:00,936,300,1579,936.0,337.09,1583.86
LAW-FSRV,2011-03-07,MON,05:14:00,409,275,1567,409.0,234.39,1556.31
LAW-FSRV,2011-03-07,MON,05:20:00,58,132,1555,58.0,130.86,1556.31
LAW-FSRV,2011-03-07,MON,05:24:00,58,112,1559,58.0,130.86,1556.31
LAW-FSRV,2011-03-07,MON,05:29:00,58,132,1555,58.0,130.86,1556.31
LAW-FSRV,2011-03-07,MON,05:34:00,409,144,1557,409.0,130.86,1556.31
LAW-FSRV,2011-03-07,MON,05:39:00,1112,118,1646,1112.0,130.86,1645.81
LAW-FSRV,2011-03-07,MON,05:44:00,58,120,1605,58.0,130.86,1604.59
LAW-FSRV,2011-03-07,MON,05:50:00,468,135,1543,468.0,130.86,1556.31
LAW-FSRV,2011-03-07,MON,05:55:00,234,134,1551,234.0,130.86,1556.31
LAW-FSRV,2011-03-07,MON,05:59:00,58,131,1552,58.0,130.86,1556.31
LAW-FSRV,2011-03-07,MON,06:04:00,117,128,1553,117.0,130.86,1556.31
LAW-FSRV,2011-03-07,MON,06:09:00,234,118,1557,234.0,130.86,1556.31
LAW-FSRV,2011-03-07,MON,06:14:00,58,122,1553,58.0,130.86,1556.31
LAW-FSRV,2011-03-07,MON,06:19:00,409,133,1552,409.0,130.86,1556.31
LAW-FSRV,2011-03-07,MON,06:24:00,58,131,1558,58.0,130.86,1556.31
LAW-FSRV,2011-03-07,MON,06:29:00,292,134,1542,292.0,130.86,1556.31
LAW-FSRV,2011-03-07,MON,06:34:00,58,124,1553,58.0,130.86,1556.31
LAW-FSRV,2011-03-07,MON,06:39:00,409,126,1560,409.0,130.86,1556.31
