NAME,DATE,WEEKDAY,TIME,CPU,BW,MEM,CPU_D,BW_D,MEM_D
LCS-FSRV,2011-03-07,MON,00:29:00,58,16,1620,58.0,43.9,1619.78
LCS-FSRV,2011-03-07,MON,00:34:00,58,5,1616,58.0,43.9,1615.18
LCS-FSRV,2011-03-07,MON,00:39:00,58,1,1616,58.0,43.9,1615.18
LCS-FSRV,2011-03-07,MON,00:44:00,58,1,1613,58.0,43.9,1615.18
LCS-FSRV,2011-03-07,MON,00:49:00,58,1,1613,58.0,43.9,1615.18
LCS-FSRV,2011-03-07,MON,00:54:00,117,1,1612,117.0,43.9,1610.45
LCS-FSRV,2011-03-07,MON,00:59:00,58,1,1617,58.0,43.9,1615.18
LCS-FSRV,2011-03-07,MON,01:04:00,58,2,1619,58.0,43.9,1619.78
LCS-FSRV,2011-03-07,MON,01:09:00,58,1,1615,58.0,43.9,1615.18
LCS-FSRV,2011-03-07,MON,01:14:00,58,1,1618,58.0,43.9,1619.78
LCS-FSRV,2011-03-07,MON,01:19:00,58,1,1614,58.0,43.9,1615.18
LCS-FSRV,2011-03-07,MON,01:25:00,117,1,1610,117.0,43.9,1610.45
LCS-FSRV,2011-03-07,MON,01:29:00,58,1,1621,58.0,43.9,1619.78
LCS-FSRV,2011-03-07,MON,01:34:00,58,2,1614,58.0,43.9,1615.18
LCS-FSRV,2011-03-07,MON,01:39:00,585,2,1620,585.0,43.9,1619.78
LCS-FSRV,2011-03-07,MON,01:44:00,58,1,1616,58.0,43.9,1615.18
LCS-FSRV,2011-03-07,MON,01:49:00,234,8,1614,234.0,43.9,1615.18
LCS-FSRV,2011-03-07,MON,01:55:00,58,1,1608,58.0,43.9,1610.45
LCS-FSRV,2011-03-07,MON,01:59:00,58,1,1618,58.0,43.9,1619.78
LCS-FSRV,2011-03-07,MON,02:04:00,58,1,1614,58.0,43.9,1615.18
LCS-FSRV,2011-03-07,MON,02:10:00,58,1,1613,58.0,43.9,1615.18
LCS-FSRV,2011-03-07,MON,02:14:00,58,1,1618,58.0,43.9,1619.78
LCS-FSRV,2011-03-07,MON,02:19:00,58,1,1616,58.0,43.9,1615.18
LCS-FSRV,2011-03-07,MON,02:24:00,58,1,1614,58.0,43.9,1615.18
LCS-FSRV,2011-03-07,MON,02:29:00,58,7,1632,58.0,43.9,1630.85
LCS-FSRV,2011-03-07,MON,02:34:00,292,1,1613,292.0,43.9,1615.18
LCS-FSRV,2011-03-07,MON,02:39:00,58,1,1615,58.0,43.9,1615.18
LCS-FSRV,2011-03-07,MON,02:45:00,58,2,1611,58.0,43.9,1610.45
LCS-FSRV,2011-03-07,MON,02:50:00,409,1,1613,409.0,43.9,1615.18
LCS-FSRV,2011-03-07,MON,02:54:00,58,1,1611,58.0,43.9,1610.45
LCS-FSRV,2011-03-07,MON,02:59:00,234,1,1617,234.0,43.9,1615.18
LCS-FSRV,2011-03-07,MON,03:04:00,58,1,1612,58.0,43.9,1610.45
LCS-FSRV,2011-03-07,MON,03:09:00,58,1,1615,58.0,43.9,1615.18
LCS-FSRV,2011-03-07,MON,03:14:00,58,1,1614,58.0,43.9,1615.18
LCS-FSRV,2011-03-07,MON,03:19:00,58,1,1615,58.0,43.9,1615.18
LCS-FSRV,2011-03-07,MON,03:24:00,117,2,1616,117.0,43.9,1615.18
LCS-FSRV,2011-03-07,MON,03:29:00,58,2,1621,58.0,43.9,1619.78
LCS-FSRV,2011-03-07,MON,03:34:00,58,1,1616,58.0,43.9,1615.18
LCS-FSRV,2011-03-07,MON,03:39:00,58,1,1616,58.0,43.9,1615.18
LCS-FSRV,2011-03-07,MON,03:44:00,58,1,1619,58.0,43.9,1619.78
LCS-FSRV,2011-03-07,MON,03:49:00,58,1,1613,58.0,43.9,1615.18
LCS-FSRV,2011-03-07,MON,03:54:00,58,3,1612,58.0,43.9,1610.45
LCS-FSRV,2011-03-07,MON,03:59:00,58,1,1618,58.0,43.9,1619.78
LCS-FSRV,2011-03-07,MON,04:04:00,58,5,1614,58.0,43.9,1615.18
LCS-FSRV,2011-03-07,MON,04:09:00,468,2,1666,468.0,43.9,1666.48
LCS-FSRV,2011-03-07,MON,04:14:00,58,1,1625,58.0,43.9,1624.52
LCS-FSRV,2011-03-07,MON,04:20:00,58,1,1619,58.0,43.9,1619.78
LCS-FSRV,2011-03-07,MON,04:24:00,58,1,1618,58.0,43.9,1619.78
LCS-FSRV,2011-03-07,MON,04:29:00,58,2,1621,58.0,43.9,1619.78
LCS-FSRV,2011-03-07,MON,04:35:00,58,2,1617,58.0,43.9,1615.18
LCS-FSRV,2011-03-07,MON,04:40:00,58,1,1617,58.0,43.9,1615.18
LCS-FSRV,2011-03-07,MON,04:44:00,58,1,1618,58.0,43.9,1619.78
LCS-FSRV,2011-03-07,MON,04:49:00,58,1,1617,58.0,43.9,1615.18
LCS-FSRV,2011-03-07,MON,04:54:00,58,2,1618,58.0,43.9,1619.78
LCS-FSRV,2011-03-07,MON,04:59:00,58,1,1649,58.0,43.9,1648.7
LCS-FSRV,2011-03-07,MON,05:04:00,58,2,1613,58.0,43.9,1615.18
LCS-FSRV,2011-03-07,MON,05:09:00,58,1,1614,58.0,43.9,1615.18
LCS-FSRV,2011-03-07,MON,05:14:00,234,69,1631,234.0,43.9,1630.85
LCS-FSRV,2011-03-07,MON,05:20:00,468,60,1634,468.0,43.9,1634.57
LCS-FSRV,2011-03-07,MON,05:24:00,58,2,1628,58.0,43.9,1628.05
LCS-FSRV,2011-03-07,MON,05:29:00,58,1,1636,58.0,43.9,1634.57
LCS-FSRV,2011-03-07,MON,05:34:00,58,1,1624,58.0,43.9,1624.52
LCS-FSRV,2011-03-07,MON,05:39:00,58,2,1630,58.0,43.9,1630.85
LCS-FSRV,2011-03-07,MON,05:44:00,58,1,1631,58.0,43.9,1630.85
LCS-FSRV,2011-03-07,MON,05:50:00,234,5,1628,234.0,43.9,1628.05
LCS-FSRV,2011-03-07,MON,05:55:00,58,1,1625,58.0,43.9,1624.52
LCS-FSRV,2011-03-07,MON,05:59:00,58,1,1632,58.0,43.9,1630.85
LCS-FSRV,2011-03-07,MON,06:04:00,58,1,1627,58.0,43.9,1628.05
LCS-FSRV,2011-03-07,MON,06:09:00,58,1,1630,58.0,43.9,1630.85
LCS-FSRV,2011-03-07,MON,06:14:00,58,1,1633,58.0,43.9,1634.57
LCS-FSRV,2011-03-07,MON,06:19:00,58,1,1628,58.0,43.9,1628.05
LCS-FSRV,2011-03-07,MON,06:24:00,117,1,1627,117.0,43.9,1628.05
LCS-FSRV,2011-03-07,MON,06:29:00,58,1,1635,58.0,43.9,1634.57
LCS-FSRV,2011-03-07,MON,06:34:00,58,1,1628,58.0,43.9,1628.05
LCS-FSRV,2011-03-07,MON,06:39:00,58,3,1636,58.0,43.9,1634.57
LCS-FSRV,2011-03-07,MON,06:44:00,409,1,1630,409.0,43.9,1630.85
LCS-FSRV,2011-03-07,MON,06:49:00,58,1,1629,58.0,43.9,1628.05
LCS-FSRV,2011-03-07,MON,06:54:00,58,1,1627,58.0,43.9,1628.05
LCS-FSRV,2011-03-07,MON,06:59:00,58,1,1631,58.0,43.9,1630.85
LCS-FSRV,2011-03-07,MON,07:04:00,58,2,1625,58.0,43.9,1624.52
LCS-FSRV,2011-03-07,MON,07:09:00,58,1,1629,58.0,43.9,1628.05
LCS-FSRV,2011-03-07,MON,07:14:00,58,1,1632,58.0,43.9,1630.85
LCS-FSRV,2011-03-07,MON,07:19:00,58,1,1629,58.0,43.9,1628.05
LCS-FSRV,2011-03-07,MON,07:24:00,58,1,1629,58.0,43.9,1628.05
LCS-FSRV,2011-03-07,MON,07:29:00,58,1,1634,58.0,43.9,1634.57
LCS-FSRV,2011-03-07,MON,07:35:00,58,6,1628,58.0,43.9,1628.05
LCS-FSRV,2011-03-07,MON,07:39:00,117,5,1629,117.0,43.9,1628.05
LCS-FSRV,2011-03-07,MON,07:44:00,58,1,1632,58.0,43.9,1630.85
LCS-FSRV,2011-03-07,MON,07:49:00,58,1,1631,58.0,43.9,1630.85
LCS-FSRV,2011-03-07,MON,07:54:00,58,2,1627,58.0,43.9,1628.05
LCS-FSRV,2011-03-07,MON,07:59:00,117,19,1639,117.0,43.9,1639.3
LCS-FSRV,2011-03-07,MON,08:04:00,292,3,1634,292.0,43.9,1634.57
LCS-FSRV,2011-03-07,MON,08:09:00,58,139,1637,58.0,43.9,1639.3
LCS-FSRV,2011-03-07,MON,08:14:00,58,3,1642,58.0,43.9,1643.96
LCS-FSRV,2011-03-07,MON,08:19:00,58,2,1638,58.0,43.9,1639.3
LCS-FSRV,2011-03-07,MON,08:24:00,234,2,1638,234.0,43.9,1639.3
LCS-FSRV,2011-03-07,MON,08:29:00,58,2,1644,58.0,43.9,1643.96
LCS-FSRV,2011-03-07,MON,08:34:00,58,2,1638,58.0,43.9,1639.3
LCS-FSRV,2011-03-07,MON,08:39:00,58,3,1639,58.0,43.9,1639.3
LCS-FSRV,2011-03-07,MON,08:44:00,58,10,1643,58.0,43.9,1643.96
LCS-FSRV,2011-03-07,MON,08:49:00,58,12,1668,58.0,43.9,1668.52
LCS-FSRV,2011-03-07,MON,08:54:00,58,4,1642,58.0,43.9,1643.96
LCS-FSRV,2011-03-07,MON,08:59:00,234,13,1647,234.0,43.9,1648.7
LCS-FSRV,2011-03-07,MON,09:05:00,58,40,1646,58.0,43.9,1643.96
LCS-FSRV,2011-03-07,MON,09:09:00,58,2,1650,58.0,43.9,1648.7
LCS-FSRV,2011-03-07,MON,09:14:00,58,13,1656,58.0,43.9,1655.66
LCS-FSRV,2011-03-07,MON,09:19:00,58,33,1657,58.0,43.9,1655.66
