NAME,DATE,WEEKDAY,TIME,CPU,BW,MEM,CPU_D,BW_D,MEM_D
LE-PRQ-01,2011-03-07,MON,00:29:00,321,16,643,321.0,14.05,643.66
LE-PRQ-01,2011-03-07,MON,00:34:00,146,652,641,146.0,644.89,639.87
LE-PRQ-01,2011-03-07,MON,00:39:00,234,266,643,234.0,263.9,643.66
LE-PRQ-01,2011-03-07,MON,00:44:00,2926,362,647,2841.28,370.12,647.41
LE-PRQ-01,2011-03-07,MON,00:49:00,438,479,650,438.0,479.54,651.56
LE-PRQ-01,2011-03-07,MON,00:54:00,292,312,646,292.0,311.24,647.41
LE-PRQ-01,2011-03-07,MON,00:59:00,234,140,644,234.0,133.62,643.66
LE-PRQ-01,2011-03-07,MON,01:04:00,292,48,644,292.0,44.34,643.66
LE-PRQ-01,2011-03-07,MON,01:09:00,146,79,642,146.0,75.24,643.66
LE-PRQ-01,2011-03-07,MON,01:14:00,146,147,645,146.0,150.91,643.66
LE-PRQ-01,2011-03-07,MON,01:19:00,614,266,643,614.0,263.9,643.66
LE-PRQ-01,2011-03-07,MON,01:25:00,321,259,640,321.0,263.9,639.87
LE-PRQ-01,2011-03-07,MON,01:29:00,58,147,646,58.0,150.91,647.41
LE-PRQ-01,2011-03-07,MON,01:34:00,292,29,641,292.0,22.98,639.87
LE-PRQ-01,2011-03-07,MON,01:39:00,29,324,642,29.0,324.81,643.66
LE-PRQ-01,2011-03-07,MON,01:44:00,321,156,644,321.0,150.91,643.66
LE-PRQ-01,2011-03-07,MON,01:49:00,146,92,641,146.0,96.84,639.87
LE-PRQ-01,2011-03-07,MON,01:55:00,146,28,643,146.0,22.98,643.66
LE-PRQ-01,2011-03-07,MON,01:59:00,146,55,640,146.0,55.24,639.87
LE-PRQ-01,2011-03-07,MON,02:04:00,1053,76,641,1053.0,75.24,639.87
LE-PRQ-01,2011-03-07,MON,02:10:00,321,81,638,321.0,75.24,637.43
LE-PRQ-01,2011-03-07,MON,02:14:00,292,11,639,292.0,14.05,639.87
LE-PRQ-01,2011-03-07,MON,02:19:00,58,21,637,58.0,22.98,637.43
LE-PRQ-01,2011-03-07,MON,02:24:00,234,17,640,234.0,14.05,639.87
LE-PRQ-01,2011-03-07,MON,02:29:00,204,73,639,204.0,75.24,639.87
LE-PRQ-01,2011-03-07,MON,02:34:00,234,57,639,234.0,55.24,639.87
LE-PRQ-01,2011-03-07,MON,02:39:00,204,349,640,204.0,351.11,639.87
LE-PRQ-01,2011-03-07,MON,02:45:00,204,79,638,204.0,75.24,637.43
LE-PRQ-01,2011-03-07,MON,02:50:00,146,144,637,146.0,150.91,637.43
LE-PRQ-01,2011-03-07,MON,02:54:00,204,67,640,204.0,75.24,639.87
LE-PRQ-01,2011-03-07,MON,02:59:00,292,33,639,292.0,35.05,639.87
LE-PRQ-01,2011-03-07,MON,03:04:00,321,25,637,321.0,22.98,637.43
LE-PRQ-01,2011-03-07,MON,03:09:00,1316,17,640,1332.0,14.05,639.87
LE-PRQ-01,2011-03-07,MON,03:14:00,292,13,640,292.0,14.05,639.87
LE-PRQ-01,2011-03-07,MON,03:19:00,292,19,636,292.0,22.98,636.0
LE-PRQ-01,2011-03-07,MON,03:24:00,204,24,639,204.0,22.98,639.87
LE-PRQ-01,2011-03-07,MON,03:29:00,204,16,638,204.0,14.05,637.43
LE-PRQ-01,2011-03-07,MON,03:34:00,292,72,635,292.0,75.24,634.57
LE-PRQ-01,2011-03-07,MON,03:39:00,380,22,637,380.0,22.98,637.43
