NAME,DATE,WEEKDAY,TIME,CPU,BW,MEM,CPU_D,BW_D,MEM_D
LIB-FSRV,2011-03-07,MON,00:29:00,66,16,1524,66.0,6.51,1526.09
LIB-FSRV,2011-03-07,MON,00:34:00,1934,0,1527,1901.63,6.51,1526.09
LIB-FSRV,2011-03-07,MON,00:39:00,66,2,1529,66.0,6.51,1526.09
LIB-FSRV,2011-03-07,MON,00:45:00,533,20,1527,533.0,6.51,1526.09
LIB-FSRV,2011-03-07,MON,00:49:00,66,19,1523,66.0,6.51,1526.09
LIB-FSRV,2011-03-07,MON,00:54:00,66,0,1528,66.0,6.51,1526.09
LIB-FSRV,2011-03-07,MON,00:59:00,66,14,1516,66.0,6.51,1526.09
LIB-FSRV,2011-03-07,MON,01:04:00,66,2,1524,66.0,6.51,1526.09
LIB-FSRV,2011-03-07,MON,01:09:00,66,0,1526,66.0,6.51,1526.09
LIB-FSRV,2011-03-07,MON,01:14:00,66,1,1520,66.0,6.51,1526.09
LIB-FSRV,2011-03-07,MON,01:19:00,66,1,1520,66.0,6.51,1526.09
LIB-FSRV,2011-03-07,MON,01:25:00,66,0,1524,66.0,6.51,1526.09
LIB-FSRV,2011-03-07,MON,01:29:00,66,0,1519,66.0,6.51,1526.09
LIB-FSRV,2011-03-07,MON,01:34:00,66,0,1520,66.0,6.51,1526.09
LIB-FSRV,2011-03-07,MON,01:39:00,66,0,1522,66.0,6.51,1526.09
LIB-FSRV,2011-03-07,MON,01:44:00,1200,7,1521,1200.0,6.51,1526.09
LIB-FSRV,2011-03-07,MON,01:49:00,66,1,1516,66.0,6.51,1526.09
LIB-FSRV,2011-03-07,MON,01:55:00,66,0,1522,66.0,6.51,1526.09
LIB-FSRV,2011-03-07,MON,01:59:00,66,0,1519,66.0,6.51,1526.09
LIB-FSRV,2011-03-07,MON,02:04:00,66,0,1517,66.0,6.51,1526.09
LIB-FSRV,2011-03-07,MON,02:10:00,333,0,1513,333.0,6.51,1500.31
LIB-FSRV,2011-03-07,MON,02:14:00,867,0,1519,867.0,6.51,1526.09
LIB-FSRV,2011-03-07,MON,02:19:00,66,3,1520,66.0,6.51,1526.09
LIB-FSRV,2011-03-07,MON,02:24:00,133,2,1525,133.0,6.51,1526.09
LIB-FSRV,2011-03-07,MON,02:29:00,133,1,1539,133.0,6.51,1526.09
LIB-FSRV,2011-03-07,MON,02:34:00,66,1,1520,66.0,6.51,1526.09
LIB-FSRV,2011-03-07,MON,02:39:00,66,0,1522,66.0,6.51,1526.09
LIB-FSRV,2011-03-07,MON,02:45:00,2134,0,1513,2305.02,6.51,1500.31
LIB-FSRV,2011-03-07,MON,02:50:00,66,1,1518,66.0,6.51,1526.09
LIB-FSRV,2011-03-07,MON,02:54:00,66,0,1522,66.0,6.51,1526.09
LIB-FSRV,2011-03-07,MON,02:59:00,66,0,1518,66.0,6.51,1526.09
LIB-FSRV,2011-03-07,MON,03:04:00,66,1,1522,66.0,6.51,1526.09
LIB-FSRV,2011-03-07,MON,03:09:00,66,1,1527,66.0,6.51,1526.09
LIB-FSRV,2011-03-07,MON,03:14:00,66,0,1521,66.0,6.51,1526.09
LIB-FSRV,2011-03-07,MON,03:19:00,66,1,1520,66.0,6.51,1526.09
LIB-FSRV,2011-03-07,MON,03:24:00,133,1,1527,133.0,6.51,1526.09
LIB-FSRV,2011-03-07,MON,03:29:00,66,0,1521,66.0,6.51,1526.09
LIB-FSRV,2011-03-07,MON,03:34:00,1267,0,1520,1267.0,6.51,1526.09
LIB-FSRV,2011-03-07,MON,03:39:00,66,0,1524,66.0,6.51,1526.09
LIB-FSRV,2011-03-07,MON,03:44:00,66,0,1522,66.0,6.51,1526.09
LIB-FSRV,2011-03-07,MON,03:49:00,66,1,1516,66.0,6.51,1526.09
LIB-FSRV,2011-03-07,MON,03:54:00,66,1,1523,66.0,6.51,1526.09
LIB-FSRV,2011-03-07,MON,04:00:00,66,0,1520,66.0,6.51,1526.09
LIB-FSRV,2011-03-07,MON,04:04:00,533,2,1521,533.0,6.51,1526.09
LIB-FSRV,2011-03-07,MON,04:10:00,66,0,1526,66.0,6.51,1526.09
LIB-FSRV,2011-03-07,MON,04:14:00,66,0,1524,66.0,6.51,1526.09
LIB-FSRV,2011-03-07,MON,04:20:00,66,1,1521,66.0,6.51,1526.09
LIB-FSRV,2011-03-07,MON,04:24:00,66,0,1528,66.0,6.51,1526.09
LIB-FSRV,2011-03-07,MON,04:29:00,66,0,1521,66.0,6.51,1526.09
LIB-FSRV,2011-03-07,MON,04:35:00,333,0,1522,333.0,6.51,1526.09
LIB-FSRV,2011-03-07,MON,04:40:00,66,0,1527,66.0,6.51,1526.09
LIB-FSRV,2011-03-07,MON,04:44:00,66,0,1521,66.0,6.51,1526.09
LIB-FSRV,2011-03-07,MON,04:49:00,66,1,1518,66.0,6.51,1526.09
LIB-FSRV,2011-03-07,MON,04:55:00,66,1,1526,66.0,6.51,1526.09
LIB-FSRV,2011-03-07,MON,04:59:00,66,0,1520,66.0,6.51,1526.09
LIB-FSRV,2011-03-07,MON,05:04:00,66,0,1518,66.0,6.51,1526.09
LIB-FSRV,2011-03-07,MON,05:09:00,66,0,1524,66.0,6.51,1526.09
LIB-FSRV,2011-03-07,MON,05:14:00,66,2,1586,66.0,6.51,1586.85
LIB-FSRV,2011-03-07,MON,05:20:00,66,221,1513,66.0,213.96,1500.31
LIB-FSRV,2011-03-07,MON,05:25:00,66,52,1514,66.0,72.04,1500.31
LIB-FSRV,2011-03-07,MON,05:29:00,66,0,1505,66.0,6.51,1500.31
LIB-FSRV,2011-03-07,MON,05:34:00,66,1,1507,66.0,6.51,1500.31
LIB-FSRV,2011-03-07,MON,05:39:00,66,2,1509,66.0,6.51,1500.31
LIB-FSRV,2011-03-07,MON,05:44:00,66,0,1508,66.0,6.51,1500.31
LIB-FSRV,2011-03-07,MON,05:50:00,466,1,1502,466.0,6.51,1500.31
LIB-FSRV,2011-03-07,MON,05:55:00,66,0,1506,66.0,6.51,1500.31
LIB-FSRV,2011-03-07,MON,05:59:00,66,0,1503,66.0,6.51,1500.31
LIB-FSRV,2011-03-07,MON,06:04:00,133,1,1502,133.0,6.51,1500.31
LIB-FSRV,2011-03-07,MON,06:09:00,66,0,1508,66.0,6.51,1500.31
LIB-FSRV,2011-03-07,MON,06:14:00,533,0,1506,533.0,6.51,1500.31
LIB-FSRV,2011-03-07,MON,06:19:00,66,1,1503,66.0,6.51,1500.31
LIB-FSRV,2011-03-07,MON,06:24:00,867,16,1510,867.0,6.51,1500.31
LIB-FSRV,2011-03-07,MON,06:29:00,66,6,1505,66.0,6.51,1500.31
LIB-FSRV,2011-03-07,MON,06:34:00,733,1,1505,733.0,6.51,1500.31
LIB-FSRV,2011-03-07,MON,06:39:00,66,2,1514,66.0,6.51,1500.31
LIB-FSRV,2011-03-07,MON,06:44:00,66,1,1511,66.0,6.51,1500.31
LIB-FSRV,2011-03-07,MON,06:49:00,66,2,1513,66.0,6.51,1500.31
LIB-FSRV,2011-03-07,MON,06:54:00,66,1,1517,66.0,6.51,1526.09
LIB-FSRV,2011-03-07,MON,06:59:00,66,1,1511,66.0,6.51,1500.31
LIB-FSRV,2011-03-07,MON,07:04:00,66,1,1510,66.0,6.51,1500.31
LIB-FSRV,2011-03-07,MON,07:09:00,66,11,1516,66.0,6.51,1526.09
LIB-FSRV,2011-03-07,MON,07:14:00,66,14,1513,66.0,6.51,1500.31
LIB-FSRV,2011-03-07,MON,07:19:00,66,2,1512,66.0,6.51,1500.31
LIB-FSRV,2011-03-07,MON,07:24:00,66,134,1524,66.0,143.43,1526.09
LIB-FSRV,2011-03-07,MON,07:29:00,333,29,1521,333.0,6.51,1526.09
LIB-FSRV,2011-03-07,MON,07:35:00,66,7,1520,66.0,6.51,1526.09
LIB-FSRV,2011-03-07,MON,07:39:00,66,16,1525,66.0,6.51,1526.09
LIB-FSRV,2011-03-07,MON,07:44:00,133,2,1520,133.0,6.51,1526.09
LIB-FSRV,2011-03-07,MON,07:49:00,66,2,1519,66.0,6.51,1526.09
LIB-FSRV,2011-03-07,MON,07:54:00,66,1,1524,66.0,6.51,1526.09
LIB-FSRV,2011-03-07,MON,07:59:00,133,16,1523,133.0,6.51,1526.09
LIB-FSRV,2011-03-07,MON,08:04:00,66,42,1532,66.0,72.04,1526.09
LIB-FSRV,2011-03-07,MON,08:09:00,66,87,1533,66.0,72.04,1526.09
LIB-FSRV,2011-03-07,MON,08:14:00,667,40,1531,667.0,72.04,1526.09
LIB-FSRV,2011-03-07,MON,08:19:00,333,10,1535,333.0,6.51,1526.09
LIB-FSRV,2011-03-07,MON,08:24:00,533,50,1541,533.0,72.04,1526.09
LIB-FSRV,2011-03-07,MON,08:29:00,66,107,1535,66.0,72.04,1526.09
LIB-FSRV,2011-03-07,MON,08:34:00,66,66,1532,66.0,72.04,1526.09
LIB-FSRV,2011-03-07,MON,08:39:00,66,53,1533,66.0,72.04,1526.09
LIB-FSRV,2011-03-07,MON,08:44:00,333,17,1533,333.0,6.51,1526.09
LIB-FSRV,2011-03-07,MON,08:49:00,333,34,1560,333.0,6.51,1553.68
LIB-FSRV,2011-03-07,MON,08:54:00,1400,42,1532,1400.0,72.04,1526.09
LIB-FSRV,2011-03-07,MON,08:59:00,66,114,1526,66.0,143.43,1526.09
LIB-FSRV,2011-03-07,MON,09:05:00,533,41,1523,533.0,72.04,1526.09
LIB-FSRV,2011-03-07,MON,09:09:00,66,14,1529,66.0,6.51,1526.09
LIB-FSRV,2011-03-07,MON,09:14:00,66,72,1537,66.0,72.04,1526.09
LIB-FSRV,2011-03-07,MON,09:20:00,66,50,1531,66.0,72.04,1526.09
LIB-FSRV,2011-03-07,MON,09:24:00,66,150,1540,66.0,143.43,1526.09
LIB-FSRV,2011-03-07,MON,09:29:00,533,159,1537,533.0,143.43,1526.09
LIB-FSRV,2011-03-07,MON,09:34:00,667,60,1547,667.0,72.04,1553.68
LIB-FSRV,2011-03-07,MON,09:39:00,66,76,1557,66.0,72.04,1553.68
