NAME,DATE,WEEKDAY,TIME,CPU,BW,MEM,CPU_D,BW_D,MEM_D
MAX-FSRV,2011-03-07,MON,00:29:00,58,16,2810,58.0,27.07,2797.94
MAX-FSRV,2011-03-07,MON,00:34:00,2576,471,2818,2274.41,512.65,2823.46
MAX-FSRV,2011-03-07,MON,00:39:00,1288,368,2811,1288.0,391.16,2797.94
MAX-FSRV,2011-03-07,MON,00:45:00,58,374,2817,58.0,391.16,2823.46
MAX-FSRV,2011-03-07,MON,00:49:00,58,399,2813,58.0,391.16,2797.94
MAX-FSRV,2011-03-07,MON,00:54:00,58,371,2816,58.0,391.16,2823.46
MAX-FSRV,2011-03-07,MON,00:59:00,936,409,2820,936.0,391.16,2823.46
MAX-FSRV,2011-03-07,MON,01:04:00,58,356,2821,58.0,391.16,2823.46
MAX-FSRV,2011-03-07,MON,01:09:00,1756,401,2815,1812.07,391.16,2823.46
MAX-FSRV,2011-03-07,MON,01:14:00,58,386,2816,58.0,391.16,2823.46
MAX-FSRV,2011-03-07,MON,01:19:00,117,379,2821,117.0,391.16,2823.46
MAX-FSRV,2011-03-07,MON,01:25:00,58,459,2818,58.0,512.65,2823.46
MAX-FSRV,2011-03-07,MON,01:29:00,58,315,2810,58.0,266.43,2797.94
MAX-FSRV,2011-03-07,MON,01:34:00,58,419,2816,58.0,391.16,2823.46
MAX-FSRV,2011-03-07,MON,01:39:00,58,408,2818,58.0,391.16,2823.46
MAX-FSRV,2011-03-07,MON,01:44:00,58,366,2817,58.0,391.16,2823.46
MAX-FSRV,2011-03-07,MON,01:49:00,117,433,2813,117.0,391.16,2797.94
MAX-FSRV,2011-03-07,MON,01:55:00,117,416,2820,117.0,391.16,2823.46
MAX-FSRV,2011-03-07,MON,01:59:00,117,373,2811,117.0,391.16,2797.94
MAX-FSRV,2011-03-07,MON,02:04:00,234,371,2886,234.0,391.16,2879.2
MAX-FSRV,2011-03-07,MON,02:10:00,234,455,2819,234.0,512.65,2823.46
MAX-FSRV,2011-03-07,MON,02:14:00,58,388,2818,58.0,391.16,2823.46
MAX-FSRV,2011-03-07,MON,02:19:00,58,381,2822,58.0,391.16,2823.46
MAX-FSRV,2011-03-07,MON,02:24:00,58,399,2818,58.0,391.16,2823.46
MAX-FSRV,2011-03-07,MON,02:29:00,1873,380,2841,1812.07,391.16,2849.99
MAX-FSRV,2011-03-07,MON,02:34:00,58,420,2816,58.0,391.16,2823.46
MAX-FSRV,2011-03-07,MON,02:39:00,234,451,2817,234.0,391.16,2823.46
MAX-FSRV,2011-03-07,MON,02:45:00,5270,438,2814,4379.31,391.16,2823.46
MAX-FSRV,2011-03-07,MON,02:50:00,58,362,2821,58.0,391.16,2823.46
MAX-FSRV,2011-03-07,MON,02:54:00,58,345,2820,58.0,391.16,2823.46
MAX-FSRV,2011-03-07,MON,02:59:00,58,407,2818,58.0,391.16,2823.46
MAX-FSRV,2011-03-07,MON,03:04:00,58,384,2820,58.0,391.16,2823.46
MAX-FSRV,2011-03-07,MON,03:09:00,58,373,2821,58.0,391.16,2823.46
MAX-FSRV,2011-03-07,MON,03:14:00,58,412,2825,58.0,391.16,2823.46
MAX-FSRV,2011-03-07,MON,03:19:00,58,339,2822,58.0,391.16,2823.46
MAX-FSRV,2011-03-07,MON,03:24:00,58,409,2820,58.0,391.16,2823.46
MAX-FSRV,2011-03-07,MON,03:29:00,58,412,2826,58.0,391.16,2823.46
MAX-FSRV,2011-03-07,MON,03:34:00,58,345,2821,58.0,391.16,2823.46
MAX-FSRV,2011-03-07,MON,03:39:00,58,387,2820,58.0,391.16,2823.46
MAX-FSRV,2011-03-07,MON,03:44:00,58,367,2820,58.0,391.16,2823.46
MAX-FSRV,2011-03-07,MON,03:49:00,58,421,2819,58.0,391.16,2823.46
MAX-FSRV,2011-03-07,MON,03:54:00,58,361,2818,58.0,391.16,2823.46
MAX-FSRV,2011-03-07,MON,04:00:00,1054,395,2819,1054.0,391.16,2823.46
MAX-FSRV,2011-03-07,MON,04:04:00,58,383,2819,58.0,391.16,2823.46
MAX-FSRV,2011-03-07,MON,04:10:00,58,365,2821,58.0,391.16,2823.46
MAX-FSRV,2011-03-07,MON,04:14:00,58,402,2819,58.0,391.16,2823.46
MAX-FSRV,2011-03-07,MON,04:20:00,585,400,2826,585.0,391.16,2823.46
MAX-FSRV,2011-03-07,MON,04:24:00,117,408,2825,117.0,391.16,2823.46
MAX-FSRV,2011-03-07,MON,04:29:00,1054,384,2822,1054.0,391.16,2823.46
MAX-FSRV,2011-03-07,MON,04:35:00,58,459,2823,58.0,512.65,2823.46
MAX-FSRV,2011-03-07,MON,04:40:00,58,352,2821,58.0,391.16,2823.46
MAX-FSRV,2011-03-07,MON,04:44:00,117,320,2826,117.0,266.43,2823.46
MAX-FSRV,2011-03-07,MON,04:49:00,58,413,2824,58.0,391.16,2823.46
MAX-FSRV,2011-03-07,MON,04:55:00,58,409,2826,58.0,391.16,2823.46
MAX-FSRV,2011-03-07,MON,04:59:00,117,345,2823,117.0,391.16,2823.46
MAX-FSRV,2011-03-07,MON,05:04:00,117,395,2822,117.0,391.16,2823.46
MAX-FSRV,2011-03-07,MON,05:09:00,409,388,2824,409.0,391.16,2823.46
MAX-FSRV,2011-03-07,MON,05:14:00,58,401,2832,58.0,391.16,2823.46
MAX-FSRV,2011-03-07,MON,05:19:00,58,339,2822,58.0,391.16,2823.46
MAX-FSRV,2011-03-07,MON,05:25:00,58,476,2825,58.0,512.65,2823.46
MAX-FSRV,2011-03-07,MON,05:29:00,58,375,2828,58.0,391.16,2823.46
MAX-FSRV,2011-03-07,MON,05:34:00,58,382,2824,58.0,391.16,2823.46
MAX-FSRV,2011-03-07,MON,05:39:00,761,405,2820,761.0,391.16,2823.46
MAX-FSRV,2011-03-07,MON,05:44:00,292,384,2833,292.0,391.16,2823.46
MAX-FSRV,2011-03-07,MON,05:49:00,58,364,2817,58.0,391.16,2823.46
MAX-FSRV,2011-03-07,MON,05:55:00,117,432,2822,117.0,391.16,2823.46
MAX-FSRV,2011-03-07,MON,05:59:00,1873,341,2825,1812.07,391.16,2823.46
MAX-FSRV,2011-03-07,MON,06:04:00,58,405,2827,58.0,391.16,2823.46
MAX-FSRV,2011-03-07,MON,06:09:00,58,358,2825,58.0,391.16,2823.46
MAX-FSRV,2011-03-07,MON,06:14:00,58,418,2826,58.0,391.16,2823.46
MAX-FSRV,2011-03-07,MON,06:19:00,58,366,2821,58.0,391.16,2823.46
MAX-FSRV,2011-03-07,MON,06:24:00,58,420,2824,58.0,391.16,2823.46
MAX-FSRV,2011-03-07,MON,06:29:00,58,367,2821,58.0,391.16,2823.46
MAX-FSRV,2011-03-07,MON,06:34:00,58,381,2826,58.0,391.16,2823.46
MAX-FSRV,2011-03-07,MON,06:39:00,58,417,2826,58.0,391.16,2823.46
MAX-FSRV,2011-03-07,MON,06:44:00,58,357,2829,58.0,391.16,2823.46
MAX-FSRV,2011-03-07,MON,06:49:00,58,392,2821,58.0,391.16,2823.46
MAX-FSRV,2011-03-07,MON,06:54:00,234,393,2826,234.0,391.16,2823.46
MAX-FSRV,2011-03-07,MON,06:59:00,58,365,2830,58.0,391.16,2823.46
MAX-FSRV,2011-03-07,MON,07:04:00,58,431,2831,58.0,391.16,2823.46
MAX-FSRV,2011-03-07,MON,07:09:00,761,369,2830,761.0,391.16,2823.46
MAX-FSRV,2011-03-07,MON,07:14:00,58,429,2828,58.0,391.16,2823.46
MAX-FSRV,2011-03-07,MON,07:19:00,58,375,2829,58.0,391.16,2823.46
MAX-FSRV,2011-03-07,MON,07:24:00,58,412,2827,58.0,391.16,2823.46
MAX-FSRV,2011-03-07,MON,07:29:00,58,414,2828,58.0,391.16,2823.46
MAX-FSRV,2011-03-07,MON,07:35:00,292,406,2831,292.0,391.16,2823.46
MAX-FSRV,2011-03-07,MON,07:39:00,117,398,2830,117.0,391.16,2823.46
MAX-FSRV,2011-03-07,MON,07:44:00,117,399,2827,117.0,391.16,2823.46
MAX-FSRV,2011-03-07,MON,07:49:00,117,421,2823,117.0,391.16,2823.46
MAX-FSRV,2011-03-07,MON,07:54:00,58,412,2828,58.0,391.16,2823.46
MAX-FSRV,2011-03-07,MON,07:59:00,58,438,2824,58.0,391.16,2823.46
MAX-FSRV,2011-03-07,MON,08:04:00,58,506,2829,58.0,512.65,2823.46
MAX-FSRV,2011-03-07,MON,08:09:00,1288,485,2820,1288.0,512.65,2823.46
MAX-FSRV,2011-03-07,MON,08:14:00,58,407,2830,58.0,391.16,2823.46
MAX-FSRV,2011-03-07,MON,08:19:00,409,442,2825,409.0,391.16,2823.46
MAX-FSRV,2011-03-07,MON,08:24:00,58,359,2832,58.0,391.16,2823.46
MAX-FSRV,2011-03-07,MON,08:29:00,1112,440,2826,1112.0,391.16,2823.46
MAX-FSRV,2011-03-07,MON,08:34:00,58,369,2827,58.0,391.16,2823.46
MAX-FSRV,2011-03-07,MON,08:39:00,117,492,2836,117.0,512.65,2823.46
MAX-FSRV,2011-03-07,MON,08:44:00,58,425,2844,58.0,391.16,2849.99
MAX-FSRV,2011-03-07,MON,08:49:00,468,378,2857,468.0,391.16,2849.99
MAX-FSRV,2011-03-07,MON,08:54:00,58,380,2829,58.0,391.16,2823.46
MAX-FSRV,2011-03-07,MON,08:59:00,1873,483,2827,1812.07,512.65,2823.46
MAX-FSRV,2011-03-07,MON,09:05:00,58,476,2829,58.0,512.65,2823.46
MAX-FSRV,2011-03-07,MON,09:09:00,1932,330,2826,1812.07,266.43,2823.46
MAX-FSRV,2011-03-07,MON,09:14:00,58,419,2835,58.0,391.16,2823.46
MAX-FSRV,2011-03-07,MON,09:19:00,234,350,2828,234.0,391.16,2823.46
MAX-FSRV,2011-03-07,MON,09:24:00,117,479,2841,117.0,512.65,2849.99
MAX-FSRV,2011-03-07,MON,09:29:00,58,407,2832,58.0,391.16,2823.46
MAX-FSRV,2011-03-07,MON,09:34:00,58,361,2839,58.0,391.16,2849.99
MAX-FSRV,2011-03-07,MON,09:39:00,761,388,2840,761.0,391.16,2849.99
MAX-FSRV,2011-03-07,MON,09:44:00,234,369,2847,234.0,391.16,2849.99
MAX-FSRV,2011-03-07,MON,09:49:00,58,364,2860,58.0,391.16,2866.03
MAX-FSRV,2011-03-07,MON,09:54:00,58,422,2851,58.0,391.16,2849.99
MAX-FSRV,2011-03-07,MON,10:00:00,58,521,2857,58.0,512.65,2849.99
MAX-FSRV,2011-03-07,MON,10:04:00,58,398,2856,58.0,391.16,2849.99
MAX-FSRV,2011-03-07,MON,10:09:00,58,453,2877,58.0,512.65,2879.2
MAX-FSRV,2011-03-07,MON,10:14:00,234,463,2876,234.0,512.65,2879.2
