NAME,DATE,WEEKDAY,TIME,CPU,BW,MEM,CPU_D,BW_D,MEM_D
MAX-PRQ-01,2011-03-07,MON,00:29:00,365,16,894,365.0,17.13,892.35
MAX-PRQ-01,2011-03-07,MON,00:34:00,133,56,925,133.0,57.93,924.58
MAX-PRQ-01,2011-03-07,MON,00:39:00,66,34,916,66.0,35.18,917.35
MAX-PRQ-01,2011-03-07,MON,00:45:00,266,32,888,266.0,35.18,887.19
MAX-PRQ-01,2011-03-07,MON,00:49:00,166,38,928,166.0,35.18,928.11
MAX-PRQ-01,2011-03-07,MON,00:54:00,232,125,918,232.0,126.13,917.35
MAX-PRQ-01,2011-03-07,MON,00:59:00,232,11,920,232.0,9.64,921.26
MAX-PRQ-01,2011-03-07,MON,01:04:00,332,62,928,332.0,57.93,928.11
MAX-PRQ-01,2011-03-07,MON,01:09:00,266,15,895,266.0,17.13,896.36
MAX-PRQ-01,2011-03-07,MON,01:14:00,33,10,888,33.0,9.64,887.19
MAX-PRQ-01,2011-03-07,MON,01:19:00,498,9,924,498.0,9.64,924.58
MAX-PRQ-01,2011-03-07,MON,01:25:00,266,9,915,266.0,9.64,914.03
MAX-PRQ-01,2011-03-07,MON,01:29:00,33,8,893,33.0,9.64,892.35
MAX-PRQ-01,2011-03-07,MON,01:34:00,133,8,912,133.0,9.64,911.5
MAX-PRQ-01,2011-03-07,MON,01:39:00,432,9,917,432.0,9.64,917.35
MAX-PRQ-01,2011-03-07,MON,01:44:00,166,8,888,166.0,9.64,887.19
MAX-PRQ-01,2011-03-07,MON,01:49:00,232,94,917,232.0,92.38,917.35
MAX-PRQ-01,2011-03-07,MON,01:55:00,166,133,912,166.0,131.9,911.5
MAX-PRQ-01,2011-03-07,MON,01:59:00,266,9,896,266.0,9.64,896.36
MAX-PRQ-01,2011-03-07,MON,02:04:00,498,8,932,498.0,9.64,931.47
MAX-PRQ-01,2011-03-07,MON,02:10:00,432,9,912,432.0,9.64,911.5
MAX-PRQ-01,2011-03-07,MON,02:14:00,432,9,894,432.0,9.64,892.35
MAX-PRQ-01,2011-03-07,MON,02:19:00,232,10,918,232.0,9.64,917.35
MAX-PRQ-01,2011-03-07,MON,02:24:00,133,9,915,133.0,9.64,914.03
MAX-PRQ-01,2011-03-07,MON,02:29:00,432,61,926,432.0,57.93,924.58
MAX-PRQ-01,2011-03-07,MON,02:34:00,66,71,911,66.0,68.49,911.5
MAX-PRQ-01,2011-03-07,MON,02:39:00,166,11,917,166.0,9.64,917.35
MAX-PRQ-01,2011-03-07,MON,02:45:00,266,9,977,266.0,9.64,975.68
MAX-PRQ-01,2011-03-07,MON,02:50:00,66,7,915,66.0,5.31,914.03
MAX-PRQ-01,2011-03-07,MON,02:54:00,498,48,918,498.0,47.33,917.35
MAX-PRQ-01,2011-03-07,MON,02:59:00,532,67,892,532.0,68.49,892.35
MAX-PRQ-01,2011-03-07,MON,03:04:00,232,8,911,232.0,9.64,911.5
MAX-PRQ-01,2011-03-07,MON,03:09:00,266,10,914,266.0,9.64,914.03
MAX-PRQ-01,2011-03-07,MON,03:14:00,166,7,886,166.0,5.31,887.19
MAX-PRQ-01,2011-03-07,MON,03:19:00,332,9,924,332.0,9.64,924.58
MAX-PRQ-01,2011-03-07,MON,03:24:00,166,7,914,166.0,5.31,914.03
MAX-PRQ-01,2011-03-07,MON,03:29:00,232,8,894,232.0,9.64,892.35
MAX-PRQ-01,2011-03-07,MON,03:34:00,232,10,922,232.0,9.64,921.26
MAX-PRQ-01,2011-03-07,MON,03:39:00,532,7,915,532.0,5.31,914.03
MAX-PRQ-01,2011-03-07,MON,03:44:00,631,8,910,631.0,9.64,910.0
MAX-PRQ-01,2011-03-07,MON,03:49:00,332,9,915,332.0,9.64,914.03
MAX-PRQ-01,2011-03-07,MON,03:54:00,232,9,916,232.0,9.64,917.35
MAX-PRQ-01,2011-03-07,MON,04:00:00,432,8,891,432.0,9.64,892.35
MAX-PRQ-01,2011-03-07,MON,04:04:00,232,8,912,232.0,9.64,911.5
MAX-PRQ-01,2011-03-07,MON,04:09:00,266,8,918,266.0,9.64,917.35
MAX-PRQ-01,2011-03-07,MON,04:14:00,166,7,890,166.0,5.31,892.35
MAX-PRQ-01,2011-03-07,MON,04:20:00,166,9,927,166.0,9.64,928.11
MAX-PRQ-01,2011-03-07,MON,04:24:00,166,7,910,166.0,5.31,910.0
MAX-PRQ-01,2011-03-07,MON,04:29:00,432,8,894,432.0,9.64,892.35
MAX-PRQ-01,2011-03-07,MON,04:35:00,232,8,914,232.0,9.64,914.03
MAX-PRQ-01,2011-03-07,MON,04:40:00,432,8,917,432.0,9.64,917.35
MAX-PRQ-01,2011-03-07,MON,04:44:00,133,10,894,133.0,9.64,892.35
MAX-PRQ-01,2011-03-07,MON,04:49:00,432,8,915,432.0,9.64,914.03
MAX-PRQ-01,2011-03-07,MON,04:55:00,332,9,912,332.0,9.64,911.5
MAX-PRQ-01,2011-03-07,MON,04:59:00,432,7,893,432.0,5.31,892.35
MAX-PRQ-01,2011-03-07,MON,05:04:00,166,9,923,166.0,9.64,924.58
MAX-PRQ-01,2011-03-07,MON,05:09:00,133,7,915,133.0,5.31,914.03
MAX-PRQ-01,2011-03-07,MON,05:14:00,66,7,887,66.0,5.31,887.19
MAX-PRQ-01,2011-03-07,MON,05:19:00,133,9,914,133.0,9.64,914.03
MAX-PRQ-01,2011-03-07,MON,05:25:00,232,8,916,232.0,9.64,917.35
MAX-PRQ-01,2011-03-07,MON,05:29:00,598,8,897,598.0,9.64,896.36
MAX-PRQ-01,2011-03-07,MON,05:34:00,33,7,911,33.0,5.31,911.5
MAX-PRQ-01,2011-03-07,MON,05:39:00,532,8,917,532.0,9.64,917.35
MAX-PRQ-01,2011-03-07,MON,05:44:00,332,7,892,332.0,5.31,892.35
MAX-PRQ-01,2011-03-07,MON,05:49:00,232,7,926,232.0,5.31,924.58
MAX-PRQ-01,2011-03-07,MON,05:55:00,166,7,914,166.0,5.31,914.03
MAX-PRQ-01,2011-03-07,MON,05:59:00,432,7,894,432.0,5.31,892.35
MAX-PRQ-01,2011-03-07,MON,06:04:00,266,8,924,266.0,9.64,924.58
MAX-PRQ-01,2011-03-07,MON,06:09:00,598,8,917,598.0,9.64,917.35
MAX-PRQ-01,2011-03-07,MON,06:14:00,232,8,891,232.0,9.64,892.35
MAX-PRQ-01,2011-03-07,MON,06:19:00,266,7,916,266.0,5.31,917.35
MAX-PRQ-01,2011-03-07,MON,06:24:00,66,8,919,66.0,9.64,917.35
MAX-PRQ-01,2011-03-07,MON,06:29:00,266,9,893,266.0,9.64,892.35
MAX-PRQ-01,2011-03-07,MON,06:34:00,432,8,916,432.0,9.64,917.35
MAX-PRQ-01,2011-03-07,MON,06:39:00,133,8,913,133.0,9.64,914.03
MAX-PRQ-01,2011-03-07,MON,06:44:00,133,7,886,133.0,5.31,887.19
MAX-PRQ-01,2011-03-07,MON,06:49:00,432,9,925,432.0,9.64,924.58
MAX-PRQ-01,2011-03-07,MON,06:54:00,232,10,909,232.0,9.64,909.0
MAX-PRQ-01,2011-03-07,MON,06:59:00,266,8,893,266.0,9.64,892.35
MAX-PRQ-01,2011-03-07,MON,07:04:00,166,39,910,166.0,35.18,910.0
MAX-PRQ-01,2011-03-07,MON,07:09:00,232,8,916,232.0,9.64,917.35
MAX-PRQ-01,2011-03-07,MON,07:14:00,266,9,893,266.0,9.64,892.35
MAX-PRQ-01,2011-03-07,MON,07:19:00,432,8,923,432.0,9.64,924.58
MAX-PRQ-01,2011-03-07,MON,07:24:00,133,8,913,133.0,9.64,914.03
MAX-PRQ-01,2011-03-07,MON,07:29:00,432,9,894,432.0,9.64,892.35
MAX-PRQ-01,2011-03-07,MON,07:35:00,232,48,915,232.0,47.33,914.03
MAX-PRQ-01,2011-03-07,MON,07:39:00,598,9,914,598.0,9.64,914.03
MAX-PRQ-01,2011-03-07,MON,07:44:00,266,32,885,266.0,35.18,887.19
MAX-PRQ-01,2011-03-07,MON,07:49:00,432,12,914,432.0,9.64,914.03
MAX-PRQ-01,2011-03-07,MON,07:54:00,66,12,913,66.0,9.64,914.03
MAX-PRQ-01,2011-03-07,MON,07:59:00,232,48,892,232.0,47.33,892.35
MAX-PRQ-01,2011-03-07,MON,08:04:00,33,28,911,33.0,26.25,911.5
MAX-PRQ-01,2011-03-07,MON,08:09:00,432,14,915,432.0,17.13,914.03
MAX-PRQ-01,2011-03-07,MON,08:14:00,166,41,887,166.0,35.18,887.19
MAX-PRQ-01,2011-03-07,MON,08:19:00,532,13,916,532.0,9.64,917.35
MAX-PRQ-01,2011-03-07,MON,08:24:00,33,18,910,33.0,17.13,910.0
MAX-PRQ-01,2011-03-07,MON,08:29:00,232,28,896,232.0,26.25,896.36
MAX-PRQ-01,2011-03-07,MON,08:34:00,133,10,1000,133.0,9.64,1002.81
MAX-PRQ-01,2011-03-07,MON,08:39:00,598,48,921,598.0,47.33,921.26
MAX-PRQ-01,2011-03-07,MON,08:44:00,66,115,896,66.0,116.48,896.36
MAX-PRQ-01,2011-03-07,MON,08:49:00,631,19,921,631.0,17.13,921.26
MAX-PRQ-01,2011-03-07,MON,08:54:00,465,15,910,465.0,17.13,910.0
MAX-PRQ-01,2011-03-07,MON,08:59:00,332,15,893,332.0,17.13,892.35
MAX-PRQ-01,2011-03-07,MON,09:04:00,166,24,913,166.0,26.25,914.03
MAX-PRQ-01,2011-03-07,MON,09:09:00,631,268,927,631.0,263.87,928.11
MAX-PRQ-01,2011-03-07,MON,09:14:00,66,55,888,66.0,57.93,887.19
MAX-PRQ-01,2011-03-07,MON,09:19:00,598,14,914,598.0,17.13,914.03
MAX-PRQ-01,2011-03-07,MON,09:24:00,266,33,917,266.0,35.18,917.35
MAX-PRQ-01,2011-03-07,MON,09:29:00,332,32,893,332.0,35.18,892.35
MAX-PRQ-01,2011-03-07,MON,09:34:00,266,40,911,266.0,35.18,911.5
MAX-PRQ-01,2011-03-07,MON,09:39:00,133,27,916,133.0,26.25,917.35
MAX-PRQ-01,2011-03-07,MON,09:44:00,266,56,889,266.0,57.93,887.19
MAX-PRQ-01,2011-03-07,MON,09:49:00,66,37,931,66.0,35.18,931.47
MAX-PRQ-01,2011-03-07,MON,09:54:00,0,55,917,0.0,57.93,917.35
MAX-PRQ-01,2011-03-07,MON,10:00:00,266,182,890,266.0,178.92,892.35
MAX-PRQ-01,2011-03-07,MON,10:04:00,66,33,918,66.0,35.18,917.35
MAX-PRQ-01,2011-03-07,MON,10:09:00,232,39,919,232.0,35.18,917.35
MAX-PRQ-01,2011-03-07,MON,10:14:00,266,33,889,266.0,35.18,887.19
MAX-PRQ-01,2011-03-07,MON,10:19:00,166,118,931,166.0,116.48,931.47
MAX-PRQ-01,2011-03-07,MON,10:24:00,498,136,928,498.0,136.04,928.11
MAX-PRQ-01,2011-03-07,MON,10:29:00,33,22,894,33.0,26.25,892.35
MAX-PRQ-01,2011-03-07,MON,10:34:00,133,35,913,133.0,35.18,914.03
MAX-PRQ-01,2011-03-07,MON,10:39:00,2261,25,917,1974.43,26.25,917.35
MAX-PRQ-01,2011-03-07,MON,10:44:00,232,27,892,232.0,26.25,892.35
MAX-PRQ-01,2011-03-07,MON,10:49:00,498,138,927,498.0,136.04,928.11
MAX-PRQ-01,2011-03-07,MON,10:54:00,66,16,920,66.0,17.13,921.26
MAX-PRQ-01,2011-03-07,MON,10:59:00,232,27,897,232.0,26.25,896.36
MAX-PRQ-01,2011-03-07,MON,11:04:00,166,31,925,166.0,35.18,924.58
MAX-PRQ-01,2011-03-07,MON,11:09:00,532,19,918,532.0,17.13,917.35
MAX-PRQ-01,2011-03-07,MON,11:14:00,232,33,895,232.0,35.18,896.36
MAX-PRQ-01,2011-03-07,MON,11:19:00,133,148,926,133.0,148.11,924.58
MAX-PRQ-01,2011-03-07,MON,11:25:00,332,67,921,332.0,68.49,921.26
MAX-PRQ-01,2011-03-07,MON,11:29:00,332,14,897,332.0,17.13,896.36
MAX-PRQ-01,2011-03-07,MON,11:34:00,66,27,915,66.0,26.25,914.03
MAX-PRQ-01,2011-03-07,MON,11:39:00,365,265,919,365.0,263.87,917.35
MAX-PRQ-01,2011-03-07,MON,11:44:00,332,83,893,332.0,83.56,892.35
MAX-PRQ-01,2011-03-07,MON,11:49:00,166,80,927,166.0,76.97,928.11
MAX-PRQ-01,2011-03-07,MON,11:54:00,365,29,910,365.0,26.25,910.0
MAX-PRQ-01,2011-03-07,MON,11:59:00,598,145,904,598.0,144.18,903.59
MAX-PRQ-01,2011-03-07,MON,12:04:00,1030,128,913,1210.14,129.26,914.03
MAX-PRQ-01,2011-03-07,MON,12:09:00,498,32,917,498.0,35.18,917.35
MAX-PRQ-01,2011-03-07,MON,12:14:00,332,48,893,332.0,47.33,892.35
MAX-PRQ-01,2011-03-07,MON,12:19:00,232,183,927,232.0,185.73,928.11
MAX-PRQ-01,2011-03-07,MON,12:24:00,166,159,919,166.0,158.71,917.35
MAX-PRQ-01,2011-03-07,MON,12:29:00,66,48,897,66.0,47.33,896.36
MAX-PRQ-01,2011-03-07,MON,12:34:00,365,142,926,365.0,140.31,924.58
MAX-PRQ-01,2011-03-07,MON,12:40:00,166,179,922,166.0,178.92,921.26
MAX-PRQ-01,2011-03-07,MON,12:45:00,631,375,891,631.0,374.33,892.35
MAX-PRQ-01,2011-03-07,MON,12:49:00,332,429,920,332.0,438.64,921.26
MAX-PRQ-01,2011-03-07,MON,12:54:00,166,358,925,166.0,362.08,924.58
MAX-PRQ-01,2011-03-07,MON,12:59:00,731,363,898,712.4,362.08,896.36
MAX-PRQ-01,2011-03-07,MON,13:04:00,66,16,915,66.0,17.13,914.03
MAX-PRQ-01,2011-03-07,MON,13:09:00,133,37,919,133.0,35.18,917.35
MAX-PRQ-01,2011-03-07,MON,13:15:00,66,43,891,66.0,47.33,892.35
MAX-PRQ-01,2011-03-07,MON,13:19:00,133,41,919,133.0,35.18,917.35
MAX-PRQ-01,2011-03-07,MON,13:24:00,365,46,915,365.0,47.33,914.03
MAX-PRQ-01,2011-03-07,MON,13:29:00,631,164,893,631.0,164.85,892.35
MAX-PRQ-01,2011-03-07,MON,13:34:00,598,230,920,598.0,228.15,921.26
MAX-PRQ-01,2011-03-07,MON,13:39:00,698,550,922,712.4,546.99,921.26
MAX-PRQ-01,2011-03-07,MON,13:44:00,266,800,905,266.0,792.83,905.46
MAX-PRQ-01,2011-03-07,MON,13:49:00,332,204,931,332.0,205.45,931.47
MAX-PRQ-01,2011-03-07,MON,13:54:00,66,470,936,66.0,472.65,935.99
MAX-PRQ-01,2011-03-07,MON,13:59:00,864,97,1148,868.11,97.28,1186.41
MAX-PRQ-01,2011-03-07,MON,14:04:00,232,76,1000,232.0,76.97,1002.81
MAX-PRQ-01,2011-03-07,MON,14:09:00,332,180,896,332.0,178.92,896.36
MAX-PRQ-01,2011-03-07,MON,14:14:00,133,133,890,133.0,131.9,892.35
MAX-PRQ-01,2011-03-07,MON,14:19:00,332,195,930,332.0,195.4,930.0
MAX-PRQ-01,2011-03-07,MON,14:25:00,66,201,912,66.0,202.15,911.5
MAX-PRQ-01,2011-03-07,MON,14:29:00,133,155,897,133.0,155.13,896.36
MAX-PRQ-01,2011-03-07,MON,14:35:00,332,303,911,332.0,303.18,911.5
MAX-PRQ-01,2011-03-07,MON,14:39:00,498,501,917,498.0,497.26,917.35
MAX-PRQ-01,2011-03-07,MON,14:44:00,332,88,889,332.0,88.52,887.19
MAX-PRQ-01,2011-03-07,MON,14:49:00,266,210,937,266.0,209.18,935.99
MAX-PRQ-01,2011-03-07,MON,14:54:00,33,164,918,33.0,164.85,917.35
