NAME,DATE,WEEKDAY,TIME,CPU,BW,MEM,CPU_D,BW_D,MEM_D
NEWH-FSRV,2011-03-07,MON,00:29:00,2106,16,1631,1938.52,99.84,1628.77
NEWH-FSRV,2011-03-07,MON,00:34:00,3218,2479,1633,3298.65,1619.8,1635.1
NEWH-FSRV,2011-03-07,MON,00:39:00,4798,2963,1631,4466.38,3596.81,1628.77
NEWH-FSRV,2011-03-07,MON,00:45:00,3569,3569,1640,3298.65,3596.81,1642.84
NEWH-FSRV,2011-03-07,MON,00:50:00,4447,3876,1633,4466.38,3596.81,1635.1
NEWH-FSRV,2011-03-07,MON,00:54:00,1287,5526,1631,1289.07,5550.23,1628.77
NEWH-FSRV,2011-03-07,MON,00:59:00,58,1713,1548,58.0,1619.8,1548.32
NEWH-FSRV,2011-03-07,MON,01:04:00,58,365,1546,58.0,99.84,1548.32
NEWH-FSRV,2011-03-07,MON,01:09:00,58,114,1544,58.0,99.84,1541.9
NEWH-FSRV,2011-03-07,MON,01:14:00,58,330,1542,58.0,99.84,1541.9
NEWH-FSRV,2011-03-07,MON,01:19:00,58,272,1535,58.0,99.84,1536.08
NEWH-FSRV,2011-03-07,MON,01:25:00,58,309,1539,58.0,99.84,1541.9
NEWH-FSRV,2011-03-07,MON,01:29:00,58,197,1540,58.0,99.84,1541.9
NEWH-FSRV,2011-03-07,MON,01:34:00,58,196,1541,58.0,99.84,1541.9
NEWH-FSRV,2011-03-07,MON,01:39:00,117,336,1535,117.0,99.84,1536.08
NEWH-FSRV,2011-03-07,MON,01:44:00,58,108,1540,58.0,99.84,1541.9
NEWH-FSRV,2011-03-07,MON,01:49:00,58,194,1535,58.0,99.84,1536.08
NEWH-FSRV,2011-03-07,MON,01:55:00,58,445,1541,58.0,99.84,1541.9
NEWH-FSRV,2011-03-07,MON,01:59:00,58,212,1533,58.0,99.84,1531.64
NEWH-FSRV,2011-03-07,MON,02:04:00,58,88,1541,58.0,99.84,1541.9
NEWH-FSRV,2011-03-07,MON,02:10:00,58,673,1564,58.0,99.84,1564.12
NEWH-FSRV,2011-03-07,MON,02:14:00,58,960,1542,58.0,1619.8,1541.9
NEWH-FSRV,2011-03-07,MON,02:19:00,58,246,1545,58.0,99.84,1541.9
NEWH-FSRV,2011-03-07,MON,02:24:00,58,208,1541,58.0,99.84,1541.9
NEWH-FSRV,2011-03-07,MON,02:29:00,58,251,1568,58.0,99.84,1571.54
NEWH-FSRV,2011-03-07,MON,02:34:00,58,140,1541,58.0,99.84,1541.9
NEWH-FSRV,2011-03-07,MON,02:39:00,58,246,1540,58.0,99.84,1541.9
NEWH-FSRV,2011-03-07,MON,02:45:00,1111,114,1558,1111.0,99.84,1558.92
NEWH-FSRV,2011-03-07,MON,02:50:00,58,256,1532,58.0,99.84,1531.64
NEWH-FSRV,2011-03-07,MON,02:54:00,58,92,1538,58.0,99.84,1536.08
NEWH-FSRV,2011-03-07,MON,02:59:00,58,198,1534,58.0,99.84,1536.08
NEWH-FSRV,2011-03-07,MON,03:04:00,58,349,1540,58.0,99.84,1541.9
NEWH-FSRV,2011-03-07,MON,03:10:00,58,92,1533,58.0,99.84,1531.64
NEWH-FSRV,2011-03-07,MON,03:14:00,58,90,1539,58.0,99.84,1541.9
NEWH-FSRV,2011-03-07,MON,03:19:00,234,101,1535,234.0,99.84,1536.08
NEWH-FSRV,2011-03-07,MON,03:24:00,58,91,1542,58.0,99.84,1541.9
NEWH-FSRV,2011-03-07,MON,03:29:00,58,93,1544,58.0,99.84,1541.9
NEWH-FSRV,2011-03-07,MON,03:34:00,58,90,1542,58.0,99.84,1541.9
NEWH-FSRV,2011-03-07,MON,03:39:00,58,94,1541,58.0,99.84,1541.9
NEWH-FSRV,2011-03-07,MON,03:45:00,409,96,1542,409.0,99.84,1541.9
NEWH-FSRV,2011-03-07,MON,03:49:00,58,104,1532,58.0,99.84,1531.64
NEWH-FSRV,2011-03-07,MON,03:54:00,58,101,1564,58.0,99.84,1564.12
NEWH-FSRV,2011-03-07,MON,04:00:00,58,95,1507,58.0,99.84,1507.89
NEWH-FSRV,2011-03-07,MON,04:04:00,58,89,1509,58.0,99.84,1507.89
NEWH-FSRV,2011-03-07,MON,04:10:00,58,95,1511,58.0,99.84,1507.89
NEWH-FSRV,2011-03-07,MON,04:14:00,58,87,1510,58.0,99.84,1507.89
NEWH-FSRV,2011-03-07,MON,04:20:00,58,97,1505,58.0,99.84,1507.89
NEWH-FSRV,2011-03-07,MON,04:24:00,58,87,1510,58.0,99.84,1507.89
NEWH-FSRV,2011-03-07,MON,04:29:00,58,91,1507,58.0,99.84,1507.89
NEWH-FSRV,2011-03-07,MON,04:36:00,58,112,1510,58.0,99.84,1507.89
NEWH-FSRV,2011-03-07,MON,04:40:00,643,77,1505,643.0,99.84,1507.89
NEWH-FSRV,2011-03-07,MON,04:44:00,58,87,1514,58.0,99.84,1514.12
NEWH-FSRV,2011-03-07,MON,04:49:00,58,97,1509,58.0,99.84,1507.89
NEWH-FSRV,2011-03-07,MON,04:55:00,58,100,1509,58.0,99.84,1507.89
NEWH-FSRV,2011-03-07,MON,04:59:00,58,91,1511,58.0,99.84,1507.89
NEWH-FSRV,2011-03-07,MON,05:04:00,58,92,1509,58.0,99.84,1507.89
NEWH-FSRV,2011-03-07,MON,05:09:00,58,91,1504,58.0,99.84,1507.89
NEWH-FSRV,2011-03-07,MON,05:14:00,58,93,1514,58.0,99.84,1514.12
NEWH-FSRV,2011-03-07,MON,05:20:00,58,100,1510,58.0,99.84,1507.89
NEWH-FSRV,2011-03-07,MON,05:25:00,58,169,1519,58.0,99.84,1517.96
NEWH-FSRV,2011-03-07,MON,05:29:00,58,90,1515,58.0,99.84,1514.12
NEWH-FSRV,2011-03-07,MON,05:35:00,58,92,1518,58.0,99.84,1517.96
NEWH-FSRV,2011-03-07,MON,05:39:00,58,89,1512,58.0,99.84,1514.12
NEWH-FSRV,2011-03-07,MON,05:44:00,58,93,1523,58.0,99.84,1523.51
NEWH-FSRV,2011-03-07,MON,05:50:00,58,101,1509,58.0,99.84,1507.89
NEWH-FSRV,2011-03-07,MON,05:55:00,58,100,1518,58.0,99.84,1517.96
NEWH-FSRV,2011-03-07,MON,05:59:00,58,86,1519,58.0,99.84,1517.96
NEWH-FSRV,2011-03-07,MON,06:04:00,117,91,1518,117.0,99.84,1517.96
NEWH-FSRV,2011-03-07,MON,06:09:00,58,91,1517,58.0,99.84,1517.96
NEWH-FSRV,2011-03-07,MON,06:14:00,58,91,1519,58.0,99.84,1517.96
NEWH-FSRV,2011-03-07,MON,06:19:00,58,92,1513,58.0,99.84,1514.12
NEWH-FSRV,2011-03-07,MON,06:24:00,58,91,1516,58.0,99.84,1514.12
NEWH-FSRV,2011-03-07,MON,06:29:00,117,93,1515,117.0,99.84,1514.12
