NAME,DATE,WEEKDAY,TIME,CPU,BW,MEM,CPU_D,BW_D,MEM_D
PAF-FSRV,2011-03-07,MON,00:29:00,58,16,1324,58.0,1.2,1324.25
PAF-FSRV,2011-03-07,MON,00:34:00,234,0,1324,234.0,1.2,1324.25
PAF-FSRV,2011-03-07,MON,00:39:00,58,0,1323,58.0,1.2,1324.25
PAF-FSRV,2011-03-07,MON,00:45:00,58,0,1323,58.0,1.2,1324.25
PAF-FSRV,2011-03-07,MON,00:50:00,117,0,1322,117.0,1.2,1324.25
PAF-FSRV,2011-03-07,MON,00:54:00,58,0,1323,58.0,1.2,1324.25
PAF-FSRV,2011-03-07,MON,00:59:00,117,0,1321,117.0,1.2,1319.38
PAF-FSRV,2011-03-07,MON,01:04:00,1229,1,1327,1175.47,1.2,1324.25
PAF-FSRV,2011-03-07,MON,01:09:00,58,1,1323,58.0,1.2,1324.25
PAF-FSRV,2011-03-07,MON,01:14:00,58,0,1323,58.0,1.2,1324.25
PAF-FSRV,2011-03-07,MON,01:19:00,58,0,1320,58.0,1.2,1319.38
PAF-FSRV,2011-03-07,MON,01:25:00,58,0,1320,58.0,1.2,1319.38
PAF-FSRV,2011-03-07,MON,01:29:00,234,0,1321,234.0,1.2,1319.38
PAF-FSRV,2011-03-07,MON,01:34:00,58,0,1322,58.0,1.2,1324.25
PAF-FSRV,2011-03-07,MON,01:39:00,58,1,1320,58.0,1.2,1319.38
PAF-FSRV,2011-03-07,MON,01:44:00,58,0,1322,58.0,1.2,1324.25
PAF-FSRV,2011-03-07,MON,01:49:00,58,6,1319,58.0,1.2,1319.38
PAF-FSRV,2011-03-07,MON,01:55:00,117,0,1319,117.0,1.2,1319.38
PAF-FSRV,2011-03-07,MON,01:59:00,58,0,1322,58.0,1.2,1324.25
PAF-FSRV,2011-03-07,MON,02:04:00,117,0,1319,117.0,1.2,1319.38
PAF-FSRV,2011-03-07,MON,02:10:00,58,0,1317,58.0,1.2,1319.38
PAF-FSRV,2011-03-07,MON,02:14:00,58,0,1323,58.0,1.2,1324.25
PAF-FSRV,2011-03-07,MON,02:19:00,58,0,1321,58.0,1.2,1319.38
PAF-FSRV,2011-03-07,MON,02:24:00,58,0,1323,58.0,1.2,1324.25
PAF-FSRV,2011-03-07,MON,02:29:00,936,1,1352,936.0,1.2,1351.57
PAF-FSRV,2011-03-07,MON,02:34:00,58,0,1325,58.0,1.2,1324.25
PAF-FSRV,2011-03-07,MON,02:39:00,58,1,1323,58.0,1.2,1324.25
PAF-FSRV,2011-03-07,MON,02:45:00,468,0,1341,468.0,1.2,1340.05
PAF-FSRV,2011-03-07,MON,02:50:00,58,0,1322,58.0,1.2,1324.25
PAF-FSRV,2011-03-07,MON,02:54:00,58,0,1323,58.0,1.2,1324.25
PAF-FSRV,2011-03-07,MON,02:59:00,58,0,1322,58.0,1.2,1324.25
PAF-FSRV,2011-03-07,MON,03:05:00,58,0,1323,58.0,1.2,1324.25
PAF-FSRV,2011-03-07,MON,03:10:00,58,1,1324,58.0,1.2,1324.25
PAF-FSRV,2011-03-07,MON,03:14:00,58,0,1324,58.0,1.2,1324.25
PAF-FSRV,2011-03-07,MON,03:19:00,58,0,1325,58.0,1.2,1324.25
PAF-FSRV,2011-03-07,MON,03:24:00,58,0,1329,58.0,1.2,1330.46
PAF-FSRV,2011-03-07,MON,03:29:00,58,0,1326,58.0,1.2,1324.25
PAF-FSRV,2011-03-07,MON,03:34:00,117,0,1324,117.0,1.2,1324.25
PAF-FSRV,2011-03-07,MON,03:39:00,58,1,1325,58.0,1.2,1324.25
PAF-FSRV,2011-03-07,MON,03:44:00,58,0,1347,58.0,1.2,1347.51
PAF-FSRV,2011-03-07,MON,03:49:00,58,0,1398,58.0,1.2,1399.08
PAF-FSRV,2011-03-07,MON,03:55:00,58,1,1331,58.0,1.2,1330.46
PAF-FSRV,2011-03-07,MON,04:00:00,58,0,1332,58.0,1.2,1330.46
PAF-FSRV,2011-03-07,MON,04:04:00,58,0,1328,58.0,1.2,1330.46
