NAME,DATE,WEEKDAY,TIME,CPU,BW,MEM,CPU_D,BW_D,MEM_D
PROV01,2011-03-07,MON,00:29:00,58,16,506,58.0,16.0,506.0
PROV01,2011-03-07,MON,00:34:00,58,0,508,58.0,0.0,508.52
PROV01,2011-03-07,MON,00:39:00,58,0,505,58.0,0.0,505.0
PROV01,2011-03-07,MON,00:45:00,58,0,507,58.0,0.0,507.0
PROV01,2011-03-07,MON,00:50:00,58,0,507,58.0,0.0,507.0
PROV01,2011-03-07,MON,00:54:00,58,0,507,58.0,0.0,507.0
PROV01,2011-03-07,MON,00:59:00,58,0,505,58.0,0.0,505.0
PROV01,2011-03-07,MON,01:04:00,58,0,506,58.0,0.0,506.0
PROV01,2011-03-07,MON,01:09:00,58,0,507,58.0,0.0,507.0
PROV01,2011-03-07,MON,01:14:00,117,0,506,117.0,0.0,506.0
PROV01,2011-03-07,MON,01:19:00,58,0,507,58.0,0.0,507.0
PROV01,2011-03-07,MON,01:25:00,58,0,507,58.0,0.0,507.0
PROV01,2011-03-07,MON,01:29:00,58,0,507,58.0,0.0,507.0
PROV01,2011-03-07,MON,01:34:00,292,0,508,292.0,0.0,508.52
PROV01,2011-03-07,MON,01:39:00,58,0,505,58.0,0.0,505.0
PROV01,2011-03-07,MON,01:44:00,58,0,504,58.0,0.0,504.0
PROV01,2011-03-07,MON,01:49:00,58,4,506,58.0,4.63,506.0
PROV01,2011-03-07,MON,01:55:00,58,0,507,58.0,0.0,507.0
PROV01,2011-03-07,MON,01:59:00,58,0,505,58.0,0.0,505.0
PROV01,2011-03-07,MON,02:04:00,117,0,506,117.0,0.0,506.0
PROV01,2011-03-07,MON,02:10:00,58,0,507,58.0,0.0,507.0
PROV01,2011-03-07,MON,02:14:00,936,0,506,936.0,0.0,506.0
PROV01,2011-03-07,MON,02:19:00,58,0,507,58.0,0.0,507.0
PROV01,2011-03-07,MON,02:24:00,58,0,507,58.0,0.0,507.0
PROV01,2011-03-07,MON,02:29:00,760,0,514,760.0,0.0,514.0
PROV01,2011-03-07,MON,02:34:00,58,0,507,58.0,0.0,507.0
PROV01,2011-03-07,MON,02:39:00,58,0,504,58.0,0.0,504.0
PROV01,2011-03-07,MON,02:45:00,58,0,513,58.0,0.0,513.0
PROV01,2011-03-07,MON,02:50:00,58,0,506,58.0,0.0,506.0
PROV01,2011-03-07,MON,02:54:00,936,0,506,936.0,0.0,506.0
PROV01,2011-03-07,MON,02:59:00,58,0,504,58.0,0.0,504.0
PROV01,2011-03-07,MON,03:05:00,58,0,507,58.0,0.0,507.0
PROV01,2011-03-07,MON,03:10:00,58,0,507,58.0,0.0,507.0
PROV01,2011-03-07,MON,03:14:00,1111,0,507,1111.0,0.0,507.0
PROV01,2011-03-07,MON,03:19:00,58,0,507,58.0,0.0,507.0
PROV01,2011-03-07,MON,03:24:00,58,0,509,58.0,0.0,508.52
PROV01,2011-03-07,MON,03:29:00,58,0,507,58.0,0.0,507.0
PROV01,2011-03-07,MON,03:34:00,58,0,508,58.0,0.0,508.52
PROV01,2011-03-07,MON,03:39:00,58,0,505,58.0,0.0,505.0
PROV01,2011-03-07,MON,03:44:00,877,0,513,877.0,0.0,513.0
PROV01,2011-03-07,MON,03:49:00,58,0,507,58.0,0.0,507.0
PROV01,2011-03-07,MON,03:55:00,58,0,507,58.0,0.0,507.0
PROV01,2011-03-07,MON,04:00:00,117,0,507,117.0,0.0,507.0
PROV01,2011-03-07,MON,04:04:00,468,0,506,468.0,0.0,506.0
PROV01,2011-03-07,MON,04:09:00,58,0,507,58.0,0.0,507.0
PROV01,2011-03-07,MON,04:14:00,117,1,508,117.0,1.47,508.52
PROV01,2011-03-07,MON,04:20:00,58,0,509,58.0,0.0,508.52
PROV01,2011-03-07,MON,04:24:00,58,0,508,58.0,0.0,508.52
PROV01,2011-03-07,MON,04:29:00,58,0,508,58.0,0.0,508.52
PROV01,2011-03-07,MON,04:36:00,58,0,510,58.0,0.0,510.0
PROV01,2011-03-07,MON,04:40:00,58,0,505,58.0,0.0,505.0
PROV01,2011-03-07,MON,04:44:00,760,0,506,760.0,0.0,506.0
PROV01,2011-03-07,MON,04:49:00,58,0,520,58.0,0.0,520.52
PROV01,2011-03-07,MON,04:55:00,58,0,514,58.0,0.0,514.0
PROV01,2011-03-07,MON,04:59:00,58,0,505,58.0,0.0,505.0
PROV01,2011-03-07,MON,05:04:00,58,0,508,58.0,0.0,508.52
PROV01,2011-03-07,MON,05:09:00,58,0,508,58.0,0.0,508.52
PROV01,2011-03-07,MON,05:14:00,58,0,509,58.0,0.0,508.52
PROV01,2011-03-07,MON,05:19:00,58,0,509,58.0,0.0,508.52
PROV01,2011-03-07,MON,05:25:00,117,0,510,117.0,0.0,510.0
PROV01,2011-03-07,MON,05:29:00,58,0,509,58.0,0.0,508.52
PROV01,2011-03-07,MON,05:35:00,58,0,511,58.0,0.0,511.0
PROV01,2011-03-07,MON,05:39:00,58,0,510,58.0,0.0,510.0
PROV01,2011-03-07,MON,05:44:00,58,0,506,58.0,0.0,506.0
PROV01,2011-03-07,MON,05:49:00,58,0,507,58.0,0.0,507.0
PROV01,2011-03-07,MON,05:55:00,58,0,507,58.0,0.0,507.0
PROV01,2011-03-07,MON,05:59:00,58,0,506,58.0,0.0,506.0
PROV01,2011-03-07,MON,06:04:00,117,0,509,117.0,0.0,508.52
PROV01,2011-03-07,MON,06:09:00,58,0,509,58.0,0.0,508.52
PROV01,2011-03-07,MON,06:14:00,58,0,509,58.0,0.0,508.52
PROV01,2011-03-07,MON,06:19:00,58,0,509,58.0,0.0,508.52
PROV01,2011-03-07,MON,06:24:00,58,0,509,58.0,0.0,508.52
PROV01,2011-03-07,MON,06:29:00,58,0,509,58.0,0.0,508.52
PROV01,2011-03-07,MON,06:34:00,58,0,510,58.0,0.0,510.0
PROV01,2011-03-07,MON,06:39:00,58,0,509,58.0,0.0,508.52
PROV01,2011-03-07,MON,06:44:00,58,0,505,58.0,0.0,505.0
PROV01,2011-03-07,MON,06:49:00,58,0,507,58.0,0.0,507.0
PROV01,2011-03-07,MON,06:54:00,117,0,507,117.0,0.0,507.0
PROV01,2011-03-07,MON,06:59:00,58,0,505,58.0,0.0,505.0
PROV01,2011-03-07,MON,07:04:00,760,0,509,760.0,0.0,508.52
PROV01,2011-03-07,MON,07:09:00,58,0,509,58.0,0.0,508.52
PROV01,2011-03-07,MON,07:14:00,58,0,509,58.0,0.0,508.52
PROV01,2011-03-07,MON,07:19:00,58,0,509,58.0,0.0,508.52
PROV01,2011-03-07,MON,07:24:00,117,0,508,117.0,0.0,508.52
PROV01,2011-03-07,MON,07:29:00,58,0,509,58.0,0.0,508.52
PROV01,2011-03-07,MON,07:35:00,58,0,510,58.0,0.0,510.0
PROV01,2011-03-07,MON,07:39:00,58,0,512,58.0,0.0,512.0
PROV01,2011-03-07,MON,07:44:00,58,0,505,58.0,0.0,505.0
PROV01,2011-03-07,MON,07:49:00,58,0,506,58.0,0.0,506.0
PROV01,2011-03-07,MON,07:54:00,58,0,507,58.0,0.0,507.0
PROV01,2011-03-07,MON,07:59:00,58,0,505,58.0,0.0,505.0
PROV01,2011-03-07,MON,08:04:00,292,0,508,292.0,0.0,508.52
PROV01,2011-03-07,MON,08:09:00,58,0,509,58.0,0.0,508.52
PROV01,2011-03-07,MON,08:14:00,292,0,509,292.0,0.0,508.52
PROV01,2011-03-07,MON,08:19:00,58,0,509,58.0,0.0,508.52
PROV01,2011-03-07,MON,08:24:00,58,0,508,58.0,0.0,508.52
PROV01,2011-03-07,MON,08:29:00,58,0,509,58.0,0.0,508.52
PROV01,2011-03-07,MON,08:34:00,58,0,509,58.0,0.0,508.52
PROV01,2011-03-07,MON,08:39:00,117,0,510,117.0,0.0,510.0
PROV01,2011-03-07,MON,08:44:00,58,0,504,58.0,0.0,504.0
PROV01,2011-03-07,MON,08:49:00,58,0,507,58.0,0.0,507.0
PROV01,2011-03-07,MON,08:54:00,58,0,507,58.0,0.0,507.0
PROV01,2011-03-07,MON,08:59:00,58,0,505,58.0,0.0,505.0
PROV01,2011-03-07,MON,09:04:00,58,0,508,58.0,0.0,508.52
PROV01,2011-03-07,MON,09:09:00,58,0,508,58.0,0.0,508.52
PROV01,2011-03-07,MON,09:14:00,58,0,508,58.0,0.0,508.52
PROV01,2011-03-07,MON,09:19:00,58,0,509,58.0,0.0,508.52
PROV01,2011-03-07,MON,09:24:00,58,0,509,58.0,0.0,508.52
PROV01,2011-03-07,MON,09:29:00,58,0,509,58.0,0.0,508.52
PROV01,2011-03-07,MON,09:34:00,58,0,509,58.0,0.0,508.52
PROV01,2011-03-07,MON,09:39:00,58,0,510,58.0,0.0,510.0
PROV01,2011-03-07,MON,09:44:00,58,0,504,58.0,0.0,504.0
PROV01,2011-03-07,MON,09:49:00,58,0,508,58.0,0.0,508.52
PROV01,2011-03-07,MON,09:54:00,58,0,504,58.0,0.0,504.0
PROV01,2011-03-07,MON,10:00:00,58,0,515,58.0,0.0,515.0
PROV01,2011-03-07,MON,10:04:00,1053,0,512,1053.0,0.0,512.0
PROV01,2011-03-07,MON,10:09:00,58,0,512,58.0,0.0,512.0
PROV01,2011-03-07,MON,10:14:00,760,0,510,760.0,0.0,510.0
PROV01,2011-03-07,MON,10:19:00,58,0,510,58.0,0.0,510.0
PROV01,2011-03-07,MON,10:24:00,58,0,509,58.0,0.0,508.52
PROV01,2011-03-07,MON,10:29:00,58,0,509,58.0,0.0,508.52
PROV01,2011-03-07,MON,10:34:00,3335,4,672,3763.29,4.63,679.33
PROV01,2011-03-07,MON,10:40:00,3043,0,680,2542.51,0.0,679.33
PROV01,2011-03-07,MON,10:44:00,3803,9,697,3763.29,9.05,700.03
PROV01,2011-03-07,MON,10:49:00,643,5,689,643.0,4.63,679.33
PROV01,2011-03-07,MON,10:54:00,1228,4,690,1228.0,4.63,700.03
PROV01,2011-03-07,MON,10:59:00,58,0,505,58.0,0.0,505.0
PROV01,2011-03-07,MON,11:04:00,234,0,508,234.0,0.0,508.52
PROV01,2011-03-07,MON,11:09:00,58,0,508,58.0,0.0,508.52
PROV01,2011-03-07,MON,11:14:00,117,0,508,117.0,0.0,508.52
PROV01,2011-03-07,MON,11:19:00,58,0,509,58.0,0.0,508.52
PROV01,2011-03-07,MON,11:25:00,58,0,509,58.0,0.0,508.52
PROV01,2011-03-07,MON,11:29:00,58,0,508,58.0,0.0,508.52
PROV01,2011-03-07,MON,11:34:00,117,0,500,117.0,0.0,500.51
PROV01,2011-03-07,MON,11:39:00,58,0,504,58.0,0.0,504.0
PROV01,2011-03-07,MON,11:44:00,58,0,506,58.0,0.0,506.0
PROV01,2011-03-07,MON,11:49:00,58,0,507,58.0,0.0,507.0
PROV01,2011-03-07,MON,11:54:00,58,0,507,58.0,0.0,507.0
PROV01,2011-03-07,MON,11:59:00,58,0,507,58.0,0.0,507.0
PROV01,2011-03-07,MON,12:04:00,234,0,508,234.0,0.0,508.52
PROV01,2011-03-07,MON,12:09:00,58,0,508,58.0,0.0,508.52
PROV01,2011-03-07,MON,12:14:00,58,0,508,58.0,0.0,508.52
PROV01,2011-03-07,MON,12:19:00,58,0,509,58.0,0.0,508.52
PROV01,2011-03-07,MON,12:24:00,58,0,506,58.0,0.0,506.0
PROV01,2011-03-07,MON,12:30:00,1053,2,538,1053.0,1.47,537.86
PROV01,2011-03-07,MON,12:34:00,3218,2,664,3763.29,1.47,656.37
