NAME,DATE,WEEKDAY,TIME,CPU,BW,MEM,CPU_D,BW_D,MEM_D
SHARED,2011-03-07,MON,00:29:00,29,16,276,29.0,15.59,276.44
SHARED,2011-03-07,MON,00:34:00,149,3,277,149.0,2.66,276.44
SHARED,2011-03-07,MON,00:39:00,59,2,277,59.0,2.66,276.44
SHARED,2011-03-07,MON,00:45:00,59,2,277,59.0,2.66,276.44
SHARED,2011-03-07,MON,00:50:00,29,2,280,29.0,2.66,280.0
SHARED,2011-03-07,MON,00:54:00,59,2,280,59.0,2.66,280.0
SHARED,2011-03-07,MON,00:59:00,59,2,281,59.0,2.66,281.0
SHARED,2011-03-07,MON,01:04:00,149,2,281,149.0,2.66,281.0
SHARED,2011-03-07,MON,01:09:00,119,2,280,119.0,2.66,280.0
SHARED,2011-03-07,MON,01:14:00,59,2,281,59.0,2.66,281.0
SHARED,2011-03-07,MON,01:19:00,59,2,282,59.0,2.66,282.0
SHARED,2011-03-07,MON,01:25:00,0,3,282,0.0,2.66,282.0
SHARED,2011-03-07,MON,01:29:00,0,2,283,0.0,2.66,283.0
SHARED,2011-03-07,MON,01:34:00,0,3,283,0.0,2.66,283.0
SHARED,2011-03-07,MON,01:39:00,59,3,283,59.0,2.66,283.0
SHARED,2011-03-07,MON,01:44:00,59,7,285,59.0,4.94,285.0
SHARED,2011-03-07,MON,01:49:00,59,2,285,59.0,2.66,285.0
SHARED,2011-03-07,MON,01:55:00,59,2,283,59.0,2.66,283.0
SHARED,2011-03-07,MON,01:59:00,29,2,284,29.0,2.66,284.0
SHARED,2011-03-07,MON,02:04:00,59,2,284,59.0,2.66,284.0
SHARED,2011-03-07,MON,02:10:00,119,3,284,119.0,2.66,284.0
SHARED,2011-03-07,MON,02:14:00,59,2,285,59.0,2.66,285.0
SHARED,2011-03-07,MON,02:19:00,149,3,301,149.0,2.66,301.49
SHARED,2011-03-07,MON,02:24:00,29,2,296,29.0,2.66,296.0
SHARED,2011-03-07,MON,02:29:00,299,3,304,313.22,2.66,303.52
SHARED,2011-03-07,MON,02:34:00,29,2,297,29.0,2.66,297.0
SHARED,2011-03-07,MON,02:39:00,29,3,293,29.0,2.66,292.48
SHARED,2011-03-07,MON,02:45:00,59,3,300,59.0,2.66,300.0
SHARED,2011-03-07,MON,02:50:00,59,2,294,59.0,2.66,294.0
