NAME,DATE,WEEKDAY,TIME,CPU,BW,MEM,CPU_D,BW_D,MEM_D
SOE-FSRV,2011-03-07,MON,00:29:00,0,16,1630,0.0,107.8,1628.01
SOE-FSRV,2011-03-07,MON,00:34:00,0,17,1629,0.0,107.8,1628.01
SOE-FSRV,2011-03-07,MON,00:39:00,0,22,1631,0.0,107.8,1633.25
SOE-FSRV,2011-03-07,MON,00:45:00,0,17,1626,0.0,107.8,1628.01
SOE-FSRV,2011-03-07,MON,00:50:00,0,17,1627,0.0,107.8,1628.01
SOE-FSRV,2011-03-07,MON,00:54:00,0,24,1629,0.0,107.8,1628.01
SOE-FSRV,2011-03-07,MON,00:59:00,0,22,1626,0.0,107.8,1628.01
SOE-FSRV,2011-03-07,MON,01:04:00,0,18,1628,0.0,107.8,1628.01
SOE-FSRV,2011-03-07,MON,01:09:00,0,18,1631,0.0,107.8,1633.25
SOE-FSRV,2011-03-07,MON,01:14:00,0,17,1624,0.0,107.8,1623.87
SOE-FSRV,2011-03-07,MON,01:19:00,292,22,1625,292.0,107.8,1623.87
SOE-FSRV,2011-03-07,MON,01:25:00,0,23,1629,0.0,107.8,1628.01
SOE-FSRV,2011-03-07,MON,01:29:00,117,12,1626,117.0,107.8,1628.01
SOE-FSRV,2011-03-07,MON,01:34:00,0,22,1624,0.0,107.8,1623.87
SOE-FSRV,2011-03-07,MON,01:39:00,0,18,1628,0.0,107.8,1628.01
SOE-FSRV,2011-03-07,MON,01:44:00,0,28,1627,0.0,107.8,1628.01
SOE-FSRV,2011-03-07,MON,01:49:00,0,17,1623,0.0,107.8,1623.87
SOE-FSRV,2011-03-07,MON,01:55:00,0,22,1628,0.0,107.8,1628.01
SOE-FSRV,2011-03-07,MON,01:59:00,0,12,1623,0.0,107.8,1623.87
SOE-FSRV,2011-03-07,MON,02:04:00,0,23,1624,0.0,107.8,1623.87
SOE-FSRV,2011-03-07,MON,02:10:00,0,23,1624,0.0,107.8,1623.87
SOE-FSRV,2011-03-07,MON,02:14:00,0,12,1625,0.0,107.8,1623.87
SOE-FSRV,2011-03-07,MON,02:20:00,234,22,1624,234.0,107.8,1623.87
SOE-FSRV,2011-03-07,MON,02:24:00,0,18,1628,0.0,107.8,1628.01
SOE-FSRV,2011-03-07,MON,02:29:00,292,18,1655,292.0,107.8,1653.47
SOE-FSRV,2011-03-07,MON,02:34:00,0,17,1625,0.0,107.8,1623.87
SOE-FSRV,2011-03-07,MON,02:39:00,0,22,1630,0.0,107.8,1628.01
SOE-FSRV,2011-03-07,MON,02:45:00,3512,22,1738,3380.18,107.8,1736.93
SOE-FSRV,2011-03-07,MON,02:50:00,0,17,1665,0.0,107.8,1665.43
SOE-FSRV,2011-03-07,MON,02:54:00,468,22,1625,468.0,107.8,1623.87
SOE-FSRV,2011-03-07,MON,02:59:00,0,17,1618,0.0,107.8,1619.6
SOE-FSRV,2011-03-07,MON,03:05:00,1931,17,1621,1980.11,107.8,1619.6
SOE-FSRV,2011-03-07,MON,03:10:00,0,22,1627,0.0,107.8,1628.01
SOE-FSRV,2011-03-07,MON,03:14:00,1112,17,1622,1112.0,107.8,1623.87
SOE-FSRV,2011-03-07,MON,03:19:00,234,17,1625,234.0,107.8,1623.87
SOE-FSRV,2011-03-07,MON,03:24:00,117,22,1627,117.0,107.8,1628.01
SOE-FSRV,2011-03-07,MON,03:29:00,0,17,1626,0.0,107.8,1628.01
SOE-FSRV,2011-03-07,MON,03:34:00,0,22,1629,0.0,107.8,1628.01
SOE-FSRV,2011-03-07,MON,03:39:00,234,17,1627,234.0,107.8,1628.01
SOE-FSRV,2011-03-07,MON,03:45:00,2107,22,1624,1980.11,107.8,1623.87
SOE-FSRV,2011-03-07,MON,03:49:00,0,17,1621,0.0,107.8,1619.6
SOE-FSRV,2011-03-07,MON,03:55:00,1697,18,1626,1697.0,107.8,1628.01
SOE-FSRV,2011-03-07,MON,04:00:00,0,17,1624,0.0,107.8,1623.87
SOE-FSRV,2011-03-07,MON,04:04:00,0,17,1623,0.0,107.8,1623.87
SOE-FSRV,2011-03-07,MON,04:10:00,0,22,1629,0.0,107.8,1628.01
SOE-FSRV,2011-03-07,MON,04:14:00,0,17,1627,0.0,107.8,1628.01
SOE-FSRV,2011-03-07,MON,04:20:00,0,17,1624,0.0,107.8,1623.87
SOE-FSRV,2011-03-07,MON,04:24:00,0,17,1629,0.0,107.8,1628.01
SOE-FSRV,2011-03-07,MON,04:29:00,0,17,1629,0.0,107.8,1628.01
SOE-FSRV,2011-03-07,MON,04:36:00,0,27,1627,0.0,107.8,1628.01
SOE-FSRV,2011-03-07,MON,04:40:00,0,12,1631,0.0,107.8,1633.25
SOE-FSRV,2011-03-07,MON,04:44:00,0,22,1626,0.0,107.8,1628.01
SOE-FSRV,2011-03-07,MON,04:49:00,0,17,1626,0.0,107.8,1628.01
SOE-FSRV,2011-03-07,MON,04:55:00,0,23,1630,0.0,107.8,1628.01
SOE-FSRV,2011-03-07,MON,04:59:00,0,17,1626,0.0,107.8,1628.01
