NAME,DATE,WEEKDAY,TIME,CPU,BW,MEM,CPU_D,BW_D,MEM_D
STU04-FSRV,2011-03-07,MON,00:30:00,585,16,1752,585.0,8.84,1750.01
STU04-FSRV,2011-03-07,MON,00:34:00,292,142,1752,292.0,148.27,1750.01
STU04-FSRV,2011-03-07,MON,00:39:00,643,101,1738,643.0,112.35,1737.93
STU04-FSRV,2011-03-07,MON,00:45:00,292,402,1757,292.0,400.61,1756.04
STU04-FSRV,2011-03-07,MON,00:50:00,234,563,1738,234.0,568.14,1737.93
STU04-FSRV,2011-03-07,MON,00:55:00,292,269,1755,292.0,267.11,1756.04
STU04-FSRV,2011-03-07,MON,00:59:00,468,22,1756,468.0,32.56,1756.04
STU04-FSRV,2011-03-07,MON,01:04:00,409,273,1756,409.0,267.11,1756.04
STU04-FSRV,2011-03-07,MON,01:09:00,117,152,1745,117.0,148.27,1743.82
STU04-FSRV,2011-03-07,MON,01:14:00,585,120,1753,585.0,112.35,1750.01
STU04-FSRV,2011-03-07,MON,01:20:00,292,534,1770,292.0,543.35,1768.98
STU04-FSRV,2011-03-07,MON,01:25:00,409,584,1774,409.0,592.75,1775.96
STU04-FSRV,2011-03-07,MON,01:29:00,643,630,1772,643.0,633.78,1768.98
STU04-FSRV,2011-03-07,MON,01:34:00,234,642,1775,234.0,633.78,1775.96
STU04-FSRV,2011-03-07,MON,01:39:00,234,115,1775,234.0,112.35,1775.96
STU04-FSRV,2011-03-07,MON,01:44:00,117,53,1774,117.0,59.15,1775.96
STU04-FSRV,2011-03-07,MON,01:49:00,409,43,1773,409.0,32.56,1775.96
STU04-FSRV,2011-03-07,MON,01:55:00,234,54,1773,234.0,59.15,1775.96
STU04-FSRV,2011-03-07,MON,01:59:00,234,83,1778,234.0,84.53,1775.96
STU04-FSRV,2011-03-07,MON,02:04:00,0,93,1777,0.0,84.53,1775.96
STU04-FSRV,2011-03-07,MON,02:10:00,292,438,1777,292.0,442.33,1775.96
