NAME,DATE,WEEKDAY,TIME,CPU,BW,MEM,CPU_D,BW_D,MEM_D
SUAPPS,2011-03-07,MON,00:30:00,1053,16,1540,1053.0,6.36,1539.47
SUAPPS,2011-03-07,MON,00:34:00,58,0,1540,58.0,6.36,1539.47
SUAPPS,2011-03-07,MON,00:40:00,58,13,1542,58.0,6.36,1541.49
SUAPPS,2011-03-07,MON,00:45:00,58,0,1540,58.0,6.36,1539.47
SUAPPS,2011-03-07,MON,00:50:00,58,0,1540,58.0,6.36,1539.47
SUAPPS,2011-03-07,MON,00:55:00,58,7,1543,58.0,6.36,1544.05
SUAPPS,2011-03-07,MON,01:00:00,468,0,1541,468.0,6.36,1541.49
SUAPPS,2011-03-07,MON,01:04:00,234,0,1539,234.0,6.36,1539.47
SUAPPS,2011-03-07,MON,01:09:00,409,54,1544,409.0,78.52,1544.05
SUAPPS,2011-03-07,MON,01:14:00,3863,0,1539,4533.83,6.36,1539.47
SUAPPS,2011-03-07,MON,01:20:00,58,0,1539,58.0,6.36,1539.47
SUAPPS,2011-03-07,MON,01:25:00,58,0,1544,58.0,6.36,1544.05
SUAPPS,2011-03-07,MON,01:29:00,58,0,1539,58.0,6.36,1539.47
SUAPPS,2011-03-07,MON,01:34:00,58,67,1538,58.0,78.52,1537.54
SUAPPS,2011-03-07,MON,01:39:00,58,14,1543,58.0,6.36,1544.05
SUAPPS,2011-03-07,MON,01:44:00,58,15,1536,58.0,6.36,1535.51
SUAPPS,2011-03-07,MON,01:49:00,58,6,1539,58.0,6.36,1539.47
SUAPPS,2011-03-07,MON,01:55:00,58,0,1541,58.0,6.36,1541.49
SUAPPS,2011-03-07,MON,01:59:00,878,7,1539,878.0,6.36,1539.47
SUAPPS,2011-03-07,MON,02:04:00,58,63,1540,58.0,78.52,1539.47
SUAPPS,2011-03-07,MON,02:10:00,58,0,1544,58.0,6.36,1544.05
SUAPPS,2011-03-07,MON,02:14:00,58,27,1539,58.0,6.36,1539.47
SUAPPS,2011-03-07,MON,02:20:00,58,0,1540,58.0,6.36,1539.47
SUAPPS,2011-03-07,MON,02:24:00,58,0,1545,58.0,6.36,1544.05
SUAPPS,2011-03-07,MON,02:30:00,761,0,1568,761.0,6.36,1567.4
SUAPPS,2011-03-07,MON,02:34:00,58,0,1539,58.0,6.36,1539.47
SUAPPS,2011-03-07,MON,02:40:00,58,14,1544,58.0,6.36,1544.05
SUAPPS,2011-03-07,MON,02:46:00,58,0,1539,58.0,6.36,1539.47
SUAPPS,2011-03-07,MON,02:50:00,58,0,1537,58.0,6.36,1537.54
SUAPPS,2011-03-07,MON,02:55:00,58,0,1541,58.0,6.36,1541.49
SUAPPS,2011-03-07,MON,03:00:00,234,54,1538,234.0,78.52,1537.54
