NAME,DATE,WEEKDAY,TIME,CPU,BW,MEM,CPU_D,BW_D,MEM_D
SUBACK-02,2011-03-07,MON,00:30:00,1795,16,1313,1795.0,17.31,1312.71
SUBACK-02,2011-03-07,MON,00:34:00,1914,121,1319,1914.0,123.43,1319.41
SUBACK-02,2011-03-07,MON,00:40:00,1795,93,1314,1795.0,87.77,1312.71
SUBACK-02,2011-03-07,MON,00:45:00,0,136,1322,0.0,123.43,1319.41
SUBACK-02,2011-03-07,MON,00:50:00,0,90,1328,0.0,87.77,1325.31
SUBACK-02,2011-03-07,MON,00:55:00,478,25,1331,478.0,17.31,1331.48
SUBACK-02,2011-03-07,MON,01:00:00,957,32,1332,957.0,39.02,1331.48
SUBACK-02,2011-03-07,MON,01:04:00,598,32,1333,598.0,39.02,1331.48
SUBACK-02,2011-03-07,MON,01:10:00,239,31,1335,239.0,39.02,1337.07
SUBACK-02,2011-03-07,MON,01:14:00,0,43,1337,0.0,39.02,1337.07
SUBACK-02,2011-03-07,MON,01:20:00,3231,91,1345,3295.36,87.77,1346.21
SUBACK-02,2011-03-07,MON,01:25:00,2872,77,1354,2872.0,87.77,1353.13
SUBACK-02,2011-03-07,MON,01:30:00,0,54,1354,0.0,60.53,1353.13
SUBACK-02,2011-03-07,MON,01:34:00,957,54,1355,957.0,60.53,1353.13
SUBACK-02,2011-03-07,MON,01:40:00,0,177,1248,0.0,180.59,1248.47
SUBACK-02,2011-03-07,MON,01:44:00,0,85,1256,0.0,87.77,1248.47
SUBACK-02,2011-03-07,MON,01:50:00,0,57,1263,0.0,60.53,1274.63
SUBACK-02,2011-03-07,MON,01:55:00,0,58,1273,0.0,60.53,1274.63
SUBACK-02,2011-03-07,MON,01:59:00,0,140,1274,0.0,123.43,1274.63
SUBACK-02,2011-03-07,MON,02:04:00,0,81,1277,0.0,87.77,1274.63
SUBACK-02,2011-03-07,MON,02:10:00,239,83,1281,239.0,87.77,1274.63
SUBACK-02,2011-03-07,MON,02:14:00,2632,137,1311,2632.0,123.43,1312.71
SUBACK-02,2011-03-07,MON,02:20:00,0,110,1299,0.0,123.43,1293.56
SUBACK-02,2011-03-07,MON,02:25:00,478,71,1302,478.0,60.53,1305.19
SUBACK-02,2011-03-07,MON,02:30:00,239,62,1325,239.0,60.53,1325.31
SUBACK-02,2011-03-07,MON,02:35:00,0,144,1320,0.0,154.34,1319.41
SUBACK-02,2011-03-07,MON,02:40:00,0,96,1319,0.0,87.77,1319.41
SUBACK-02,2011-03-07,MON,02:46:00,3590,128,1353,3787.12,123.43,1353.13
SUBACK-02,2011-03-07,MON,02:50:00,5265,0,1368,4714.11,0.47,1369.08
SUBACK-02,2011-03-07,MON,02:55:00,0,1,1365,0.0,0.47,1364.77
SUBACK-02,2011-03-07,MON,03:00:00,0,74,1353,0.0,87.77,1353.13
SUBACK-02,2011-03-07,MON,03:05:00,239,65,1361,239.0,60.53,1361.8
SUBACK-02,2011-03-07,MON,03:10:00,0,45,1359,0.0,39.02,1357.36
SUBACK-02,2011-03-07,MON,03:15:00,0,34,1359,0.0,39.02,1357.36
SUBACK-02,2011-03-07,MON,03:20:00,0,51,1362,0.0,60.53,1361.8
