NAME,DATE,WEEKDAY,TIME,CPU,BW,MEM,CPU_D,BW_D,MEM_D
SUBES-01,2011-03-07,MON,00:30:00,5852,16,2007,5814.51,18.61,2007.04
SUBES-01,2011-03-07,MON,00:34:00,5852,19,2007,5814.51,18.61,2007.04
SUBES-01,2011-03-07,MON,00:40:00,5852,10,2007,5814.51,9.13,2007.04
SUBES-01,2011-03-07,MON,00:45:00,5852,7,1360,5814.51,6.35,1412.41
SUBES-01,2011-03-07,MON,00:50:00,643,10,1449,609.44,9.13,1412.41
SUBES-01,2011-03-07,MON,00:55:00,234,10,1581,234.0,9.13,1609.06
SUBES-01,2011-03-07,MON,01:00:00,877,6,1636,877.0,6.35,1609.06
SUBES-01,2011-03-07,MON,01:04:00,643,11,1831,609.44,12.86,1831.78
SUBES-01,2011-03-07,MON,01:09:00,643,13,1906,609.44,12.86,1905.13
SUBES-01,2011-03-07,MON,01:14:00,117,13,1917,117.0,12.86,1916.57
SUBES-01,2011-03-07,MON,01:20:00,292,7,1926,292.0,6.35,1927.24
SUBES-01,2011-03-07,MON,01:25:00,877,11,1915,877.0,12.86,1914.55
SUBES-01,2011-03-07,MON,01:30:00,936,7,1926,936.0,6.35,1927.24
SUBES-01,2011-03-07,MON,01:34:00,117,7,1919,117.0,6.35,1919.0
SUBES-01,2011-03-07,MON,01:39:00,58,9,1926,58.0,9.13,1927.24
SUBES-01,2011-03-07,MON,01:44:00,117,10,1924,117.0,9.13,1924.6
SUBES-01,2011-03-07,MON,01:49:00,760,14,1928,761.17,12.86,1927.24
SUBES-01,2011-03-07,MON,01:55:00,117,8,1923,117.0,9.13,1922.54
SUBES-01,2011-03-07,MON,01:59:00,234,5,1924,234.0,6.35,1924.6
SUBES-01,2011-03-07,MON,02:04:00,234,17,1932,234.0,18.61,1930.24
SUBES-01,2011-03-07,MON,02:10:00,117,9,1931,117.0,9.13,1930.24
SUBES-01,2011-03-07,MON,02:14:00,1111,7,1931,1111.0,6.35,1930.24
SUBES-01,2011-03-07,MON,02:20:00,117,8,1928,117.0,9.13,1927.24
SUBES-01,2011-03-07,MON,02:24:00,58,19,1929,58.0,18.61,1930.24
SUBES-01,2011-03-07,MON,02:30:00,1053,12,1944,1053.0,12.86,1944.0
SUBES-01,2011-03-07,MON,02:35:00,877,8,1928,877.0,9.13,1927.24
SUBES-01,2011-03-07,MON,02:40:00,585,7,1925,609.44,6.35,1924.6
SUBES-01,2011-03-07,MON,02:46:00,292,12,1936,292.0,12.86,1936.45
SUBES-01,2011-03-07,MON,02:50:00,117,18,1960,117.0,18.61,1960.0
SUBES-01,2011-03-07,MON,02:55:00,409,10,1961,409.0,9.13,1961.0
SUBES-01,2011-03-07,MON,03:00:00,3803,1050,1989,3874.57,1152.14,1990.82
SUBES-01,2011-03-07,MON,03:05:00,5617,5443,1784,5814.51,5035.31,1782.53
SUBES-01,2011-03-07,MON,03:10:00,117,554,1855,117.0,554.0,1854.3
SUBES-01,2011-03-07,MON,03:15:00,234,11,1913,234.0,12.86,1912.42
SUBES-01,2011-03-07,MON,03:20:00,643,7,1928,609.44,6.35,1927.24
SUBES-01,2011-03-07,MON,03:24:00,234,10,1922,234.0,9.13,1922.54
SUBES-01,2011-03-07,MON,03:30:00,117,14,1934,117.0,12.86,1933.93
SUBES-01,2011-03-07,MON,03:34:00,877,8,1928,877.0,9.13,1927.24
SUBES-01,2011-03-07,MON,03:39:00,234,12,1928,234.0,12.86,1927.24
SUBES-01,2011-03-07,MON,03:45:00,760,10,1926,761.17,9.13,1927.24
SUBES-01,2011-03-07,MON,03:50:00,234,8,1933,234.0,9.13,1933.93
SUBES-01,2011-03-07,MON,03:55:00,760,12,1927,761.17,12.86,1927.24
SUBES-01,2011-03-07,MON,04:00:00,292,14,1928,292.0,12.86,1927.24
SUBES-01,2011-03-07,MON,04:04:00,117,9,1964,117.0,9.13,1964.0
SUBES-01,2011-03-07,MON,04:09:00,58,9,1968,58.0,9.13,1969.44
SUBES-01,2011-03-07,MON,04:14:00,58,13,1960,58.0,12.86,1960.0
SUBES-01,2011-03-07,MON,04:20:00,234,9,1963,234.0,9.13,1963.0
SUBES-01,2011-03-07,MON,04:24:00,468,10,1974,468.0,9.13,1972.93
SUBES-01,2011-03-07,MON,04:29:00,585,8,1975,609.44,9.13,1975.94
SUBES-01,2011-03-07,MON,04:36:00,409,10,1962,409.0,9.13,1962.0
SUBES-01,2011-03-07,MON,04:39:00,585,9,1970,609.44,9.13,1969.44
SUBES-01,2011-03-07,MON,04:44:00,643,7,1977,609.44,6.35,1975.94
SUBES-01,2011-03-07,MON,04:49:00,468,11,1977,468.0,12.86,1975.94
SUBES-01,2011-03-07,MON,04:55:00,234,10,1967,234.0,9.13,1966.47
SUBES-01,2011-03-07,MON,04:59:00,468,5,1980,468.0,6.35,1979.97
SUBES-01,2011-03-07,MON,05:04:00,877,12,1780,877.0,12.86,1782.53
SUBES-01,2011-03-07,MON,05:09:00,234,11,1848,234.0,12.86,1848.61
SUBES-01,2011-03-07,MON,05:15:00,234,7,1891,234.0,6.35,1890.02
SUBES-01,2011-03-07,MON,05:19:00,409,7,1913,409.0,6.35,1912.42
SUBES-01,2011-03-07,MON,05:25:00,409,10,1924,409.0,9.13,1924.6
SUBES-01,2011-03-07,MON,05:30:00,117,12,1926,117.0,12.86,1927.24
SUBES-01,2011-03-07,MON,05:35:00,58,9,1915,58.0,9.13,1914.55
SUBES-01,2011-03-07,MON,05:39:00,58,15,1927,58.0,12.86,1927.24
SUBES-01,2011-03-07,MON,05:45:00,234,16,1910,234.0,18.61,1910.59
SUBES-01,2011-03-07,MON,05:49:00,58,15,1926,58.0,12.86,1927.24
SUBES-01,2011-03-07,MON,05:55:00,117,16,1924,117.0,18.61,1924.6
SUBES-01,2011-03-07,MON,06:00:00,117,7,1928,117.0,6.35,1927.24
SUBES-01,2011-03-07,MON,06:04:00,117,19,1935,117.0,18.61,1933.93
SUBES-01,2011-03-07,MON,06:09:00,292,14,1975,292.0,12.86,1975.94
SUBES-01,2011-03-07,MON,06:14:00,877,21,1982,877.0,18.61,1979.97
SUBES-01,2011-03-07,MON,06:19:00,234,11,2000,234.0,12.86,2000.51
SUBES-01,2011-03-07,MON,06:24:00,585,20,1970,609.44,18.61,1969.44
SUBES-01,2011-03-07,MON,06:30:00,585,11,1990,609.44,12.86,1990.82
SUBES-01,2011-03-07,MON,06:34:00,877,14,1576,877.0,12.86,1609.06
SUBES-01,2011-03-07,MON,06:39:00,292,22,1730,292.0,18.61,1743.73
