NAME,DATE,WEEKDAY,TIME,CPU,BW,MEM,CPU_D,BW_D,MEM_D
SUDOCUSHARE-01,2011-03-07,MON,00:30:00,119,16,688,119.0,21.33,688.0
SUDOCUSHARE-01,2011-03-07,MON,00:35:00,59,0,689,59.0,0.0,689.0
SUDOCUSHARE-01,2011-03-07,MON,00:40:00,59,0,689,59.0,0.0,689.0
SUDOCUSHARE-01,2011-03-07,MON,00:45:00,149,0,689,149.0,0.0,689.0
SUDOCUSHARE-01,2011-03-07,MON,00:50:00,59,0,683,59.0,0.0,682.66
SUDOCUSHARE-01,2011-03-07,MON,00:55:00,59,0,688,59.0,0.0,688.0
SUDOCUSHARE-01,2011-03-07,MON,01:00:00,59,0,686,59.0,0.0,686.37
SUDOCUSHARE-01,2011-03-07,MON,01:04:00,119,0,687,119.0,0.0,686.37
SUDOCUSHARE-01,2011-03-07,MON,01:10:00,59,0,688,59.0,0.0,688.0
SUDOCUSHARE-01,2011-03-07,MON,01:14:00,29,0,696,29.0,0.0,697.38
SUDOCUSHARE-01,2011-03-07,MON,01:20:00,59,0,687,59.0,0.0,686.37
SUDOCUSHARE-01,2011-03-07,MON,01:25:00,59,0,688,59.0,0.0,688.0
SUDOCUSHARE-01,2011-03-07,MON,01:30:00,29,4,688,29.0,4.0,688.0
SUDOCUSHARE-01,2011-03-07,MON,01:35:00,29,0,689,29.0,0.0,689.0
SUDOCUSHARE-01,2011-03-07,MON,01:40:00,59,0,688,59.0,0.0,688.0
SUDOCUSHARE-01,2011-03-07,MON,01:45:00,209,0,689,209.0,0.0,689.0
SUDOCUSHARE-01,2011-03-07,MON,01:50:00,59,0,689,59.0,0.0,689.0
SUDOCUSHARE-01,2011-03-07,MON,01:55:00,119,0,688,119.0,0.0,688.0
SUDOCUSHARE-01,2011-03-07,MON,01:59:00,29,0,685,29.0,0.0,685.0
SUDOCUSHARE-01,2011-03-07,MON,02:04:00,59,0,688,59.0,0.0,688.0
SUDOCUSHARE-01,2011-03-07,MON,02:10:00,29,0,688,29.0,0.0,688.0
SUDOCUSHARE-01,2011-03-07,MON,02:15:00,209,0,689,209.0,0.0,689.0
SUDOCUSHARE-01,2011-03-07,MON,02:20:00,29,0,689,29.0,0.0,689.0
SUDOCUSHARE-01,2011-03-07,MON,02:25:00,29,0,689,29.0,0.0,689.0
SUDOCUSHARE-01,2011-03-07,MON,02:30:00,29,0,689,29.0,0.0,689.0
SUDOCUSHARE-01,2011-03-07,MON,02:35:00,119,0,689,119.0,0.0,689.0
SUDOCUSHARE-01,2011-03-07,MON,02:40:00,29,0,688,29.0,0.0,688.0
SUDOCUSHARE-01,2011-03-07,MON,02:46:00,59,0,688,59.0,0.0,688.0
SUDOCUSHARE-01,2011-03-07,MON,02:50:00,209,0,682,209.0,0.0,682.66
SUDOCUSHARE-01,2011-03-07,MON,02:55:00,59,0,688,59.0,0.0,688.0
SUDOCUSHARE-01,2011-03-07,MON,03:00:00,29,0,686,29.0,0.0,686.37
SUDOCUSHARE-01,2011-03-07,MON,03:05:00,29,0,688,29.0,0.0,688.0
